,0
0,-0.0043618693
1,0.010694778
2,0.0009940418
3,0.00043241173
4,0.0019459446
5,0.00546538
6,0.0033170746
7,0.0061199
8,0.019750727
9,0.008852082
10,0.0039792582
11,0.0011613247
12,-0.022240141
13,-0.0115911495
14,-0.0042500817
15,0.011412252
16,0.009033834
17,0.005070546
18,0.009360458
19,-0.012640302
20,0.018442066
21,-0.004707081
22,0.00018187398
23,0.011103143
24,0.009833217
25,0.04350621
26,0.0013106049
27,0.009854224
28,-0.013499512
29,-0.006167879
30,0.0038314238
31,-0.008807976
32,-0.008584554
33,0.00522948
34,0.02446631
35,0.0052739396
36,0.008043785
37,-0.0028538094
38,-0.010508562
39,0.0057409634
40,-0.015452986
41,-0.010415565
42,-0.004207375
43,0.012767663
44,-0.0073040407
45,-0.005432289
46,-0.006988329
47,0.015768815
48,-0.020917691
49,-0.00406029
50,-0.008124835
51,0.0109125795
52,0.0071150158
53,0.0038855348
54,0.00848237
55,0.006466053
56,-0.009278244
57,-0.0073454063
58,0.0061814627
59,0.015331863
60,0.008593253
61,0.014886457
62,-0.0033389824
63,-0.015940703
64,0.003844815
65,-0.0046485
66,0.010594499
67,0.0054417765
68,0.0064594187
69,0.02004653
70,-0.011674929
71,0.008939312
72,-0.035292912
73,-0.005870653
74,-0.0074076266
75,0.02967287
76,-0.022968452
77,-0.0059854267
78,-0.0054787076
79,-0.002243659
80,-0.009201256
81,0.0049653747
82,-0.013367304
83,0.0034504218
84,0.012172725
85,0.0033450937
86,-0.004123838
87,-0.0061663943
88,-0.0062483232
89,-0.0053940024
90,0.017126976
91,-0.02287385
92,0.0022988906
93,-0.0033163207
94,0.027554236
95,-0.016499547
96,-0.0046424284
97,-0.008367898
98,-0.02399738
99,0.011630938
100,0.009913857
101,-0.0011007851
102,-0.013900362
103,-0.009560129
104,0.0088715255
105,-0.0080067115
106,-0.00021418545
107,0.005791404
108,0.008437945
109,-0.0039718878
110,0.0042287256
111,-0.017033366
112,-0.0068671727
113,0.00778029
114,0.003854169
115,0.0146739725
116,0.02881949
117,0.017456705
118,0.011109971
119,0.009978799
120,0.003834631
121,0.028624866
122,-0.0026226921
123,-0.011802555
124,0.0023188228
125,-0.004260332
126,0.001251456
127,-0.021799881
128,-0.0075440714
129,-0.007521177
130,0.007424855
131,0.0084000155
132,0.0040473184
133,0.016669918
134,0.008218087
135,-0.009497834
136,0.018249707
137,-0.018939082
138,0.016309606
139,-0.01174348
140,0.01286345
141,0.019359825
142,-0.014739113
143,-0.004925845
144,-0.0049240068
145,-0.014510093
146,-0.011441801
147,0.01562049
148,0.015949607
149,-0.018871186
150,-0.015467368
151,-0.0035883987
152,0.01725332
153,0.013075351
154,0.008047594
155,-0.01689319
156,-0.0069439844
157,-0.0051502325
158,0.015492755
159,0.0027369247
160,0.003138092
161,-0.0067965332
162,-0.007460247
163,0.015769085
164,-0.008341403
165,0.01790014
166,0.015853126
167,0.0026168043
168,0.010524298
169,-0.014373677
170,0.006535144
171,0.010229287
172,-0.00014752874
173,-0.009487009
174,-0.025494901
175,0.009217033
176,-0.01590927
177,0.013890494
178,0.019509815
179,0.023870269
180,0.023595104
181,-0.0089192875
182,-0.011333864
183,0.0009061346
184,0.009411757
185,-0.0030419559
186,-0.008832392
187,-0.021962704
188,-0.02230245
189,0.009813367
190,-0.0056112474
191,-0.018332422
192,-0.007632548
193,-0.011726041
194,0.0006795932
195,-0.01075018
196,0.0024572243
197,0.022226853
198,-0.0031347272
199,-0.0016760122
200,-0.0087060025
201,0.007921149
202,-0.005194698
203,-0.004529423
204,0.0031344753
205,-0.0025874572
206,-0.0064110644
207,-0.0024432747
208,0.020441528
209,-0.036180735
210,0.011604203
211,0.003855593
212,0.0009266252
213,-0.0023232952
214,0.017552843
215,-0.004573266
216,0.008333579
217,-0.025920665
218,0.0018177913
219,-0.0026474677
220,-0.008641078
221,0.0062797614
222,-0.003830562
223,-0.008064507
224,-0.010724328
225,0.010292495
226,0.015327571
227,-0.003013156
228,0.0043450375
229,-0.013550148
230,0.009379724
231,0.019619543
232,0.030392054
233,-0.022980748
234,0.009889885
235,0.0071000936
236,0.008906714
237,-0.013616825
238,-0.018109791
239,0.013526387
240,-0.006825417
241,-0.01294692
242,0.00084143045
243,-0.02634943
244,-0.006770585
245,0.0052133873
246,-0.0005765128
247,0.013090718
248,-0.018488567
249,-0.004834101
250,0.0028749132
251,0.01193674
252,-0.003923846
253,-0.0044691996
254,0.034712575
255,-0.012235699
256,0.0059927013
257,-0.0041272757
258,0.005907171
259,-0.0046569104
260,-0.020503491
261,0.00054198503
262,0.00551666
263,-0.024699789
264,0.011797012
265,-0.004181784
266,0.019217819
267,-0.025648616
268,-0.0056722458
269,0.007105605
270,0.011640756
271,0.016312791
272,-0.019666761
273,0.0024459916
274,0.0028011447
275,0.0011837501
276,0.0038879197
277,0.0004750466
278,0.0074544563
279,-0.01504924
280,0.015420883
281,-0.00448457
282,-0.002999577
283,0.0055428357
284,-0.0068486207
285,-0.008446377
286,-0.0046434356
287,0.017402496
288,-0.007191149
289,0.001077265
290,-0.004864969
291,-0.012269125
292,0.008503609
293,-0.0046622357
294,0.007491928
295,-0.0051692817
296,-0.006795494
297,-0.004067837
298,0.020274805
299,-0.008150333
300,0.003429892
301,0.022629457
302,0.007129379
303,-0.02341965
304,0.028169662
305,-0.0023744912
306,-0.006858212
307,-0.0007925157
308,0.0029036826
309,0.0025614772
310,0.006990689
311,0.002006665
312,0.018961856
313,0.004015455
314,-0.010245025
315,-0.016763698
316,0.004200239
317,-0.016924996
318,-0.0016584649
319,0.009867788
320,-0.0051084757
321,0.0019658247
322,-0.018960068
323,0.0040903394
324,0.0010498741
325,-0.01697878
326,0.00035710723
327,-0.022482356
328,0.011287965
329,-0.003740284
330,0.011563786
331,0.013900953
332,-0.0055880826
333,-0.00019345732
334,-0.001172502
335,0.009139891
336,-8.036269e-05
337,-0.0072709634
338,-0.0011587
339,-0.019022968
340,0.0013447817
341,0.024628565
342,0.009361267
343,0.0047423607
344,-0.004141546
345,0.011241672
346,-0.01970882
347,0.013437593
348,0.0010386382
349,-0.015995739
350,0.009911851
351,0.020596918
352,0.0060220757
353,0.0002222656
354,0.0079444
355,-0.00055382116
356,0.004161236
357,-0.0059630945
358,0.0011131896
359,-0.0026283844
360,-0.008962522
361,0.0069107674
362,-0.0066946484
363,0.0026080844
364,-0.024472574
365,-0.00784996
366,0.008622286
367,-0.0054757264
368,-0.027002916
369,0.02486187
370,-0.025299627
371,0.012909637
372,-0.019494995
373,-0.0028781362
374,-0.015416351
375,0.009882763
376,-0.0014109707
377,-0.018759789
378,0.0030793988
379,0.004699839
380,0.009075169
381,0.00467119
382,-0.009354406
383,0.011696382
384,-0.027941246
385,0.0031871158
386,-0.013260341
387,0.005776146
388,0.014984316
389,-0.0019203105
390,-0.011212408
391,0.016527167
392,0.006370657
393,-0.0061985953
394,-0.0015544527
395,-0.009466199
396,0.0021263068
397,0.0034217944
398,-0.01103002
399,0.006812968
400,0.026175316
401,-0.0009404411
402,0.010900744
403,0.0101021305
404,-0.018382635
405,0.021428518
406,-0.021346554
407,0.020249076
408,-0.011570946
409,-0.0030001274
410,0.0011601661
411,0.011304243
412,-0.00712002
413,0.014726207
414,-0.0022315776
415,0.021922242
416,-0.00010263178
417,0.00269983
418,0.004129766
419,0.019819407
420,-0.009037271
421,0.0138212405
422,0.014032949
423,0.004579155
424,0.012639179
425,-0.016267102
426,0.005962441
427,0.027043065
428,-0.0021743462
429,-0.008449431
430,0.012224327
431,0.012488634
432,0.0145976
433,-0.019842215
434,-0.0031155264
435,0.02277567
436,0.030833952
437,-0.0029321953
438,0.00010184178
439,-0.011870206
440,-0.0054164296
441,-0.008690715
442,-0.0236238
443,-0.0013453984
444,0.0049531823
445,-0.022048727
446,-0.0023378662
447,0.0079118805
448,-0.011836007
449,0.0074466574
450,0.03111039
451,-0.00016597997
452,0.002319136
453,-0.008357078
454,0.021019256
455,0.0016915988
456,0.0071110465
457,0.00040974986
458,0.0051461044
459,-0.021122739
460,-0.0042568264
461,-0.009675705
462,0.004326352
463,-0.009508369
464,-0.00030741032
465,0.009074113
466,0.0047399616
467,0.014826562
468,-0.005538304
469,-0.008296845
470,0.022410901
471,0.008614949
472,0.014562281
473,0.013922765
474,-0.020759316
475,0.016052585
476,0.01532457
477,0.0066958736
478,-0.008484006
479,-0.0038265286
480,0.0036178671
481,0.0074026203
482,-0.004502458
483,0.019963058
484,-0.0045825094
485,-0.020098558
486,0.023370553
487,-0.0105932355
488,0.008766549
489,0.013034936
490,-0.015653739
491,-0.0018312397
492,0.011551739
493,-0.022083458
494,0.00074091833
495,0.0020649687
496,0.00073460856
497,-0.022182778
498,0.0218093
499,-0.00930533
500,-0.01976533
501,0.009965304
502,-0.015063858
503,0.0039498988
504,-0.002077696
505,-0.009532703
506,-0.03406183
507,-0.010707294
508,-0.0029532232
509,-0.0073401127
510,0.0074530942
511,-0.0020104833
512,0.0035927799
513,-0.006021628
514,0.0033845278
515,0.016778033
516,0.009488654
517,0.014364242
518,0.025394894
519,0.0050124517
520,-0.014210458
521,0.010395726
522,-0.008918289
523,0.005985106
524,-0.024097323
525,-0.016986748
526,0.025184415
527,-0.021948278
528,0.016399542
529,-0.0033704673
530,-0.0014618218
531,0.011541277
532,0.009838174
533,-0.000467464
534,-0.011371642
535,0.002072926
536,-0.0026961705
537,0.015936878
538,0.005835807
539,-0.004883255
540,-0.014543315
541,-0.008606005
542,0.0034938634
543,-0.013647192
544,0.008241025
545,0.001691594
546,-0.012300832
547,-0.003357724
548,-0.0037197135
549,0.014057909
550,-0.001613035
551,0.019318491
552,0.0035564688
553,-0.0037588794
554,0.0077077476
555,-0.0036253713
556,0.02181098
557,-0.005219963
558,-0.008783959
559,0.00683406
560,0.000981859
561,0.014950311
562,-0.0069477092
563,-0.014022622
564,0.011377776
565,-0.004016678
566,-0.0036607827
567,0.027131928
568,0.0047379863
569,0.012785965
570,0.0009399011
571,-0.00094454404
572,0.0022760918
573,0.01978152
574,0.004964677
575,0.0075415294
576,-0.0069422964
577,-0.00025432196
578,-0.009868715
579,0.00883093
580,-0.031118007
581,0.003803283
582,-0.007893622
583,0.0011029541
584,0.0046918667
585,-0.0053745215
586,0.018570758
587,-0.00825501
588,-0.013263353
589,-0.02774544
590,-0.008867744
591,-0.016740447
592,-0.0052045165
593,-0.010458779
594,0.000614337
595,-0.002378219
596,-0.0027297686
597,-0.015223381
598,0.011550402
599,0.0045128204
600,-0.010025311
601,-0.008554963
602,0.0074719302
603,0.013143291
604,0.015801294
605,0.012652818
606,0.0048942724
607,-0.0027596885
608,0.0018724417
609,0.00051775435
610,0.0069346367
611,0.007428708
612,0.016719157
613,-0.01617611
614,-0.016398614
615,0.011713333
616,-0.012636165
617,0.011753828
618,-0.005240436
619,-0.0038851951
620,-0.0035535225
621,0.001701649
622,0.014475337
623,-0.0062827724
624,0.00819241
625,0.0012145919
626,0.0024251956
627,0.008410408
628,-0.0014751261
629,0.0058735902
630,0.005209511
631,0.009193693
632,0.02265151
633,0.008390039
634,0.021652367
635,-0.024245944
636,-0.008757681
637,-0.02295331
638,0.008917942
639,-0.03627981
640,0.011623779
641,-0.008176935
642,-0.0086638825
643,0.006928902
644,-0.015773997
645,0.007994053
646,-0.010708477
647,0.00863877
648,0.01689921
649,-0.004975725
650,0.0020231747
651,0.009263178
652,-0.010089557
653,-0.005909159
654,-0.019910902
655,-0.002418773
656,-0.021762187
657,0.011176594
658,0.01601299
659,-0.02384968
660,-0.013196267
661,0.00022250193
662,-0.009705334
663,0.010528186
664,-0.011082667
665,-0.015955372
666,0.0251574
667,-0.013786061
668,-0.0022299353
669,-0.0024726633
670,-0.0026031798
671,-0.0040324028
672,0.0066667194
673,0.0016750185
674,-0.002742533
675,-0.017592717
676,0.0153868515
677,0.0015946664
678,0.010024987
679,-0.0030089465
680,0.03601508
681,-0.018867059
682,0.0016056204
683,0.015873956
684,0.016090697
685,-0.007747318
686,-0.007190054
687,0.0018492285
688,-0.0010583857
689,0.03942431
690,0.010797
691,-0.011476081
692,0.0072770915
693,0.000837669
694,0.0053106337
695,-0.0004680448
696,-0.0106712915
697,-0.016331209
698,0.012124363
699,0.011598217
700,-0.0045335526
701,-0.010109381
702,-0.0042455923
703,-0.020205667
704,-0.0050498946
705,-0.01467989
706,-0.00966115
707,-0.034142114
708,-0.012116057
709,0.030072954
710,0.016214643
711,0.0031215665
712,0.012092416
713,-0.0038829043
714,-0.010903964
715,0.011889919
716,-0.0033708022
717,-0.0022241843
718,0.009089726
719,0.001521635
720,-0.0020432833
721,-0.0019112641
722,-0.0053615817
723,-0.0021413176
724,-0.00031400903
725,0.005688904
726,-0.012922358
727,0.00038651677
728,0.0072055985
729,-0.0066396347
730,-0.0048787976
731,0.013344205
732,-0.019457664
733,-0.010191019
734,-0.022015247
735,-0.008504898
736,0.00821237
737,-0.0022929965
738,-0.010666376
739,0.0261431
740,-0.0066222516
741,0.00319947
742,0.0022988487
743,0.0021258583
744,0.011000645
745,-0.020105338
746,-0.0038926476
747,0.011923171
748,-0.014706188
749,0.022266753
750,0.0052765673
751,-0.012531841
752,0.0012500748
753,0.00026684612
754,0.0060582864
755,-0.0035026984
756,-0.01096376
757,0.0012712318
758,0.0029069495
759,0.009586622
760,0.019759018
761,0.0128765805
762,0.017586874
763,-0.00524545
764,-0.02254233
765,-0.0036588016
766,0.004726531
767,-0.02756838
768,-0.0061152345
769,0.01831192
770,0.011524644
771,0.00903618
772,-0.01989959
773,0.011202885
774,-0.002394669
