,0
0,-0.27427113
1,-1.860681
2,1.3069124
3,1.6663641
4,-0.0439452
5,1.0320399
6,2.2657642
7,1.6609243
8,0.76459736
9,3.0307343
10,0.14554958
11,-0.2578196
12,0.52767277
13,-0.7425092
14,-0.95458555
15,-1.1594986
16,-1.0154892
17,2.0953927
18,-2.4571679
19,1.5470284
20,-0.9335093
21,1.4412924
22,-0.8560667
23,0.22933353
24,-0.5900017
25,1.3309994
26,1.6431236
27,-0.1312391
28,0.0387566
29,0.4713035
30,-0.28764534
31,-0.90512455
32,-0.318007
33,-2.4714575
34,-0.07999977
35,-1.7979014
36,2.310297
37,-2.2097394
38,-0.54060686
39,0.40736225
40,-0.83556867
41,0.27689382
42,-2.4541478
43,-0.4078638
44,-2.854176
45,-0.5134198
46,-0.8683672
47,0.60097414
48,0.59228736
49,0.28384548
50,-1.8854389
51,0.89058506
52,1.51881
53,-0.1621521
54,-1.1394981
55,-1.9425544
56,-1.8273634
57,-0.28627157
58,-0.88862807
59,-0.7822572
60,1.8302593
61,-1.6840395
62,-0.95525396
63,1.0843561
64,1.3849596
65,-0.927584
66,-0.45241964
67,2.7525337
68,-0.107845224
69,0.44654635
70,0.02550908
71,1.0547813
72,0.25426996
73,-1.4148262
74,2.2812014
75,3.4010146
76,-0.15567505
77,-1.28268
78,1.3007865
79,-3.291317
80,0.9687793
81,-1.80871
82,0.29842958
83,-2.2058759
84,-0.10019127
85,5.0140624
86,0.97853154
87,-0.3070938
88,-0.8082001
89,2.923453
90,2.4100616
91,0.9606224
92,-1.5116068
93,2.5568717
94,1.4113232
95,2.016096
96,0.2887507
97,-2.1173239
98,-0.48801106
99,1.2515646
100,1.8348163
101,-0.9798882
102,-0.21665393
103,-1.2607698
104,0.13491893
105,3.3731542
106,-0.8574338
107,-2.1168177
108,-2.2949145
109,0.5676966
110,0.9968614
111,-1.2961472
112,1.63834
113,1.0891176
114,0.45136598
115,-1.1621771
116,0.7481785
117,0.8470546
118,-0.7962295
119,0.30589288
120,-0.83143747
121,1.1194668
122,0.5175555
123,-1.7836528
124,1.9787096
125,0.1548275
126,-1.6195904
127,-1.1020554
128,-0.14377469
129,2.1956272
130,1.8023087
131,0.36249954
132,0.16726585
133,0.1729967
134,0.0378752
135,-0.9792585
136,0.63965565
137,0.29561478
138,-0.17261142
139,-0.4357561
140,-1.473202
141,1.0307609
142,2.0092463
143,-4.0138803
144,1.783739
145,0.69393206
146,-1.924183
147,0.21322025
148,-0.48771745
149,-0.78026557
150,-0.6364162
151,-2.3316205
152,3.00832
153,0.69759136
154,-0.28302217
155,-0.51647526
156,0.3926489
157,-0.6200911
158,1.1082222
159,2.855716
160,-1.9675999
161,1.135251
162,0.3457373
163,-2.4187155
164,-1.710766
165,2.3854043
166,0.92932177
167,0.4288293
168,-1.244074
169,1.7626704
170,-1.5502589
171,0.69021475
172,2.113365
173,-0.039248213
174,-0.28404516
175,1.9019235
176,0.07643931
177,-1.4429662
178,-1.5498185
179,-0.7240138
180,1.7244401
181,-0.8600723
182,-2.5539532
183,0.78518164
184,0.092659265
185,-0.16972296
186,-0.9710556
187,0.47384873
188,1.5009298
189,2.8299327
190,1.0883625
191,0.49729574
192,1.0978351
193,-0.7316801
194,0.8521756
195,0.3479323
196,1.1794755
197,0.357313
198,0.37569186
199,-1.2880805
200,-0.16804416
201,-0.03596337
202,0.5035083
203,0.7347887
204,-1.1428031
205,-3.8346326
206,-1.0892369
207,-2.8842561
208,-0.06836672
209,-0.0042432267
210,0.9220829
211,0.8323009
212,1.8792615
213,-2.4482157
214,-0.1889086
215,1.5787433
216,-0.6759627
217,-0.062371373
218,0.66761535
219,-2.0091052
220,-0.23379995
221,-2.2556753
222,2.9810646
223,0.44837886
224,1.9964137
225,1.861931
226,-2.749355
227,1.1593438
228,0.5742958
229,-0.063803606
230,1.4046131
231,-1.321891
232,2.7446883
233,-0.4806252
234,0.7083335
235,-0.2322773
236,0.07697404
237,-0.18217109
238,-0.69764817
239,1.2501537
240,0.29224876
241,-2.5960293
242,0.29755145
243,1.9567904
244,1.1085385
245,2.0175292
246,0.5245533
247,-0.3470005
248,-2.4398801
249,0.5074878
250,-1.7902789
251,-1.0019999
252,1.8972774
253,0.0531587
254,1.2546992
255,0.5876792
256,0.44886202
257,-0.5089317
258,0.5305706
259,-0.17041513
260,1.3844053
261,1.5230889
262,0.74938333
263,-1.6866578
264,0.57664263
265,-0.22775738
266,1.7835854
267,1.5084819
268,1.1547798
269,-0.43304434
270,-0.70454717
271,1.4018487
272,-0.55711746
273,-0.2522653
274,0.26619527
275,1.1209526
276,2.971548
277,-0.22260576
278,-0.10950966
279,1.2928143
280,-0.74650896
281,0.75576246
282,-0.065565854
283,1.1155748
284,-1.4109843
285,0.2509385
286,0.8659293
287,1.7408932
288,-0.87696797
289,0.004050255
290,1.1225338
291,-0.4306669
292,-0.7636559
293,1.5913677
294,-0.8029612
295,0.81719387
296,0.44756636
297,1.0810958
298,0.57463104
299,-1.5365118
300,-0.3180209
301,0.20194851
302,-0.18509293
303,1.8882443
304,0.41854677
305,1.806065
306,2.784361
307,-0.09330889
308,2.488271
309,-1.3919954
310,-0.85648876
311,-2.069803
312,1.9022408
313,1.3106897
314,-0.1883067
315,-0.5926527
316,-0.3858356
317,-0.8326367
318,1.3336875
319,1.567172
320,-0.94412416
321,1.2269952
322,1.0349306
323,-0.6407146
324,2.7633283
325,0.3663098
326,0.6262922
327,-2.2891755
328,-0.39768302
329,-1.6106424
330,-2.9599438
331,-1.0430882
332,-0.12563072
333,2.2455497
334,2.5486085
335,-0.24085632
336,1.188735
337,-2.0196936
338,-0.2276751
339,-2.051145
340,1.778174
341,-1.2017237
342,-3.205485
343,3.4370797
344,-0.18919355
345,0.3687698
346,1.8214161
347,-1.139964
348,1.258575
349,0.7607102
350,1.7203987
351,-0.15247136
352,-0.7125867
353,1.5923859
354,0.27824298
355,-1.3975253
356,1.1363003
357,0.5569039
358,0.6119768
359,-1.619679
360,-3.0400884
361,-2.1607647
362,0.47132334
363,-0.3604935
364,-0.056303047
365,-0.21914387
366,1.5636636
367,-1.1496029
368,-0.13130367
369,-2.220444
370,2.4824984
371,3.127851
372,0.976569
373,-1.5292432
374,0.6013527
375,1.4050215
376,-2.989076
377,0.28555655
378,1.5840116
379,0.80999386
380,0.20886618
381,-1.9600862
382,0.07003884
383,-1.0816269
384,-1.6552372
385,-0.3406478
386,1.1254163
387,-2.4333053
388,0.63080645
389,-0.23852497
390,1.6248885
391,1.4707763
392,0.15338506
393,-0.9578377
394,-1.4970452
395,-0.94700044
396,-2.3227386
397,-0.2187498
398,-0.40175292
399,0.28375593
400,-1.1734226
401,0.7014908
402,0.57275015
403,0.79339254
404,-0.20952812
405,1.9620143
406,1.0800494
407,0.006327601
408,-0.39638495
409,0.66980463
410,0.53947496
411,0.7857104
412,0.31977046
413,-1.3123226
414,0.2634841
415,1.2426147
416,-1.0783229
417,0.0985381
418,-1.3716074
419,0.93076104
420,-0.10122037
421,1.3997205
422,0.026736856
423,-0.45130455
424,-0.4883134
425,3.036163
426,1.7438465
427,2.004071
428,-0.85537434
429,1.4680998
430,-0.5094083
431,-2.4498255
432,-3.6846616
433,-0.9126705
434,1.2739232
435,-2.163061
436,-0.6583202
437,-0.4329252
438,-1.9332553
439,0.3693007
440,2.0288668
441,1.1516194
442,0.13354693
443,2.71649
444,1.5130928
445,0.74216336
446,1.1623812
447,-3.131531
448,1.123177
449,-0.16020846
450,0.29887497
451,0.46324244
452,1.903846
453,-2.3389478
454,-1.6530967
455,0.85357136
456,1.6504117
457,-0.4286479
458,-0.83244824
459,-2.7171535
460,-0.32286394
461,0.37545592
462,-1.8423171
463,1.149535
464,0.17970835
465,-4.6439605
466,0.60937876
467,0.3824104
468,-2.6844692
469,0.70456827
470,0.19630492
471,-0.3544645
472,-0.6475114
473,-0.32396847
474,-0.009406153
475,2.4163284
476,-1.4368827
477,0.2821698
478,0.19606665
479,-1.025764
480,-2.2978806
481,-0.98964953
482,-2.703704
483,-0.14638375
484,0.76931995
485,-1.0644647
486,0.55631644
487,1.1665308
488,2.2434936
489,1.1567851
490,1.7539494
491,-0.91250986
492,-0.3443323
493,0.42281896
494,-2.1969364
495,1.4381605
496,0.397441
497,1.0600855
498,2.1543355
499,-0.9030792
500,2.5210986
501,2.2004814
502,1.1526057
503,0.20510106
504,-0.36400148
505,-3.9187202
506,-0.21784715
507,0.6146934
508,0.24135888
509,-3.0864928
510,1.5245581
511,1.2149715
512,1.8068537
513,1.3575314
514,1.0223761
515,1.9372499
516,-0.3812728
517,1.0763389
518,-0.80841833
519,-1.6458006
520,2.2098484
521,-0.46123397
522,-3.3255277
523,0.770213
524,1.9131163
525,0.47394478
526,0.7658594
527,-1.2432863
528,0.47038653
529,1.4347147
530,-1.5063643
531,-1.0067222
532,0.9967713
533,-1.9673587
534,-0.40134802
535,-0.99699455
536,-0.205846
537,0.41764095
538,0.4065991
539,-0.48859075
540,-0.1338563
541,-2.0027962
542,0.6416128
543,-0.08988758
544,-0.68363583
545,-0.02245676
546,0.13973546
547,0.5704066
548,0.8993856
549,-1.7968893
550,-1.7865242
551,1.6306665
552,-0.6423705
553,-0.096969716
554,-0.7065673
555,1.0616028
556,0.8579203
557,1.9409102
558,1.1463472
559,0.8285036
560,-0.45312995
561,-1.5254296
562,1.1407067
563,0.06647501
564,-0.6262957
565,2.4197683
566,0.51631063
567,2.0699978
568,-0.92131853
569,-1.5242721
570,1.1917139
571,2.6160116
572,-0.35695484
573,-0.6193581
574,2.376778
575,3.1519291
576,-1.0960617
577,1.4502045
578,2.4266965
579,0.38412914
580,0.15154192
581,-0.14494705
582,-0.48525435
583,-0.9715179
584,-2.2730818
585,0.093757115
586,2.1697135
587,-2.108034
588,-0.4254342
589,1.5603848
590,1.4083537
591,-0.008994974
592,2.0806532
593,1.2710043
594,2.993649
595,-1.1313066
596,3.0148742
597,2.6343477
598,0.10759026
599,-3.901847
600,1.8324416
601,-0.21942353
602,-0.49628615
603,-1.8581353
604,-0.4556219
605,1.7655923
606,0.96035004
607,-2.245274
608,-0.13539702
609,1.7266743
610,2.2667584
611,-0.8243493
612,-2.3150542
613,0.038145266
614,-1.705471
615,-0.1622049
616,1.9749194
617,-1.0313256
618,0.14969888
619,1.3995508
620,-1.4765525
621,-0.36843246
622,-0.95820457
623,-0.57369506
624,1.5218232
625,-0.8504638
626,1.108351
627,-1.5186044
628,-0.6932181
629,0.4488611
630,-0.349087
631,-0.1870042
632,0.77174926
633,0.10837124
634,-0.77741545
635,-0.15886514
636,-0.6578041
637,-0.11715137
638,0.803223
639,-0.470724
640,1.0348033
641,1.3684857
642,0.29092327
643,1.9887625
644,1.0940557
645,0.8188923
646,-0.47407833
647,1.2899679
648,-0.94595957
649,-1.60246
650,-0.12532017
651,1.2959062
652,-0.99949586
653,5.0430317
654,3.3270867
655,1.4459661
656,1.3084127
657,0.5758696
658,-0.63243973
659,-0.4568734
660,-1.8501285
661,0.045921106
662,3.918668
663,1.4529753
664,2.699932
665,-0.34184626
666,-1.0581981
667,-0.23178722
668,-1.0989183
669,-0.92129606
670,3.175546
671,1.7237674
672,-1.2763921
673,1.1157242
674,-1.5222712
675,1.0948488
676,-0.30489144
677,0.6933225
678,-0.45871013
679,0.8065116
680,2.9176075
681,1.1745032
682,-0.0794314
683,-2.1850104
684,1.3094848
685,0.9894056
686,-1.4715617
687,1.6694514
688,-1.4442866
689,0.3679956
690,-1.9067094
691,-0.41348955
692,-1.2598944
693,0.37108046
694,-0.28990364
695,-2.5236006
696,0.2590708
697,-0.92313385
698,1.3116239
699,0.1299226
700,-1.1026747
701,-1.0681878
702,0.6221137
703,1.888468
704,0.9061529
705,0.41391563
706,0.90369636
707,-1.0806321
708,-0.84711933
709,-0.22719237
710,1.2202095
711,0.6038612
712,0.8930943
713,1.6056827
714,-2.1570122
715,-2.1895452
716,0.2492523
717,0.7412313
718,-3.011501
719,-0.715829
720,-0.875063
721,-3.0686388
722,0.66175425
723,-0.8934826
724,-0.30661824
725,-0.39738825
726,-0.92071956
727,-1.6948007
728,-0.18598217
729,0.51778543
730,1.4093627
731,-1.7157048
732,3.8947673
733,0.696169
734,0.28876948
735,0.94916886
736,1.9353836
737,0.6710625
738,-1.11794
739,-0.0007819664
740,-0.9018156
741,-2.736409
742,-0.42302495
743,2.456779
744,-0.37479025
745,-0.31399354
746,-0.46561792
747,2.121412
748,-1.6465766
749,-0.4678569
750,-0.30802634
751,-1.7146884
752,0.87712234
753,-0.84158933
754,-0.16752858
755,0.31969684
756,-1.2047513
757,-1.1847589
758,-0.17947187
759,0.80829746
760,-2.293901
761,-1.1827469
762,0.48895013
763,-1.0810819
764,0.64705527
765,2.4803088
766,0.74879706
767,2.1898432
768,-1.1480364
769,0.46763432
770,1.0078272
771,-0.39627236
772,2.389729
773,1.1249427
774,2.2015922
775,0.18552828
776,0.44879597
777,0.30121982
778,-1.7965189
779,-2.0387614
780,0.38812655
781,3.2613392
782,0.12837164
783,3.7073631
784,-0.6014905
785,-0.36562732
786,1.7540777
787,-1.4611859
788,0.74235785
789,-0.3801236
790,0.45661816
791,-0.6376055
792,1.070141
793,-0.9218968
794,4.044966
795,0.5004838
796,1.0534184
797,-1.7619171
798,1.521989
799,-1.3511372
800,0.55156183
801,1.099401
802,2.02134
803,0.42364544
804,0.47953698
805,0.3111526
806,-2.5197442
807,-2.399816
808,1.164779
809,-0.63689065
810,1.6144805
811,0.7874361
812,1.7249333
813,0.04433912
814,0.27122742
815,0.12921377
816,-1.633556
817,-0.52964926
818,-0.40033677
819,1.1574509
820,2.3127341
821,-0.5283968
822,0.9263487
823,3.5936828
824,-1.3414149
825,-2.852313
826,2.5691645
827,0.100429244
828,0.2580489
829,-2.0108213
830,0.113026895
831,-0.9112223
832,1.4410659
833,1.1362588
834,-0.1995977
835,-0.4857979
836,3.1819632
837,-1.7847689
838,-0.42827302
839,-1.0598267
840,0.12575696
841,-2.1484482
842,2.7789245
843,-1.4004079
844,-0.47354215
845,-0.6955695
846,-0.6362628
847,1.906417
848,-1.3414167
849,-1.78794
850,0.6387325
851,0.18350743
852,-2.1403182
853,0.6016917
854,-1.3063773
855,-0.68192786
856,2.6764262
857,-2.0230587
858,-0.6309572
859,0.09237218
860,1.1423154
861,-3.7214487
862,-1.819533
863,0.48712683
864,1.2867978
865,-0.9508133
866,-1.4522027
867,1.2780102
868,0.8764222
869,-1.8896275
870,1.2538935
871,-0.32930678
872,2.7459974
873,1.2765759
874,-1.0231298
875,2.4615452
876,0.18355489
877,-0.50794774
878,-0.83931136
879,0.5715702
880,-0.2200994
881,-0.8044723
882,0.3998314
883,-0.60803205
884,-1.0986086
885,-0.33742937
886,-1.1625822
887,0.5186977
888,3.1888273
889,-0.07442237
890,0.3354318
891,-0.21856982
892,2.3270135
893,-1.4217594
894,-0.1227554
895,1.4262525
896,-0.2599994
897,-4.888965
898,0.38716692
899,-0.10227823
900,-1.8313018
901,-0.997856
902,3.2754576
903,0.66706485
904,-1.0689634
905,-1.1503453
906,-0.6263078
907,-1.1206058
908,1.3239428
909,0.5642156
910,2.5368054
911,0.76393527
912,0.8256211
