,0
0,0.0133008985
1,-0.00763261
2,-0.006226745
3,0.019730533
4,0.01247964
5,-0.012469796
6,0.034225363
7,0.00423012
8,0.026589025
9,-0.014049172
10,0.018434647
11,0.021858018
12,-0.0043142005
13,-0.019393599
14,-0.00782034
15,-0.008082711
16,-0.012452971
17,0.012374946
18,0.020256737
19,-0.026822528
20,0.018802583
21,-0.00030965882
22,0.0049374546
23,-0.0143170515
24,0.006611748
25,0.020129103
26,0.0032678195
27,0.018132053
28,-0.008095918
29,-0.00060610916
30,-0.00355117
31,-0.003048379
32,-0.002185491
33,-0.00844355
34,-0.0063265706
35,-0.012248801
36,0.0057313778
37,-0.011538037
38,0.012658828
39,0.015780777
40,0.00828111
41,0.0115137445
42,-0.0043497346
43,-0.022695376
44,0.031038715
45,-0.00028193448
46,-0.011656253
47,0.010672228
48,-0.022342052
49,-0.0042481436
50,-0.012730989
51,-0.015816078
52,-0.016659943
53,0.0022975109
54,0.019769693
55,-0.017427634
56,-0.0060224505
57,-0.0024197437
58,-0.014039409
59,-0.009375219
60,-0.020904135
61,0.011397562
62,-0.0061451225
63,0.0031058267
64,-0.010060693
65,0.019981014
66,-0.003387552
67,-0.02159712
68,0.0033945083
69,0.0063149794
70,0.0075155203
71,0.015068498
72,0.0029376866
73,0.0010535212
74,0.0124006355
75,0.007600526
76,0.009019037
77,0.009082683
78,-0.03158479
79,-0.017365878
80,0.008765062
81,0.01882361
82,0.012558066
83,0.0075773722
84,-0.005829869
85,-0.010821052
86,-0.034352053
87,0.002468671
88,0.0036337657
89,-0.00618963
90,-7.487569e-05
91,0.015811453
92,0.02721641
93,0.00720041
94,0.0073091667
95,0.016429834
96,-0.0010578043
97,0.014008006
98,0.012380247
99,-0.0010666178
100,0.006865106
101,-0.010149159
102,-0.003107055
103,0.001969194
104,-0.019486245
105,-0.012266813
106,0.005421029
107,0.0061262967
108,-0.004568655
109,-0.019942645
110,0.004030473
111,-0.008721163
112,-0.008329292
113,0.010045269
114,-0.005071133
115,0.032021925
116,-0.023172388
117,0.009664489
118,0.021656154
119,-0.012980973
120,0.008283444
121,-0.013442206
122,-0.0009945458
123,0.0027085699
124,-0.004586273
125,0.0052111754
126,-0.002467764
127,-0.0029795133
128,0.017938472
129,0.011436913
130,-0.003336363
131,-1.2347882e-05
132,-0.008099528
133,-0.012797911
134,-0.004321781
135,-0.0009266147
136,0.014306453
137,0.019323396
138,-0.03604819
139,0.014581816
140,0.0028173076
141,-0.022005104
142,-0.009696425
143,-0.0031196673
144,0.002543199
145,0.011425511
146,0.013475121
147,-0.021321349
148,-0.015470378
149,-0.00039695617
150,-0.031562407
151,-0.00032066175
152,0.003841851
153,-0.014446793
154,-0.003936291
155,-0.021658104
156,-0.014194608
157,0.031658005
158,0.002871064
159,0.017876467
160,-0.01696325
161,0.012322921
162,-0.0005026818
163,0.0031908278
164,-0.012797032
165,-0.017294373
166,-0.010059379
167,-0.0074635437
168,0.007130012
169,-0.0054323194
170,-0.0043105925
171,-0.01166754
172,0.0011866138
173,-0.018436482
174,0.003910638
175,0.010250107
176,-0.0076481584
177,0.03969259
178,0.001404227
179,-0.014263892
180,0.014053858
181,-0.005498297
182,-0.005753044
183,0.0029961832
184,-0.017769001
185,0.009358768
186,0.022363726
187,0.0088993525
188,-0.0016325384
189,-0.02664458
190,0.00626342
191,-0.012592678
192,0.0027421648
193,-0.020037817
194,-0.00021027547
195,0.007977864
196,0.014332728
197,-0.011924292
198,0.0039660293
199,-0.008012796
200,-0.010482952
201,-0.0066309306
202,-0.008954947
203,-0.00445481
204,0.0022626373
205,0.00084262586
206,-0.002409983
207,-0.025516951
208,0.0077911527
209,0.006496319
210,-0.0053502233
211,0.016713448
212,0.025849197
213,0.008358821
214,0.004411368
215,-0.0044564866
216,0.0010746273
217,0.011694563
218,0.011822588
219,0.0020411448
220,0.024706362
221,-0.0008418615
222,0.012143458
223,0.013220715
224,0.004637259
225,-0.004446852
226,0.024932638
227,0.0056392625
228,-0.0026491436
229,-0.022711145
230,0.008403207
231,-0.025687024
232,0.023031695
233,0.0068670884
234,-0.007122425
235,0.0055776285
236,-0.009878321
237,-0.012153192
238,-0.0025813887
239,-0.022652507
240,-0.015707016
241,-0.03287176
242,0.013380056
243,0.009581449
244,-0.015653586
245,-0.0031495935
246,-0.00406783
247,0.015807029
248,0.02429474
249,0.008084756
250,0.01641851
251,0.013062668
252,-0.014742107
253,-0.013114636
254,-0.009821975
255,-0.024831932
256,0.014220431
257,-0.014996354
258,0.0032898455
259,-0.0064023845
260,0.00968839
261,0.009474061
262,-0.0013910736
263,0.0060526934
264,0.0034648578
265,-0.0068870108
266,-0.007246224
267,-0.0069570574
268,-0.035101287
269,0.0003839031
270,0.014257613
271,-0.0038998867
272,0.00011024391
273,0.007744333
274,-0.0029003127
275,0.0069524017
276,0.008309527
277,0.0025150308
278,0.0028863344
279,0.0010282919
280,-0.0021173297
281,0.0047705173
282,0.0024611566
283,-0.01027052
284,-0.002846219
285,-0.00782833
286,-0.015851222
287,-0.0043441462
288,0.010229134
289,0.009078935
290,-0.005646127
291,-0.016402898
292,-0.03162315
293,0.0008484653
294,0.01890238
295,-0.015381266
296,-0.0013886155
297,-0.000744428
298,-0.012052015
299,0.0012418292
300,-0.016791632
301,0.0116863325
302,0.020421723
303,-0.0029300372
304,-0.013139131
305,-0.004886676
306,0.009592659
307,0.003235626
308,0.0016696965
309,0.002060998
310,-0.00011332094
311,0.020199876
312,0.0036283445
313,-0.00935335
314,-0.03074522
315,0.00067411386
316,-0.016295483
317,0.0024757658
318,-0.006081554
319,0.029032925
320,-0.0122564
321,-0.011018256
322,-0.004871321
323,-0.010719546
324,-0.0014247041
325,0.0017302082
326,-0.018245429
327,0.015700703
328,0.00056670635
329,-0.0005058777
