,0
0,3.1199155
1,0.4871637
2,3.585835
3,2.5624297
4,-0.50053674
5,-0.17225629
6,5.6154556
7,-4.4881053
8,2.4129794
9,-5.7588983
10,1.2706878
11,2.0034518
12,-0.9516778
13,-1.982564
14,-1.7661442
15,2.5441134
16,1.0488822
17,-4.101656
18,1.3221893
19,-1.3012825
20,-1.0415565
21,-2.273171
22,1.8062968
23,1.7514145
24,1.7450385
25,-2.5230083
26,-0.8816967
27,0.28326833
28,-0.61286384
29,4.704932
30,-2.0337083
31,3.9189613
32,-2.023563
33,-2.9514773
34,-0.6920265
35,-1.326524
36,-0.14616492
37,-0.19004512
38,-1.0864626
39,-1.7464199
40,-0.68313825
41,2.2139628
42,1.7121594
43,0.4369265
44,-1.5211987
45,-2.1720905
46,-1.7620157
47,-1.2924126
48,-0.8501265
49,-2.989771
50,0.5551368
51,4.8317084
52,2.789809
53,-2.2091846
54,0.29739574
55,0.41868418
56,0.053845964
57,-4.466011
58,0.2698825
59,1.020927
60,-2.1518874
61,2.471363
62,1.3121607
63,2.1953402
64,4.0833316
65,-3.0633202
66,-2.1779785
67,1.8659904
68,0.6922953
69,-1.1356493
70,6.2076154
71,-0.72198755
72,-0.9303988
73,0.08235027
74,2.2812622
75,-3.0121427
76,2.4843333
77,-4.6835527
78,0.8249192
79,-0.16437201
80,-0.4171791
81,-0.9153017
82,7.09977
83,-2.327988
84,-2.3337827
85,1.064647
86,2.116909
87,-3.347903
88,-1.6689231
89,3.6605923
90,8.44414
91,-1.7552882
92,-2.9140487
93,-1.9249085
94,1.3085539
95,3.998427
96,1.6680923
97,2.1936624
98,0.58689857
99,-2.4555736
100,2.828011
101,2.4498968
102,0.0022846758
103,4.0785303
104,4.026
105,-2.382704
106,0.75929713
107,-1.0080588
108,-2.5470595
109,-2.535005
110,2.0098789
111,1.3579644
112,2.597482
113,-4.74752
114,1.6252375
115,2.395864
116,-1.7948265
117,-0.80650544
118,-0.5011191
119,2.8760092
120,4.110049
121,2.716452
122,-1.7393275
123,4.9594297
124,0.8137884
125,-0.81672347
126,3.1944082
127,-0.7216328
128,3.5870335
129,-5.1204615
130,-0.1937377
131,0.70366114
132,-3.2087176
133,-0.79279363
134,-1.1349763
135,-4.694981
136,-2.1647613
137,-0.17926529
138,-3.0753915
139,4.1314616
140,0.6957121
141,-0.516997
142,-7.546713
143,-1.8395516
144,-1.4035008
145,1.7732259
146,-3.0216756
147,-0.2667352
148,3.9242208
149,-0.3725293
150,-1.2470058
151,-1.5151274
152,-2.4612474
153,-5.9092097
154,2.6275692
155,-0.003998045
156,-1.0099547
157,1.9466168
158,4.8827043
159,0.9535616
160,0.9133421
161,5.3317547
162,0.069581054
163,-3.3165755
164,-1.0794766
165,0.949932
166,0.7849513
167,0.631746
168,-1.4211818
169,-0.45955703
170,2.4600224
171,-4.5403543
172,-0.024022542
173,3.8221455
174,-0.16612518
175,0.06276108
176,1.6407744
177,-0.787125
178,-0.75707036
179,0.82224745
180,1.6224824
181,0.4470459
182,0.42953977
183,-1.5198113
184,2.028767
185,-4.5050864
186,-2.3104396
187,-0.57792026
188,-1.094412
189,-0.7654771
190,2.4064994
191,-3.6598594
192,-0.98068523
193,-1.60329
194,2.3657155
195,-0.18694173
196,5.809395
197,1.2033129
198,2.0117118
199,0.3516724
200,-1.8985339
