,0
0,-0.57301617
1,0.16137703
2,-0.010624666
3,-0.5700708
4,0.089582786
5,-0.3385292
6,-0.007880705
7,-0.14617097
8,0.17712514
9,-0.006766001
10,0.22044608
11,-0.07190952
12,-0.20476532
13,0.006167099
14,0.21545385
15,0.007652901
16,0.03795206
17,0.049079686
18,-0.051412754
19,-0.08725872
20,-0.31234422
21,0.22462775
22,0.15579112
23,0.23203829
24,0.059074458
25,-0.06859719
26,0.29016706
27,-0.24234387
28,0.15360522
29,-0.08947688
30,0.33509004
31,-0.000816687
32,0.027364105
33,0.4502832
34,-0.10126525
35,0.15565875
36,0.058647566
37,-0.035056453
38,0.3287458
39,-0.007906341
40,-0.6136419
41,-0.056485757
42,-0.35052618
43,0.34806776
44,0.0068038665
45,-0.09390675
46,0.10257322
47,0.33541426
48,-0.03665612
49,0.12188732
50,-0.015043971
51,0.108863264
52,0.26005933
53,0.30889767
54,-0.23390342
55,-0.08834236
56,-0.09515376
57,0.041302912
58,-0.007446831
59,0.3527003
60,0.24634661
61,0.18527761
62,0.027700644
63,0.27101097
64,-0.1397667
65,-0.34552237
66,-0.016014252
67,-0.2510298
68,-0.41040137
69,0.18050915
70,-0.23399234
71,0.04118284
72,-0.11561261
73,0.1053031
74,-0.0038726507
75,-0.12872422
76,-0.42568502
77,0.009192918
78,0.35453847
79,0.67233735
80,-0.40080836
81,0.1759958
82,-0.30091006
83,0.1393471
84,-0.4288361
85,-0.30513677
86,0.24170719
87,-0.07108973
88,-0.045888685
89,-0.2782638
90,0.32709467
91,-0.3452439
92,-0.17916189
93,-0.11213722
94,0.20346804
95,0.016732862
96,-0.14493768
97,0.051288854
98,0.18163568
99,0.06328542
100,0.15541504
101,-0.13182914
102,0.18901089
103,0.03526548
104,-0.04461432
105,-0.019044803
106,-0.037664287
107,0.14833748
108,0.07199636
109,0.013900033
110,0.12350493
111,-0.27027163
112,0.38489154
113,0.22433572
114,-0.16003433
115,-0.16944157
116,0.17227808
117,-0.21407233
118,-0.13638796
119,0.09047494
120,-0.22222742
121,-0.06502539
122,0.12347231
123,-0.028365709
124,0.23140606
125,0.100746274
126,0.11623658
127,-0.31518897
128,-0.2827892
129,0.096008234
130,-0.40315634
131,0.06895896
132,-0.0218868
133,-0.211718
134,0.16400969
135,0.17916556
136,0.10414297
137,0.0892028
138,0.103743315
139,-0.015515287
140,0.18320994
141,-0.28851396
142,-0.06294277
143,-0.02347304
144,-0.022649108
145,-0.07565308
146,-0.20715915
147,-0.41507718
148,0.35827273
149,0.1745467
150,-0.1661105
151,0.23724884
152,0.12936525
153,0.07079206
154,-0.40096992
155,0.18272807
156,0.27911243
157,0.01354087
158,-0.2405703
159,0.0055503706
160,-0.2455133
161,-0.26087368
162,-0.31140947
163,0.12572025
164,-0.025895314
165,-0.06252476
166,0.14476247
167,0.05569451
168,-0.07133302
169,-0.113472395
170,-0.03455033
171,0.20140374
172,0.32419646
173,-0.4721569
174,0.09084839
175,-0.25372112
176,-0.13862792
177,-0.106852934
178,0.41805395
179,-0.13602519
180,0.21941297
181,-0.26071548
182,-0.2005193
183,-0.22700581
184,-0.43694326
185,-0.13468538
186,-0.18194063
187,0.058180746
188,0.02581102
189,-0.19330575
190,-0.16510382
191,-0.33877668
192,0.039862126
193,-0.07733989
194,-0.4147515
195,-0.10203333
196,0.35481015
197,-0.027806982
198,0.21562028
199,-0.5516558
200,-0.300318
201,0.07900103
202,-0.1946716
203,-0.27011567
204,-0.053727105
205,-0.18960798
206,0.35481334
207,-0.26754913
208,0.39912406
209,0.052950453
210,0.01958396
211,0.23663935
212,0.10172537
213,-0.006959345
214,0.24982986
215,-0.005229649
216,0.098244086
217,-0.010146059
218,-0.11310812
219,0.27595335
220,0.19012526
221,-0.059837542
222,-0.16816954
223,0.40147763
224,0.099805035
225,0.4621712
226,0.35761753
227,0.10204669
228,-0.08706872
229,0.061879933
230,0.23133682
231,0.35154894
232,-0.068106554
233,-0.45126215
234,-0.2661099
235,0.06906621
236,-0.035966102
237,0.33021334
238,0.29005224
239,0.43571687
240,0.21539399
241,0.07749095
242,0.21955979
243,0.1458256
244,0.055892646
245,-0.09439773
246,0.41092724
247,-0.01662061
248,-0.2875975
249,-0.12012695
250,0.11729461
251,0.17931892
252,0.05470013
253,0.10918431
254,0.2072048
255,-0.36726055
256,-0.6139391
257,0.024836726
258,0.31054294
259,0.55855167
260,-0.24485622
261,0.110192165
262,-0.11498776
263,-0.17476548
264,0.30497992
265,-0.13332012
266,0.057427395
267,0.110889
268,0.2743708
269,0.0104687605
270,0.3098805
271,0.25828254
272,-0.0660792
273,0.15427862
274,0.17304397
275,0.07016017
276,0.12746088
277,0.2518354
278,-0.06853749
279,-0.29819828
280,-0.4115235
281,0.37540764
282,0.15245776
283,0.27605253
284,-0.039475217
285,-0.13108222
286,0.23246837
287,0.057063688
288,0.087911636
289,0.07862379
290,-0.028535543
291,0.31709805
292,-0.42038012
293,-0.013842159
294,0.18072794
295,0.22125593
296,-0.029797228
297,0.18868443
298,0.3186341
299,0.57936496
300,0.15536238
301,0.1108122
302,0.23101388
303,-0.30488482
304,0.12455937
305,-0.24735437
306,0.010098357
307,0.11332719
308,-0.055402264
309,-0.03722469
310,-0.014084075
311,0.045993343
312,-0.4264943
313,0.116135396
314,0.042422473
315,-0.11022949
316,-0.0688447
317,-0.3514019
318,-0.011943746
319,0.20426619
320,-0.36898726
321,-0.290242
322,-0.33619076
323,0.11869241
324,-0.40013146
325,0.16746685
326,0.2701157
327,0.07496875
328,0.1587503
329,0.25548753
330,-0.17183119
331,0.045086067
332,0.4205283
333,-0.23804893
334,-0.4441424
335,0.14362207
336,-0.28085876
337,-0.25171247
338,0.089494616
339,-0.09795599
340,0.20678087
341,-0.319568
342,-0.29877436
343,0.31567794
344,0.043468174
345,-0.0217811
346,-0.1885662
347,0.020438448
348,0.06870397
349,-0.27072212
350,-0.11910365
351,0.17694406
352,-0.057992794
353,0.14876579
354,-0.011424642
355,0.19009331
356,-0.26715726
357,0.13975406
358,-0.2713022
359,-0.118914306
360,0.21333234
361,0.37887326
362,0.096629165
363,0.05981112
364,-0.13771705
365,-0.16350064
366,-0.07398644
367,-0.2931223
368,0.050637454
369,-0.25340262
370,0.14148094
371,0.016077187
372,0.16913539
373,-0.17757238
374,0.1401002
375,0.14122386
376,-0.019804288
377,0.12931462
378,0.022547081
379,0.120147176
380,0.13067988
381,0.30050385
382,-0.32866958
383,-0.10321919
384,0.22693354
385,0.44161838
386,-0.07126918
387,0.17365812
388,0.097559616
389,0.24046707
390,-0.2949888
391,0.15148655
392,0.24722408
393,0.2153495
394,-0.3610046
395,-0.30227536
396,0.08012194
397,0.27219284
398,0.3136289
399,0.42562798
400,0.13122381
401,-0.047535345
402,-0.25647062
403,0.080143504
404,0.13953866
405,0.052127678
406,0.05304205
407,-0.081182316
408,0.20616566
409,-0.44340986
410,-0.08697101
411,-0.22804108
412,0.02101074
