Valuta,Base,Quote,Toeuro,pip,Leverage,dec
EURUSD,EUR,USD,EURUSD,0.00001,30,5
GBPUSD,GBP,USD,EURUSD,0.00001,30,5
EURGBP,EUR,GBP,EURGBP,0.00001,30,5
EURJPY,EUR,JPY,EURJPY,0.001,30,3
EURCAD,EUR,CAD,EURCAD,0.00001,30,5
USDJPY,USD,JPY,EURJPY,0.001,30,3
AUDCAD,AUD,CAD,EURCAD,0.00001,20,5
AUDJPY,AUD,JPY,EURJPY,0.001,20,3
AUDUSD,AUD,USD,EURUSD,0.00001,20,5
CADJPY,CAD,JPY,EURJPY,0.001,20,3
EURNZD,EUR,NZD,EURNZD,0.00001,20,5
GBPAUD,GBP,AUD,EURAUD,0.00001,20,5
GBPCAD,GBP,CAD,EURCAD,0.00001,30,5
GBPJPY,GBP,JPY,EURJPY,0.001,30,3
NZDUSD,NZD,USD,EURUSD,0.00001,20,5
USDCAD,USD,CAD,EURCAD,0.00001,30,5
USDCHF,USD,CHF,EURCHF,0.00001,0,5
USDNOK,USD,NOK,EURNOK,0.0001,20,4
EURAUD,EUR,AUD,EURAUD,0.00001,20,5
EURCHF,EUR,CHF,EURCHF,0.00001,30,5
EURNOK,EUR,NOK,EURNOK,0.0001,20,4
