,time,bid,ask
0,2023-05-09 00:00:00,91.586,91.607
1,2023-05-09 00:00:01,91.583,91.604
6,2023-05-09 00:00:02,91.57900000000001,91.6
8,2023-05-09 00:00:03,91.5755,91.59649999999999
10,2023-05-09 00:00:04,91.574,91.595
13,2023-05-09 00:00:05,91.574,91.595
14,2023-05-09 00:00:06,91.575,91.596
15,2023-05-09 00:00:07,91.576,91.597
16,2023-05-09 00:00:08,91.576,91.59700000000001
18,2023-05-09 00:00:09,91.5825,91.6035
20,2023-05-09 00:00:10,91.584,91.605
21,2023-05-09 00:00:11,91.586,91.607
24,2023-05-09 00:00:12,91.584,91.605
27,2023-05-09 00:00:13,91.5885,91.6095
29,2023-05-09 00:00:14,91.59,91.611
30,2023-05-09 00:00:15,91.5885,91.6095
32,2023-05-09 00:00:16,91.592,91.613
35,2023-05-09 00:00:17,91.594,91.615
38,2023-05-09 00:00:19,91.593,91.614
39,2023-05-09 00:00:20,91.594,91.615
40,2023-05-09 00:00:22,91.595,91.616
41,2023-05-09 00:00:23,91.593,91.614
42,2023-05-09 00:00:25,91.5935,91.61449999999999
44,2023-05-09 00:00:26,91.592,91.613
46,2023-05-09 00:00:28,91.594,91.615
47,2023-05-09 00:00:30,91.59700000000001,91.618
49,2023-05-09 00:00:31,91.599,91.62
52,2023-05-09 00:00:32,91.6095,91.6305
54,2023-05-09 00:00:33,91.60749999999999,91.6285
56,2023-05-09 00:00:36,91.6,91.621
59,2023-05-09 00:00:39,91.598,91.619
60,2023-05-09 00:00:40,91.60050000000001,91.6215
62,2023-05-09 00:00:41,91.604,91.625
65,2023-05-09 00:00:42,91.59899999999999,91.62
69,2023-05-09 00:00:43,91.59,91.611
70,2023-05-09 00:00:44,91.587,91.608
71,2023-05-09 00:00:45,91.588,91.609
74,2023-05-09 00:00:46,91.587,91.608
77,2023-05-09 00:00:47,91.588,91.609
79,2023-05-09 00:00:48,91.592,91.613
82,2023-05-09 00:00:49,91.59,91.611
83,2023-05-09 00:00:51,91.593,91.614
86,2023-05-09 00:00:52,91.597,91.618
89,2023-05-09 00:00:53,91.596,91.617
92,2023-05-09 00:00:54,91.5935,91.61449999999999
94,2023-05-09 00:00:55,91.597,91.618
97,2023-05-09 00:00:57,91.604,91.625
100,2023-05-09 00:00:59,91.606,91.627
101,2023-05-09 00:01:00,91.612,91.633
105,2023-05-09 00:01:01,91.6105,91.6315
107,2023-05-09 00:01:02,91.608,91.629
110,2023-05-09 00:01:03,91.608,91.629
113,2023-05-09 00:01:04,91.611,91.632
114,2023-05-09 00:01:05,91.6125,91.6335
116,2023-05-09 00:01:06,91.61449999999999,91.63550000000001
118,2023-05-09 00:01:09,91.613,91.634
119,2023-05-09 00:01:10,91.616,91.637
122,2023-05-09 00:01:11,91.613,91.634
123,2023-05-09 00:01:12,91.614,91.635
124,2023-05-09 00:01:13,91.616,91.637
125,2023-05-09 00:01:14,91.615,91.636
128,2023-05-09 00:01:16,91.616,91.637
129,2023-05-09 00:01:17,91.6115,91.6325
131,2023-05-09 00:01:18,91.611,91.632
132,2023-05-09 00:01:19,91.61,91.631
133,2023-05-09 00:01:20,91.621,91.642
136,2023-05-09 00:01:21,91.623,91.644
137,2023-05-09 00:01:22,91.6195,91.6405
141,2023-05-09 00:01:23,91.622,91.643
142,2023-05-09 00:01:24,91.6225,91.6435
146,2023-05-09 00:01:25,91.622,91.643
147,2023-05-09 00:01:26,91.62,91.641
148,2023-05-09 00:01:27,91.621,91.642
149,2023-05-09 00:01:28,91.62,91.641
150,2023-05-09 00:01:29,91.619,91.64
151,2023-05-09 00:01:30,91.616,91.637
153,2023-05-09 00:01:31,91.6215,91.64250000000001
155,2023-05-09 00:01:32,91.6235,91.6445
159,2023-05-09 00:01:33,91.624,91.645
160,2023-05-09 00:01:34,91.6255,91.6465
162,2023-05-09 00:01:35,91.625,91.646
163,2023-05-09 00:01:36,91.624,91.645
164,2023-05-09 00:01:41,91.6155,91.6365
166,2023-05-09 00:01:42,91.617,91.638
167,2023-05-09 00:01:43,91.615,91.636
170,2023-05-09 00:01:45,91.613,91.634
173,2023-05-09 00:01:47,91.6125,91.6335
175,2023-05-09 00:01:48,91.6075,91.6285
177,2023-05-09 00:01:49,91.604,91.625
179,2023-05-09 00:01:50,91.601,91.622
183,2023-05-09 00:01:51,91.5925,91.6135
185,2023-05-09 00:01:52,91.596,91.617
188,2023-05-09 00:01:53,91.5915,91.6125
192,2023-05-09 00:01:54,91.59100000000001,91.612
194,2023-05-09 00:01:55,91.591,91.612
195,2023-05-09 00:01:56,91.592,91.613
196,2023-05-09 00:01:58,91.592,91.613
198,2023-05-09 00:01:59,91.59100000000001,91.612
200,2023-05-09 00:02:00,91.5895,91.6105
202,2023-05-09 00:02:01,91.592,91.613
205,2023-05-09 00:02:02,91.596,91.617
