,time,bid,ask
0,2023-05-09 00:00:00,0.678,0.67811
1,2023-05-09 00:00:01,0.67799,0.6781
2,2023-05-09 00:00:02,0.6779649999999999,0.678075
4,2023-05-09 00:00:04,0.677945,0.6780550000000001
6,2023-05-09 00:00:05,0.6779550000000001,0.6780649999999999
8,2023-05-09 00:00:06,0.67795,0.67806
11,2023-05-09 00:00:07,0.67796,0.67807
12,2023-05-09 00:00:08,0.6779550000000001,0.6780649999999999
14,2023-05-09 00:00:09,0.67798,0.67809
17,2023-05-09 00:00:10,0.67798,0.67809
18,2023-05-09 00:00:11,0.67799,0.6781
19,2023-05-09 00:00:12,0.67795,0.67806
23,2023-05-09 00:00:14,0.67795,0.67806
24,2023-05-09 00:00:15,0.67794,0.67805
25,2023-05-09 00:00:16,0.6779649999999999,0.678075
29,2023-05-09 00:00:17,0.67799,0.6781
30,2023-05-09 00:00:19,0.677995,0.678105
32,2023-05-09 00:00:21,0.678,0.67811
33,2023-05-09 00:00:26,0.677995,0.678105
35,2023-05-09 00:00:30,0.678025,0.6781349999999999
37,2023-05-09 00:00:31,0.678005,0.678115
39,2023-05-09 00:00:33,0.67799,0.6781
40,2023-05-09 00:00:36,0.6779900000000001,0.6780999999999999
42,2023-05-09 00:00:39,0.67799,0.6781
43,2023-05-09 00:00:40,0.6780200000000001,0.6781299999999999
45,2023-05-09 00:00:41,0.67804,0.67815
47,2023-05-09 00:00:42,0.678,0.67811
50,2023-05-09 00:00:43,0.677945,0.6780550000000001
52,2023-05-09 00:00:44,0.677905,0.678015
54,2023-05-09 00:00:45,0.67791,0.67802
55,2023-05-09 00:00:46,0.6778949999999999,0.678005
57,2023-05-09 00:00:47,0.67789,0.678
58,2023-05-09 00:00:48,0.6778949999999999,0.678005
60,2023-05-09 00:00:52,0.677875,0.6779850000000001
62,2023-05-09 00:00:53,0.67787,0.67798
63,2023-05-09 00:00:54,0.67788,0.67799
64,2023-05-09 00:00:55,0.6779,0.67801
66,2023-05-09 00:00:56,0.6779,0.67801
67,2023-05-09 00:00:57,0.677935,0.678045
69,2023-05-09 00:01:00,0.67794,0.67805
70,2023-05-09 00:01:01,0.677915,0.678025
72,2023-05-09 00:01:02,0.67789,0.678
73,2023-05-09 00:01:03,0.67788,0.67799
74,2023-05-09 00:01:05,0.6779,0.67801
75,2023-05-09 00:01:06,0.6778850000000001,0.677995
77,2023-05-09 00:01:07,0.67789,0.678
78,2023-05-09 00:01:10,0.67794,0.67805
81,2023-05-09 00:01:11,0.67793,0.67804
82,2023-05-09 00:01:14,0.67795,0.67806
83,2023-05-09 00:01:20,0.67794,0.67805
84,2023-05-09 00:01:22,0.677905,0.678015
86,2023-05-09 00:01:24,0.67794,0.67805
87,2023-05-09 00:01:29,0.67791,0.67802
88,2023-05-09 00:01:30,0.6779299999999999,0.67804
90,2023-05-09 00:01:32,0.677915,0.678025
92,2023-05-09 00:01:34,0.67793,0.67804
93,2023-05-09 00:01:35,0.67792,0.67803
94,2023-05-09 00:01:36,0.677905,0.678015
96,2023-05-09 00:01:37,0.677905,0.678015
98,2023-05-09 00:01:39,0.6778949999999999,0.678005
100,2023-05-09 00:01:40,0.677905,0.678015
102,2023-05-09 00:01:43,0.67791,0.67802
103,2023-05-09 00:01:45,0.67787,0.67798
106,2023-05-09 00:01:47,0.67785,0.67796
107,2023-05-09 00:01:48,0.677805,0.677915
109,2023-05-09 00:01:49,0.67779,0.6779
110,2023-05-09 00:01:50,0.67781,0.67792
111,2023-05-09 00:01:51,0.67779,0.6779
112,2023-05-09 00:01:52,0.67778,0.67789
113,2023-05-09 00:01:53,0.677745,0.677855
117,2023-05-09 00:01:55,0.67774,0.67785
118,2023-05-09 00:01:58,0.677725,0.677835
120,2023-05-09 00:02:00,0.6777,0.67781
123,2023-05-09 00:02:02,0.67773,0.67784
124,2023-05-09 00:02:03,0.6777,0.67781
125,2023-05-09 00:02:06,0.67771,0.67782
126,2023-05-09 00:02:07,0.6777,0.67781
127,2023-05-09 00:02:09,0.6777150000000001,0.677825
129,2023-05-09 00:02:11,0.6777299999999999,0.67784
131,2023-05-09 00:02:14,0.67775,0.67786
132,2023-05-09 00:02:15,0.67771,0.67782
133,2023-05-09 00:02:16,0.6777,0.67781
134,2023-05-09 00:02:18,0.67772,0.67783
135,2023-05-09 00:02:25,0.67773,0.67784
136,2023-05-09 00:02:29,0.67773,0.67784
139,2023-05-09 00:02:31,0.67775,0.67786
140,2023-05-09 00:02:34,0.67776,0.67787
141,2023-05-09 00:02:35,0.67775,0.67786
142,2023-05-09 00:02:37,0.67774,0.67785
143,2023-05-09 00:02:39,0.6776949999999999,0.677805
145,2023-05-09 00:02:44,0.67765,0.67776
146,2023-05-09 00:02:51,0.67766,0.67777
147,2023-05-09 00:02:53,0.677635,0.677745
149,2023-05-09 00:02:54,0.67758,0.67769
152,2023-05-09 00:02:55,0.67759,0.6777
153,2023-05-09 00:02:57,0.6776,0.67771
154,2023-05-09 00:02:58,0.67761,0.67772
155,2023-05-09 00:02:59,0.677605,0.6777150000000001
157,2023-05-09 00:03:00,0.67761,0.67772
158,2023-05-09 00:03:01,0.6776,0.67771
159,2023-05-09 00:03:03,0.67761,0.67772
160,2023-05-09 00:03:05,0.677605,0.6777150000000001
162,2023-05-09 00:03:09,0.67765,0.67776
163,2023-05-09 00:03:13,0.67764,0.67775
164,2023-05-09 00:03:18,0.67765,0.67776
165,2023-05-09 00:03:20,0.67764,0.67775
166,2023-05-09 00:03:21,0.67761,0.67772
167,2023-05-09 00:03:22,0.677595,0.677705
169,2023-05-09 00:03:27,0.67761,0.67772
170,2023-05-09 00:03:28,0.67759,0.6777
171,2023-05-09 00:03:29,0.67761,0.67772
172,2023-05-09 00:03:30,0.67759,0.6777
173,2023-05-09 00:03:35,0.67762,0.67773
176,2023-05-09 00:03:36,0.6776,0.67771
179,2023-05-09 00:03:37,0.67761,0.67772
180,2023-05-09 00:03:38,0.677605,0.6777150000000001
182,2023-05-09 00:03:40,0.6776,0.67771
183,2023-05-09 00:03:42,0.67759,0.6777
184,2023-05-09 00:03:43,0.6776,0.67771
185,2023-05-09 00:03:44,0.67763,0.67774
188,2023-05-09 00:03:46,0.67763,0.67774
189,2023-05-09 00:03:48,0.67764,0.67775
190,2023-05-09 00:03:49,0.67762,0.67773
191,2023-05-09 00:03:50,0.67761,0.67772
192,2023-05-09 00:03:52,0.6776,0.67771
193,2023-05-09 00:03:53,0.67759,0.6777
194,2023-05-09 00:03:56,0.677595,0.677705
196,2023-05-09 00:03:57,0.67758,0.67769
197,2023-05-09 00:03:58,0.67756,0.67767
198,2023-05-09 00:03:59,0.67754,0.67765
201,2023-05-09 00:04:00,0.6775450000000001,0.677655
203,2023-05-09 00:04:01,0.67754,0.67765
204,2023-05-09 00:04:04,0.6775450000000001,0.677655
206,2023-05-09 00:04:06,0.67755,0.67766
207,2023-05-09 00:04:12,0.67754,0.67765
208,2023-05-09 00:04:15,0.6775,0.67761
209,2023-05-09 00:04:21,0.67754,0.67765
210,2023-05-09 00:04:23,0.67752,0.67763
211,2023-05-09 00:04:24,0.67751,0.67762
212,2023-05-09 00:04:25,0.6775,0.67761
213,2023-05-09 00:04:27,0.677515,0.6776249999999999
217,2023-05-09 00:04:28,0.6775,0.67761
218,2023-05-09 00:04:30,0.677515,0.6776249999999999
220,2023-05-09 00:04:31,0.67754,0.67765
221,2023-05-09 00:04:49,0.67755,0.67766
222,2023-05-09 00:04:51,0.67754,0.67765
223,2023-05-09 00:04:53,0.6776,0.67771
225,2023-05-09 00:04:54,0.67763,0.67774
