,time,bid,ask
0,2023-05-09 00:00:00,1.4702899999999999,1.47062
1,2023-05-09 00:00:01,1.4703400000000002,1.4706700000000001
5,2023-05-09 00:00:02,1.4703400000000002,1.4706700000000001
7,2023-05-09 00:00:03,1.47035,1.47068
8,2023-05-09 00:00:04,1.47034,1.47067
9,2023-05-09 00:00:05,1.47035,1.47068
10,2023-05-09 00:00:06,1.47037,1.4707
11,2023-05-09 00:00:07,1.47036,1.47069
12,2023-05-09 00:00:08,1.470365,1.470695
14,2023-05-09 00:00:09,1.4703300000000001,1.47066
17,2023-05-09 00:00:10,1.470315,1.470645
19,2023-05-09 00:00:11,1.47032,1.47065
21,2023-05-09 00:00:12,1.470255,1.470585
23,2023-05-09 00:00:13,1.47025,1.47058
24,2023-05-09 00:00:15,1.470245,1.470575
26,2023-05-09 00:00:16,1.470285,1.470615
28,2023-05-09 00:00:18,1.4703,1.4706299999999999
29,2023-05-09 00:00:20,1.47031,1.47064
30,2023-05-09 00:00:21,1.4703,1.4706299999999999
31,2023-05-09 00:00:25,1.4703300000000001,1.47066
32,2023-05-09 00:00:26,1.4703499999999998,1.47068
34,2023-05-09 00:00:27,1.470355,1.470685
36,2023-05-09 00:00:28,1.47035,1.47068
37,2023-05-09 00:00:30,1.470275,1.470605
39,2023-05-09 00:00:31,1.47031,1.47064
42,2023-05-09 00:00:32,1.47035,1.47068
45,2023-05-09 00:00:36,1.47036,1.47069
46,2023-05-09 00:00:38,1.470365,1.470695
48,2023-05-09 00:00:40,1.470315,1.470645
50,2023-05-09 00:00:41,1.470285,1.470615
52,2023-05-09 00:00:42,1.470245,1.470575
54,2023-05-09 00:00:43,1.470255,1.470585
56,2023-05-09 00:00:44,1.4702,1.4705300000000001
57,2023-05-09 00:00:47,1.47022,1.47055
58,2023-05-09 00:00:51,1.47023,1.4705599999999999
59,2023-05-09 00:00:54,1.470195,1.470525
61,2023-05-09 00:00:55,1.4702,1.4705300000000001
62,2023-05-09 00:00:56,1.47019,1.47052
63,2023-05-09 00:00:57,1.47016,1.47049
64,2023-05-09 00:01:00,1.4701499999999998,1.47048
66,2023-05-09 00:01:04,1.470125,1.470455
68,2023-05-09 00:01:05,1.47014,1.4704700000000002
70,2023-05-09 00:01:06,1.47014,1.47047
71,2023-05-09 00:01:10,1.47014,1.4704700000000002
73,2023-05-09 00:01:11,1.4701,1.47043
