,time,bid,ask
0,2023-05-09 00:00:00,0.8717900000000001,0.8719399999999999
2,2023-05-09 00:00:01,0.8718049999999999,0.871955
4,2023-05-09 00:00:06,0.8718,0.87195
5,2023-05-09 00:00:07,0.87179,0.87194
6,2023-05-09 00:00:08,0.87181,0.87196
7,2023-05-09 00:00:09,0.8718,0.87195
8,2023-05-09 00:00:11,0.87179,0.87194
11,2023-05-09 00:00:15,0.8718,0.87195
12,2023-05-09 00:00:16,0.871795,0.871945
14,2023-05-09 00:00:17,0.87179,0.87194
15,2023-05-09 00:00:25,0.8718,0.87195
16,2023-05-09 00:00:26,0.8718049999999999,0.871955
18,2023-05-09 00:00:31,0.8718049999999999,0.871955
20,2023-05-09 00:00:32,0.87181,0.87196
21,2023-05-09 00:00:34,0.8718,0.87195
22,2023-05-09 00:00:37,0.87181,0.87196
23,2023-05-09 00:00:38,0.8718,0.87195
24,2023-05-09 00:00:42,0.871785,0.871935
26,2023-05-09 00:00:43,0.871765,0.871915
28,2023-05-09 00:00:44,0.87178,0.87193
29,2023-05-09 00:01:00,0.87178,0.87193
30,2023-05-09 00:01:03,0.87177,0.87192
31,2023-05-09 00:01:06,0.87179,0.87194
32,2023-05-09 00:01:08,0.871785,0.871935
34,2023-05-09 00:01:47,0.87178,0.87193
35,2023-05-09 00:01:48,0.87177,0.87192
38,2023-05-09 00:01:49,0.87179,0.87194
39,2023-05-09 00:01:50,0.87178,0.87193
40,2023-05-09 00:01:51,0.87179,0.87194
41,2023-05-09 00:01:53,0.871785,0.871935
43,2023-05-09 00:01:54,0.871785,0.871935
45,2023-05-09 00:01:59,0.87177,0.87192
46,2023-05-09 00:02:00,0.87177,0.87192
47,2023-05-09 00:02:11,0.871765,0.871915
49,2023-05-09 00:02:15,0.871775,0.8719250000000001
51,2023-05-09 00:02:33,0.87176,0.87191
52,2023-05-09 00:02:37,0.87177,0.87192
53,2023-05-09 00:02:39,0.87176,0.87191
54,2023-05-09 00:02:40,0.87177,0.87192
55,2023-05-09 00:02:41,0.87176,0.87191
56,2023-05-09 00:02:43,0.87177,0.87192
57,2023-05-09 00:02:45,0.87176,0.87191
58,2023-05-09 00:02:46,0.8717550000000001,0.8719049999999999
60,2023-05-09 00:02:47,0.87174,0.87189
61,2023-05-09 00:02:48,0.87175,0.8719
64,2023-05-09 00:02:50,0.87176,0.87191
65,2023-05-09 00:02:51,0.87175,0.8719
66,2023-05-09 00:02:52,0.87175,0.8719
69,2023-05-09 00:02:53,0.871745,0.8718950000000001
73,2023-05-09 00:02:54,0.87172,0.87187
77,2023-05-09 00:02:55,0.8717250000000001,0.871875
79,2023-05-09 00:02:56,0.87173,0.87188
80,2023-05-09 00:02:58,0.87172,0.87187
81,2023-05-09 00:03:00,0.87172,0.87187
82,2023-05-09 00:03:08,0.87174,0.87189
83,2023-05-09 00:03:12,0.87172,0.87187
84,2023-05-09 00:03:14,0.8717349999999999,0.871885
86,2023-05-09 00:03:16,0.87172,0.87187
89,2023-05-09 00:03:17,0.87174,0.87189
90,2023-05-09 00:03:22,0.87175,0.8719
91,2023-05-09 00:03:23,0.87175,0.8719
93,2023-05-09 00:03:30,0.87173,0.87188
96,2023-05-09 00:03:32,0.87172,0.87187
97,2023-05-09 00:03:33,0.87173,0.87188
98,2023-05-09 00:03:35,0.87173,0.87188
101,2023-05-09 00:03:38,0.87172,0.87187
102,2023-05-09 00:03:40,0.87173,0.87188
103,2023-05-09 00:03:44,0.87171,0.87186
104,2023-05-09 00:03:46,0.87172,0.87187
105,2023-05-09 00:03:50,0.871715,0.871865
107,2023-05-09 00:03:53,0.87171,0.87186
108,2023-05-09 00:03:55,0.87172,0.87187
109,2023-05-09 00:03:58,0.87171,0.87186
110,2023-05-09 00:04:00,0.87171,0.87186
111,2023-05-09 00:04:04,0.871715,0.871865
115,2023-05-09 00:04:21,0.87169,0.87184
116,2023-05-09 00:04:25,0.8717,0.87185
117,2023-05-09 00:04:27,0.87169,0.87184
118,2023-05-09 00:04:30,0.87168,0.87183
119,2023-05-09 00:04:31,0.87169,0.87184
120,2023-05-09 00:04:40,0.87168,0.87183
121,2023-05-09 00:04:44,0.87169,0.87184
122,2023-05-09 00:04:51,0.87168,0.87183
123,2023-05-09 00:04:53,0.87167,0.87182
124,2023-05-09 00:05:00,0.87167,0.87182
125,2023-05-09 00:05:18,0.87168,0.87183
126,2023-05-09 00:05:21,0.87168,0.87183
128,2023-05-09 00:05:23,0.87168,0.87183
129,2023-05-09 00:05:25,0.871685,0.8718349999999999
131,2023-05-09 00:05:26,0.87167,0.87182
132,2023-05-09 00:05:27,0.87168,0.87183
133,2023-05-09 00:05:28,0.87167,0.87182
134,2023-05-09 00:05:33,0.8716550000000001,0.8718049999999999
136,2023-05-09 00:05:34,0.8716550000000001,0.8718049999999999
138,2023-05-09 00:05:36,0.87165,0.8718
139,2023-05-09 00:05:38,0.87162,0.87177
140,2023-05-09 00:05:43,0.8716349999999999,0.871785
142,2023-05-09 00:05:44,0.87163,0.87178
143,2023-05-09 00:05:45,0.87162,0.87177
144,2023-05-09 00:05:47,0.87162,0.87177
147,2023-05-09 00:05:48,0.87162,0.87177
148,2023-05-09 00:05:50,0.87163,0.87178
149,2023-05-09 00:05:51,0.871605,0.8717550000000001
151,2023-05-09 00:06:00,0.8716,0.87175
152,2023-05-09 00:06:10,0.87161,0.87176
153,2023-05-09 00:06:12,0.87162,0.87177
154,2023-05-09 00:06:21,0.8716,0.87175
155,2023-05-09 00:06:22,0.87162,0.87177
156,2023-05-09 00:06:28,0.87161,0.87176
157,2023-05-09 00:06:29,0.871615,0.871765
159,2023-05-09 00:06:51,0.871595,0.871745
161,2023-05-09 00:06:52,0.87158,0.87173
162,2023-05-09 00:06:56,0.87159,0.87174
163,2023-05-09 00:06:57,0.871575,0.8717250000000001
165,2023-05-09 00:07:02,0.87156,0.87171
166,2023-05-09 00:07:04,0.87157,0.87172
167,2023-05-09 00:07:06,0.87156,0.87171
168,2023-05-09 00:07:08,0.87157,0.87172
169,2023-05-09 00:07:15,0.87156,0.87171
170,2023-05-09 00:07:16,0.8715649999999999,0.871715
172,2023-05-09 00:07:18,0.87157,0.87172
173,2023-05-09 00:07:23,0.87158,0.87173
174,2023-05-09 00:07:24,0.87157,0.87172
175,2023-05-09 00:07:32,0.87156,0.87171
178,2023-05-09 00:07:33,0.87157,0.87172
179,2023-05-09 00:07:37,0.87156,0.87171
180,2023-05-09 00:07:40,0.87157,0.87172
181,2023-05-09 00:07:41,0.87156,0.87171
182,2023-05-09 00:07:42,0.871545,0.871695
184,2023-05-09 00:07:47,0.87156,0.87171
185,2023-05-09 00:07:55,0.87157,0.87172
186,2023-05-09 00:08:00,0.87157,0.87172
187,2023-05-09 00:08:01,0.87158,0.87173
188,2023-05-09 00:08:03,0.8715649999999999,0.871715
190,2023-05-09 00:08:04,0.87157,0.87172
191,2023-05-09 00:08:06,0.87156,0.87171
192,2023-05-09 00:08:11,0.87157,0.87172
193,2023-05-09 00:08:13,0.871575,0.8717250000000001
195,2023-05-09 00:08:15,0.87158,0.87173
196,2023-05-09 00:08:18,0.87157,0.87172
197,2023-05-09 00:08:22,0.871585,0.8717349999999999
199,2023-05-09 00:08:32,0.87159,0.87174
200,2023-05-09 00:08:33,0.87161,0.87176
201,2023-05-09 00:08:34,0.8716299999999999,0.87178
203,2023-05-09 00:08:43,0.8716349999999999,0.871785
205,2023-05-09 00:08:44,0.87163,0.87178
206,2023-05-09 00:08:47,0.87164,0.87179
207,2023-05-09 00:08:54,0.87162,0.87177
208,2023-05-09 00:09:00,0.87164,0.87179
209,2023-05-09 00:09:02,0.871615,0.871765
211,2023-05-09 00:09:04,0.8716,0.87175
214,2023-05-09 00:09:05,0.871585,0.8717349999999999
216,2023-05-09 00:09:07,0.87159,0.87174
217,2023-05-09 00:09:09,0.871605,0.8717550000000001
219,2023-05-09 00:09:10,0.871625,0.871775
223,2023-05-09 00:09:11,0.87166,0.87181
224,2023-05-09 00:09:12,0.87165,0.8718
225,2023-05-09 00:09:13,0.87164,0.87179
226,2023-05-09 00:09:14,0.87163,0.87178
227,2023-05-09 00:09:21,0.8715999999999999,0.87175
229,2023-05-09 00:09:22,0.8716,0.87175
230,2023-05-09 00:09:24,0.87159,0.87174
231,2023-05-09 00:09:25,0.8716,0.87175
232,2023-05-09 00:09:26,0.87161,0.87176
233,2023-05-09 00:09:33,0.8715900000000001,0.87174
235,2023-05-09 00:09:34,0.87157,0.87172
236,2023-05-09 00:09:42,0.87156,0.87171
237,2023-05-09 00:09:44,0.87157,0.87172
238,2023-05-09 00:09:45,0.87156,0.87171
239,2023-05-09 00:09:46,0.87157,0.87172
240,2023-05-09 00:09:57,0.87156,0.87171
241,2023-05-09 00:09:58,0.87156,0.87171
244,2023-05-09 00:09:59,0.87158,0.87173
245,2023-05-09 00:10:00,0.87157,0.87172
248,2023-05-09 00:10:12,0.87157,0.87172
249,2023-05-09 00:10:15,0.87156,0.87171
250,2023-05-09 00:10:22,0.8715550000000001,0.871705
252,2023-05-09 00:10:25,0.87155,0.8717
253,2023-05-09 00:10:26,0.87157,0.87172
254,2023-05-09 00:10:32,0.87155,0.8717
257,2023-05-09 00:10:33,0.87155,0.8717
258,2023-05-09 00:10:35,0.87156,0.87171
259,2023-05-09 00:10:46,0.87157,0.87172
260,2023-05-09 00:10:48,0.87157,0.87172
262,2023-05-09 00:10:50,0.87155,0.8717
263,2023-05-09 00:10:53,0.87156,0.87171
264,2023-05-09 00:10:55,0.87158,0.87173
265,2023-05-09 00:10:58,0.87157,0.87172
266,2023-05-09 00:11:00,0.87157,0.87172
267,2023-05-09 00:11:03,0.871575,0.871725
269,2023-05-09 00:11:04,0.87157,0.87172
270,2023-05-09 00:11:05,0.87158,0.87173
271,2023-05-09 00:11:16,0.87158,0.87173
274,2023-05-09 00:11:21,0.87156,0.87171
275,2023-05-09 00:11:22,0.871575,0.8717250000000001
277,2023-05-09 00:11:26,0.87156,0.87171
278,2023-05-09 00:11:31,0.87157,0.87172
