,time,bid,ask
0,2023-05-09 00:00:00,1.73515,1.73559
1,2023-05-09 00:00:01,1.735185,1.735625
5,2023-05-09 00:00:02,1.735195,1.735635
7,2023-05-09 00:00:04,1.73516,1.7356
8,2023-05-09 00:00:05,1.735155,1.735595
10,2023-05-09 00:00:06,1.73522,1.73566
11,2023-05-09 00:00:07,1.73521,1.7356500000000001
12,2023-05-09 00:00:08,1.735215,1.735655
14,2023-05-09 00:00:09,1.73522,1.73566
17,2023-05-09 00:00:10,1.73514,1.7355800000000001
21,2023-05-09 00:00:11,1.7351349999999999,1.735575
23,2023-05-09 00:00:12,1.73514,1.7355800000000001
26,2023-05-09 00:00:14,1.73516,1.7356
27,2023-05-09 00:00:15,1.73515,1.73559
30,2023-05-09 00:00:16,1.735155,1.735595
34,2023-05-09 00:00:17,1.735105,1.7355450000000001
36,2023-05-09 00:00:18,1.73507,1.73551
37,2023-05-09 00:00:19,1.7350150000000002,1.735455
39,2023-05-09 00:00:20,1.7349999999999999,1.73544
40,2023-05-09 00:00:21,1.73499,1.73543
41,2023-05-09 00:00:24,1.7349700000000001,1.73541
42,2023-05-09 00:00:25,1.73487,1.7353100000000001
45,2023-05-09 00:00:26,1.7349,1.7353399999999999
46,2023-05-09 00:00:27,1.73491,1.73535
47,2023-05-09 00:00:28,1.73488,1.73532
48,2023-05-09 00:00:29,1.73487,1.7353100000000001
49,2023-05-09 00:00:30,1.7348599999999998,1.7353
50,2023-05-09 00:00:31,1.73489,1.73533
53,2023-05-09 00:00:32,1.734915,1.735355
55,2023-05-09 00:00:33,1.73494,1.7353800000000001
58,2023-05-09 00:00:36,1.73492,1.73536
59,2023-05-09 00:00:38,1.7349299999999999,1.73537
60,2023-05-09 00:00:39,1.73492,1.73536
61,2023-05-09 00:00:40,1.73472,1.73516
62,2023-05-09 00:00:41,1.734625,1.735065
66,2023-05-09 00:00:42,1.7346599999999999,1.7351
70,2023-05-09 00:00:43,1.7348350000000001,1.735275
72,2023-05-09 00:00:44,1.73481,1.73525
73,2023-05-09 00:00:45,1.73478,1.73522
74,2023-05-09 00:00:46,1.7348,1.7352400000000001
75,2023-05-09 00:00:48,1.73481,1.73525
76,2023-05-09 00:00:51,1.734855,1.735295
78,2023-05-09 00:00:52,1.734905,1.735345
80,2023-05-09 00:00:53,1.73492,1.73536
81,2023-05-09 00:00:54,1.73491,1.73535
82,2023-05-09 00:00:55,1.73492,1.73536
85,2023-05-09 00:00:56,1.734905,1.735345
87,2023-05-09 00:00:57,1.73485,1.73529
89,2023-05-09 00:00:58,1.7349700000000001,1.73541
92,2023-05-09 00:01:00,1.734955,1.735395
96,2023-05-09 00:01:01,1.73499,1.73543
99,2023-05-09 00:01:02,1.7351299999999998,1.73557
102,2023-05-09 00:01:03,1.735085,1.735525
104,2023-05-09 00:01:04,1.73508,1.73552
105,2023-05-09 00:01:05,1.73505,1.73549
106,2023-05-09 00:01:07,1.73507,1.73551
107,2023-05-09 00:01:08,1.73508,1.73552
108,2023-05-09 00:01:09,1.735065,1.735505
110,2023-05-09 00:01:10,1.73502,1.73546
114,2023-05-09 00:01:11,1.7349999999999999,1.73544
117,2023-05-09 00:01:12,1.73502,1.73546
120,2023-05-09 00:01:14,1.7349700000000001,1.73541
121,2023-05-09 00:01:15,1.73498,1.73542
122,2023-05-09 00:01:17,1.734995,1.735435
124,2023-05-09 00:01:18,1.73499,1.73543
