,time,bid,ask
0,2023-05-09 00:00:00,1.09961,1.0997
2,2023-05-09 00:00:01,1.0996,1.09969
5,2023-05-09 00:00:05,1.09961,1.0997
6,2023-05-09 00:00:06,1.09962,1.09971
9,2023-05-09 00:00:08,1.09965,1.09974
10,2023-05-09 00:00:09,1.09967,1.09976
11,2023-05-09 00:00:10,1.09966,1.09975
15,2023-05-09 00:00:11,1.0996350000000001,1.0997249999999998
17,2023-05-09 00:00:13,1.0996,1.09969
18,2023-05-09 00:00:15,1.09965,1.09974
19,2023-05-09 00:00:16,1.09966,1.09975
20,2023-05-09 00:00:25,1.099685,1.099775
24,2023-05-09 00:00:26,1.0997,1.09979
25,2023-05-09 00:00:27,1.09969,1.09978
26,2023-05-09 00:00:31,1.09971,1.0998
28,2023-05-09 00:00:32,1.099715,1.099805
30,2023-05-09 00:00:36,1.09971,1.0998
31,2023-05-09 00:00:37,1.09972,1.09981
32,2023-05-09 00:00:38,1.09971,1.0998
33,2023-05-09 00:00:42,1.09966,1.09975
38,2023-05-09 00:00:43,1.0996,1.09969
39,2023-05-09 00:00:45,1.09961,1.0997
40,2023-05-09 00:00:47,1.0996,1.09969
41,2023-05-09 00:00:50,1.09961,1.0997
42,2023-05-09 00:00:51,1.0996,1.09969
43,2023-05-09 00:00:54,1.09961,1.0997
44,2023-05-09 00:00:55,1.0996,1.09969
45,2023-05-09 00:00:56,1.09961,1.0997
46,2023-05-09 00:00:59,1.0996,1.09969
47,2023-05-09 00:01:00,1.099605,1.099695
49,2023-05-09 00:01:02,1.0996,1.09969
50,2023-05-09 00:01:03,1.09958,1.09967
51,2023-05-09 00:01:05,1.0996,1.09969
52,2023-05-09 00:01:08,1.09961,1.0997
53,2023-05-09 00:01:09,1.0996,1.09969
54,2023-05-09 00:01:10,1.09962,1.09971
57,2023-05-09 00:01:11,1.09961,1.0997
58,2023-05-09 00:01:12,1.0996,1.09969
59,2023-05-09 00:01:13,1.099615,1.099705
61,2023-05-09 00:01:17,1.0996299999999999,1.09972
62,2023-05-09 00:01:19,1.09962,1.09971
63,2023-05-09 00:01:20,1.09961,1.0997
64,2023-05-09 00:01:27,1.09962,1.09971
65,2023-05-09 00:01:29,1.09961,1.0997
66,2023-05-09 00:01:40,1.0996,1.09969
67,2023-05-09 00:01:43,1.099605,1.099695
69,2023-05-09 00:01:44,1.09959,1.09968
70,2023-05-09 00:01:45,1.09956,1.09965
71,2023-05-09 00:01:47,1.0995249999999999,1.099615
73,2023-05-09 00:01:48,1.09944,1.09953
76,2023-05-09 00:01:49,1.09945,1.09954
79,2023-05-09 00:01:50,1.09948,1.09957
82,2023-05-09 00:01:51,1.09949,1.09958
87,2023-05-09 00:01:52,1.09946,1.09955
88,2023-05-09 00:01:53,1.09942,1.09951
92,2023-05-09 00:01:54,1.09944,1.0995300000000001
94,2023-05-09 00:02:00,1.0994,1.09949
97,2023-05-09 00:02:02,1.0994,1.09949
98,2023-05-09 00:02:07,1.099405,1.0994950000000001
100,2023-05-09 00:02:09,1.099405,1.0994950000000001
102,2023-05-09 00:02:11,1.099425,1.099515
106,2023-05-09 00:02:14,1.09943,1.09952
107,2023-05-09 00:02:15,1.0994,1.09949
108,2023-05-09 00:02:16,1.09939,1.09948
109,2023-05-09 00:02:18,1.0994,1.09949
110,2023-05-09 00:02:29,1.09943,1.09952
111,2023-05-09 00:02:32,1.09944,1.09953
112,2023-05-09 00:02:39,1.09939,1.09948
113,2023-05-09 00:02:40,1.099385,1.099475
115,2023-05-09 00:02:42,1.09938,1.09947
116,2023-05-09 00:02:44,1.099355,1.099445
118,2023-05-09 00:02:52,1.09934,1.09943
119,2023-05-09 00:02:53,1.0993,1.09939
122,2023-05-09 00:02:54,1.0992,1.09929
127,2023-05-09 00:02:55,1.09924,1.09933
128,2023-05-09 00:02:58,1.09925,1.09934
129,2023-05-09 00:03:00,1.09925,1.09934
130,2023-05-09 00:03:01,1.09922,1.09931
131,2023-05-09 00:03:05,1.09923,1.09932
132,2023-05-09 00:03:06,1.09924,1.09933
133,2023-05-09 00:03:08,1.09927,1.09936
134,2023-05-09 00:03:09,1.09928,1.09937
135,2023-05-09 00:03:12,1.09925,1.09934
136,2023-05-09 00:03:15,1.09926,1.09935
137,2023-05-09 00:03:16,1.09925,1.09934
138,2023-05-09 00:03:17,1.09928,1.09937
139,2023-05-09 00:03:21,1.0992549999999999,1.099345
141,2023-05-09 00:03:22,1.099235,1.0993249999999999
143,2023-05-09 00:03:23,1.0992,1.09929
144,2023-05-09 00:03:25,1.099185,1.099275
146,2023-05-09 00:03:27,1.099195,1.099285
148,2023-05-09 00:03:30,1.09916,1.09925
151,2023-05-09 00:03:31,1.09915,1.09924
152,2023-05-09 00:03:32,1.09914,1.09923
153,2023-05-09 00:03:35,1.09917,1.09926
156,2023-05-09 00:03:42,1.09913,1.09922
157,2023-05-09 00:03:43,1.09914,1.09923
158,2023-05-09 00:03:45,1.09913,1.09922
159,2023-05-09 00:03:46,1.09912,1.09921
160,2023-05-09 00:03:50,1.099065,1.099155
164,2023-05-09 00:03:51,1.09908,1.09917
165,2023-05-09 00:03:52,1.09909,1.09918
167,2023-05-09 00:03:53,1.099055,1.099145
169,2023-05-09 00:03:55,1.099065,1.099155
173,2023-05-09 00:03:56,1.09908,1.09917
174,2023-05-09 00:03:58,1.09905,1.09914
175,2023-05-09 00:03:59,1.09904,1.09913
176,2023-05-09 00:04:00,1.09904,1.09913
177,2023-05-09 00:04:04,1.0990600000000001,1.0991499999999998
181,2023-05-09 00:04:06,1.09905,1.09914
182,2023-05-09 00:04:08,1.09904,1.09913
183,2023-05-09 00:04:12,1.09903,1.09912
184,2023-05-09 00:04:15,1.099,1.09909
186,2023-05-09 00:04:31,1.0990199999999999,1.09911
187,2023-05-09 00:04:35,1.09903,1.09912
188,2023-05-09 00:04:40,1.09901,1.0991
189,2023-05-09 00:04:43,1.0990199999999999,1.09911
190,2023-05-09 00:04:53,1.099045,1.099135
192,2023-05-09 00:04:54,1.09909,1.09918
193,2023-05-09 00:04:56,1.0991,1.0991900000000001
194,2023-05-09 00:05:00,1.0991,1.0991900000000001
195,2023-05-09 00:05:06,1.099095,1.099185
197,2023-05-09 00:05:12,1.09912,1.09921
198,2023-05-09 00:05:14,1.09911,1.0992
