,time,bid,ask
0,2023-05-09 00:00:00,1.85995,1.8602699999999999
1,2023-05-09 00:00:01,1.859965,1.860285
5,2023-05-09 00:00:02,1.86002,1.8603399999999999
8,2023-05-09 00:00:03,1.860055,1.860375
10,2023-05-09 00:00:04,1.86008,1.8604
13,2023-05-09 00:00:05,1.860065,1.860385
15,2023-05-09 00:00:06,1.86006,1.8603800000000001
16,2023-05-09 00:00:07,1.86005,1.86037
17,2023-05-09 00:00:08,1.86007,1.86039
18,2023-05-09 00:00:09,1.86002,1.8603399999999999
20,2023-05-09 00:00:10,1.86005,1.86037
23,2023-05-09 00:00:11,1.86008,1.8604
26,2023-05-09 00:00:12,1.86007,1.86039
30,2023-05-09 00:00:13,1.86009,1.86041
33,2023-05-09 00:00:14,1.86006,1.8603800000000001
36,2023-05-09 00:00:15,1.86007,1.86039
39,2023-05-09 00:00:16,1.8601100000000002,1.86043
43,2023-05-09 00:00:17,1.86005,1.86037
44,2023-05-09 00:00:18,1.8600400000000001,1.86036
45,2023-05-09 00:00:19,1.8600400000000001,1.86036
48,2023-05-09 00:00:20,1.86006,1.8603800000000001
49,2023-05-09 00:00:21,1.86005,1.86037
50,2023-05-09 00:00:22,1.8600349999999999,1.860355
52,2023-05-09 00:00:23,1.860045,1.860365
54,2023-05-09 00:00:25,1.86005,1.86037
57,2023-05-09 00:00:26,1.8600850000000002,1.860405
59,2023-05-09 00:00:28,1.86005,1.86037
60,2023-05-09 00:00:29,1.8600400000000001,1.86036
61,2023-05-09 00:00:30,1.86003,1.86035
64,2023-05-09 00:00:31,1.86006,1.8603800000000001
67,2023-05-09 00:00:32,1.860085,1.860405
69,2023-05-09 00:00:33,1.8601100000000002,1.86043
70,2023-05-09 00:00:34,1.86012,1.86044
71,2023-05-09 00:00:35,1.8601100000000002,1.86043
72,2023-05-09 00:00:36,1.8601299999999998,1.8604500000000002
75,2023-05-09 00:00:37,1.86009,1.86041
76,2023-05-09 00:00:38,1.8601,1.86042
78,2023-05-09 00:00:39,1.8601,1.86042
81,2023-05-09 00:00:40,1.86005,1.86037
84,2023-05-09 00:00:41,1.85996,1.86028
87,2023-05-09 00:00:42,1.86009,1.86041
89,2023-05-09 00:00:43,1.8602049999999999,1.860525
93,2023-05-09 00:00:44,1.8602599999999998,1.8605800000000001
95,2023-05-09 00:00:45,1.86023,1.86055
97,2023-05-09 00:00:46,1.860255,1.860575
99,2023-05-09 00:00:47,1.86026,1.8605800000000001
100,2023-05-09 00:00:48,1.860255,1.860575
102,2023-05-09 00:00:51,1.860285,1.860605
104,2023-05-09 00:00:52,1.8603,1.86062
107,2023-05-09 00:00:53,1.860295,1.860615
109,2023-05-09 00:00:54,1.86029,1.8606099999999999
110,2023-05-09 00:00:55,1.86023,1.86055
113,2023-05-09 00:00:57,1.86013,1.86045
115,2023-05-09 00:01:00,1.8601100000000002,1.86043
116,2023-05-09 00:01:01,1.86019,1.8605099999999999
118,2023-05-09 00:01:02,1.8602400000000001,1.86056
121,2023-05-09 00:01:03,1.8602699999999999,1.86059
124,2023-05-09 00:01:04,1.860255,1.860575
126,2023-05-09 00:01:05,1.860215,1.860535
128,2023-05-09 00:01:06,1.860255,1.860575
132,2023-05-09 00:01:07,1.86026,1.8605800000000001
133,2023-05-09 00:01:08,1.8602699999999999,1.86059
134,2023-05-09 00:01:09,1.86026,1.8605800000000001
135,2023-05-09 00:01:10,1.8601100000000002,1.86043
138,2023-05-09 00:01:11,1.860125,1.8604450000000001
140,2023-05-09 00:01:12,1.8601299999999998,1.8604500000000002
143,2023-05-09 00:01:13,1.86014,1.86046
144,2023-05-09 00:01:14,1.86008,1.8604
145,2023-05-09 00:01:16,1.86007,1.86039
146,2023-05-09 00:01:17,1.86008,1.8604
147,2023-05-09 00:01:18,1.860075,1.860395
149,2023-05-09 00:01:19,1.86009,1.86041
152,2023-05-09 00:01:20,1.860095,1.860415
154,2023-05-09 00:01:22,1.86016,1.86048
156,2023-05-09 00:01:23,1.86014,1.86046
157,2023-05-09 00:01:24,1.8601,1.86042
161,2023-05-09 00:01:25,1.860095,1.860415
163,2023-05-09 00:01:26,1.860095,1.860415
165,2023-05-09 00:01:27,1.8601100000000002,1.86043
166,2023-05-09 00:01:28,1.8601,1.86042
167,2023-05-09 00:01:29,1.86014,1.86046
169,2023-05-09 00:01:30,1.86016,1.86048
170,2023-05-09 00:01:31,1.86009,1.86041
171,2023-05-09 00:01:32,1.86017,1.86049
174,2023-05-09 00:01:33,1.860155,1.8604749999999999
176,2023-05-09 00:01:34,1.860125,1.8604450000000001
178,2023-05-09 00:01:35,1.8601299999999998,1.8604500000000002
179,2023-05-09 00:01:36,1.86017,1.86049
182,2023-05-09 00:01:37,1.86018,1.8605
185,2023-05-09 00:01:38,1.86019,1.86051
186,2023-05-09 00:01:39,1.860185,1.8605049999999999
188,2023-05-09 00:01:40,1.86017,1.86049
190,2023-05-09 00:01:41,1.860195,1.860515
192,2023-05-09 00:01:43,1.86018,1.8605
193,2023-05-09 00:01:44,1.86014,1.86046
197,2023-05-09 00:01:45,1.8601999999999999,1.86052
200,2023-05-09 00:01:46,1.86018,1.8605
201,2023-05-09 00:01:47,1.86022,1.8605399999999999
204,2023-05-09 00:01:48,1.860215,1.860535
208,2023-05-09 00:01:50,1.86026,1.8605800000000001
211,2023-05-09 00:01:51,1.8603100000000001,1.86063
214,2023-05-09 00:01:52,1.8603100000000001,1.86063
217,2023-05-09 00:01:53,1.86037,1.86069
220,2023-05-09 00:01:55,1.8603800000000001,1.8607
221,2023-05-09 00:01:58,1.86042,1.86074
223,2023-05-09 00:02:00,1.860465,1.8607850000000001
227,2023-05-09 00:02:01,1.8604500000000002,1.86077
228,2023-05-09 00:02:02,1.860425,1.860745
230,2023-05-09 00:02:03,1.86049,1.8608099999999999
233,2023-05-09 00:02:04,1.8604699999999998,1.8607900000000002
235,2023-05-09 00:02:05,1.8604699999999998,1.8607900000000002
236,2023-05-09 00:02:06,1.86046,1.86078
237,2023-05-09 00:02:07,1.86048,1.8608
240,2023-05-09 00:02:08,1.86049,1.8608099999999999
241,2023-05-09 00:02:09,1.860435,1.860755
245,2023-05-09 00:02:10,1.86043,1.86075
246,2023-05-09 00:02:11,1.8604450000000001,1.860765
250,2023-05-09 00:02:12,1.86043,1.86075
251,2023-05-09 00:02:13,1.8604500000000002,1.86077
