,time,bid,ask
0,2023-05-09 00:00:00,1.68638,1.68678
1,2023-05-09 00:00:01,1.68643,1.68683
8,2023-05-09 00:00:02,1.68642,1.68682
10,2023-05-09 00:00:03,1.6863899999999998,1.68679
11,2023-05-09 00:00:06,1.68641,1.68681
12,2023-05-09 00:00:08,1.68638,1.68678
13,2023-05-09 00:00:09,1.68635,1.68675
16,2023-05-09 00:00:10,1.686335,1.6867349999999999
18,2023-05-09 00:00:11,1.686355,1.686755
20,2023-05-09 00:00:12,1.686275,1.6866750000000001
22,2023-05-09 00:00:15,1.68627,1.68667
23,2023-05-09 00:00:16,1.68634,1.68674
25,2023-05-09 00:00:19,1.68636,1.68676
26,2023-05-09 00:00:21,1.68638,1.68678
27,2023-05-09 00:00:24,1.6863700000000001,1.68677
28,2023-05-09 00:00:25,1.68638,1.68678
29,2023-05-09 00:00:29,1.68636,1.68676
30,2023-05-09 00:00:30,1.686315,1.686715
32,2023-05-09 00:00:31,1.68632,1.68672
33,2023-05-09 00:00:32,1.686355,1.686755
35,2023-05-09 00:00:33,1.6863700000000001,1.68677
36,2023-05-09 00:00:36,1.6863650000000001,1.686765
38,2023-05-09 00:00:40,1.686335,1.6867349999999999
40,2023-05-09 00:00:41,1.68631,1.6867100000000002
41,2023-05-09 00:00:42,1.686315,1.686715
43,2023-05-09 00:00:43,1.68632,1.68672
44,2023-05-09 00:00:44,1.68629,1.68669
46,2023-05-09 00:00:45,1.68629,1.68669
47,2023-05-09 00:00:49,1.6863000000000001,1.6867
48,2023-05-09 00:00:51,1.686295,1.686695
50,2023-05-09 00:00:54,1.6862599999999999,1.6866599999999998
52,2023-05-09 00:00:57,1.68622,1.68662
54,2023-05-09 00:01:00,1.686205,1.686605
56,2023-05-09 00:01:01,1.68618,1.68658
57,2023-05-09 00:01:03,1.6862,1.6865999999999999
58,2023-05-09 00:01:04,1.68617,1.6865700000000001
59,2023-05-09 00:01:05,1.6862,1.6865999999999999
60,2023-05-09 00:01:06,1.6861899999999999,1.68659
61,2023-05-09 00:01:10,1.68613,1.6865299999999999
62,2023-05-09 00:01:12,1.68616,1.68656
63,2023-05-09 00:01:19,1.68617,1.6865700000000001
64,2023-05-09 00:01:20,1.686155,1.686555
66,2023-05-09 00:01:24,1.68613,1.6865299999999999
67,2023-05-09 00:01:26,1.68615,1.68655
69,2023-05-09 00:01:30,1.686195,1.686595
71,2023-05-09 00:01:34,1.68616,1.68656
72,2023-05-09 00:01:41,1.68617,1.6865700000000001
73,2023-05-09 00:01:43,1.68616,1.68656
74,2023-05-09 00:01:44,1.6861199999999998,1.68652
75,2023-05-09 00:01:45,1.6861549999999998,1.686555
77,2023-05-09 00:01:47,1.6861899999999999,1.68659
80,2023-05-09 00:01:48,1.68611,1.68651
81,2023-05-09 00:01:50,1.686175,1.686575
83,2023-05-09 00:01:51,1.68618,1.68658
86,2023-05-09 00:01:52,1.686165,1.6865649999999999
88,2023-05-09 00:01:53,1.68617,1.6865700000000001
89,2023-05-09 00:02:00,1.686165,1.686565
91,2023-05-09 00:02:02,1.68616,1.68656
92,2023-05-09 00:02:03,1.68617,1.6865700000000001
93,2023-05-09 00:02:07,1.6862300000000001,1.68663
94,2023-05-09 00:02:09,1.68621,1.68661
96,2023-05-09 00:02:11,1.6862599999999999,1.68666
97,2023-05-09 00:02:12,1.6863000000000001,1.6867
98,2023-05-09 00:02:13,1.686285,1.686685
100,2023-05-09 00:02:14,1.68627,1.68667
101,2023-05-09 00:02:15,1.68621,1.68661
103,2023-05-09 00:02:16,1.68618,1.68658
104,2023-05-09 00:02:29,1.68621,1.68661
105,2023-05-09 00:02:30,1.686165,1.6865649999999999
107,2023-05-09 00:02:31,1.68616,1.68656
108,2023-05-09 00:02:32,1.6861949999999999,1.686595
110,2023-05-09 00:02:33,1.6861799999999998,1.6865800000000002
112,2023-05-09 00:02:37,1.68614,1.68654
114,2023-05-09 00:02:39,1.68614,1.68654
115,2023-05-09 00:02:44,1.68609,1.68649
116,2023-05-09 00:02:45,1.68613,1.6865299999999999
117,2023-05-09 00:02:46,1.68616,1.68656
118,2023-05-09 00:02:48,1.68613,1.6865299999999999
119,2023-05-09 00:02:49,1.68616,1.68656
120,2023-05-09 00:02:50,1.68615,1.68655
122,2023-05-09 00:02:52,1.68618,1.68658
123,2023-05-09 00:02:53,1.686165,1.6865649999999999
125,2023-05-09 00:02:54,1.68615,1.68655
128,2023-05-09 00:02:55,1.6861899999999999,1.6865899999999998
130,2023-05-09 00:02:56,1.68617,1.6865700000000001
131,2023-05-09 00:02:58,1.68616,1.68656
133,2023-05-09 00:02:59,1.68615,1.68655
134,2023-05-09 00:03:00,1.68614,1.68654
136,2023-05-09 00:03:01,1.68611,1.68651
137,2023-05-09 00:03:06,1.6861199999999998,1.68652
138,2023-05-09 00:03:07,1.68615,1.68655
140,2023-05-09 00:03:09,1.68609,1.68649
141,2023-05-09 00:03:13,1.68606,1.6864599999999998
142,2023-05-09 00:03:20,1.68608,1.68648
143,2023-05-09 00:03:21,1.6860950000000001,1.686495
145,2023-05-09 00:03:22,1.68609,1.68649
146,2023-05-09 00:03:23,1.68606,1.6864599999999998
147,2023-05-09 00:03:24,1.6860300000000001,1.68643
148,2023-05-09 00:03:25,1.686035,1.6864350000000001
150,2023-05-09 00:03:28,1.686005,1.686405
152,2023-05-09 00:03:29,1.686,1.6864
153,2023-05-09 00:03:30,1.68602,1.68642
154,2023-05-09 00:03:32,1.686,1.6864
155,2023-05-09 00:03:35,1.68601,1.68641
156,2023-05-09 00:03:36,1.6860300000000001,1.68643
157,2023-05-09 00:03:38,1.68602,1.68642
158,2023-05-09 00:03:43,1.68601,1.68641
159,2023-05-09 00:03:44,1.68598,1.68638
162,2023-05-09 00:03:46,1.68598,1.68638
164,2023-05-09 00:03:49,1.685985,1.686385
166,2023-05-09 00:03:50,1.685935,1.6863350000000001
168,2023-05-09 00:03:52,1.6859700000000002,1.6863700000000001
170,2023-05-09 00:03:53,1.68591,1.68631
173,2023-05-09 00:03:55,1.6859199999999999,1.68632
174,2023-05-09 00:03:56,1.685955,1.686355
176,2023-05-09 00:03:57,1.68593,1.6863299999999999
177,2023-05-09 00:03:58,1.6859199999999999,1.68632
180,2023-05-09 00:03:59,1.6859799999999998,1.68638
182,2023-05-09 00:04:00,1.685945,1.686345
184,2023-05-09 00:04:03,1.6859199999999999,1.68632
185,2023-05-09 00:04:04,1.6859250000000001,1.686325
187,2023-05-09 00:04:05,1.685915,1.686315
189,2023-05-09 00:04:11,1.68593,1.6863299999999999
190,2023-05-09 00:04:12,1.6859199999999999,1.68632
191,2023-05-09 00:04:13,1.685915,1.686315
193,2023-05-09 00:04:14,1.68591,1.68631
194,2023-05-09 00:04:15,1.68589,1.68629
196,2023-05-09 00:04:16,1.685895,1.686295
198,2023-05-09 00:04:17,1.68587,1.68627
199,2023-05-09 00:04:21,1.68593,1.6863299999999999
202,2023-05-09 00:04:22,1.68595,1.68635
203,2023-05-09 00:04:24,1.685935,1.686335
205,2023-05-09 00:04:25,1.6859899999999999,1.6863899999999998
208,2023-05-09 00:04:27,1.68604,1.6864400000000002
211,2023-05-09 00:04:29,1.68607,1.68647
212,2023-05-09 00:04:30,1.686065,1.6864649999999999
214,2023-05-09 00:04:31,1.68606,1.6864599999999998
217,2023-05-09 00:04:32,1.68605,1.68645
218,2023-05-09 00:04:33,1.68604,1.6864400000000002
219,2023-05-09 00:04:35,1.68605,1.68645
220,2023-05-09 00:04:39,1.68606,1.6864599999999998
221,2023-05-09 00:04:40,1.68607,1.68647
222,2023-05-09 00:04:41,1.686055,1.686455
224,2023-05-09 00:04:43,1.68604,1.6864400000000002
225,2023-05-09 00:04:44,1.68605,1.68645
226,2023-05-09 00:04:47,1.686045,1.686445
228,2023-05-09 00:04:48,1.686025,1.686425
230,2023-05-09 00:04:53,1.6860300000000001,1.68643
231,2023-05-09 00:04:54,1.68606,1.6864599999999998
232,2023-05-09 00:04:55,1.68605,1.68645
233,2023-05-09 00:04:57,1.68606,1.6864599999999998
234,2023-05-09 00:05:00,1.68606,1.6864599999999998
235,2023-05-09 00:05:02,1.68605,1.68645
236,2023-05-09 00:05:18,1.68601,1.68641
239,2023-05-09 00:05:19,1.68601,1.68641
240,2023-05-09 00:05:22,1.68602,1.68642
241,2023-05-09 00:05:24,1.686025,1.686425
243,2023-05-09 00:05:26,1.6860400000000002,1.6864400000000002
245,2023-05-09 00:05:27,1.6859899999999999,1.6863899999999998
248,2023-05-09 00:05:28,1.685985,1.686385
250,2023-05-09 00:05:29,1.68597,1.6863700000000001
