,time,bid,ask
0,2023-05-09 00:00:00,170.369,170.394
2,2023-05-09 00:00:01,170.3655,170.39049999999997
8,2023-05-09 00:00:02,170.361,170.386
11,2023-05-09 00:00:05,170.359,170.384
12,2023-05-09 00:00:06,170.36,170.385
13,2023-05-09 00:00:09,170.3675,170.39249999999998
15,2023-05-09 00:00:10,170.3755,170.40050000000002
19,2023-05-09 00:00:11,170.381,170.406
22,2023-05-09 00:00:12,170.387,170.412
25,2023-05-09 00:00:16,170.3915,170.41649999999998
27,2023-05-09 00:00:17,170.392,170.417
28,2023-05-09 00:00:18,170.3915,170.41649999999998
30,2023-05-09 00:00:19,170.39249999999998,170.41750000000002
32,2023-05-09 00:00:21,170.39249999999998,170.41750000000002
34,2023-05-09 00:00:22,170.394,170.419
35,2023-05-09 00:00:23,170.393,170.418
36,2023-05-09 00:00:24,170.392,170.417
37,2023-05-09 00:00:25,170.394,170.419
40,2023-05-09 00:00:27,170.3945,170.4195
42,2023-05-09 00:00:30,170.397,170.422
45,2023-05-09 00:00:31,170.417,170.442
47,2023-05-09 00:00:32,170.427,170.452
51,2023-05-09 00:00:33,170.4255,170.45049999999998
53,2023-05-09 00:00:36,170.4085,170.43349999999998
55,2023-05-09 00:00:38,170.408,170.433
58,2023-05-09 00:00:40,170.403,170.428
59,2023-05-09 00:00:41,170.401,170.426
60,2023-05-09 00:00:42,170.3995,170.42450000000002
64,2023-05-09 00:00:43,170.3985,170.4235
66,2023-05-09 00:00:44,170.3965,170.42149999999998
68,2023-05-09 00:00:45,170.3965,170.42149999999998
70,2023-05-09 00:00:46,170.401,170.426
71,2023-05-09 00:00:47,170.404,170.429
74,2023-05-09 00:00:48,170.4065,170.4315
76,2023-05-09 00:00:49,170.406,170.43099999999998
78,2023-05-09 00:00:51,170.41,170.435
81,2023-05-09 00:00:52,170.418,170.443
82,2023-05-09 00:00:53,170.41500000000002,170.44
84,2023-05-09 00:00:54,170.4115,170.43650000000002
86,2023-05-09 00:00:55,170.41649999999998,170.44150000000002
88,2023-05-09 00:00:57,170.4195,170.4445
90,2023-05-09 00:00:59,170.418,170.443
93,2023-05-09 00:01:00,170.42950000000002,170.4545
97,2023-05-09 00:01:01,170.43650000000002,170.4615
99,2023-05-09 00:01:02,170.43650000000002,170.4615
101,2023-05-09 00:01:03,170.44,170.465
102,2023-05-09 00:01:04,170.445,170.47
106,2023-05-09 00:01:05,170.441,170.466
109,2023-05-09 00:01:06,170.448,170.473
112,2023-05-09 00:01:07,170.45049999999998,170.4755
114,2023-05-09 00:01:08,170.45,170.475
117,2023-05-09 00:01:09,170.448,170.473
119,2023-05-09 00:01:10,170.439,170.464
123,2023-05-09 00:01:11,170.435,170.46
126,2023-05-09 00:01:12,170.438,170.463
127,2023-05-09 00:01:13,170.4375,170.46249999999998
129,2023-05-09 00:01:14,170.438,170.463
132,2023-05-09 00:01:17,170.428,170.453
133,2023-05-09 00:01:18,170.4275,170.4525
137,2023-05-09 00:01:20,170.446,170.471
140,2023-05-09 00:01:21,170.449,170.474
141,2023-05-09 00:01:24,170.4485,170.4735
143,2023-05-09 00:01:26,170.446,170.471
144,2023-05-09 00:01:28,170.445,170.47
145,2023-05-09 00:01:29,170.444,170.469
146,2023-05-09 00:01:30,170.443,170.468
147,2023-05-09 00:01:31,170.452,170.477
149,2023-05-09 00:01:32,170.456,170.481
152,2023-05-09 00:01:33,170.456,170.481
155,2023-05-09 00:01:34,170.45749999999998,170.48250000000002
157,2023-05-09 00:01:35,170.457,170.482
158,2023-05-09 00:01:37,170.4565,170.48149999999998
160,2023-05-09 00:01:40,170.4555,170.4805
162,2023-05-09 00:01:41,170.445,170.47
163,2023-05-09 00:01:42,170.446,170.471
164,2023-05-09 00:01:43,170.442,170.467
167,2023-05-09 00:01:44,170.44650000000001,170.4715
