,time,bid,ask
0,2023-05-09 00:00:00,1.26119,1.2613400000000001
2,2023-05-09 00:00:01,1.261165,1.261315
6,2023-05-09 00:00:06,1.26119,1.2613400000000001
7,2023-05-09 00:00:07,1.26118,1.26133
8,2023-05-09 00:00:09,1.26122,1.2613699999999999
10,2023-05-09 00:00:10,1.261225,1.261375
12,2023-05-09 00:00:11,1.261225,1.2613750000000001
14,2023-05-09 00:00:12,1.261175,1.261325
16,2023-05-09 00:00:16,1.261225,1.261375
18,2023-05-09 00:00:18,1.26124,1.26139
19,2023-05-09 00:00:20,1.26125,1.2614
20,2023-05-09 00:00:25,1.261245,1.261395
22,2023-05-09 00:00:26,1.261255,1.2614049999999999
24,2023-05-09 00:00:28,1.26126,1.26141
25,2023-05-09 00:00:30,1.261275,1.261425
27,2023-05-09 00:00:31,1.2612700000000001,1.26142
30,2023-05-09 00:00:32,1.2612700000000001,1.26142
31,2023-05-09 00:00:37,1.26128,1.26143
32,2023-05-09 00:00:39,1.2612700000000001,1.26142
33,2023-05-09 00:00:41,1.26126,1.26141
34,2023-05-09 00:00:42,1.26124,1.26139
37,2023-05-09 00:00:43,1.26122,1.26137
39,2023-05-09 00:00:51,1.26118,1.26133
40,2023-05-09 00:01:00,1.261185,1.261335
44,2023-05-09 00:01:01,1.26118,1.26133
45,2023-05-09 00:01:04,1.261165,1.261315
47,2023-05-09 00:01:05,1.26118,1.26133
48,2023-05-09 00:01:06,1.26117,1.26132
49,2023-05-09 00:01:09,1.26118,1.26133
50,2023-05-09 00:01:10,1.261175,1.261325
52,2023-05-09 00:01:22,1.26117,1.26132
53,2023-05-09 00:01:24,1.26118,1.26133
54,2023-05-09 00:01:31,1.26117,1.26132
55,2023-05-09 00:01:36,1.26116,1.26131
56,2023-05-09 00:01:39,1.26117,1.26132
57,2023-05-09 00:01:40,1.26116,1.26131
58,2023-05-09 00:01:43,1.26117,1.26132
60,2023-05-09 00:01:44,1.261155,1.261305
62,2023-05-09 00:01:45,1.2611249999999998,1.261275
64,2023-05-09 00:01:47,1.26109,1.26124
67,2023-05-09 00:01:48,1.2610000000000001,1.26115
70,2023-05-09 00:01:50,1.2610350000000001,1.261185
72,2023-05-09 00:01:52,1.26102,1.26117
74,2023-05-09 00:01:53,1.26098,1.26113
75,2023-05-09 00:01:54,1.26098,1.26113
78,2023-05-09 00:01:55,1.26098,1.26113
79,2023-05-09 00:02:00,1.260975,1.261125
81,2023-05-09 00:02:04,1.26096,1.26111
82,2023-05-09 00:02:05,1.26097,1.26112
83,2023-05-09 00:02:06,1.26096,1.26111
84,2023-05-09 00:02:09,1.260975,1.261125
86,2023-05-09 00:02:11,1.26102,1.26117
89,2023-05-09 00:02:14,1.261015,1.261165
91,2023-05-09 00:02:15,1.26098,1.26113
93,2023-05-09 00:02:16,1.26096,1.26111
94,2023-05-09 00:02:27,1.2609650000000001,1.261115
96,2023-05-09 00:02:28,1.26097,1.26112
97,2023-05-09 00:02:29,1.26099,1.26114
98,2023-05-09 00:02:32,1.26102,1.26117
99,2023-05-09 00:02:33,1.26102,1.26117
102,2023-05-09 00:02:37,1.2609949999999999,1.261145
104,2023-05-09 00:02:39,1.26096,1.26111
105,2023-05-09 00:02:44,1.26089,1.26104
106,2023-05-09 00:02:45,1.26093,1.26108
107,2023-05-09 00:02:46,1.260945,1.261095
109,2023-05-09 00:02:48,1.260935,1.261085
111,2023-05-09 00:02:50,1.26094,1.26109
112,2023-05-09 00:02:52,1.26096,1.26111
113,2023-05-09 00:02:53,1.26091,1.26106
116,2023-05-09 00:02:54,1.2608549999999998,1.261005
