,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,1.00622,1.00831,0.99886,1.0014,159881,22,0
1,2015-12-24,1.00137,1.0088,1.00115,1.00741,97290,22,0
2,2015-12-27,1.00532,1.00678,1.00475,1.00668,1577,55,0
3,2015-12-28,1.0069,1.01045,1.00514,1.00777,150319,22,0
4,2015-12-29,1.00786,1.01356,1.00655,1.00855,148562,22,0
5,2015-12-30,1.00853,1.01495,1.00724,1.0096,142933,22,0
6,2015-12-31,1.00968,1.01685,1.00599,1.00938,149792,22,0
7,2016-01-03,1.00595,1.01175,1.00587,1.01151,3662,22,0
8,2016-01-04,1.01151,1.01163,0.99551,0.99981,240342,22,0
9,2016-01-05,0.99988,1.00366,0.99628,1.00087,216249,22,0
10,2016-01-06,1.00087,1.00305,0.99332,0.99448,260645,22,0
11,2016-01-07,0.99443,0.99725,0.98477,0.99075,349817,22,0
12,2016-01-08,0.9908,0.99644,0.98426,0.98503,287329,22,0
13,2016-01-10,0.98703,0.98724,0.98211,0.98339,6657,24,0
14,2016-01-11,0.98364,0.99523,0.98231,0.99398,254696,22,0
15,2016-01-12,0.994,0.99789,0.98953,0.99536,282690,22,0
16,2016-01-13,0.99541,1.00236,0.99519,0.99773,271843,22,0
17,2016-01-14,0.99773,1.00421,0.99371,1.00232,329782,22,0
18,2016-01-15,1.00238,1.0073,0.99198,0.99688,334602,22,0
19,2016-01-17,0.99834,0.99962,0.99803,0.99807,4735,22,0
20,2016-01-18,0.99811,1.00513,0.99536,1.00051,253720,22,0
21,2016-01-19,1.00049,1.00856,0.99444,1.00666,302345,22,0
22,2016-01-20,1.00665,1.00794,0.9959,1.00349,382799,22,0
23,2016-01-21,1.00351,1.00606,0.99343,0.9989,417505,22,0
24,2016-01-22,0.99891,1.00199,0.9871,0.98832,314464,22,0
25,2016-01-24,0.9906,0.99103,0.98985,0.98999,2732,26,0
26,2016-01-25,0.99004,0.99399,0.98807,0.99254,297193,22,0
27,2016-01-26,0.99255,0.99443,0.98466,0.98738,322553,22,0
28,2016-01-27,0.98738,0.99614,0.98716,0.98986,384759,22,0
29,2016-01-28,0.98988,0.99889,0.98799,0.99439,445276,22,0
30,2016-01-29,0.99436,0.99861,0.98911,0.98949,407705,22,0
31,2016-01-31,0.98846,0.99004,0.98768,0.98768,6007,29,0
32,2016-02-01,0.98772,0.99438,0.98601,0.99117,284744,22,0
33,2016-02-02,0.99116,0.99509,0.98616,0.98675,278675,22,0
34,2016-02-03,0.98678,0.99224,0.98111,0.98709,346246,22,0
35,2016-02-04,0.98709,0.99138,0.98486,0.98919,340093,22,0
36,2016-02-05,0.98923,0.99132,0.97858,0.98287,306028,22,0
37,2016-02-07,0.9828,0.98318,0.98183,0.98283,6430,31,0
38,2016-02-08,0.98285,0.98914,0.98279,0.98678,329567,22,0
39,2016-02-09,0.98678,0.98689,0.97104,0.98124,404934,22,0
40,2016-02-10,0.98126,0.99147,0.97811,0.98908,432875,22,0
41,2016-02-11,0.98911,0.99295,0.97724,0.99107,532411,22,0
42,2016-02-12,0.99106,0.99179,0.98086,0.98293,379372,22,0
43,2016-02-14,0.98426,0.98529,0.98377,0.98465,3174,22,0
44,2016-02-15,0.98468,0.99161,0.98346,0.98685,226564,22,0
45,2016-02-16,0.98693,0.99008,0.98286,0.98638,333886,22,0
46,2016-02-17,0.98636,0.98709,0.98001,0.9818,377919,22,0
47,2016-02-18,0.98182,0.98363,0.97624,0.98172,321283,22,0
48,2016-02-19,0.9817,0.98489,0.97665,0.98337,280774,22,0
49,2016-02-21,0.98544,0.98601,0.98384,0.98403,4922,37,0
50,2016-02-22,0.98409,0.99243,0.98374,0.99079,261336,22,0
51,2016-02-23,0.99076,0.99648,0.9896,0.99051,292964,22,0
