,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,86.93,87.416,86.645,87.254,109191,14,0
1,2015-12-24,87.257,87.32,86.707,86.825,67480,16,0
2,2015-12-27,86.701,86.987,86.696,86.877,2107,37,0
3,2015-12-28,86.853,87.072,86.493,86.579,99178,14,0
4,2015-12-29,86.58,87.133,86.379,87.039,114725,14,0
5,2015-12-30,87.039,87.147,86.556,86.8,98845,14,0
6,2015-12-31,86.801,87.015,86.465,86.818,102018,14,0
7,2016-01-03,86.976,86.992,86.7,86.712,3075,16,0
8,2016-01-04,86.716,86.918,85.177,85.653,173793,14,0
9,2016-01-05,85.653,86.107,84.829,85.192,152235,14,0
10,2016-01-06,85.194,85.246,83.908,84.137,204733,14,0
11,2016-01-07,84.145,84.413,82.903,83.267,301464,14,0
12,2016-01-08,83.267,84.316,82.683,82.697,230793,16,0
13,2016-01-10,82.698,82.703,82.266,82.331,6711,16,0
14,2016-01-11,82.337,83.889,82.27,82.767,197541,14,0
15,2016-01-12,82.772,83.187,82.111,82.476,200354,14,0
16,2016-01-13,82.478,83.411,81.852,81.998,191015,14,0
17,2016-01-14,81.998,82.371,81.56,82.304,223134,14,0
18,2016-01-15,82.303,82.44,80.146,80.372,252825,16,0
19,2016-01-17,79.917,80.244,79.917,80.243,6132,16,0
20,2016-01-18,80.243,81.052,80.172,80.685,154748,14,0
21,2016-01-19,80.683,81.805,80.483,80.706,200891,14,0
22,2016-01-20,80.723,80.848,78.941,80.607,317334,14,0
23,2016-01-21,80.606,82.691,80.114,82.531,368906,14,0
24,2016-01-22,82.539,84.096,82.203,84.096,287263,16,0
25,2016-01-24,83.831,83.993,83.831,83.938,3244,16,0
26,2016-01-25,83.944,84.108,82.748,82.783,241208,14,0
27,2016-01-26,82.788,84.44,82.187,83.87,237317,14,0
28,2016-01-27,83.87,84.777,83.419,84.145,288143,14,0
29,2016-01-28,84.147,85.301,83.933,84.617,378537,14,0
30,2016-01-29,84.618,86.946,84.317,86.63,443491,16,0
31,2016-01-31,86.805,86.805,86.671,86.775,4168,16,0
32,2016-02-01,86.78,87.04,85.847,86.732,238440,14,0
33,2016-02-02,86.734,86.779,85.16,85.232,231969,14,0
34,2016-02-03,85.229,86.196,84.481,85.597,348200,14,0
35,2016-02-04,85.599,86.206,84.752,84.953,349804,14,0
36,2016-02-05,84.957,85.305,83.902,83.902,309721,16,0
37,2016-02-07,84.032,84.213,84.028,84.144,8679,16,0
38,2016-02-08,84.147,84.712,82.572,82.874,303529,14,0
39,2016-02-09,82.88,83.679,81.9,82.94,465405,14,0
40,2016-02-10,82.941,83.21,81.259,81.47,538820,14,0
41,2016-02-11,81.475,81.543,79.267,80.868,631505,14,0
42,2016-02-12,80.87,82.042,80.273,81.699,498471,16,0
43,2016-02-14,81.785,81.956,81.749,81.912,4070,16,0
44,2016-02-15,81.918,82.988,81.867,82.706,246019,14,0
45,2016-02-16,82.707,83.502,81.696,82.359,333615,14,0
46,2016-02-17,82.361,83.631,81.585,83.332,347390,14,0
47,2016-02-18,83.334,83.578,82.28,82.517,301856,14,0
48,2016-02-19,82.52,82.533,81.36,81.656,260921,16,0
49,2016-02-21,81.657,81.724,81.65,81.651,8079,20,0
50,2016-02-22,81.651,82.783,81.532,82.337,223616,14,0
51,2016-02-23,82.337,82.46,81.029,81.218,291682,14,0
52,2016-02-24,81.219,81.92,80.347,81.758,285640,14,0
53,2016-02-25,81.757,83.591,81.553,83.357,297866,14,0
54,2016-02-26,83.36,84.328,83.132,84.328,267559,16,0
55,2016-02-28,84.234,84.273,84.015,84.019,6542,16,0
56,2016-02-29,84.019,84.069,82.77,82.979,316596,14,0
57,2016-03-01,83.022,85.25,82.801,84.956,291440,14,0
58,2016-03-02,84.959,85.204,84.253,84.591,288485,14,0
59,2016-03-03,84.589,85.216,84.416,84.753,244857,14,0
60,2016-03-04,84.75,85.754,84.373,85.356,267251,16,0
