,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,1.08175,1.08251,1.08006,1.08024,174709,12,0
1,2015-12-24,1.08036,1.08212,1.07997,1.08117,97820,12,0
2,2015-12-27,1.08137,1.08273,1.08076,1.08176,516,38,0
3,2015-12-28,1.08199,1.08541,1.08125,1.08414,110149,12,0
4,2015-12-29,1.0842,1.08559,1.08263,1.08407,101709,12,0
5,2015-12-30,1.08421,1.08504,1.07774,1.08024,148506,12,0
6,2015-12-31,1.08031,1.08947,1.07931,1.08812,134040,12,0
7,2016-01-03,1.08754,1.08808,1.08564,1.08605,845,45,0
8,2016-01-04,1.08635,1.09004,1.08355,1.08521,212313,12,0
9,2016-01-05,1.0852,1.08782,1.08347,1.0844,156386,12,0
10,2016-01-06,1.08441,1.08691,1.0826500000000001,1.08557,194967,12,0
11,2016-01-07,1.08567,1.0884,1.08414,1.08558,228832,12,0
12,2016-01-08,1.08564,1.08841,1.08422,1.08609,209100,12,0
13,2016-01-10,1.08542,1.08718,1.08534,1.08663,5756,26,0
14,2016-01-11,1.08668,1.08827,1.08362,1.08771,192941,12,0
15,2016-01-12,1.08775,1.08858,1.08428,1.08757,177344,12,0
16,2016-01-13,1.08765,1.09541,1.08694,1.0949,188608,12,0
17,2016-01-14,1.09493,1.09815,1.09098,1.09175,231786,12,0
18,2016-01-15,1.09176,1.09611,1.09115,1.09349,249803,12,0
19,2016-01-17,1.09276,1.09468,1.09241,1.09285,6226,24,0
20,2016-01-18,1.09293,1.09623,1.09282,1.0946,190280,12,0
21,2016-01-19,1.09454,1.09642,1.09114,1.09496,180384,12,0
22,2016-01-20,1.09493,1.0977999999999999,1.09074,1.09398,210729,12,0
23,2016-01-21,1.0937999999999999,1.09731,1.09175,1.0951,264298,12,0
24,2016-01-22,1.09501,1.09863,1.09223,1.09591,178714,12,0
25,2016-01-24,1.0966,1.09735,1.09656,1.09717,704,21,0
26,2016-01-25,1.09725,1.10061,1.09568,1.09888,248223,12,0
27,2016-01-26,1.09889,1.10594,1.0985,1.10538,185904,12,0
28,2016-01-27,1.10545,1.10752,1.10291,1.10616,276718,12,0
29,2016-01-28,1.10623,1.11064,1.10452,1.10905,222252,12,0
30,2016-01-29,1.10916,1.11649,1.10572,1.10719,312883,12,0
31,2016-01-31,1.10632,1.10883,1.10632,1.10853,2682,30,0
32,2016-02-01,1.10857,1.11158,1.10743,1.11028,205472,12,0
33,2016-02-02,1.11028,1.11588,1.11001,1.11255,212802,12,0
34,2016-02-03,1.11262,1.11601,1.10978,1.11467,285730,12,0
35,2016-02-04,1.11449,1.11988,1.11144,1.11309,339693,12,0
36,2016-02-05,1.11271,1.11345,1.10337,1.10483,319140,12,0
37,2016-02-07,1.10599,1.10659,1.1054,1.10558,2051,17,0
38,2016-02-08,1.10558,1.10948,1.10181,1.1051,255572,12,0
39,2016-02-09,1.10511,1.10538,1.09574,1.09871,355190,12,0
40,2016-02-10,1.09843,1.09955,1.09512,1.09812,327778,12,0
41,2016-02-11,1.09811,1.10425,1.09493,1.1003,396767,12,0
42,2016-02-12,1.10051,1.10215,1.09648,1.09913,303006,12,0
43,2016-02-14,1.09826,1.09941,1.09788,1.09836,2247,18,0
44,2016-02-15,1.0984099999999999,1.10312,1.09735,1.10128,286560,12,0
45,2016-02-16,1.10138,1.1031900000000001,1.10058,1.10108,209160,12,0
46,2016-02-17,1.10113,1.1060699999999999,1.10056,1.1044,204385,12,0
47,2016-02-18,1.10443,1.10541,1.10206,1.10279,232997,12,0
48,2016-02-19,1.10289,1.10481,1.09977,1.10177,205744,12,0
49,2016-02-21,1.09857,1.1012,1.09857,1.10116,4482,34,0
50,2016-02-22,1.10127,1.10266,1.09921,1.10248,215966,12,0
51,2016-02-23,1.10234,1.10271,1.0915300000000001,1.0926,223145,12,0
52,2016-02-24,1.0926,1.09422,1.08644,1.08914,243522,12,0
53,2016-02-25,1.08918,1.09477,1.08888,1.09155,243349,12,0
54,2016-02-26,1.09146,1.0941,1.08811,1.08857,220158,12,0
55,2016-02-28,1.08894,1.09037,1.08817,1.08839,3154,30,0
56,2016-02-29,1.08844,1.09297,1.08094,1.0860400000000001,238084,12,0
57,2016-03-01,1.0861399999999999,1.08777,1.08224,1.0835,231669,12,0
58,2016-03-02,1.08372,1.08589,1.08202,1.08306,211521,11,0
59,2016-03-03,1.0830899999999999,1.0873599999999999,1.08269,1.08581,222924,12,0
60,2016-03-04,1.08602,1.09466,1.08505,1.09268,249360,12,0
61,2016-03-06,1.09179,1.09292,1.0915,1.0927,2893,29,0
62,2016-03-07,1.0927,1.0974,1.09164,1.09652,180672,12,0
63,2016-03-08,1.09651,1.09692,1.09167,1.09558,184041,12,0
64,2016-03-09,1.09567,1.09995,1.09465,1.09655,198902,11,0
65,2016-03-10,1.09684,1.10219,1.08915,1.10101,439799,12,0
66,2016-03-11,1.10064,1.10167,1.09342,1.09534,271854,11,0
67,2016-03-13,1.09545,1.09728,1.09494,1.0965799999999999,21587,15,0
68,2016-03-14,1.09656,1.09908,1.0945,1.09625,192351,12,0
69,2016-03-15,1.09625,1.0971,1.09433,1.09595,180463,11,0
70,2016-03-16,1.09591,1.09819,1.09388,1.09707,243458,12,0
71,2016-03-17,1.09704,1.09952,1.09215,1.09451,248346,12,0
72,2016-03-18,1.09454,1.09468,1.09046,1.09205,174002,12,0
73,2016-03-20,1.09252,1.09332,1.09228,1.09316,998,12,0
74,2016-03-21,1.0932,1.09429,1.0893,1.0909200000000001,125713,12,0
75,2016-03-22,1.09094,1.09164,1.08748,1.09113,149013,12,0
76,2016-03-23,1.09115,1.09238,1.08737,1.09051,56751,12,0
77,2016-03-24,1.09053,1.09087,1.08742,1.09038,57367,12,0
78,2016-03-25,1.09038,1.09242,1.0888,1.09196,44128,12,0
79,2016-03-27,1.09101,1.09159,1.09056,1.09147,1298,47,0
80,2016-03-28,1.09142,1.09212,1.08978,1.09023,121787,12,0
81,2016-03-29,1.09037,1.09286,1.08842,1.09077,192916,12,0
82,2016-03-30,1.09077,1.09422,1.08917,1.09315,195488,12,0
83,2016-03-31,1.09308,1.09531,1.09055,1.09422,206932,12,0
84,2016-04-01,1.09424,1.09501,1.09007,1.09007,196845,12,0
85,2016-04-03,1.09108,1.0923,1.09041,1.09157,2770,12,0
86,2016-04-04,1.09162,1.0931899999999999,1.09115,1.09192,129455,12,0
87,2016-04-05,1.09187,1.09247,1.08778,1.08827,173310,12,0
88,2016-04-06,1.08827,1.09118,1.08809,1.08938,173502,12,0
89,2016-04-07,1.08938,1.09066,1.08427,1.08698,171187,12,0
90,2016-04-08,1.087,1.08943,1.08554,1.0859,157284,12,0
91,2016-04-10,1.0873599999999999,1.08738,1.08621,1.08679,1412,12,0
92,2016-04-11,1.08697,1.08981,1.08636,1.08884,140696,12,0
93,2016-04-12,1.0888,1.08926,1.08719,1.08738,150018,12,0
94,2016-04-13,1.08748,1.09108,1.08707,1.09012,146422,12,0
95,2016-04-14,1.09019,1.09036,1.08662,1.0886,184834,12,0
96,2016-04-15,1.08859,1.09269,1.08846,1.09127,126343,12,0
97,2016-04-17,1.09026,1.09175,1.09026,1.0913,1448,16,0
98,2016-04-18,1.09128,1.09231,1.09025,1.09096,147801,12,0
99,2016-04-19,1.0909,1.09288,1.09033,1.09229,148960,12,0
100,2016-04-20,1.09214,1.09892,1.09173,1.09755,139663,12,0
101,2016-04-21,1.09784,1.10088,1.09629,1.09952,192407,12,0
102,2016-04-22,1.0996299999999999,1.10158,1.0975,1.0975,125625,12,0
103,2016-04-24,1.0984099999999999,1.09859,1.09764,1.09803,1368,22,0
104,2016-04-25,1.09803,1.09933,1.09639,1.09877,137739,12,0
105,2016-04-26,1.09883,1.10031,1.09823,1.10021,124695,12,0
106,2016-04-27,1.10011,1.10094,1.09895,1.09982,195430,12,0
107,2016-04-28,1.10002,1.10052,1.09641,1.09695,176010,12,0
108,2016-04-29,1.09701,1.09939,1.09547,1.09733,172496,12,0
109,2016-05-01,1.09686,1.09845,1.09677,1.0981,1698,30,0
110,2016-05-02,1.09813,1.10093,1.09813,1.10055,172432,12,0
111,2016-05-03,1.10055,1.10163,1.09594,1.0974,166107,12,0
112,2016-05-04,1.09741,1.10033,1.09695,1.09961,156835,12,0
113,2016-05-05,1.09957,1.10493,1.09945,1.1036,155021,12,0
114,2016-05-06,1.10358,1.10928,1.10335,1.10855,125000,12,0
115,2016-05-08,1.10776,1.10843,1.10776,1.1083,727,32,0
116,2016-05-09,1.1083,1.10874,1.10366,1.10534,131602,12,0
117,2016-05-10,1.1054,1.11031,1.10505,1.10957,118578,12,0
118,2016-05-11,1.10957,1.1108,1.10801,1.1091,92080,12,0
119,2016-05-12,1.10905,1.10979,1.1026,1.10412,104809,12,0
120,2016-05-13,1.10412,1.10508,1.10144,1.10189,107803,12,0
121,2016-05-15,1.1021,1.10278,1.1021,1.10276,504,22,0
122,2016-05-16,1.10287,1.10718,1.10192,1.10608,88460,12,0
123,2016-05-17,1.1061,1.10952,1.10569,1.10895,104266,12,0
124,2016-05-18,1.10898,1.10968,1.10645,1.10775,106908,12,0
125,2016-05-19,1.10777,1.10995,1.10671,1.10935,123927,12,0
126,2016-05-20,1.10938,1.11281,1.10935,1.11111,72182,12,0
127,2016-05-22,1.11038,1.11165,1.11,1.11117,2898,31,0
128,2016-05-23,1.11117,1.11233,1.10926,1.11021,99248,12,0
129,2016-05-24,1.11016,1.1113,1.10595,1.10661,83186,12,0
130,2016-05-25,1.10631,1.10682,1.10379,1.10574,97482,12,0
131,2016-05-26,1.10575,1.10866,1.10528,1.10698,88962,12,0
132,2016-05-27,1.10696,1.10788,1.10397,1.10504,62666,12,0
133,2016-05-29,1.10501,1.1054599999999999,1.10477,1.10527,510,28,0
134,2016-05-30,1.10528,1.10708,1.10406,1.10476,50632,12,0
135,2016-05-31,1.10473,1.10739,1.10292,1.1058,71834,12,0
136,2016-06-01,1.10588,1.10694,1.10234,1.1054,79127,12,0
137,2016-06-02,1.10552,1.10673,1.10359,1.10459,79698,12,0
138,2016-06-03,1.10433,1.11055,1.1032,1.10894,85261,12,0
139,2016-06-05,1.10901,1.11027,1.10838,1.1091199999999999,764,12,0
140,2016-06-06,1.1091199999999999,1.10981,1.10177,1.10226,92531,12,0
141,2016-06-07,1.10241,1.10326,1.09592,1.09619,75446,12,0
142,2016-06-08,1.09619,1.09851,1.09251,1.09307,74536,12,0
143,2016-06-09,1.09308,1.09348,1.0885,1.09146,75252,12,0
144,2016-06-10,1.09148,1.09148,1.08443,1.08498,83236,12,0
145,2016-06-12,1.0860400000000001,1.08607,1.0842,1.08511,1170,28,0
146,2016-06-13,1.08515,1.09222,1.08392,1.08812,112581,12,0
147,2016-06-14,1.0881,1.0884,1.07895,1.0799,97227,12,0
148,2016-06-15,1.07987,1.08602,1.07925,1.08288,134422,12,0
149,2016-06-16,1.08287,1.0864,1.07762,1.08351,141517,12,0
150,2016-06-17,1.08337,1.08735,1.0809,1.08113,86171,12,0
151,2016-06-19,1.08993,1.09057,1.08717,1.08975,1039,12,0
152,2016-06-20,1.08989,1.0908,1.0860400000000001,1.08776,87125,12,0
153,2016-06-21,1.08778,1.09035,1.07975,1.08245,71207,12,0
154,2016-06-22,1.0824799999999999,1.08683,1.08013,1.08644,69238,12,0
155,2016-06-23,1.08638,1.10117,1.08356,1.10049,112839,12,0
156,2016-06-24,1.10042,1.10122,1.06213,1.08158,257492,12,0
157,2016-06-26,1.07355,1.07495,1.07338,1.07441,1044,20,0
158,2016-06-27,1.0743800000000001,1.0805,1.07152,1.07692,163122,12,0
159,2016-06-28,1.07702,1.08729,1.07702,1.08563,104225,12,0
160,2016-06-29,1.08568,1.08986,1.08358,1.08935,95747,12,0
161,2016-06-30,1.08941,1.08982,1.0799,1.08369,107079,12,0
162,2016-07-01,1.08368,1.08575,1.08186,1.08344,90144,12,0
163,2016-07-03,1.08426,1.08547,1.08321,1.08347,871,80,0
164,2016-07-04,1.08372,1.08527,1.08171,1.08278,65525,12,0
165,2016-07-05,1.08275,1.08484,1.08048,1.08146,81632,12,0
166,2016-07-06,1.08163,1.08401,1.07934,1.08213,99197,12,0
167,2016-07-07,1.08214,1.08365,1.08046,1.08281,76459,12,0
168,2016-07-08,1.08268,1.08735,1.0824799999999999,1.08633,75763,12,0
169,2016-07-10,1.08445,1.08582,1.08442,1.08563,646,20,0
170,2016-07-11,1.08565,1.08738,1.0846,1.0868,77570,12,0
171,2016-07-12,1.0869,1.09442,1.08641,1.09371,84869,12,0
172,2016-07-13,1.09356,1.09438,1.08979,1.09245,82922,12,0
173,2016-07-14,1.09244,1.09423,1.088,1.09019,94023,12,0
174,2016-07-15,1.09041,1.09162,1.08369,1.08443,105474,12,0
175,2016-07-17,1.08533,1.08582,1.0843,1.08555,1052,25,0
176,2016-07-18,1.0856,1.08939,1.0856,1.08782,92643,12,0
177,2016-07-19,1.08776,1.08904,1.08372,1.08578,83674,12,0
178,2016-07-20,1.08579,1.08912,1.0843099999999999,1.08692,97545,12,0
179,2016-07-21,1.08691,1.09034,1.08586,1.0867499999999999,101853,12,0
180,2016-07-22,1.08674,1.08755,1.08283,1.08316,76443,12,0
181,2016-07-24,1.08334,1.08379,1.08303,1.08368,1754,24,0
182,2016-07-25,1.08372,1.08461,1.08172,1.08399,70628,12,0
183,2016-07-26,1.08395,1.09072,1.08301,1.08956,73428,12,0
184,2016-07-27,1.08961,1.09367,1.08915,1.09011,91662,12,0
185,2016-07-28,1.09009,1.09334,1.0858,1.08602,87620,12,0
186,2016-07-29,1.08615,1.0866,1.07887,1.08279,101682,12,0
187,2016-07-31,1.083,1.08348,1.0825,1.0826500000000001,829,21,0
188,2016-08-01,1.08281,1.08358,1.07944,1.08061,59585,12,0
189,2016-08-02,1.08064,1.08343,1.08048,1.08231,68098,12,0
190,2016-08-03,1.08229,1.08582,1.08188,1.08478,72680,12,0
191,2016-08-04,1.0848,1.08512,1.0826500000000001,1.08382,76134,12,0
192,2016-08-05,1.08382,1.08772,1.08365,1.08681,64031,12,0
193,2016-08-07,1.0860400000000001,1.08745,1.08513,1.08676,1558,12,0
194,2016-08-08,1.08678,1.09032,1.08642,1.08922,50418,12,0
195,2016-08-09,1.08921,1.09192,1.08864,1.09082,53580,12,0
196,2016-08-10,1.09083,1.09245,1.08901,1.08962,53950,12,0
197,2016-08-11,1.08959,1.08992,1.08535,1.08606,51604,12,0
198,2016-08-12,1.08612,1.08988,1.08545,1.0875,46371,12,0
199,2016-08-14,1.08785,1.08886,1.08703,1.08796,1139,34,0
200,2016-08-15,1.08808,1.09021,1.08715,1.08805,38438,12,0
201,2016-08-16,1.08806,1.08888,1.08344,1.08448,62375,12,0
202,2016-08-17,1.08452,1.08639,1.08347,1.08611,53583,12,0
203,2016-08-18,1.08608,1.08698,1.08308,1.0838700000000001,62719,12,0
204,2016-08-19,1.08389,1.08738,1.08262,1.08702,50841,12,0
205,2016-08-21,1.08742,1.08782,1.08597,1.08702,2161,32,0
206,2016-08-22,1.08695,1.08948,1.0859,1.08917,48953,12,0
207,2016-08-23,1.08915,1.09061,1.08759,1.08842,45427,12,0
208,2016-08-24,1.0886,1.08983,1.08685,1.08908,49031,12,0
