,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,132.55,132.626,131.498,131.851,232299,10,0
1,2015-12-24,131.852,132.003,131.586,131.748,118149,10,0
2,2015-12-27,131.704,131.878,131.6,131.822,3012,24,0
3,2015-12-28,131.823,132.461,131.721,132.118,210214,10,0
4,2015-12-29,132.119,132.351,131.353,131.606,331021,10,0
5,2015-12-30,131.616,131.92,131.446,131.676,182749,10,0
6,2015-12-31,131.685,131.774,130.454,130.562,166020,10,0
7,2016-01-03,130.679,130.753,130.619,130.707,5304,10,0
8,2016-01-04,130.72,130.726,128.673,129.193,385020,10,0
9,2016-01-05,129.193,129.473,127.515,128.084,306612,10,0
10,2016-01-06,128.085,128.179,127.016,127.635,390815,10,0
11,2016-01-07,127.647,128.622,126.78,128.439,499366,10,0
12,2016-01-08,128.439,129.083,128.033,128.101,465381,10,0
13,2016-01-10,127.946,127.959,127.629,127.831,20674,10,0
14,2016-01-11,127.833,128.463,127.306,127.852,441966,10,0
15,2016-01-12,127.852,128.004,127.454,127.711,399911,10,0
16,2016-01-13,127.71,128.541,127.632,128.001,378172,10,0
17,2016-01-14,128.004,128.751,127.74,128.31,451586,10,0
18,2016-01-15,128.316,128.398,127.58,127.662,478352,10,0
19,2016-01-17,127.578,127.71,127.404,127.544,9815,10,0
20,2016-01-18,127.544,127.942,127.347,127.851,281555,10,0
21,2016-01-19,127.849,128.557,127.784,128.358,347087,10,0
22,2016-01-20,128.363,128.365,126.623,127.395,468394,10,0
23,2016-01-21,127.39,128.192,126.162,128.03,554264,10,0
24,2016-01-22,128.03,128.428,127.416,128.223,382285,10,0
25,2016-01-24,128.147,128.216,128.065,128.15,6902,10,0
26,2016-01-25,128.152,128.54,127.849,128.394,324144,10,0
27,2016-01-26,128.399,128.728,127.816,128.701,327131,10,0
28,2016-01-27,128.703,129.482,128.246,129.29,407752,10,0
29,2016-01-28,129.296,130.215,128.94,129.93,373477,10,0
30,2016-01-29,129.93,132.288,129.519,131.146,566435,10,0
31,2016-01-31,131.396,131.458,131.231,131.445,8520,16,0
32,2016-02-01,131.446,132.021,131.25,131.778,351002,10,0
33,2016-02-02,131.776,131.968,130.761,130.807,354183,10,0
34,2016-02-03,130.808,130.957,130.048,130.819,565937,10,0
35,2016-02-04,130.818,131.657,130.636,130.894,593139,10,0
36,2016-02-05,130.865,131.016,130.156,130.313,461929,10,0
37,2016-02-07,130.149,130.379,130.126,130.316,8186,11,0
38,2016-02-08,130.319,130.9,128.756,129.332,540809,10,0
