,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-20,9.51123,9.51539,9.49779,9.50547,599,981,0
1,2015-12-21,9.5083,9.59895,9.49337,9.57239,47716,279,0
2,2015-12-22,9.57229,9.57874,9.52398,9.54758,35685,279,0
3,2015-12-23,9.54678,9.56938,9.48671,9.49525,45059,279,0
4,2015-12-24,9.495190000000001,9.529,9.472,9.51499,29622,279,0
5,2015-12-27,9.47562,9.47562,9.47439,9.47441,5,4460,0
6,2015-12-28,9.47974,9.55923,9.47803,9.52663,30274,279,0
7,2015-12-29,9.5273,9.5418,9.48775,9.49366,39497,279,0
8,2015-12-30,9.495190000000001,9.64768,9.49516,9.59899,39496,279,0
9,2015-12-31,9.59899,9.641,9.53238,9.60454,31375,279,0
10,2016-01-03,9.58279,9.60249,9.58029,9.59383,493,701,0
11,2016-01-04,9.59414,9.68097,9.57299,9.60519,63403,279,0
12,2016-01-05,9.60679,9.63462,9.56044,9.56907,50551,279,0
13,2016-01-06,9.56937,9.66807,9.55469,9.64629,45019,279,0
14,2016-01-07,9.64784,9.72428,9.63793,9.69428,57598,279,0
15,2016-01-08,9.69775,9.71745,9.64117,9.66797,77051,279,0
16,2016-01-10,9.68163,9.68163,9.666,9.67164,1974,605,0
17,2016-01-11,9.67496,9.73916,9.63959,9.70119,77981,279,0
18,2016-01-12,9.70119,9.74681,9.59569,9.63688,95616,279,0
19,2016-01-13,9.63708,9.63708,9.53208,9.59032,104090,279,0
20,2016-01-14,9.59105,9.6569,9.503260000000001,9.50468,130122,279,0
21,2016-01-15,9.51004,9.68968,9.50779,9.61363,90105,279,0
22,2016-01-17,9.64923,9.65534,9.60442,9.63343,1076,572,0
23,2016-01-18,9.63343,9.70867,9.63025,9.68612,67106,279,0
24,2016-01-19,9.68674,9.70119,9.57745,9.61915,132815,279,0
25,2016-01-20,9.62404,9.72064,9.61007,9.6695,105409,279,0
26,2016-01-21,9.66954,9.73826,9.5243,9.54607,142680,279,0
27,2016-01-22,9.54515,9.54823,9.42013,9.42013,98929,279,0
28,2016-01-24,9.42922,9.44108,9.42275,9.42666,1587,800,0
29,2016-01-25,9.42817,9.51594,9.4176,9.49729,133455,279,0
30,2016-01-26,9.49823,9.5304,9.40893,9.45073,129358,279,0
31,2016-01-27,9.45169,9.49338,9.39799,9.43609,160714,279,0
32,2016-01-28,9.43609,9.47405,9.3898,9.41047,146847,279,0
33,2016-01-29,9.41763,9.49609,9.3757,9.39373,138650,279,0
34,2016-01-31,9.39489,9.40519,9.39489,9.40263,168,551,0
35,2016-02-01,9.40279,9.4979,9.37545,9.45654,130352,279,0
36,2016-02-02,9.45642,9.55698,9.44872,9.50826,121383,279,0
37,2016-02-03,9.51084,9.57931,9.46799,9.48849,107773,279,0
38,2016-02-04,9.48984,9.54575,9.45214,9.50835,114604,279,0
39,2016-02-05,9.50797,9.59235,9.49116,9.49116,93743,279,0
40,2016-02-07,9.53424,9.54205,9.53101,9.53452,2006,985,0
41,2016-02-08,9.53816,9.62527,9.52549,9.60013,137211,279,0
42,2016-02-09,9.60013,9.71853,9.59667,9.68549,171288,279,0
43,2016-02-10,9.68549,9.69078,9.53848,9.60885,117073,279,0
44,2016-02-11,9.61235,9.74618,9.60045,9.67472,144316,279,0
45,2016-02-12,9.67538,9.70353,9.63788,9.64633,104752,279,0
46,2016-02-14,9.64883,9.66169,9.62972,9.65491,999,843,0
47,2016-02-15,9.65491,9.65965,9.61186,9.61472,47565,279,0
48,2016-02-16,9.6177,9.64132,9.57629,9.60689,84396,279,0
