,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,179.443,180.15,179.309,179.799,223000,20,0
1,2015-12-24,179.801,179.965,178.951,179.549,141268,20,0
2,2015-12-27,179.125,179.466,179.123,179.405,4208,35,0
3,2015-12-28,179.405,180.043,178.965,179.153,201356,20,0
4,2015-12-29,179.162,179.542,178.115,178.466,182063,20,0
5,2015-12-30,178.466,179.033,178.245,178.46,192966,20,0
6,2015-12-31,178.459,178.707,176.954,177.124,187593,20,0
7,2016-01-03,177.09,177.311,177.075,177.226,3308,20,0
8,2016-01-04,177.227,177.363,174.95,175.571,409491,20,0
9,2016-01-05,175.573,176.157,174.083,174.8,341444,20,0
10,2016-01-06,174.808,174.913,173.089,173.262,408442,20,0
11,2016-01-07,173.27,173.752,170.747,172.012,498556,20,0
12,2016-01-08,172.01,173.375,170.049,170.049,470650,20,0
13,2016-01-10,170.179,170.199,169.303,169.419,14570,20,0
14,2016-01-11,169.432,172.275,169.357,171.233,441218,20,0
15,2016-01-12,171.237,171.69,169.16,169.826,456739,20,0
16,2016-01-13,169.827,171.285,169.437,169.587,408489,20,0
17,2016-01-14,169.587,170.513,168.826,170.316,489037,20,0
18,2016-01-15,170.32,170.563,166.237,166.701,549377,20,0
19,2016-01-17,166.195,166.751,166.195,166.68,8130,20,0
20,2016-01-18,166.679,168.148,166.601,167.33,348872,20,0
21,2016-01-19,167.331,169.094,166.326,166.591,429534,20,0
22,2016-01-20,166.597,166.817,163.975,165.927,560449,20,0
23,2016-01-21,165.93,167.711,164.447,167.502,655670,20,0
24,2016-01-22,167.512,170.351,167.073,169.422,481700,20,0
25,2016-01-24,169.221,169.466,169.197,169.394,4184,20,0
26,2016-01-25,169.395,170.0,168.303,168.508,394499,20,0
27,2016-01-26,168.512,170.265,166.971,169.943,401791,20,0
28,2016-01-27,169.939,170.023,168.557,168.907,457036,20,0
29,2016-01-28,168.909,171.143,168.667,170.541,458656,20,0
30,2016-01-29,170.541,174.167,170.008,172.453,667070,20,0
31,2016-01-31,172.853,172.853,172.59,172.792,8797,20,0
32,2016-02-01,172.799,175.013,172.413,174.495,415504,20,0
33,2016-02-02,174.499,174.558,172.436,172.556,437778,20,0
34,2016-02-03,172.551,173.748,171.032,172.204,667220,20,0
35,2016-02-04,172.21,172.469,170.021,170.305,623551,20,0
36,2016-02-05,170.297,170.529,168.975,169.352,541782,20,0
37,2016-02-07,169.327,169.587,169.287,169.547,11254,20,0
38,2016-02-08,169.553,170.626,165.958,166.592,624507,20,0
39,2016-02-09,166.597,167.137,164.549,166.525,745716,20,0
40,2016-02-10,166.52,167.629,164.411,164.934,773835,20,0
41,2016-02-11,164.945,164.989,159.801,162.928,972786,20,0
42,2016-02-12,162.929,164.763,161.649,164.151,824398,20,0
43,2016-02-14,164.276,164.707,164.141,164.613,6648,20,0
44,2016-02-15,164.625,165.746,164.368,165.208,464115,20,0
45,2016-02-16,165.205,166.082,162.43,163.368,557806,20,0
46,2016-02-17,163.37,163.875,161.559,162.996,578220,20,0
47,2016-02-18,162.999,163.958,162.037,162.384,523250,20,0
48,2016-02-19,162.387,162.502,160.723,162.04,519086,20,0
49,2016-02-21,160.591,161.08,160.503,160.93,10174,29,0
50,2016-02-22,160.936,161.553,159.125,159.76,527716,20,0
51,2016-02-23,159.76,159.911,156.956,157.028,583629,20,0
52,2016-02-24,157.032,157.304,154.713,156.058,628814,20,0
53,2016-02-25,156.054,157.898,155.777,157.535,562849,20,0
54,2016-02-26,157.542,158.543,157.193,158.014,527534,20,0
55,2016-02-28,157.899,157.964,157.555,157.582,9345,20,0
56,2016-02-29,157.582,157.733,156.116,156.435,543940,4,0
57,2016-03-01,156.428,159.519,156.209,159.072,531455,20,0
58,2016-03-02,159.106,160.57,158.737,159.907,493923,2,0
59,2016-03-03,159.91,161.285,159.643,161.157,472096,20,0
60,2016-03-04,161.149,162.437,160.41,161.714,525020,20,0
61,2016-03-06,161.922,161.984,161.776,161.911,9311,34,0
62,2016-03-07,161.919,162.222,160.369,161.657,401157,20,0
63,2016-03-08,161.653,161.859,159.591,160.107,469715,16,0
64,2016-03-09,160.107,161.348,159.471,161.013,452121,20,0
65,2016-03-10,161.019,162.878,160.72,161.627,661176,20,0
66,2016-03-11,161.636,164.093,161.049,163.622,450938,20,0
67,2016-03-13,163.73,163.786,163.39,163.461,19544,35,0
68,2016-03-14,163.457,163.976,162.586,162.685,311743,20,0
69,2016-03-15,162.693,162.937,159.536,160.262,421491,5,0
70,2016-03-16,160.276,160.91,159.633,160.661,459685,20,0
71,2016-03-17,160.659,161.572,158.998,161.245,438242,20,0
72,2016-03-18,161.243,161.778,160.346,161.388,326076,20,0
73,2016-03-20,161.25,161.281,161.009,161.274,1405,20,0
74,2016-03-21,161.311,161.345,160.13,161.113,219437,20,0
75,2016-03-22,161.112,161.488,158.435,159.652,324079,20,0
76,2016-03-23,159.652,160.01,158.515,158.615,77245,20,0
77,2016-03-24,158.608,159.849,158.449,159.534,69963,20,0
78,2016-03-25,159.542,160.116,159.325,159.782,66680,20,0
79,2016-03-27,159.879,160.082,159.743,160.077,2988,60,0
80,2016-03-28,160.127,161.864,159.982,161.612,182893,20,0
81,2016-03-29,161.613,162.496,161.331,162.097,376100,20,0
82,2016-03-30,162.097,162.572,161.339,161.653,412573,20,0
83,2016-03-31,161.652,162.019,160.882,161.636,361616,20,0
84,2016-04-01,161.636,161.724,158.676,158.686,422792,20,0
85,2016-04-03,158.707,158.848,158.597,158.631,3208,20,0
86,2016-04-04,158.623,159.578,158.157,158.787,330109,20,0
87,2016-04-05,158.791,158.843,155.717,156.197,445366,20,0
88,2016-04-06,156.203,156.655,154.515,154.94,427782,20,0
89,2016-04-07,154.943,155.326,151.639,152.109,582921,20,0
90,2016-04-08,152.119,154.224,152.113,152.56,417862,20,0
