,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,121.026,121.135,120.812,120.917,118328,3,0
1,2015-12-24,120.918,120.982,120.249,120.297,91444,3,0
2,2015-12-27,120.279,120.291,120.102,120.254,1945,5,0
3,2015-12-28,120.252,120.629,120.166,120.364,114224,3,0
4,2015-12-29,120.365,120.508,120.234,120.491,102483,3,0
5,2015-12-30,120.493,120.653,120.35,120.509,96149,3,0
6,2015-12-31,120.509,120.581,120.002,120.278,93597,3,0
7,2016-01-03,120.198,120.319,120.198,120.284,2047,3,0
8,2016-01-04,120.283,120.464,118.701,119.311,276643,3,0
9,2016-01-05,119.309,119.698,118.792,119.118,233555,3,0
10,2016-01-06,119.118,119.166,118.249,118.466,298911,3,0
11,2016-01-07,118.464,118.755,117.328,117.598,380329,3,0
12,2016-01-08,117.618,118.825,117.2,117.251,377571,3,0
13,2016-01-10,117.213,117.213,116.689,116.813,9400,3,0
14,2016-01-11,116.818,118.023,116.811,117.703,343969,3,0
15,2016-01-12,117.7,118.07,117.226,117.733,331809,3,0
16,2016-01-13,117.731,118.379,117.603,117.626,281254,3,0
17,2016-01-14,117.63,118.279,117.29,118.144,347415,3,0
18,2016-01-15,118.144,118.269,116.507,116.945,391127,3,0
19,2016-01-17,116.717,116.985,116.715,116.905,5470,3,0
20,2016-01-18,116.905,117.438,116.859,117.398,233965,3,0
21,2016-01-19,117.397,118.113,117.232,117.614,304980,3,0
22,2016-01-20,117.624,117.675,115.969,116.977,427844,3,0
23,2016-01-21,116.972,117.853,116.469,117.776,492089,3,0
24,2016-01-22,117.776,118.877,117.539,118.769,319442,3,0
25,2016-01-24,118.629,118.782,118.618,118.739,3208,3,0
26,2016-01-25,118.74,118.853,118.169,118.338,291993,3,0
27,2016-01-26,118.336,118.62,117.653,118.446,261087,3,0
28,2016-01-27,118.444,119.068,118.041,118.586,324853,3,0
29,2016-01-28,118.589,118.99,118.413,118.788,302382,3,0
30,2016-01-29,118.785,121.686,118.52,121.111,490244,3,0
31,2016-01-31,121.317,121.393,121.156,121.386,4910,3,0
32,2016-02-01,121.389,121.486,120.677,121.016,254577,3,0
33,2016-02-02,121.018,121.019,119.677,119.746,280251,3,0
34,2016-02-03,119.744,120.044,117.05,118.057,456632,3,0
35,2016-02-04,118.055,118.24,116.526,116.867,446590,3,0
36,2016-02-05,116.834,117.428,116.29,116.789,386401,3,0
37,2016-02-07,116.843,116.994,116.822,116.925,9470,3,0
38,2016-02-08,116.928,117.523,115.171,115.483,425084,3,0
39,2016-02-09,115.488,115.736,114.206,115.105,609423,3,0
40,2016-02-10,115.1,115.259,113.116,113.485,663697,3,0
41,2016-02-11,113.44,113.555,110.967,112.546,751484,3,0
42,2016-02-12,112.558,113.539,111.65,113.232,582255,3,0
43,2016-02-14,113.383,113.593,113.293,113.532,4642,3,0
44,2016-02-15,113.53,114.73,113.27,114.451,322474,3,0
45,2016-02-16,114.449,114.873,113.593,114.223,358155,3,0
46,2016-02-17,114.225,114.503,113.373,114.091,362119,3,0
47,2016-02-18,114.095,114.32,113.141,113.32,298916,3,0
48,2016-02-19,113.32,113.373,112.303,112.532,318786,3,0
49,2016-02-21,112.563,112.639,112.535,112.581,6568,3,0
50,2016-02-22,112.583,113.386,112.423,112.915,250503,3,0
51,2016-02-23,112.915,113.05,111.772,111.983,345027,3,0
52,2016-02-24,111.981,112.263,111.04,112.043,354650,3,0
53,2016-02-25,112.041,113.02,111.896,112.903,342360,3,0
54,2016-02-26,112.899,113.989,112.559,113.969,305203,3,0
55,2016-02-28,113.964,113.981,113.683,113.689,5349,3,0
56,2016-02-29,113.685,113.855,112.179,112.328,352421,3,0
57,2016-03-01,112.329,114.183,112.154,114.042,305683,3,0
58,2016-03-02,114.039,114.555,113.214,113.602,304715,3,0
59,2016-03-03,113.602,114.267,113.296,113.72,271848,3,0
60,2016-03-04,113.719,114.256,113.12,113.708,316379,3,0
61,2016-03-06,113.932,113.932,113.748,113.853,5631,3,0
62,2016-03-07,113.849,113.883,113.223,113.356,238037,3,0
63,2016-03-08,113.358,113.519,112.423,112.669,301438,3,0
64,2016-03-09,112.669,113.453,112.224,113.303,270798,3,0
65,2016-03-10,113.302,114.444,112.6,113.146,465617,3,0
66,2016-03-11,113.148,113.917,112.753,113.835,280405,3,0
67,2016-03-13,113.909,113.914,113.663,113.698,15733,3,0
68,2016-03-14,113.696,114.006,113.505,113.787,192030,3,0
69,2016-03-15,113.79,114.142,112.63,113.198,282824,3,0
70,2016-03-16,113.194,113.816,112.328,112.761,269569,3,0
71,2016-03-17,112.763,112.958,110.666,111.406,370153,3,0
72,2016-03-18,111.4,111.757,110.819,111.523,250047,3,0
73,2016-03-20,111.424,111.523,111.333,111.52,1027,3,0
74,2016-03-21,111.526,112.157,111.218,112.12,146812,3,0
75,2016-03-22,112.118,112.49,111.376,112.318,211483,3,0
76,2016-03-23,112.319,112.904,112.14,112.383,61477,3,0
77,2016-03-24,112.385,112.998,112.291,112.783,48193,3,0
78,2016-03-25,112.784,113.32,112.754,112.999,61723,7,0
79,2016-03-27,113.152,113.33,113.111,113.33,1786,7,0
80,2016-03-28,113.325,113.684,113.149,113.389,84074,7,0
81,2016-03-29,113.386,113.801,112.609,112.685,129418,7,0
82,2016-03-30,112.685,112.801,112.015,112.439,151654,7,0
83,2016-03-31,112.438,112.657,112.107,112.525,145844,7,0
84,2016-04-01,112.531,112.579,111.578,111.593,198180,7,0
85,2016-04-03,111.602,111.72,111.554,111.575,1715,7,0
86,2016-04-04,111.568,111.794,111.094,111.308,154012,7,0
87,2016-04-05,111.31,111.332,109.937,110.33,246397,7,0
88,2016-04-06,110.33,110.639,109.336,109.735,215111,7,0
89,2016-04-07,109.736,109.901,107.663,108.251,310257,7,0
90,2016-04-08,108.257,109.096,108.033,108.048,230959,2,0
91,2016-04-10,107.976,108.147,107.972,108.072,1347,7,0
92,2016-04-11,108.077,108.439,107.629,107.954,230042,7,0
93,2016-04-12,107.959,108.785,107.867,108.622,171540,7,0
94,2016-04-13,108.619,109.403,108.503,109.264,153988,7,0
95,2016-04-14,109.265,109.544,108.894,109.405,154896,7,0
96,2016-04-15,109.406,109.731,108.598,108.713,141894,7,0
97,2016-04-17,108.164,108.28,108.111,108.158,2750,10,0
98,2016-04-18,108.158,108.985,107.835,108.848,190877,7,0
99,2016-04-19,108.848,109.485,108.788,109.261,139481,7,0
100,2016-04-20,109.264,109.877,108.759,109.734,147891,7,0
101,2016-04-21,109.734,109.895,109.32,109.421,183464,7,0
102,2016-04-22,109.422,111.804,109.259,111.737,212854,7,0
103,2016-04-24,111.848,111.878,111.766,111.78,1189,7,0
104,2016-04-25,111.784,111.794,110.838,111.225,203190,7,0
105,2016-04-26,111.224,111.472,110.668,111.289,170073,7,0
106,2016-04-27,111.289,111.755,111.025,111.453,178675,7,0
107,2016-04-28,111.432,111.88,107.863,108.109,381107,7,0
108,2016-04-29,108.112,108.197,106.276,106.319,279438,7,0
109,2016-05-01,106.224,106.358,106.184,106.322,5818,7,0
110,2016-05-02,106.322,106.817,106.135,106.406,231622,7,0
111,2016-05-03,106.417,107.453,105.547,106.932,191657,7,0
112,2016-05-04,106.932,107.361,106.245,107.017,212847,7,0
113,2016-05-05,107.0,107.495,106.802,107.264,74273,7,0
114,2016-05-06,107.264,107.418,106.434,107.101,104234,7,0
115,2016-05-08,107.022,107.285,107.022,107.219,1550,7,0
116,2016-05-09,107.216,108.604,107.138,108.474,91271,7,0
117,2016-05-10,108.481,109.365,108.271,109.343,97491,7,0
118,2016-05-11,109.342,109.342,108.364,108.46,53585,7,0
119,2016-05-12,108.459,109.392,108.224,109.037,63464,7,0
120,2016-05-13,109.032,109.55,108.513,108.621,75153,7,0
121,2016-05-15,108.558,108.665,108.558,108.65,466,7,0
122,2016-05-16,108.653,109.094,108.46,109.059,55158,7,0
123,2016-05-17,109.061,109.65,108.838,109.125,61885,7,0
124,2016-05-18,109.117,110.254,108.721,110.174,79338,7,0
125,2016-05-19,110.176,110.383,109.699,109.954,80119,7,0
126,2016-05-20,109.951,110.586,109.847,110.111,43338,7,0
127,2016-05-22,110.147,110.197,110.114,110.135,864,7,0
128,2016-05-23,110.134,110.235,109.109,109.223,63528,7,0
129,2016-05-24,109.222,110.127,109.168,109.978,53703,7,0
130,2016-05-25,109.976,110.445,109.86,110.171,52498,7,0
131,2016-05-26,110.167,110.228,109.415,109.748,94190,2,0
132,2016-05-27,109.746,110.444,109.47,110.261,83647,2,0
133,2016-05-29,110.418,110.418,110.355,110.399,549,7,0
134,2016-05-30,110.402,111.445,110.388,111.131,73658,7,0
135,2016-05-31,111.132,111.346,110.497,110.725,97201,7,0
136,2016-06-01,110.714,110.83,109.047,109.454,120710,7,0
137,2016-06-02,109.456,109.582,108.52,108.846,115572,7,0
138,2016-06-03,108.843,109.133,106.506,106.51,140403,7,0
139,2016-06-05,106.535,106.599,106.365,106.502,975,7,0
140,2016-06-06,106.502,107.65,106.43,107.525,133805,7,0
141,2016-06-07,107.544,107.901,107.149,107.317,112017,7,0
142,2016-06-08,107.32,107.382,106.582,106.873,119725,7,0
143,2016-06-09,106.872,107.172,106.252,106.957,122094,7,0
144,2016-06-10,106.959,107.259,106.554,106.914,119215,7,0
145,2016-06-12,106.824,106.855,106.748,106.802,373,7,0
146,2016-06-13,106.808,106.846,105.734,106.126,146870,7,0
147,2016-06-14,106.113,106.418,105.625,106.015,134957,7,0
148,2016-06-15,106.012,106.394,105.43,105.997,121479,7,0
149,2016-06-16,105.987,105.998,103.546,104.317,163750,7,0
150,2016-06-17,104.318,104.825,104.062,104.105,124919,7,0
151,2016-06-19,104.684,104.772,104.674,104.727,957,7,0
152,2016-06-20,104.715,104.842,103.765,103.971,114274,7,0
153,2016-06-21,103.971,105.056,103.581,104.767,117098,7,0
154,2016-06-22,104.769,104.972,104.312,104.81,103869,7,0
155,2016-06-23,104.798,106.811,103.999,106.591,132731,7,0
156,2016-06-24,106.589,106.62,98.888,102.126,239339,7,0
157,2016-06-26,101.516,101.869,101.508,101.868,1607,7,0
