,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-20,8.75395,8.76119,8.74672,8.76079,367,821,0
1,2015-12-21,8.75858,8.81185,8.73208,8.77439,121312,279,0
2,2015-12-22,8.77499,8.77519,8.68131,8.71808,105799,279,0
3,2015-12-23,8.71778,8.75189,8.68708,8.70945,83409,279,0
4,2015-12-24,8.70879,8.71489,8.64838,8.68788,40270,279,0
5,2015-12-27,8.63339,8.64536,8.63142,8.64107,95,3828,0
6,2015-12-28,8.64489,8.7093,8.64259,8.68209,84957,279,0
7,2015-12-29,8.68209,8.74679,8.65969,8.69049,71410,279,0
8,2015-12-30,8.68919,8.83848,8.68919,8.78778,74353,279,0
9,2015-12-31,8.78589,8.88008,8.77969,8.83132,68428,279,0
10,2016-01-03,8.81679,8.83559,8.81409,8.82902,748,501,0
11,2016-01-04,8.82812,8.94355,8.80546,8.87179,184373,279,0
12,2016-01-05,8.87297,8.9645,8.85709,8.90224,144739,279,0
13,2016-01-06,8.90239,8.99268,8.88959,8.95529,155256,279,0
14,2016-01-07,8.95499,8.98325,8.87407,8.88119,180576,279,0
15,2016-01-08,8.88099,8.96042,8.82485,8.82536,173806,279,0
16,2016-01-10,8.8643,8.86839,8.83646,8.83833,1770,371,0
17,2016-01-11,8.8391,8.95673,8.82449,8.93599,165981,279,0
18,2016-01-12,8.93559,8.94378,8.8419,8.8844,166756,279,0
19,2016-01-13,8.88459,8.89607,8.78885,8.81629,139959,279,0
20,2016-01-14,8.81599,8.85187,8.75149,8.75929,161577,279,0
21,2016-01-15,8.75879,8.85177,8.75149,8.80443,142963,279,0
22,2016-01-17,8.84749,8.85619,8.79273,8.82879,3872,901,0
23,2016-01-18,8.82749,8.91921,8.82229,8.89384,135978,279,0
24,2016-01-19,8.89417,8.90389,8.7879,8.81689,107358,279,0
25,2016-01-20,8.81319,8.922,8.80459,8.87789,170643,279,0
26,2016-01-21,8.87724,8.95489,8.77299,8.78129,152796,279,0
27,2016-01-22,8.78308,8.80761,8.71487,8.72382,120394,279,0
28,2016-01-24,8.72998,8.74888,8.72939,8.73409,1280,612,0
29,2016-01-25,8.73528,8.79153,8.70808,8.75408,129184,279,0
30,2016-01-26,8.75479,8.7768,8.67528,8.69953,115474,279,0
31,2016-01-27,8.69953,8.73126,8.624929999999999,8.65579,113945,279,0
32,2016-01-28,8.65609,8.6753,8.60349,8.60788,137582,279,0
33,2016-01-29,8.60929,8.7344,8.59707,8.67433,146378,279,0
34,2016-01-31,8.68049,8.68519,8.67366,8.68429,745,354,0
35,2016-02-01,8.68589,8.7217,8.63585,8.68159,143634,279,0
36,2016-02-02,8.68143,8.74465,8.67629,8.70427,111311,279,0
37,2016-02-03,8.70395,8.73934,8.53919,8.562429999999999,176611,279,0
38,2016-02-04,8.562429999999999,8.56921,8.44481,8.4863,152000,279,0
39,2016-02-05,8.48611,8.61477,8.48479,8.49702,127711,279,0
40,2016-02-07,8.55795,8.56209,8.55329,8.55704,216,721,0
41,2016-02-08,8.55704,8.6515,8.5309,8.57259,193068,279,0
42,2016-02-09,8.57419,8.62439,8.54455,8.58089,266246,279,0
43,2016-02-10,8.58089,8.58914,8.49564,8.51839,168566,279,0
44,2016-02-11,8.51499,8.59108,8.49769,8.55459,291957,279,0
45,2016-02-12,8.55099,8.63018,8.53629,8.56833,181457,279,0
46,2016-02-14,8.56262,8.59808,8.56114,8.59009,1062,941,0
47,2016-02-15,8.59029,8.6562,8.5729,8.61499,165846,279,0
48,2016-02-16,8.61499,8.63985,8.57498,8.62698,142172,279,0
49,2016-02-17,8.62589,8.64447,8.53639,8.54213,138555,279,0
50,2016-02-18,8.54464,8.610759999999999,8.53199,8.58569,145355,279,0
51,2016-02-19,8.58589,8.62538,8.54788,8.55113,193021,279,0
52,2016-02-21,8.56327,8.57009,8.55736,8.56469,1086,961,0
53,2016-02-22,8.5647,8.62678,8.55728,8.59825,131517,279,0
54,2016-02-23,8.59939,8.63249,8.57948,8.60349,124222,279,0
55,2016-02-24,8.60299,8.759689999999999,8.58746,8.66547,154455,279,0
56,2016-02-25,8.66614,8.68289,8.61177,8.62625,149499,279,0
57,2016-02-26,8.62549,8.69665,8.59129,8.66783,175932,279,0
58,2016-02-28,8.68868,8.70039,8.67545,8.69254,830,891,0
59,2016-02-29,8.69183,8.73629,8.66812,8.68179,176482,279,0
60,2016-03-01,8.68098,8.700099999999999,8.63109,8.64119,194623,279,0
61,2016-03-02,8.64197,8.72016,8.63619,8.65919,128400,0,0
62,2016-03-03,8.65999,8.69122,8.56467,8.58009,134987,279,0
63,2016-03-04,8.57919,8.58749,8.46109,8.46873,172224,279,0
64,2016-03-06,8.49059,8.49319,8.483,8.48658,393,861,0
65,2016-03-07,8.48673,8.55565,8.48202,8.49269,139971,279,0
66,2016-03-08,8.49399,8.59827,8.48801,8.55864,129379,279,0
67,2016-03-09,8.55858,8.58893,8.49578,8.51858,121168,279,0
68,2016-03-10,8.517900000000001,8.60847,8.45469,8.50169,216805,279,0
69,2016-03-11,8.49829,8.54499,8.39539,8.40833,158092,279,0
70,2016-03-13,8.41754,8.42959,8.39177,8.41342,3414,279,0
71,2016-03-14,8.40415,8.49489,8.39822,8.47079,141763,279,0
72,2016-03-15,8.47079,8.5774,8.46659,8.54865,146521,279,0
73,2016-03-16,8.54908,8.60388,8.43979,8.45389,150217,279,0
74,2016-03-17,8.45449,8.45891,8.30019,8.3198,186620,279,0
75,2016-03-18,8.31868,8.39217,8.3006,8.36733,102275,279,0
76,2016-03-20,8.37543,8.37743,8.36903,8.37543,456,424,0
77,2016-03-21,8.37592,8.42635,8.35809,8.40779,79957,279,0
78,2016-03-22,8.40779,8.46535,8.37731,8.40178,91916,279,0
79,2016-03-23,8.3997,8.49825,8.39093,8.47826,44372,279,0
80,2016-03-24,8.47739,8.51848,8.46698,8.47893,45529,279,0
81,2016-03-25,8.47559,8.50453,8.45358,8.46803,25474,279,0
82,2016-03-27,8.46795,8.4702,8.46058,8.46356,215,3056,0
83,2016-03-28,8.46837,8.51057,8.40959,8.42349,74757,279,0
84,2016-03-29,8.42569,8.48956,8.37649,8.38279,127990,279,0
85,2016-03-30,8.38029,8.39303,8.27853,8.30562,140152,279,0
86,2016-03-31,8.30572,8.33043,8.25048,8.26617,120216,279,0
87,2016-04-01,8.26648,8.3492,8.24647,8.29082,103020,279,0
88,2016-04-03,8.30209,8.30663,8.29813,8.30464,562,924,0
89,2016-04-04,8.30649,8.34704,8.28375,8.32684,106228,279,0
90,2016-04-05,8.32699,8.37899,8.32088,8.33383,113712,279,0
91,2016-04-06,8.33424,8.36609,8.276,8.31937,115643,279,0
92,2016-04-07,8.31843,8.33747,8.25599,8.3244,142861,279,0
93,2016-04-08,8.32532,8.33229,8.19654,8.22192,111437,279,0
94,2016-04-10,8.20282,8.21708,8.15127,8.20508,246,2520,0
95,2016-04-11,8.20711,8.25515,8.16193,8.20168,128405,279,0
96,2016-04-12,8.20124,8.23268,8.12573,8.16499,109976,279,0
97,2016-04-13,8.16898,8.25146,8.16289,8.22968,135637,279,0
98,2016-04-14,8.22967,8.29649,8.19737,8.23638,118327,279,0
99,2016-04-15,8.2368,8.25887,8.21836,8.24993,95398,279,0
100,2016-04-17,8.29758,8.306329999999999,8.29358,8.29544,423,574,0
101,2016-04-18,8.29633,8.31799,8.19031,8.21343,123602,279,0
102,2016-04-19,8.21303,8.22039,8.09665,8.12555,100844,279,0
103,2016-04-20,8.12316,8.15779,8.0998,8.11274,106098,279,0
104,2016-04-21,8.11304,8.21186,8.0788,8.19519,137878,279,0
105,2016-04-22,8.1916,8.2489,8.17407,8.22142,120267,279,0
106,2016-04-24,8.23028,8.24398,8.22699,8.23142,608,525,0
107,2016-04-25,8.23208,8.24915,8.17431,8.19863,125659,279,0
108,2016-04-26,8.1977,8.23148,8.11616,8.15183,122007,279,0
109,2016-04-27,8.15182,8.1948,8.1178,8.14488,142123,279,0
110,2016-04-28,8.14458,8.16726,8.10241,8.14012,147553,279,0
111,2016-04-29,8.13982,8.14088,8.03308,8.03892,171264,279,0
112,2016-05-01,8.04148,8.05563,8.04038,8.04549,363,334,0
113,2016-05-02,8.04388,8.07224,8.01098,8.01744,131459,279,0
114,2016-05-03,8.01743,8.12526,7.96878,8.11068,128657,279,0
115,2016-05-04,8.11078,8.16195,8.09309,8.15829,112593,279,0
116,2016-05-05,8.15733,8.18601,8.11096,8.17367,128425,279,0
117,2016-05-06,8.17299,8.21736,8.1431,8.19172,125666,279,0
118,2016-05-08,8.1992,8.19969,8.17963,8.18105,380,641,0
119,2016-05-09,8.18311,8.23019,8.16714,8.21794,170983,279,0
120,2016-05-10,8.22019,8.24183,8.19324,8.20428,113015,279,0
121,2016-05-11,8.20503,8.23073,8.13126,8.15349,53267,279,0
122,2016-05-12,8.15349,8.17909,8.08941,8.12607,63441,279,0
123,2016-05-13,8.12607,8.22499,8.12298,8.18957,70580,279,0
124,2016-05-15,8.18978,8.19795,8.18749,8.19185,625,991,0
125,2016-05-16,8.19262,8.20168,8.1352,8.16677,57276,279,0
126,2016-05-17,8.16614,8.19446,8.12578,8.18202,69073,279,0
127,2016-05-18,8.18134,8.3183,8.17977,8.29977,79038,279,0
128,2016-05-19,8.30599,8.39281,8.28787,8.3525,104018,279,0
129,2016-05-20,8.35609,8.35749,8.30195,8.31181,55538,0,0
130,2016-05-22,8.28263,8.32029,8.27908,8.30868,878,1801,0
131,2016-05-23,8.31308,8.38241,8.29869,8.34972,83443,279,0
132,2016-05-24,8.34879,8.40539,8.32935,8.34953,79375,279,0
133,2016-05-25,8.34953,8.35729,8.30798,8.31832,73673,279,0
134,2016-05-26,8.31832,8.32764,8.23908,8.25936,123622,279,0
135,2016-05-27,8.25978,8.35002,8.25978,8.32702,149631,279,0
136,2016-05-29,8.32778,8.33561,8.30228,8.32854,249,1112,0
137,2016-05-30,8.32858,8.37158,8.32515,8.34193,110673,279,0
138,2016-05-31,8.34197,8.38845,8.32627,8.37346,131007,0,0
139,2016-06-01,8.37379,8.38028,8.28932,8.30396,150738,279,0
140,2016-06-02,8.30396,8.37397,8.27789,8.329,147622,279,0
141,2016-06-03,8.329,8.34511,8.15579,8.16219,125179,279,0
142,2016-06-05,8.16858,8.17308,8.16028,8.16317,848,842,0
143,2016-06-06,8.16379,8.21577,8.15319,8.16484,123379,279,0
144,2016-06-07,8.17035,8.17665,8.10068,8.10913,104588,279,0
145,2016-06-08,8.10913,8.12469,8.07064,8.09826,91511,279,0
146,2016-06-09,8.09811,8.1766,8.08878,8.14655,110202,279,0
147,2016-06-10,8.14655,8.27338,8.14466,8.26768,101062,279,0
148,2016-06-12,8.24262,8.25772,8.23647,8.25705,276,1126,0
149,2016-06-13,8.25728,8.31555,8.23322,8.25918,61121,279,0
150,2016-06-14,8.25929,8.3688,8.25863,8.35366,67872,279,0
151,2016-06-15,8.35099,8.36889,8.27014,8.307690000000001,65734,279,0
152,2016-06-16,8.307690000000001,8.47563,8.29409,8.38389,72286,279,0
153,2016-06-17,8.38169,8.39997,8.33474,8.33474,57603,279,0
154,2016-06-19,8.286,8.30429,8.28519,8.29859,712,279,0
155,2016-06-20,8.30039,8.309989999999999,8.23082,8.27819,60363,279,0
156,2016-06-21,8.27829,8.33402,8.23245,8.31023,60409,279,0
157,2016-06-22,8.30989,8.3194,8.23819,8.24966,56136,279,0
158,2016-06-23,8.25026,8.26828,8.06256,8.10989,69509,279,0
159,2016-06-24,8.10669,8.72339,8.10632,8.4655,84598,279,0
160,2016-06-26,8.51397,8.53168,8.48803,8.507390000000001,1375,2921,0
161,2016-06-27,8.50501,8.61296,8.44289,8.55467,96896,279,0
162,2016-06-28,8.55577,8.57431,8.42614,8.45894,71107,279,0
163,2016-06-29,8.4588,8.49239,8.3734,8.37549,71950,279,0
164,2016-06-30,8.37489,8.4269,8.34551,8.3532,77096,279,0
165,2016-07-01,8.35497,8.3943,8.30703,8.31389,57981,279,0
166,2016-07-03,8.31359,8.33173,8.2944,8.32619,1400,1101,0
167,2016-07-04,8.3266,8.35081,8.27988,8.29128,42819,279,0
168,2016-07-05,8.29169,8.41515,8.28186,8.40829,53050,279,0
169,2016-07-06,8.41109,8.51165,8.4031,8.43088,64892,279,0
170,2016-07-07,8.43193,8.5243,8.42168,8.49486,64948,279,0
171,2016-07-08,8.49054,8.547930000000001,8.45276,8.52269,63108,279,0
172,2016-07-10,8.50949,8.51805,8.50594,8.511379999999999,671,968,0
173,2016-07-11,8.5114,8.54781,8.46834,8.49929,58135,279,0
174,2016-07-12,8.49594,8.50409,8.39519,8.42826,61623,279,0
175,2016-07-13,8.42834,8.46726,8.38039,8.41688,55640,279,0
176,2016-07-14,8.41986,8.42439,8.34814,8.36319,58502,279,0
177,2016-07-15,8.36319,8.4873,8.34299,8.47729,57513,279,0
178,2016-07-17,8.45219,8.4695,8.44287,8.46139,1641,861,0
179,2016-07-18,8.4611,8.483,8.43384,8.44369,61564,279,0
180,2016-07-19,8.44439,8.51908,8.43925,8.5008,59602,279,0
181,2016-07-20,8.5009,8.5313,8.46876,8.483,56625,279,0
182,2016-07-21,8.4839,8.51368,8.4428,8.48916,70862,279,0
183,2016-07-22,8.48709,8.56475,8.48539,8.5424,59304,279,0
184,2016-07-24,8.53619,8.54788,8.52755,8.54309,1535,1542,0
185,2016-07-25,8.54129,8.59023,8.53989,8.57569,51538,279,0
186,2016-07-26,8.57276,8.59095,8.540939999999999,8.56859,53201,279,0
187,2016-07-27,8.56871,8.6074,8.51949,8.53031,66725,279,0
188,2016-07-28,8.53308,8.56701,8.4923,8.55139,57194,279,0
189,2016-07-29,8.55299,8.56561,8.40239,8.43549,69100,279,0
190,2016-07-31,8.4098,8.4255,8.40097,8.4115,786,1270,0
191,2016-08-01,8.40633,8.50193,8.406179999999999,8.49466,58810,279,0
192,2016-08-02,8.49488,8.4988,8.39651,8.43088,71185,279,0
193,2016-08-03,8.42825,8.46445,8.4077,8.45249,52075,279,0
194,2016-08-04,8.4552,8.48765,8.40339,8.43908,45875,279,0
195,2016-08-05,8.43773,8.51751,8.41299,8.506,66982,279,0
196,2016-08-07,8.49892,8.5056,8.4913,8.49909,980,831,0
197,2016-08-08,8.49739,8.5157,8.4664,8.47092,52837,279,0
198,2016-08-09,8.47073,8.49546,8.38959,8.40197,59788,279,0
199,2016-08-10,8.40222,8.4117,8.2483,8.26641,67119,279,0
200,2016-08-11,8.26571,8.2963,8.20669,8.2382,54675,279,0
201,2016-08-12,8.2345,8.2517,8.1519,8.19246,53506,279,0
202,2016-08-14,8.19458,8.1997,8.18078,8.19799,884,961,0
203,2016-08-15,8.19579,8.24183,8.19579,8.21176,45775,279,0
204,2016-08-16,8.20978,8.22143,8.12107,8.18575,56675,279,0
205,2016-08-17,8.1867,8.25119,8.17459,8.20339,53433,279,0
206,2016-08-18,8.20236,8.20417,8.14519,8.15083,58694,279,0
207,2016-08-19,8.15069,8.23174,8.14502,8.19269,60889,279,0
208,2016-08-21,8.21319,8.2222,8.20489,8.21368,905,920,0
209,2016-08-22,8.21219,8.26329,8.19865,8.20762,46425,279,0
210,2016-08-23,8.2052,8.23288,8.17699,8.20987,51587,279,0
211,2016-08-24,8.21277,8.24016,8.17175,8.21348,49806,279,0
212,2016-08-25,8.21333,8.23081,8.18379,8.21808,41579,279,0
213,2016-08-26,8.21708,8.30256,8.13734,8.24108,75278,279,0
214,2016-08-28,8.26707,8.28459,8.26103,8.26947,701,1361,0
215,2016-08-29,8.26669,8.32325,8.26549,8.27549,46399,279,0
216,2016-08-30,8.27314,8.35484,8.27015,8.33784,50864,279,0
217,2016-08-31,8.33959,8.36158,8.31109,8.32154,49995,279,0
218,2016-09-01,8.32273,8.39977,8.31084,8.33313,61647,279,0
219,2016-09-02,8.3333,8.34554,8.24508,8.31139,78482,279,0
220,2016-09-04,8.30479,8.30904,8.29827,8.30823,1258,331,0
221,2016-09-05,8.30549,8.31229,8.25889,8.28889,43980,279,0
222,2016-09-06,8.29248,8.3005,8.16347,8.1797,60545,279,0
223,2016-09-07,8.17876,8.19552,8.1505,8.17479,63678,279,0
224,2016-09-08,8.1755,8.21264,8.11548,8.17788,71622,279,0
225,2016-09-09,8.18195,8.27489,8.16546,8.24778,61653,279,0
226,2016-09-11,8.22329,8.23079,8.21858,8.22329,966,1701,0
227,2016-09-12,8.22728,8.27818,8.19848,8.21555,73085,279,0
228,2016-09-13,8.21555,8.28629,8.19935,8.27708,71517,279,0
229,2016-09-14,8.27778,8.28117,8.21305,8.2353,61463,279,0
230,2016-09-15,8.23533,8.27377,8.20808,8.22908,65470,279,0
231,2016-09-16,8.22828,8.32139,8.22723,8.30969,60353,279,0
232,2016-09-18,8.31089,8.31089,8.29923,8.3092,627,761,0
233,2016-09-19,8.31099,8.31657,8.26483,8.27939,53110,279,0
234,2016-09-20,8.28299,8.30739,8.253730000000001,8.29965,57767,279,0
235,2016-09-21,8.29888,8.32701,8.24832,8.25345,79480,279,0
236,2016-09-22,8.25339,8.2544,8.07913,8.1317,67360,279,0
237,2016-09-23,8.13205,8.14358,8.09522,8.10759,56206,279,0
238,2016-09-25,8.10619,8.10849,8.09945,8.10388,1032,700,0
239,2016-09-26,8.10108,8.14237,8.08821,8.10559,52253,279,0
240,2016-09-27,8.10545,8.16502,8.06665,8.11169,57342,279,0
241,2016-09-28,8.112,8.13819,8.03108,8.03831,57420,279,0
242,2016-09-29,8.03775,8.06739,7.99894,8.05019,63774,279,0
