,time,open,high,low,close,tick_volume,spread,real_volume
0,2019-12-26 22:00:00,0.98137,0.98165,0.98054,0.98054,765,13,0
1,2019-12-26 23:00:00,0.98087,0.98112,0.98031,0.98081,163,63,0
2,2019-12-27 00:00:00,0.98108,0.98178,0.98096,0.98144,3301,10,0
3,2019-12-27 01:00:00,0.98143,0.98153,0.97981,0.98068,2137,10,0
4,2019-12-27 02:00:00,0.98069,0.98103,0.9805,0.98073,2056,10,0
5,2019-12-27 03:00:00,0.98075,0.98077,0.9799,0.98007,1464,10,0
6,2019-12-27 04:00:00,0.98009,0.98018,0.97987,0.97995,1385,10,0
7,2019-12-27 05:00:00,0.97996,0.98009,0.97985,0.97998,1239,10,0
8,2019-12-27 06:00:00,0.97999,0.98009,0.97991,0.98003,1165,10,0
9,2019-12-27 07:00:00,0.98004,0.9804,0.97988,0.98037,1237,10,0
10,2019-12-27 08:00:00,0.98042,0.98067,0.97922,0.97937,1656,10,0
11,2019-12-27 09:00:00,0.97939,0.97941,0.97748,0.97825,2409,10,0
12,2019-12-27 10:00:00,0.97824,0.97832,0.97612,0.97621,1984,10,0
13,2019-12-27 11:00:00,0.9762,0.9769,0.97601,0.97627,2138,10,0
14,2019-12-27 12:00:00,0.97626,0.97651,0.97583,0.97602,1413,10,0
15,2019-12-27 13:00:00,0.97601,0.97654,0.97547,0.97638,1737,10,0
16,2019-12-27 14:00:00,0.97643,0.97656,0.97548,0.97616,2259,10,0
17,2019-12-27 15:00:00,0.97617,0.97624,0.97514,0.97542,2013,10,0
18,2019-12-27 16:00:00,0.97543,0.97593,0.97422,0.97583,2948,10,0
19,2019-12-27 17:00:00,0.97584,0.9759,0.97396,0.97413,2122,10,0
20,2019-12-27 18:00:00,0.97412,0.97422,0.97315,0.97333,1643,10,0
21,2019-12-27 19:00:00,0.97335,0.97366,0.97324,0.97328,1358,10,0
22,2019-12-27 20:00:00,0.97325,0.97372,0.97297,0.97331,1420,10,0
23,2019-12-27 21:00:00,0.97335,0.97441,0.97335,0.97441,1420,10,0
24,2019-12-27 22:00:00,0.97438,0.97503,0.97389,0.97405,1051,14,0
25,2019-12-29 23:00:00,0.97436,0.97523,0.97387,0.97418,369,19,0
26,2019-12-30 00:00:00,0.97436,0.97436,0.97325,0.9738,1772,10,0
27,2019-12-30 01:00:00,0.97381,0.97405,0.97361,0.97391,1332,10,0
28,2019-12-30 02:00:00,0.9739,0.97391,0.97306,0.97308,958,10,0
29,2019-12-30 03:00:00,0.97311,0.97316,0.97232,0.97235,1242,10,0
30,2019-12-30 04:00:00,0.97236,0.97252,0.97194,0.97252,1293,10,0
31,2019-12-30 05:00:00,0.97254,0.97274,0.97236,0.97258,1076,10,0
32,2019-12-30 06:00:00,0.97259,0.97268,0.97199,0.97215,1303,10,0
33,2019-12-30 07:00:00,0.97216,0.97273,0.97187,0.97232,1290,10,0
34,2019-12-30 08:00:00,0.97234,0.97328,0.97213,0.97325,1547,10,0
35,2019-12-30 09:00:00,0.97324,0.9736,0.9724,0.97354,2025,10,0
36,2019-12-30 10:00:00,0.97355,0.9739,0.97268,0.97272,1605,10,0
37,2019-12-30 11:00:00,0.97271,0.97298,0.97168,0.97238,2045,10,0
38,2019-12-30 12:00:00,0.97236,0.97242,0.97149,0.97155,1779,10,0
39,2019-12-30 13:00:00,0.97156,0.97195,0.97144,0.97149,1691,10,0
40,2019-12-30 14:00:00,0.97151,0.97211,0.97066,0.97066,2756,10,0
41,2019-12-30 15:00:00,0.97067,0.97118,0.96833,0.96908,3780,10,0
42,2019-12-30 16:00:00,0.96907,0.96938,0.96822,0.96916,3650,10,0
43,2019-12-30 17:00:00,0.96915,0.96915,0.96756,0.96766,2231,10,0
44,2019-12-30 18:00:00,0.96767,0.96811,0.96737,0.96801,1634,10,0
45,2019-12-30 19:00:00,0.96802,0.96874,0.96774,0.96871,1567,10,0
46,2019-12-30 20:00:00,0.96872,0.96876,0.96836,0.96849,1286,10,0
