,time,bid,ask
0,2023-05-09 00:00:00,148.541,148.559
1,2023-05-09 00:00:00,148.537,148.555
2,2023-05-09 00:00:01,148.536,148.554
3,2023-05-09 00:00:01,148.535,148.553
4,2023-05-09 00:00:01,148.536,148.554
5,2023-05-09 00:00:01,148.538,148.556
6,2023-05-09 00:00:02,148.535,148.553
7,2023-05-09 00:00:02,148.532,148.55
8,2023-05-09 00:00:02,148.531,148.549
9,2023-05-09 00:00:03,148.53,148.548
10,2023-05-09 00:00:05,148.529,148.547
11,2023-05-09 00:00:05,148.53,148.548
12,2023-05-09 00:00:06,148.532,148.55
13,2023-05-09 00:00:08,148.536,148.554
14,2023-05-09 00:00:09,148.538,148.556
15,2023-05-09 00:00:09,148.546,148.564
16,2023-05-09 00:00:10,148.549,148.567
17,2023-05-09 00:00:10,148.547,148.565
18,2023-05-09 00:00:10,148.548,148.566
19,2023-05-09 00:00:11,148.549,148.567
20,2023-05-09 00:00:11,148.552,148.57
21,2023-05-09 00:00:12,148.547,148.565
22,2023-05-09 00:00:12,148.546,148.564
23,2023-05-09 00:00:12,148.555,148.573
24,2023-05-09 00:00:13,148.556,148.574
25,2023-05-09 00:00:16,148.558,148.576
26,2023-05-09 00:00:16,148.557,148.575
27,2023-05-09 00:00:18,148.558,148.576
28,2023-05-09 00:00:18,148.557,148.575
29,2023-05-09 00:00:18,148.558,148.576
30,2023-05-09 00:00:19,148.56,148.578
31,2023-05-09 00:00:20,148.559,148.577
32,2023-05-09 00:00:20,148.561,148.579
33,2023-05-09 00:00:21,148.559,148.577
34,2023-05-09 00:00:21,148.558,148.576
35,2023-05-09 00:00:22,148.559,148.577
36,2023-05-09 00:00:23,148.558,148.576
37,2023-05-09 00:00:23,148.559,148.577
38,2023-05-09 00:00:25,148.56,148.578
39,2023-05-09 00:00:25,148.561,148.579
40,2023-05-09 00:00:26,148.562,148.58
41,2023-05-09 00:00:30,148.563,148.581
42,2023-05-09 00:00:31,148.578,148.596
43,2023-05-09 00:00:31,148.591,148.609
44,2023-05-09 00:00:32,148.593,148.611
45,2023-05-09 00:00:33,148.59,148.608
46,2023-05-09 00:00:33,148.589,148.607
47,2023-05-09 00:00:34,148.587,148.605
48,2023-05-09 00:00:36,148.584,148.602
49,2023-05-09 00:00:36,148.574,148.592
50,2023-05-09 00:00:36,148.573,148.591
51,2023-05-09 00:00:38,148.575,148.593
52,2023-05-09 00:00:39,148.573,148.591
53,2023-05-09 00:00:40,148.57,148.588
54,2023-05-09 00:00:41,148.568,148.586
55,2023-05-09 00:00:42,148.565,148.583
56,2023-05-09 00:00:42,148.564,148.582
57,2023-05-09 00:00:43,148.566,148.584
58,2023-05-09 00:00:44,148.56,148.578
59,2023-05-09 00:00:44,148.562,148.58
60,2023-05-09 00:00:44,148.563,148.581
61,2023-05-09 00:00:45,148.562,148.58
62,2023-05-09 00:00:46,148.565,148.583
63,2023-05-09 00:00:46,148.567,148.585
64,2023-05-09 00:00:47,148.564,148.582
65,2023-05-09 00:00:47,148.569,148.587
66,2023-05-09 00:00:47,148.572,148.59
67,2023-05-09 00:00:48,148.571,148.589
68,2023-05-09 00:00:48,148.573,148.591
69,2023-05-09 00:00:48,148.57,148.588
70,2023-05-09 00:00:49,148.572,148.59
71,2023-05-09 00:00:49,148.569,148.587
72,2023-05-09 00:00:51,148.571,148.589
73,2023-05-09 00:00:51,148.576,148.594
74,2023-05-09 00:00:51,148.578,148.596
75,2023-05-09 00:00:51,148.583,148.601
76,2023-05-09 00:00:52,148.585,148.603
77,2023-05-09 00:00:53,148.584,148.602
78,2023-05-09 00:00:53,148.579,148.597
79,2023-05-09 00:00:54,148.578,148.596
80,2023-05-09 00:00:55,148.582,148.6
81,2023-05-09 00:00:55,148.585,148.603
82,2023-05-09 00:00:55,148.584,148.602
83,2023-05-09 00:00:56,148.586,148.604
84,2023-05-09 00:00:56,148.584,148.602
85,2023-05-09 00:00:57,148.586,148.604
86,2023-05-09 00:00:57,148.589,148.607
87,2023-05-09 00:00:57,148.587,148.605
88,2023-05-09 00:00:58,148.586,148.604
89,2023-05-09 00:00:59,148.585,148.603
90,2023-05-09 00:00:59,148.586,148.604
91,2023-05-09 00:01:00,148.586,148.604
92,2023-05-09 00:01:00,148.593,148.611
93,2023-05-09 00:01:00,148.598,148.616
94,2023-05-09 00:01:00,148.605,148.623
95,2023-05-09 00:01:01,148.603,148.621
96,2023-05-09 00:01:01,148.601,148.619
97,2023-05-09 00:01:02,148.602,148.62
98,2023-05-09 00:01:02,148.6,148.618
99,2023-05-09 00:01:03,148.605,148.623
100,2023-05-09 00:01:04,148.604,148.622
101,2023-05-09 00:01:04,148.605,148.623
102,2023-05-09 00:01:05,148.603,148.621
103,2023-05-09 00:01:05,148.604,148.622
104,2023-05-09 00:01:05,148.603,148.621
105,2023-05-09 00:01:06,148.608,148.626
106,2023-05-09 00:01:06,148.61,148.628
107,2023-05-09 00:01:07,148.611,148.629
108,2023-05-09 00:01:08,148.61,148.628
109,2023-05-09 00:01:09,148.609,148.627
110,2023-05-09 00:01:09,148.607,148.625
111,2023-05-09 00:01:10,148.6,148.618
112,2023-05-09 00:01:10,148.598,148.616
113,2023-05-09 00:01:11,148.594,148.612
114,2023-05-09 00:01:11,148.595,148.613
115,2023-05-09 00:01:11,148.597,148.615
116,2023-05-09 00:01:12,148.598,148.616
117,2023-05-09 00:01:13,148.599,148.617
118,2023-05-09 00:01:14,148.6,148.618
119,2023-05-09 00:01:14,148.599,148.617
120,2023-05-09 00:01:14,148.6,148.618
121,2023-05-09 00:01:14,148.596,148.614
122,2023-05-09 00:01:15,148.598,148.616
123,2023-05-09 00:01:15,148.597,148.615
124,2023-05-09 00:01:16,148.598,148.616
125,2023-05-09 00:01:17,148.593,148.611
126,2023-05-09 00:01:17,148.592,148.61
127,2023-05-09 00:01:17,148.593,148.611
128,2023-05-09 00:01:18,148.592,148.61
129,2023-05-09 00:01:19,148.59,148.608
130,2023-05-09 00:01:20,148.599,148.617
131,2023-05-09 00:01:20,148.606,148.624
132,2023-05-09 00:01:20,148.609,148.627
133,2023-05-09 00:01:20,148.61,148.628
134,2023-05-09 00:01:21,148.609,148.627
135,2023-05-09 00:01:22,148.61,148.628
136,2023-05-09 00:01:22,148.609,148.627
137,2023-05-09 00:01:23,148.61,148.628
138,2023-05-09 00:01:24,148.611,148.629
139,2023-05-09 00:01:24,148.608,148.626
140,2023-05-09 00:01:25,148.609,148.627
141,2023-05-09 00:01:26,148.608,148.626
142,2023-05-09 00:01:26,148.609,148.627
143,2023-05-09 00:01:27,148.608,148.626
144,2023-05-09 00:01:29,148.607,148.625
145,2023-05-09 00:01:29,148.606,148.624
146,2023-05-09 00:01:30,148.607,148.625
147,2023-05-09 00:01:31,148.613,148.631
148,2023-05-09 00:01:31,148.612,148.63
149,2023-05-09 00:01:32,148.611,148.629
150,2023-05-09 00:01:32,148.61,148.628
151,2023-05-09 00:01:32,148.617,148.635
152,2023-05-09 00:01:32,148.616,148.634
153,2023-05-09 00:01:33,148.614,148.632
154,2023-05-09 00:01:33,148.615,148.633
155,2023-05-09 00:01:34,148.617,148.635
156,2023-05-09 00:01:34,148.619,148.637
157,2023-05-09 00:01:37,148.617,148.635
158,2023-05-09 00:01:40,148.615,148.633
159,2023-05-09 00:01:41,148.608,148.626
160,2023-05-09 00:01:41,148.607,148.625
161,2023-05-09 00:01:42,148.608,148.626
162,2023-05-09 00:01:43,148.607,148.625
163,2023-05-09 00:01:43,148.604,148.622
164,2023-05-09 00:01:43,148.605,148.623
165,2023-05-09 00:01:43,148.609,148.627
166,2023-05-09 00:01:44,148.61,148.628
167,2023-05-09 00:01:44,148.609,148.627
168,2023-05-09 00:01:45,148.607,148.625
169,2023-05-09 00:01:46,148.608,148.626
170,2023-05-09 00:01:47,148.606,148.624
171,2023-05-09 00:01:48,148.601,148.619
172,2023-05-09 00:01:48,148.602,148.62
173,2023-05-09 00:01:48,148.587,148.605
174,2023-05-09 00:01:48,148.591,148.609
175,2023-05-09 00:01:49,148.59,148.608
176,2023-05-09 00:01:49,148.593,148.611
177,2023-05-09 00:01:50,148.589,148.607
178,2023-05-09 00:01:50,148.586,148.604
179,2023-05-09 00:01:50,148.583,148.601
180,2023-05-09 00:01:50,148.58,148.598
181,2023-05-09 00:01:51,148.578,148.596
182,2023-05-09 00:01:51,148.577,148.595
183,2023-05-09 00:01:51,148.578,148.596
184,2023-05-09 00:01:52,148.582,148.6
185,2023-05-09 00:01:52,148.58,148.598
186,2023-05-09 00:01:52,148.581,148.599
187,2023-05-09 00:01:53,148.578,148.596
188,2023-05-09 00:01:53,148.577,148.595
189,2023-05-09 00:01:53,148.58,148.598
190,2023-05-09 00:01:54,148.577,148.595
191,2023-05-09 00:01:54,148.581,148.599
192,2023-05-09 00:01:55,148.582,148.6
193,2023-05-09 00:01:56,148.583,148.601
194,2023-05-09 00:01:57,148.582,148.6
195,2023-05-09 00:01:58,148.587,148.605
196,2023-05-09 00:01:59,148.585,148.603
197,2023-05-09 00:02:00,148.579,148.597
198,2023-05-09 00:02:00,148.58,148.598
199,2023-05-09 00:02:00,148.581,148.599
200,2023-05-09 00:02:00,148.582,148.6
201,2023-05-09 00:02:01,148.585,148.603
202,2023-05-09 00:02:01,148.586,148.604
203,2023-05-09 00:02:02,148.585,148.603
204,2023-05-09 00:02:04,148.586,148.604
205,2023-05-09 00:02:05,148.585,148.603
206,2023-05-09 00:02:06,148.586,148.604
207,2023-05-09 00:02:06,148.583,148.601
208,2023-05-09 00:02:08,148.584,148.602
209,2023-05-09 00:02:09,148.594,148.612
210,2023-05-09 00:02:09,148.587,148.605
211,2023-05-09 00:02:10,148.588,148.606
212,2023-05-09 00:02:10,148.587,148.605
213,2023-05-09 00:02:11,148.586,148.604
214,2023-05-09 00:02:11,148.588,148.606
215,2023-05-09 00:02:11,148.587,148.605
216,2023-05-09 00:02:11,148.588,148.606
217,2023-05-09 00:02:12,148.589,148.607
218,2023-05-09 00:02:13,148.59,148.608
219,2023-05-09 00:02:14,148.586,148.604
220,2023-05-09 00:02:14,148.585,148.603
221,2023-05-09 00:02:15,148.589,148.607
222,2023-05-09 00:02:15,148.585,148.603
223,2023-05-09 00:02:16,148.583,148.601
224,2023-05-09 00:02:17,148.584,148.602
225,2023-05-09 00:02:17,148.585,148.603
226,2023-05-09 00:02:18,148.586,148.604
227,2023-05-09 00:02:18,148.587,148.605
228,2023-05-09 00:02:20,148.588,148.606
229,2023-05-09 00:02:21,148.587,148.605
230,2023-05-09 00:02:21,148.589,148.607
231,2023-05-09 00:02:23,148.588,148.606
232,2023-05-09 00:02:24,148.585,148.603
233,2023-05-09 00:02:24,148.586,148.604
234,2023-05-09 00:02:25,148.587,148.605
235,2023-05-09 00:02:26,148.585,148.603
236,2023-05-09 00:02:26,148.584,148.602
237,2023-05-09 00:02:26,148.585,148.603
238,2023-05-09 00:02:27,148.586,148.604
239,2023-05-09 00:02:27,148.585,148.603
240,2023-05-09 00:02:27,148.586,148.604
241,2023-05-09 00:02:28,148.585,148.603
242,2023-05-09 00:02:28,148.586,148.604
243,2023-05-09 00:02:28,148.581,148.599
244,2023-05-09 00:02:29,148.582,148.6
245,2023-05-09 00:02:29,148.58,148.598
246,2023-05-09 00:02:29,148.585,148.603
247,2023-05-09 00:02:29,148.586,148.604
248,2023-05-09 00:02:31,148.587,148.605
249,2023-05-09 00:02:31,148.586,148.604
250,2023-05-09 00:02:32,148.587,148.605
251,2023-05-09 00:02:32,148.586,148.604
252,2023-05-09 00:02:33,148.585,148.603
253,2023-05-09 00:02:33,148.583,148.601
254,2023-05-09 00:02:34,148.582,148.6
255,2023-05-09 00:02:34,148.581,148.599
256,2023-05-09 00:02:36,148.582,148.6
257,2023-05-09 00:02:37,148.581,148.599
258,2023-05-09 00:02:37,148.599,148.617
259,2023-05-09 00:02:37,148.602,148.62
260,2023-05-09 00:02:38,148.601,148.619
261,2023-05-09 00:02:38,148.602,148.62
262,2023-05-09 00:02:38,148.601,148.619
263,2023-05-09 00:02:39,148.595,148.613
264,2023-05-09 00:02:42,148.592,148.61
265,2023-05-09 00:02:42,148.591,148.609
266,2023-05-09 00:02:43,148.592,148.61
267,2023-05-09 00:02:44,148.598,148.616
268,2023-05-09 00:02:44,148.593,148.611
269,2023-05-09 00:02:44,148.592,148.61
270,2023-05-09 00:02:46,148.59,148.608
