,time,bid,ask
0,2023-05-09 00:00:00,1.09962,1.09971
1,2023-05-09 00:00:00,1.0996,1.09969
2,2023-05-09 00:00:01,1.09961,1.0997
3,2023-05-09 00:00:01,1.09958,1.09967
4,2023-05-09 00:00:01,1.0996,1.09969
5,2023-05-09 00:00:05,1.09961,1.0997
6,2023-05-09 00:00:06,1.0996299999999999,1.09972
7,2023-05-09 00:00:06,1.09962,1.09971
8,2023-05-09 00:00:06,1.09961,1.0997
9,2023-05-09 00:00:08,1.09965,1.09974
10,2023-05-09 00:00:09,1.09967,1.09976
11,2023-05-09 00:00:10,1.09966,1.09975
12,2023-05-09 00:00:10,1.09965,1.09974
13,2023-05-09 00:00:10,1.09966,1.09975
14,2023-05-09 00:00:10,1.09967,1.09976
15,2023-05-09 00:00:11,1.09966,1.09975
16,2023-05-09 00:00:11,1.09961,1.0997
17,2023-05-09 00:00:13,1.0996,1.09969
18,2023-05-09 00:00:15,1.09965,1.09974
19,2023-05-09 00:00:16,1.09966,1.09975
20,2023-05-09 00:00:25,1.09968,1.09977
21,2023-05-09 00:00:25,1.09969,1.09978
22,2023-05-09 00:00:25,1.09968,1.09977
23,2023-05-09 00:00:25,1.09969,1.09978
24,2023-05-09 00:00:26,1.0997,1.09979
25,2023-05-09 00:00:27,1.09969,1.09978
26,2023-05-09 00:00:31,1.09972,1.09981
27,2023-05-09 00:00:31,1.0997,1.09979
28,2023-05-09 00:00:32,1.09971,1.0998
29,2023-05-09 00:00:32,1.09972,1.09981
30,2023-05-09 00:00:36,1.09971,1.0998
31,2023-05-09 00:00:37,1.09972,1.09981
32,2023-05-09 00:00:38,1.09971,1.0998
33,2023-05-09 00:00:42,1.09968,1.09977
34,2023-05-09 00:00:42,1.09967,1.09976
35,2023-05-09 00:00:42,1.09966,1.09975
36,2023-05-09 00:00:42,1.09965,1.09974
37,2023-05-09 00:00:42,1.09966,1.09975
38,2023-05-09 00:00:43,1.0996,1.09969
39,2023-05-09 00:00:45,1.09961,1.0997
40,2023-05-09 00:00:47,1.0996,1.09969
41,2023-05-09 00:00:50,1.09961,1.0997
42,2023-05-09 00:00:51,1.0996,1.09969
