Valuta,ELM,ELM % Win,ELM Win,ELM  Operations,Max DD
EURUSD,273135.92000727775,62.972333306129116,7716.0,12253.0,-146.0922065693014
GBPUSD,332315.37270713993,62.14720974983964,7751.0,12472.0,-201.50575730735514
EURGBP,216837.38139958703,59.72569584509883,7403.0,12395.0,-121.25194817278859
EURJPY,263290.56693324674,61.72447484123107,7581.0,12282.0,-134.69088014055836
EURCAD,218494.30908767373,59.19581825492561,7361.0,12435.0,-114.45412034833237
USDJPY,235186.42324618387,60.74925155756938,7508.0,12359.0,-124.13177494490591
AUDCAD,173040.04182005592,58.76576720421524,7361.0,12526.0,-81.75405519617689
AUDJPY,238052.0074948433,61.55086248589392,7636.0,12406.0,-120.21076139298053
AUDUSD,259900.39223402456,63.19844294866597,7793.0,12331.0,-130.8528190248587
CADJPY,215251.93863146304,58.7515299877601,7200.0,12255.0,-158.36563581298265
EURNZD,263847.72711202595,59.520216061641115,7493.0,12589.0,-207.02439576611334
GBPAUD,282149.6320414218,61.53661079477103,7673.0,12469.0,-211.621026690883
GBPCAD,244687.22550134631,57.581851822057764,7158.0,12431.0,-197.72832128655082
GBPJPY,338693.84391111345,60.70510761323482,7559.0,12452.0,-227.03525270162967
NZDUSD,225976.81398214446,61.96626039228348,7677.0,12389.0,-96.57356974543215
USDCAD,216393.99500822648,60.79227210000811,7489.0,12319.0,-140.87499216393618
USDCHF,220759.83020144753,60.21758545100268,7417.0,12317.0,-176.52975347414656
USDNOK,-698757.1401524855,15.248821790877864,1909.0,12519.0,-2526.4907879910784
EURAUD,275901.3536615914,61.56110757479313,7737.0,12568.0,-158.29704132796078
EURCHF,199092.5392510009,56.22647427854454,7170.0,12752.0,-104.30008287500787
EURNOK,-857884.0948922582,11.568862275449101,1449.0,12525.0,-2478.2961810469396
