,0
0,-59884693.4548857
1,-3325658698.2515106
2,-204.86676026535298
3,-2058284544.3177567
4,3080665385.6794434
5,1341761285.8242188
6,-3919770049.7826385
7,-5.5092782286671
8,-17829176922.198868
9,-0.25381208301058056
10,48191269.022417426
11,13625070720.221169
12,1890.269402948763
13,-3104555810.102104
14,-3446130312.458618
15,-49181984.583060026
16,248073.44224799558
17,-3240871056.501343
18,2615729.317572929
19,3097483693.190201
20,-3174218880.4328003
21,3102653702.801071
22,3174157565.414398
23,181585.96485271305
24,3226427224.678093
25,-3210038725.704117
26,3286883587.190666
27,-3367974482.219139
28,68.12807042901352
29,14.500523973712255
30,56057.25302412061
31,-3287455151.453583
32,-750917841.8894281
33,-699506978.933136
34,686136257.0748768
35,707009444.917119
36,-1095962825.22501
37,-8072.137668449199
38,694550989.5122652
39,12811400.973771863
40,691519629.9661036
41,698186879.8055677
42,-701972665.2941895
43,691273428.6066799
44,3331791029.1901016
45,-688466891.9711437
46,700462860.99821
47,-693366434.9667864
48,-690659788.603962
49,-680124206.9931812
50,-697219197.3541727
51,289189.46952173533
52,-577873553.6734276
53,36843927217.36542
54,-676132107.1979418
55,689534.6368179724
56,-1428712263.9755383
57,-691231526.8482323
58,698524459.1581879
59,-689070856.4387302
60,698830046.3898163
61,-323452782.36783516
62,120366129.467376
63,702525736.3853664
64,-688554956.8785353
65,0.0449323247592579
66,1580188.9970774744
67,696095657.4144859
68,-406150368.7219775
69,669.7886056257776
70,-698569966.1100883
71,-11047693.023340672
72,698643905.1999416
73,696626039.1063118
74,24780.38661598804
75,-695297000.3700504
76,-5246391.421801675
77,-5049670.206374928
78,5156719.952200189
79,-3828537722.8619804
80,714.874289641708
81,-698355875.5360518
82,-701219050.2292328
83,685233730.7582035
84,689734170.4741917
85,-34939539797.11386
86,15356962.192650676
87,696673387.246397
88,691623730.2468929
89,-14728.575093587831
90,692945560.2440882
91,686870418.7978134
92,2157110231.971531
93,-690656940.2799702
94,-690078863.7534628
95,663901629.9147644
96,-697794178.8817949
97,698225116.5549831
98,694782402.5045147
99,689286520.5057325
100,-389799765.4802499
101,-409407722.6840029
102,693832905.3868523
103,688473764.3934526
104,1082604471.7332401
105,-691178942.4718609
106,1153490.0411910117
107,92879687.6708495
108,-692693809.1806307
109,-694995395.1114674
110,-693537631.8330812
111,67561.56058591443
112,-688562486.3941917
113,-693561182.6915941
114,-696532623.5056639
115,-694329687.0811043
116,-694171405.3918877
117,5642598343.555725
118,-44.859756411550734
119,-699101840.328537
120,-690494154.5751371
121,694207549.8829441
122,48538.626929203536
123,10369.125015063692
124,692906228.3741808
125,686485030.0322351
126,697817522.6751089
127,-695845415.3572426
128,0.9188443363585428
129,693971634.528717
130,-695630029.0723524
131,694995318.8716011
132,694500120.8785734
133,-693986971.941658
134,692904617.79566
135,695788273.8844376
136,-0.6093250071418446
137,-1679655201.725913
138,-230706.37693472113
139,-160.59724367511808
140,-695100268.4145689
141,-694958756.975008
142,-61343.223042948055
143,70787.87865107751
144,2427652172.41158
145,0.27073686596947155
146,-23554251490.67566
147,33897880.76884486
148,-692549560.5860853
149,-19292.459112715587
150,-696270400.9075146
151,695689196.630413
152,694858099.7816277
153,-3171781799.398964
154,-7690120448.996033
155,701574704.2983627
156,-693216643.9697065
157,3475641139.094223
158,566341544.0996442
159,-694408729.999752
160,-694213291.3522263
161,694459640.7730598
162,-693523090.594059
163,1189.1544756632902
164,693122733.6922512
165,-696890441.8577757
166,132520113.86046576
167,-655616303.9860258
168,-694801528.8949547
169,-1885109333.01721
170,459.2289081558765
171,-694104248.970089
172,-54.93428755939465
173,-14118361229.69638
174,557203842.9304328
175,-700285752.3238945
176,-2080.891080181318
177,-694379282.4431906
178,693949246.3271627
179,-696328812.1784048
180,-3267136290.0155725
181,-706160351.2810402
182,-17607322137.984207
183,-695257087.87852
184,-4142.969785934416
185,28.810569246404782
186,696788620.6518888
187,693120321.8335238
188,-695354290.3864574
189,-694638784.4653931
190,-270554446.0022011
191,9129712061.561172
192,695021528.7585115
193,695146030.7338152
194,7413782757.702942
195,-24020305.5486328
196,694943410.0100355
197,695701513.9542103
198,695006136.1081791
199,121727933.19243789
200,-696090657.2931118
201,-693977159.3033733
202,-696221362.5057583
203,695781393.3833437
204,693677008.3515911
205,696101556.2994537
206,-696215585.7791252
207,0.20867264455214496
208,366316092.40430784
209,-103989442.22708774
210,-696669247.6279259
211,-691596681.1414452
212,693435342.8502035
213,-695564631.2877684
214,693992950.2961969
215,-694418726.3467045
216,-694747757.8544788
217,11658701787.17041
218,696356122.8983908
219,696627496.6641912
220,-693654108.4220238
221,695743312.7892799
222,-693528570.554205
223,-564427535.4409494
224,695189368.3732452
225,11429006.602351725
226,694778041.598176
227,-23578788.39151624
228,-695430368.4887295
229,695302224.5438356
230,-695740655.5902023
231,-699891541.5647345
232,2.9232688002289677
233,449.2298859404318
234,-456195379.473114
235,-40.34029485706
