,0
0,-41542067.09701049
1,-10761286859.873991
2,-9060637796.80389
3,3.4327664814047694
4,2.1719382135094314
5,14911.155116465605
6,993581.1446112432
7,10559144098.429285
8,-5590949329.968521
9,-10914419350.677103
10,-61.40117678758497
11,12307623.185367346
12,9920941742.397232
13,10530223752.093098
14,-10813111361.016434
15,10778075127.94588
16,10641558509.440922
17,-12880292071.303223
18,10411590225.939804
19,-10310472838.02785
20,10699124802.339449
21,-10872364789.580849
22,10758068452.028053
23,10626523279.395304
24,10985551818.854431
25,-9961106224.534018
26,23756396236.86963
27,5.447733291015325
28,-2578402.739545445
29,-59231673.23903155
30,-20162589231.82254
31,10673915080.325592
32,1200313471.5512533
33,27478.013248159725
34,868525984.8389542
35,559246.4567993768
36,890283901.5141413
37,-815796855.0260881
38,-840156811.7222918
39,-839535732.8034421
40,-864810583.4548514
41,-804708094.5208925
42,833336399.9454583
43,818269711.6327393
44,750168668.966986
45,138.55733243863824
46,-879941815.2832258
47,803322484.7768064
48,-801964493.2203865
49,15286942.471571565
50,-9038197830.992126
51,769658869.233626
52,1509656.975168936
53,-1.1188623840734202
54,3912984678.832918
55,336055490.229908
56,2587709270.8481445
57,894674191.0391943
58,-797855236.1030445
59,10564741.704067849
60,-806113903.0647728
61,738875751.6726818
62,-3.950774439496376
63,-244526.07242567372
64,3328.6154519781085
65,862207799.9859573
66,7990473307.026405
67,-849316218.3316684
68,550386240.9913092
69,814227720.3648877
70,207081.83653397672
71,-16019604805.292686
72,843981150.7877027
73,-820397784.0147727
74,832943377.582481
75,830127302.8584146
76,-835688891.3482068
77,847624534.6206267
78,-811676158.8228462
79,-1084381642.213323
80,806133095.4323874
81,-11745471499.53939
82,820458142.1435102
83,5027440699.782177
84,-7894383500.712769
85,-819848430.4225941
86,-837201281.2991421
87,-904902123.3286839
88,-767440726.7231951
89,897723529.1853004
90,370440.1824941337
91,830413040.4214275
92,-840234872.4217598
93,778935250.408533
94,816625185.5072062
95,-542.3341070739543
96,-844834705.6771724
97,833963451.4442663
98,862120168.6505241
99,-816281130.8777033
100,-852855999.0657322
101,816958706.3309251
102,855481373.7669219
103,830385787.046737
104,830881423.2250144
105,823260578.7210615
106,824690210.8677452
107,826521350.4693012
108,-343392517.3107412
109,-821206638.3247287
110,816839557.1715275
111,-845313291.1992385
112,832820165.3513913
113,-12301922538.666351
114,-845314732.54101
115,854424251.0282626
116,-635072.0228264928
117,-0.003661478003145646
118,-785176787.6236199
119,-839513040.0033069
120,821353257.1857715
121,-827252188.6627865
122,-2.5047263856574116
123,-820845253.735652
124,106443290.10621643
125,-256356462.83598328
126,818008587.8300171
127,289707853.750968
128,-820569767.2567384
129,-828462890.6749649
130,820299632.9465426
131,819244299.6266143
132,828737584.29853
133,-0.6795241882730298
134,46519.374878199305
135,0.1789573604942407
136,819887683.8046103
137,-1015815.6157805696
138,-830858674.2372448
139,-829071635.9279847
140,-800837811.6683705
141,811240577.7546046
142,-830049526.4559517
143,-838577615.9332268
144,-801402142.6720705
145,832583184.0014699
146,819091312.2473956
147,973808971.0081177
148,-18.15443369404852
149,-833810341.0495605
150,-813261306.9743087
151,-817777773.6124305
152,-781711129.2873466
153,1074662388.7321591
154,1.5101260525745985
155,-0.14852704947743334
156,-69726905.49680638
157,-1081434501.5995684
158,1010297247.4187505
159,-815354358.9744506
160,830250547.6931012
161,-115427815.67488861
162,812465456.6189246
163,-1103040859.065553
164,832228362.388178
165,-825088621.8177176
166,-842817162.3007884
167,833040353.1905355
168,-816478809.5026879
169,171684316.99138957
170,836508822.7793548
171,807378144.9188248
172,-2.5528360661699594
173,-828141519.6967928
174,-18578.62594649472
175,39087483.86035955
176,-11686426.246293187
177,830477286.9018965
178,829465642.7700989
179,-558440753.367594
180,-783213208.7051795
181,817827668.7811654
182,-582.3298738383819
183,-952262628.1900139
184,-1064965083.875345
185,-1124.1961069426052
186,824725390.7261294
187,855903168.291352
188,828000148.2756953
189,826396607.6154242
190,763554653.621048
191,44047227.43887758
192,-829744119.8323545
193,-834429966.8654432
194,825783939.4804168
195,-574065467.6613474
196,823556295.7626934
197,826297232.9831545
198,45.168756930510256
199,824577916.842979
200,-827971192.1320317
201,-833472395.8095152
202,824023917.5028067
203,822462290.3252255
204,18077019699.416504
205,1227393763.3243942
206,-1887.001467235401
207,826035714.0010862
208,-2720456875.4837155
209,829843606.2860966
210,-826834795.5170732
211,829080495.7452056
212,-840008273.328165
213,834721304.1764395
214,468388498.08820724
215,822632252.0523936
216,-827419489.0742881
217,836262916.5022844
218,-830107511.2475945
219,-982428803.9356866
220,17.288405508204278
221,829459772.4524944
222,-13.904947520963901
223,-10293.318896301818
224,829239742.5575317
225,828811147.9570334
226,824885635.2863984
227,827863796.5265899
228,-89382842804.8302
229,-827830505.9265993
230,829540421.86374
231,830846580.1758436
232,-25779243565.492493
233,-829688821.6109395
234,826274753.326527
235,-601873213.516579
236,898144732.259592
237,-0.05010380780108381
238,-73119191.76825023
239,-828726660.063215
240,-829824226.5278952
241,-826347497.3661937
242,-2.119097530229757
243,-32115872.278824043
244,-826596192.0901053
245,830957626.7729559
246,831798946.1267414
247,824524115.0796318
248,-397665.07415999286
249,781.3466738053141
250,100.430910008316
