,0
0,280700492.4061134
1,-5830856345.252857
2,-2898801967.953323
3,21.883396067998966
4,-6147207757.517314
5,6689447575.45879
6,-5880266258.920802
7,-5971764392.859573
8,-5835059959.898245
9,-6239820767.021408
10,-6705570895.613689
11,5417539833.7566185
12,-8355775462.124287
13,5251433622.927109
14,-4583784593.278381
15,-6053127554.412762
16,5547691899.554064
17,4580442181.380101
18,5941727793.759026
19,-6167871962.786558
20,-6221822621.743633
21,4812551132.856891
22,-4.201714412032834
23,-8815444.064346364
24,-5095135028.09103
25,-5974536672.149132
26,-6211708873.4384575
27,-6953375554.622795
28,-5322870149.505774
29,-2841406450.924055
30,-3815262116.3786087
31,-4924205705.879441
32,-2459771812.9016895
33,-1611092925.4351907
34,2.556446562023325
35,-1490069469.6717472
36,1858338830.1698694
37,-61697131.41003251
38,-1519551664.426207
39,-1812118135.8748467
40,15353455.72622899
41,-1760099152.3311877
42,3638.641625235995
43,1782111274.756731
44,7.011419518413273
45,-1559452451.20605
46,1873560385.9124758
47,1479464039.3044171
48,-1754923435.657619
49,1489245999.020899
50,1757181005.1795154
51,-1766882.2485531867
52,-1466594183.5927916
53,1745706307.7731233
54,59565920.802922726
55,1569216230.735743
56,-1286245112.7272778
57,1794269673.6152048
58,1621674367.5649323
59,-1488796171.058444
60,1310480306.7864823
61,69815690072.9502
62,-6454116951.666855
63,-1698188802.4940226
64,1701838142.9313362
65,1463701971.8242297
66,1634021651.162832
67,1581724729.502494
68,1766170757.7258468
69,1829228371.5484061
70,-1692022889.384434
71,393.1800728536373
72,-1762056801.8421795
73,-1626832950.2528212
74,6152.975851195235
75,1751083393.9972584
76,-1631418726.5201194
77,-1645298040.847723
78,-1743903284.7098405
79,1748452816.5502172
80,-4507095.434895143
81,-1681974514.824949
82,-1681823358.6007302
83,-1686480614.8679922
84,207.66179462328137
85,1761970561.9341297
86,1601676559.1309674
87,-1667871869.5819986
88,1660247857.2041914
89,-1574245033.765684
90,-1612561213.306229
91,1612559901.9294868
92,-913974.6900580944
93,-1459773553.5379596
94,-1596644080.0338283
95,1614418561.5175667
96,-1674024181.1692936
97,-1723168896.4866626
98,-1549737727.3652205
99,2275.321469624374
100,-3.455970660163123
101,-15873355844.04221
102,1629426863.6524873
103,-1422488.4740771279
104,-1684327585.4788146
105,-160030460890.31152
106,1366846406.7124243
107,-1619962384.7868676
108,1685065370.6299987
109,-1656529022.3459635
110,-476251.0892792409
111,1649532218.087346
112,121796876157.26904
113,-1298562056.495247
114,-1700144129.5830457
115,12529849476.651154
116,1711378168.7711067
117,-1694857211.5464857
118,1715682810.5903642
119,1635631213.4417708
120,1673606819.970926
121,-1691366977.6129844
122,1651020531.3979604
123,4.510388608392798
124,-1675786762.3277438
125,-1607934070.1273856
126,-1599181908.7408247
127,1697623713.7084186
128,-1649142058.5681481
129,-1651869249.1407366
130,-1691881491.68049
131,17234186397.085052
132,-1648430704.6967256
133,1607241819.1142745
134,-59426.52083843782
135,1635458063.3798041
136,-42.15601275129188
137,-8223701908.167881
138,-14246338.205031825
139,0.4308434241280139
140,1758093150.232703
141,-1665984234.786829
142,1627425921.2397852
143,-1591865361.6957898
144,-130506853305.42139
145,1628328605.290589
146,1600741532.5004091
147,6.475398734264431
148,-1622451232.215105
149,-1644979010.0522063
150,-1647923934.097496
151,-1630462202.476562
152,-1635706552.476944
153,-1671475155.590303
154,4212015550.2511697
155,1662855235.9750154
156,-1659952472.1056721
157,1648660389.6345882
158,-1610364217.48655
159,-1650849097.2477355
160,0.6538869907469547
161,-1638342378.810737
162,-1669594498.290007
163,-1617012739.1155066
164,1210196.4053753652
165,-1661096624.6573834
166,-1649855339.3648393
167,1667753904.2045903
168,-1127384.1195267588
169,1643239349.331569
170,21690233749.231567
171,1645250293.0318308
172,2054995332.8396301
173,8910972.639961682
174,1654784995.534855
175,1632266618.5129082
176,2813851271.837143
177,1652335896.032877
178,1670269808.7688055
179,4116543.5958591476
180,-0.3164657691388886
181,1663740646.2902951
182,1675780900.30318
183,-1652117108.4390438
184,-1640859245.2627568
185,-1480114067.7281566
186,-1658921334.1575222
187,1651928833.2023764
188,1653428087.2764702
189,-103.38449244990602
190,-1667903771.162163
191,1658780810.8382185
192,1650872018.3609579
193,1658459669.566328
194,1654086097.903775
195,7.563768896130238
196,1651297049.2528174
197,-1652979348.7385652
198,473875.08655774593
199,-1651132754.6800466
200,-1665762335.60054
201,3137079663.220524
202,-1653124004.7361383
203,3500622.844471514
204,1660848846.5022385
205,-1644445255.9690628
206,1655833483.630335
207,1654123606.0504684
208,-2835.573740656673
209,1645383111.4922729
210,-600.3783863902208
211,1655476768.5685492
212,1652225719.821824
213,-1651892997.3038511
214,1655989939.2761302
215,1646342961.6898408
216,-257.52485976640617
217,-1655608819.4216766
218,1653098864.5960035
219,153170814.81709498
220,1.7251885988809974
221,-1651673184.9384036
222,-1648192983.278778
223,1660231522.660079
224,1650565849.7126975
225,-1651774353.7681985
226,-1657580560.7039962
227,1649938638.866753
228,1654799478.6608896
229,121506538.49375296
230,0.7290709304155527
231,18869684854.26544
232,1653134813.8972683
233,-1651579621.7488437
234,-0.3733876419128421
235,5954230.012269177
236,-1652540918.7676857
237,-1034.2462345233744
238,-1654152434.7291212
239,-1652106352.822339
240,-1216325223.921924
241,1656920388.381764
242,1652721419.6543207
243,8627079295.003521
244,1652523394.7859886
245,1686261075.512511
246,-1653568970.7996752
247,1651966778.347592
248,1651729298.234961
249,-1652593569.289311
250,1653546223.4057004
251,-1391808728.9162343
252,-7302474.247748226
253,67811442957.841675
254,30391661104.35312
255,-1466817960.9674006
256,-1653491109.3022475
257,-1652881343.670361
258,1651302310.882583
259,1651985771.4794002
260,-1652720181.6104999
261,1653830987.1798317
262,1654122376.5711417
263,-1651617941.7175143
264,-1654051812.517995
265,1692545596.274835
266,-1654509269.5467434
267,-1651912476.889817
268,-11362.58844978275
269,1653788883.8766456
270,1650125677.460393
271,59670090.73246604
272,1653836916.6451921
273,-1655960582.799124
274,-1653215037.2731361
275,1654248851.6362686
276,0.16200153156304964
277,-2769801005.9449153
278,-1654254028.894866
279,4852424.633316051
280,130743107210.59808
281,1653438541.833859
282,-1652048999.594354
283,1653115367.5531783
284,1652350539.5120025
285,1653262955.6865065
286,-1652751304.1322103
287,1653731340.3001986
288,-36411.35909483768
289,1653476862.0441427
290,1398348.07391168
291,1652921157.3455276
292,-1653136004.9165208
293,-1653465959.6220746
294,-1653773367.2042675
295,-1653378376.409114
296,1653628239.235967
297,-13797430682.586636
298,1653472742.5910263
299,-1653609234.8477697
300,1653228041.0073204
301,-1653822156.299884
302,-1653394651.4386048
303,-1653488358.0441525
304,1654020953.0865695
305,1652892752.9700232
306,43837.05441380243
307,1653162450.238965
308,-1653566763.686367
309,-1653536838.8724427
310,-1654023891.9887054
311,1653709424.0420542
312,-1653651387.0607767
313,2386367530.916485
314,1653552568.5374355
315,-1653495238.7222776
316,-1653627001.6931512
317,-1653905324.8053882
318,1653824298.0258384
319,38915988.90520382
320,-31566.273805765202
321,-205.30606026660143
322,1653464224.675912
323,-1653605761.927424
324,-79.82639233930229
325,1653585339.1578116
326,-1653499913.1266642
327,1756344884.1307135
328,-2707264634.0418463
329,2712828626.293787
330,-1064591143.4594879
331,1653469228.6443777
332,15876.582369465148
333,47536610828.74158
334,-1653757858.372796
335,-1653710931.4894526
336,-1653542164.1746068
337,-0.25210685043687064
338,-15.064575981994352
339,1653747922.0559998
340,1653406376.7199798
341,-20.43513398253526
342,1653575433.0267997
343,-1653447443.8652205
344,1653643875.1964145
345,-1653574461.803924
346,1653589812.793677
347,8340795773.14801
348,152920.15430598077
349,-1653697327.1040065
350,1653496104.0478356
351,1653609696.6074677
352,1653409795.6121135
353,1.2323165186464102
354,1653478883.146896
355,1653590804.7076898
356,-0.7706566086666742
357,-1653548874.0622954
358,-1653592847.8859434
359,-1653477282.4460173
360,-7172.015645068476
361,1653611048.713304
362,-1653530756.918596
363,-1657299220.9927523
364,-1653520964.0901666
365,2388018.062372595
366,134555214.59916973
367,1653575541.4791636
368,1653591460.1193376
369,-377863345.2273121
370,-1653567717.087773
371,1653504006.6680207
372,-1653543873.8274965
373,1746294708.0413322
374,-1653577838.0102124
375,1653550492.704489
376,-1932.5606622894556
377,-1653572934.3414073
378,827728223.9053159
379,1653527855.9896433
380,2021634214.192069
381,1653554245.6254487
382,-1831542145.6825323
383,-1653579914.4763722
384,1653520420.0899189
385,1653550182.7848833
386,-1653555209.488919
387,45168332.60216576
388,-1653553689.3336043
389,-4739220.673928136
390,-218.04944452082646
391,-1653573858.2418096
392,-1653546296.4504364
393,1653578394.2640767
394,1653556485.8678741
395,-1653554293.9824584
396,1653551804.4399843
397,1653557993.148149
398,-1653532405.625478
399,1653549226.7155018
400,-78564154.43677375
401,-1645346504.7845516
402,-16738847740.028206
403,1653548607.095261
404,6307.510522605808
405,-1653546514.4077876
406,-12.021523017252157
407,-1653571789.3161452
408,22.76477252224578
409,1653554847.0045204
410,-1653548610.8161924
411,1653544294.8960483
412,-1653525131.8498867
413,-1653562407.1313882
414,1653543502.477427
415,74234314897.7467
416,1653522003.1014867
417,4054680.0002934635
418,-1014998.6731540505
419,-1653562728.332343
420,212656963.22204262
421,-1653569035.1659422
422,1577875098.7222672
423,-1653538472.0806618
424,-1653562579.948658
425,-1653551335.3330138
426,-1653555882.763434
427,-1653544885.6693702
428,-1653558252.8940494
429,1653549824.457696
430,1653556661.6741655
431,1653557024.9972894
432,531658228.3356743
433,-1653540829.9191518
434,1653561759.6772184
435,-565645.1216491717
436,8122526.146055033
437,1653550124.4438467
438,227542.11613652948
439,1653557014.3653576
440,-1653547869.050538
441,1653550748.3861666
442,-1607739465.4919455
443,1653546667.8387465
444,1653549690.392902
445,1653550418.95922
446,1653553020.5914946
447,-4948530.363615867
448,-3399.0259988201396
449,-1653551506.3875217
450,-1653549161.3361473
451,-413259.3549452033
452,-1653548151.4908657
453,1653545630.9819272
454,-1653547571.9426146
455,1653550818.8254962
456,-1653548320.19921
457,1653551818.513329
458,-83326.88193433598
459,-3938061428.038526
460,11742042203.922676
461,-1653009373.1581545
462,-1653547583.6995683
463,-1653550361.9596848
464,1653554054.513383
465,1653546359.5451024
466,1653548747.6063962
467,1653548950.6238918
468,-1653548429.8562953
469,1653552047.1858454
