,0
0,-1815.6459630953614
1,-2215462295.318741
2,-2302540301.355343
3,-15872553672.084618
4,3856.6849258137518
5,1901943707.106164
6,1967857771.9118366
7,2367248480.984867
8,-10840.541441203539
9,-1724409162.6336174
10,-1759379538.096508
11,-26721813.87314889
12,88.87562743654411
13,2039440712.089941
14,-2384212160.0567207
15,-1.7452994662245285
16,-421431338.0610304
17,-2185320125.0944986
18,2089440220.6565866
19,-2376139743.033043
20,2332612113.625433
21,2364071626.030918
22,39042092086.218636
23,-2197691344.782439
24,-2030039363.312828
25,-1366342132.6159248
26,-44695342.35600822
27,-2556521673.35911
28,2184200396.956936
29,2120166755.2479725
30,-73806085792.88916
31,-2244637663.5954857
32,2256140095.620082
33,2262141822.412263
34,661493.41234711
35,25460176.82543089
36,2079260319.8249874
37,2245091307.697132
38,2241266826.8703156
39,-89.01291712862735
40,346882904.8196182
41,-2324026148.9135885
42,-2288574685.3491488
43,2287992866.3239765
44,221.2210136861804
45,39135.880731717916
46,-267.91062012482644
47,-249867.45287853247
48,2301888623.62304
49,67238565678.87927
50,2310775685.7376337
51,-2321748997.0267696
52,-2150169699.605735
53,-2307936026.3954315
54,-2262950246.9393616
55,2194773425.4902306
56,2247819111.5496693
57,-107890.67272079966
58,2245691743.528184
59,2294625767.1043816
60,-2210006628.5457
61,2211785120.7266665
62,-2205672922.7460556
63,2214041721.7534523
64,2219171723.3894157
65,-2238394259.07967
66,2287916668.932311
67,-485259468.7815676
68,2739091.8210678305
69,-2253981473.436247
70,-2261389715.4221115
71,-2250382862.3145266
72,2167992760.1668024
73,-2170702125.7076626
74,2236035254.024885
75,2198957157.1361847
76,-2263220182.017661
77,2252643732.5701113
78,-2273059645.878787
79,-2166832486.497429
80,-2253807925.1473656
81,-2269902379.988325
82,2245337547.842634
83,2275283364.828371
84,2243597158.0323086
85,2261088040.9389954
86,-37.88527074418971
87,-2291640186.1816835
88,2278480031.3795185
89,-2149590503.8491364
90,-2300406529.4901857
91,-2242042641.8291836
92,-0.26360115268046513
93,2270581647.389345
94,-2310957603.612524
95,-284984602.92486024
96,-2229392177.7875013
97,2250448184.8070908
98,-2208485474.8816957
99,-2217720824.1143637
100,2250464770.79844
101,2161282198.002264
102,31302326.109272033
103,-2254276669.8874626
104,-2254348325.478779
105,2262417842.5114613
106,2223425947.042036
107,2251432598.1909227
108,2281669511.7309704
109,-2297843113.739485
110,-2229776103.753339
111,178285641060.27548
112,-2257549306.8062277
113,2294163216.1387806
114,2234508223.136999
115,-2228121972.7968407
116,-2229389877.9202824
117,-2246819073.611677
118,2186545574.284581
119,-2260410906.8964567
120,6466855881.009003
121,-2212366472.7490406
122,2268051050.9493923
123,2205965199.8193817
124,2223835136.231077
125,2231322520.966405
126,-2238639390.137068
127,-45787.391304604986
128,2213147126.882847
129,2255537929.805872
130,-2250117035.3718615
131,-0.8000073720819181
132,-2229907119.1986513
133,-2248479953.890258
134,-2232214194.940298
135,2265758676.1058884
136,15089704.781866334
137,2211415367.914919
138,-2255757589.3821735
139,2285286920.4579754
140,2239144699.4530087
141,2237200702.638464
142,-2256071913.30764
143,2237743257.184244
144,-14918605857.118683
145,-2224908908.371196
146,-2220969873.9866333
147,-255455799.09593034
148,2310560912.7124166
149,-2247615995.872036
