,0
0,0.21242201
1,1.0605386
2,2.947697
3,-0.07073352
4,-0.7953743
5,-1.0983164
6,3.3466036
7,-0.8528723
8,-1.4189863
9,0.62609196
10,-2.280208
11,-0.33346435
12,-0.55043983
13,0.1405782
14,0.65523237
15,0.83237773
16,1.8194895
17,-2.93099
18,-0.46251422
19,2.9196098
20,-0.030106066
21,-4.5069823
22,0.5176899
23,-2.302385
24,2.139136
25,-0.43159688
26,1.1668949
27,-0.29179192
28,1.0442225
29,0.36988714
30,0.7658799
31,0.5830471
32,2.6242244
33,1.6283016
34,0.22113654
35,0.08594037
36,-1.502918
37,-1.7140651
38,-0.2539965
39,1.8195485
40,1.0160565
41,-0.13172781
42,1.048763
43,-0.07282623
44,0.30639216
45,-0.8443951
46,1.5896689
47,3.4621754
48,-0.13443819
49,-0.38064542
50,3.0441642
51,-1.4345905
52,-0.15107669
53,0.9350181
54,0.7191698
55,-0.63335615
56,0.5094224
57,4.012288
58,0.505398
59,0.39267296
60,1.3270806
61,0.9119339
62,3.7308533
63,-1.4289393
64,0.3702151
65,-1.4741316
66,2.9349923
67,-0.174943
68,-1.4483756
69,0.7575824
70,0.42973766
71,-2.5225365
72,1.6366847
73,-1.5652767
74,-1.6883447
75,-0.37120017
76,2.229016
77,1.0529958
78,-1.487871
79,2.4579108
80,1.3615869
81,3.3944077
82,-1.5082712
83,0.25474402
84,1.7067204
85,-1.2787634
86,-0.08383395
87,-2.8086782
88,1.2183774
89,-0.21957505
90,-1.5427946
91,3.6800797
92,-0.023675982
93,-0.14113933
94,-1.502784
95,-0.50979334
96,-2.2031393
97,-1.5238726
98,1.2344047
99,-1.4209528
100,-3.8779047
101,-2.8598568
102,-2.4330406
103,0.2111686
104,2.2681205
105,-1.2356706
106,-0.62450755
107,-1.064928
108,-0.4740159
109,0.1609396
110,1.9726592
111,-1.0487663
112,3.3493154
113,-0.3751172
114,-0.75652146
115,0.1871334
116,-0.77612275
117,-2.147929
118,3.8589346
119,2.0560849
120,0.60558325
121,-1.1333884
122,-1.2708819
123,2.156795
124,-0.44950342
125,0.4437484
126,-0.41662267
127,-0.2090069
128,-0.72643733
129,-1.3164504
130,-1.2626485
131,2.5338335
132,1.0152462
133,0.24990523
134,2.6971405
135,-0.45342246
136,2.1720517
137,-1.5410502
138,-1.1912543
139,0.2876261
140,-1.8176736
141,2.2285943
142,-0.2783414
143,-0.8801286
144,0.049496707
145,0.7953912
146,1.9941581
147,-0.27573058
148,-3.7235212
149,1.5828471
150,0.40752798
151,3.4869077
152,1.5427995
153,0.39166278
154,-0.67200726
155,-2.972022
156,-1.9572405
157,-4.3922987
158,-1.5888523
159,3.765946
160,1.2401457
161,2.7685583
162,1.2914594
163,-1.1839873
164,-0.64724326
165,-0.5137808
166,-2.3494632
167,0.20755985
168,-1.5168543
169,-1.5687857
170,-0.33715612
171,0.48281783
172,0.090166144
173,-0.14811763
174,-2.3840222
175,-1.4433005
176,0.40725595
177,2.6057458
178,-2.441881
179,0.5039984
180,-1.9774041
181,-0.43271977
182,1.4394685
183,-1.3396697
184,-0.3816846
185,-0.83096516
186,-4.0832767
187,-2.3436055
188,0.08583658
189,1.1229359
190,-0.21436934
191,-0.5209339
192,-1.8109723
193,1.6927903
194,-1.8011428
195,-2.6269727
196,-4.0059085
197,-0.03488945
198,-2.7380319
199,0.7842569
200,-1.555912
201,2.1382372
202,-1.2813574
203,-0.8880919
204,0.9024209
205,3.6028666
206,-0.4540213
207,0.58590865
208,-1.4072284
209,-1.9247258
210,-0.86117804
211,-1.4299653
212,0.29034
213,0.751989
214,1.9551146
215,0.8366923
216,-2.0069902
217,4.062139
218,1.0673301
219,0.6117856
220,-0.96192217
221,3.040235
222,-0.96081626
223,-1.8365499
224,-1.2148525
225,-1.6134005
226,-1.5345942
227,-1.4768072
228,-0.03433385
229,-0.93777055
230,-0.1590046
231,-3.2291253
232,-2.2270718
233,2.713039
234,-1.6194031
235,2.7199054
236,1.331875
237,0.36508113
238,-1.4259632
239,0.88059616
240,0.41723514
241,0.6053684
242,-0.101167135
243,2.0694315
