,time,bid,ask
0,2023-05-09 00:00:00,0.90658,0.90685
1,2023-05-09 00:00:01,0.90658,0.90685
4,2023-05-09 00:00:02,0.90655,0.90682
5,2023-05-09 00:00:03,0.90652,0.90679
6,2023-05-09 00:00:04,0.906525,0.906795
10,2023-05-09 00:00:05,0.90653,0.9068
11,2023-05-09 00:00:06,0.90654,0.90681
12,2023-05-09 00:00:07,0.90653,0.9068
13,2023-05-09 00:00:08,0.906525,0.906795
15,2023-05-09 00:00:09,0.9065099999999999,0.9067799999999999
19,2023-05-09 00:00:10,0.906505,0.906775
21,2023-05-09 00:00:11,0.906505,0.906775
23,2023-05-09 00:00:12,0.90646,0.90673
26,2023-05-09 00:00:14,0.90647,0.90674
27,2023-05-09 00:00:15,0.90646,0.90673
28,2023-05-09 00:00:16,0.906495,0.906765
30,2023-05-09 00:00:17,0.90652,0.90679
31,2023-05-09 00:00:19,0.906525,0.906795
33,2023-05-09 00:00:20,0.90653,0.9068
34,2023-05-09 00:00:22,0.906535,0.9068050000000001
36,2023-05-09 00:00:24,0.906525,0.906795
38,2023-05-09 00:00:26,0.90652,0.90679
41,2023-05-09 00:00:27,0.90652,0.90679
42,2023-05-09 00:00:28,0.90653,0.9068
43,2023-05-09 00:00:30,0.906505,0.906775
45,2023-05-09 00:00:31,0.906495,0.906765
47,2023-05-09 00:00:32,0.90651,0.90678
48,2023-05-09 00:00:36,0.9065099999999999,0.9067799999999999
50,2023-05-09 00:00:38,0.906525,0.906795
52,2023-05-09 00:00:39,0.90651,0.90678
53,2023-05-09 00:00:40,0.90653,0.9068
56,2023-05-09 00:00:41,0.906535,0.9068050000000001
60,2023-05-09 00:00:42,0.90648,0.90675
63,2023-05-09 00:00:43,0.90643,0.9067
64,2023-05-09 00:00:44,0.9063950000000001,0.906665
66,2023-05-09 00:00:46,0.906385,0.906655
68,2023-05-09 00:00:47,0.90638,0.90665
69,2023-05-09 00:00:48,0.906385,0.906655
71,2023-05-09 00:00:51,0.90637,0.90664
72,2023-05-09 00:00:52,0.90637,0.90664
75,2023-05-09 00:00:53,0.90636,0.90663
76,2023-05-09 00:00:54,0.906345,0.906615
78,2023-05-09 00:00:55,0.906355,0.906625
80,2023-05-09 00:00:56,0.90637,0.90664
81,2023-05-09 00:00:57,0.9063950000000001,0.906665
83,2023-05-09 00:00:58,0.90641,0.90668
84,2023-05-09 00:01:00,0.9064,0.90667
85,2023-05-09 00:01:01,0.90636,0.90663
87,2023-05-09 00:01:02,0.90633,0.9066
88,2023-05-09 00:01:03,0.90632,0.90659
91,2023-05-09 00:01:04,0.906325,0.906595
93,2023-05-09 00:01:05,0.90634,0.90661
96,2023-05-09 00:01:06,0.906325,0.906595
98,2023-05-09 00:01:07,0.90633,0.9066
99,2023-05-09 00:01:09,0.90632,0.90659
100,2023-05-09 00:01:10,0.90637,0.90664
103,2023-05-09 00:01:11,0.90636,0.90663
104,2023-05-09 00:01:12,0.9063650000000001,0.9066350000000001
106,2023-05-09 00:01:13,0.906385,0.906655
108,2023-05-09 00:01:14,0.9064,0.90667
109,2023-05-09 00:01:16,0.90641,0.90668
110,2023-05-09 00:01:19,0.9064,0.90667
111,2023-05-09 00:01:22,0.90636,0.90663
113,2023-05-09 00:01:24,0.90638,0.90665
114,2023-05-09 00:01:26,0.90639,0.90666
115,2023-05-09 00:01:29,0.906385,0.906655
117,2023-05-09 00:01:30,0.9063650000000001,0.9066350000000001
119,2023-05-09 00:01:31,0.90639,0.90666
120,2023-05-09 00:01:32,0.906355,0.906625
122,2023-05-09 00:01:33,0.9063650000000001,0.9066350000000001
124,2023-05-09 00:01:34,0.90637,0.90664
125,2023-05-09 00:01:35,0.90636,0.90663
126,2023-05-09 00:01:36,0.90635,0.90662
127,2023-05-09 00:01:39,0.9063399999999999,0.9066099999999999
129,2023-05-09 00:01:42,0.906335,0.906605
131,2023-05-09 00:01:44,0.90635,0.90662
132,2023-05-09 00:01:45,0.90632,0.90659
133,2023-05-09 00:01:48,0.9062950000000001,0.9065650000000001
135,2023-05-09 00:01:50,0.90628,0.90655
136,2023-05-09 00:01:51,0.90629,0.90656
137,2023-05-09 00:01:52,0.9063049999999999,0.906575
139,2023-05-09 00:01:53,0.90625,0.90652
142,2023-05-09 00:01:58,0.9062250000000001,0.906495
144,2023-05-09 00:02:00,0.90621,0.90648
147,2023-05-09 00:02:02,0.90624,0.90651
148,2023-05-09 00:02:03,0.90621,0.90648
149,2023-05-09 00:02:07,0.90624,0.90651
150,2023-05-09 00:02:09,0.90625,0.90652
151,2023-05-09 00:02:11,0.90627,0.90654
152,2023-05-09 00:02:12,0.90629,0.90656
153,2023-05-09 00:02:13,0.90628,0.90655
154,2023-05-09 00:02:15,0.90624,0.90651
155,2023-05-09 00:02:16,0.90623,0.9065
158,2023-05-09 00:02:18,0.90625,0.90652
159,2023-05-09 00:02:24,0.906245,0.906515
161,2023-05-09 00:02:26,0.90626,0.90653
162,2023-05-09 00:02:28,0.90625,0.90652
163,2023-05-09 00:02:29,0.90627,0.90654
164,2023-05-09 00:02:30,0.906245,0.906515
166,2023-05-09 00:02:31,0.90626,0.90653
167,2023-05-09 00:02:35,0.90625,0.90652
168,2023-05-09 00:02:39,0.9061950000000001,0.9064650000000001
170,2023-05-09 00:02:40,0.9061950000000001,0.9064650000000001
172,2023-05-09 00:02:41,0.90619,0.90646
173,2023-05-09 00:02:44,0.90616,0.90643
174,2023-05-09 00:02:49,0.90617,0.90644
175,2023-05-09 00:02:54,0.90614,0.90641
178,2023-05-09 00:02:55,0.90616,0.90643
179,2023-05-09 00:02:56,0.90615,0.90642
180,2023-05-09 00:02:58,0.90616,0.90643
181,2023-05-09 00:03:00,0.906155,0.906425
183,2023-05-09 00:03:06,0.90616,0.90643
184,2023-05-09 00:03:09,0.906175,0.906445
186,2023-05-09 00:03:10,0.90615,0.90642
187,2023-05-09 00:03:14,0.90616,0.90643
188,2023-05-09 00:03:20,0.90617,0.90644
189,2023-05-09 00:03:21,0.90616,0.9064300000000001
191,2023-05-09 00:03:22,0.90614,0.90641
194,2023-05-09 00:03:24,0.90614,0.90641
195,2023-05-09 00:03:25,0.90613,0.9064
196,2023-05-09 00:03:26,0.90614,0.90641
197,2023-05-09 00:03:27,0.90615,0.90642
198,2023-05-09 00:03:28,0.90613,0.9064
201,2023-05-09 00:03:34,0.90614,0.90641
202,2023-05-09 00:03:35,0.90618,0.90645
204,2023-05-09 00:03:36,0.90616,0.90643
207,2023-05-09 00:03:41,0.90615,0.90642
208,2023-05-09 00:03:42,0.90614,0.90641
209,2023-05-09 00:03:43,0.906165,0.906435
211,2023-05-09 00:03:45,0.90616,0.90643
212,2023-05-09 00:03:46,0.90618,0.90645
213,2023-05-09 00:03:48,0.90619,0.90646
214,2023-05-09 00:03:49,0.90618,0.90645
215,2023-05-09 00:03:51,0.90617,0.90644
216,2023-05-09 00:03:52,0.90616,0.90643
217,2023-05-09 00:03:53,0.9061349999999999,0.906405
219,2023-05-09 00:03:55,0.9061349999999999,0.906405
221,2023-05-09 00:03:56,0.90615,0.90642
222,2023-05-09 00:03:57,0.90614,0.90641
223,2023-05-09 00:03:58,0.90611,0.90638
224,2023-05-09 00:03:59,0.9061049999999999,0.9063749999999999
226,2023-05-09 00:04:00,0.9061,0.90637
229,2023-05-09 00:04:01,0.90609,0.90636
230,2023-05-09 00:04:04,0.906095,0.9063650000000001
232,2023-05-09 00:04:12,0.90608,0.90635
233,2023-05-09 00:04:15,0.90606,0.90633
234,2023-05-09 00:04:17,0.90605,0.90632
235,2023-05-09 00:04:19,0.90608,0.90635
236,2023-05-09 00:04:21,0.9060999999999999,0.90637
238,2023-05-09 00:04:22,0.90612,0.90639
239,2023-05-09 00:04:23,0.9061,0.90637
240,2023-05-09 00:04:25,0.90611,0.90638
243,2023-05-09 00:04:27,0.906155,0.906425
245,2023-05-09 00:04:28,0.90615,0.90642
246,2023-05-09 00:04:30,0.906145,0.906415
248,2023-05-09 00:04:31,0.90616,0.90643
249,2023-05-09 00:04:33,0.90615,0.90642
250,2023-05-09 00:04:47,0.90616,0.90643
251,2023-05-09 00:04:52,0.90617,0.90644
252,2023-05-09 00:04:53,0.906195,0.906465
254,2023-05-09 00:04:54,0.906245,0.906515
256,2023-05-09 00:04:57,0.90628,0.90655
257,2023-05-09 00:04:59,0.90627,0.90654
258,2023-05-09 00:05:00,0.90627,0.90654
259,2023-05-09 00:05:01,0.9063,0.90657
260,2023-05-09 00:05:02,0.90631,0.90658
261,2023-05-09 00:05:13,0.9063,0.90657
262,2023-05-09 00:05:15,0.90631,0.90658
263,2023-05-09 00:05:18,0.906385,0.906655
265,2023-05-09 00:05:19,0.9064300000000001,0.9067000000000001
267,2023-05-09 00:05:20,0.9065,0.90677
268,2023-05-09 00:05:23,0.90651,0.90678
