,time,bid,ask
0,2023-05-09 00:00:01,101.006,101.029
5,2023-05-09 00:00:02,101.004,101.027
8,2023-05-09 00:00:03,101.00450000000001,101.0275
10,2023-05-09 00:00:05,101.003,101.026
11,2023-05-09 00:00:06,101.004,101.027
12,2023-05-09 00:00:08,101.008,101.031
13,2023-05-09 00:00:09,101.012,101.035
15,2023-05-09 00:00:10,101.017,101.03999999999999
17,2023-05-09 00:00:11,101.019,101.042
18,2023-05-09 00:00:12,101.0265,101.0495
20,2023-05-09 00:00:13,101.028,101.051
23,2023-05-09 00:00:14,101.027,101.05
24,2023-05-09 00:00:15,101.026,101.049
25,2023-05-09 00:00:16,101.025,101.048
26,2023-05-09 00:00:30,101.03,101.053
29,2023-05-09 00:00:31,101.034,101.057
32,2023-05-09 00:00:32,101.04650000000001,101.0695
34,2023-05-09 00:00:33,101.04249999999999,101.06549999999999
36,2023-05-09 00:00:34,101.042,101.065
37,2023-05-09 00:00:36,101.0365,101.0595
39,2023-05-09 00:00:38,101.033,101.056
40,2023-05-09 00:00:40,101.03450000000001,101.0575
42,2023-05-09 00:00:41,101.033,101.056
43,2023-05-09 00:00:42,101.0335,101.0565
45,2023-05-09 00:00:44,101.034,101.057
46,2023-05-09 00:00:46,101.036,101.059
47,2023-05-09 00:00:47,101.039,101.062
50,2023-05-09 00:00:48,101.0395,101.0625
52,2023-05-09 00:00:49,101.03999999999999,101.06299999999999
54,2023-05-09 00:00:51,101.042,101.065
58,2023-05-09 00:00:52,101.04650000000001,101.0695
60,2023-05-09 00:00:53,101.043,101.066
61,2023-05-09 00:00:54,101.045,101.068
64,2023-05-09 00:00:55,101.049,101.072
65,2023-05-09 00:00:57,101.0515,101.0745
67,2023-05-09 00:00:58,101.05250000000001,101.0755
69,2023-05-09 00:00:59,101.0515,101.0745
71,2023-05-09 00:01:00,101.0595,101.0825
75,2023-05-09 00:01:02,101.06299999999999,101.086
77,2023-05-09 00:01:03,101.067,101.09
78,2023-05-09 00:01:04,101.0685,101.0915
80,2023-05-09 00:01:05,101.065,101.088
81,2023-05-09 00:01:06,101.0705,101.0935
83,2023-05-09 00:01:09,101.07,101.093
84,2023-05-09 00:01:10,101.066,101.089
87,2023-05-09 00:01:11,101.0645,101.0875
89,2023-05-09 00:01:12,101.0635,101.0865
91,2023-05-09 00:01:14,101.064,101.08699999999999
93,2023-05-09 00:01:17,101.0595,101.0825
95,2023-05-09 00:01:18,101.05850000000001,101.0815
97,2023-05-09 00:01:19,101.05850000000001,101.0815
99,2023-05-09 00:01:20,101.0685,101.0915
101,2023-05-09 00:01:22,101.069,101.092
102,2023-05-09 00:01:24,101.07,101.093
105,2023-05-09 00:01:25,101.069,101.092
106,2023-05-09 00:01:26,101.07,101.093
107,2023-05-09 00:01:27,101.0685,101.0915
109,2023-05-09 00:01:30,101.067,101.09
110,2023-05-09 00:01:31,101.071,101.094
113,2023-05-09 00:01:32,101.0765,101.0995
115,2023-05-09 00:01:33,101.074,101.097
116,2023-05-09 00:01:34,101.075,101.098
117,2023-05-09 00:01:35,101.077,101.1
118,2023-05-09 00:01:40,101.075,101.098
119,2023-05-09 00:01:41,101.068,101.091
120,2023-05-09 00:01:42,101.069,101.092
121,2023-05-09 00:01:43,101.07,101.093
124,2023-05-09 00:01:44,101.073,101.096
125,2023-05-09 00:01:45,101.0695,101.0925
127,2023-05-09 00:01:47,101.0695,101.0925
129,2023-05-09 00:01:48,101.065,101.088
131,2023-05-09 00:01:49,101.065,101.088
132,2023-05-09 00:01:50,101.058,101.081
135,2023-05-09 00:01:51,101.051,101.074
137,2023-05-09 00:01:52,101.0545,101.0775
139,2023-05-09 00:01:53,101.053,101.076
140,2023-05-09 00:01:55,101.054,101.077
141,2023-05-09 00:01:56,101.055,101.078
142,2023-05-09 00:01:58,101.0575,101.0805
144,2023-05-09 00:01:59,101.057,101.08
145,2023-05-09 00:02:00,101.056,101.079
148,2023-05-09 00:02:01,101.059,101.082
149,2023-05-09 00:02:02,101.06,101.083
150,2023-05-09 00:02:03,101.059,101.082
151,2023-05-09 00:02:05,101.05850000000001,101.0815
153,2023-05-09 00:02:06,101.058,101.081
154,2023-05-09 00:02:07,101.055,101.078
155,2023-05-09 00:02:08,101.056,101.079
156,2023-05-09 00:02:09,101.057,101.08
159,2023-05-09 00:02:10,101.056,101.079
160,2023-05-09 00:02:11,101.05600000000001,101.07900000000001
162,2023-05-09 00:02:12,101.056,101.079
163,2023-05-09 00:02:13,101.057,101.08
166,2023-05-09 00:02:14,101.054,101.077
169,2023-05-09 00:02:15,101.057,101.08
172,2023-05-09 00:02:16,101.05850000000001,101.0815
174,2023-05-09 00:02:18,101.06,101.083
175,2023-05-09 00:02:21,101.061,101.084
176,2023-05-09 00:02:22,101.062,101.085
177,2023-05-09 00:02:23,101.061,101.084
178,2023-05-09 00:02:24,101.0595,101.0825
180,2023-05-09 00:02:26,101.0595,101.0825
182,2023-05-09 00:02:28,101.056,101.079
183,2023-05-09 00:02:29,101.055,101.078
184,2023-05-09 00:02:30,101.0575,101.0805
186,2023-05-09 00:02:31,101.059,101.082
187,2023-05-09 00:02:33,101.058,101.081
188,2023-05-09 00:02:34,101.0565,101.0795
190,2023-05-09 00:02:35,101.057,101.08
191,2023-05-09 00:02:37,101.067,101.09
194,2023-05-09 00:02:38,101.07,101.093
195,2023-05-09 00:02:39,101.06649999999999,101.0895
197,2023-05-09 00:02:42,101.065,101.088
198,2023-05-09 00:02:44,101.0685,101.0915
200,2023-05-09 00:02:46,101.0645,101.0875
202,2023-05-09 00:02:47,101.064,101.087
203,2023-05-09 00:02:49,101.063,101.086
204,2023-05-09 00:02:53,101.06049999999999,101.08349999999999
206,2023-05-09 00:02:54,101.055,101.078
209,2023-05-09 00:02:55,101.048,101.071
210,2023-05-09 00:02:56,101.049,101.072
211,2023-05-09 00:02:58,101.051,101.074
212,2023-05-09 00:02:59,101.052,101.075
213,2023-05-09 00:03:00,101.0545,101.0775
215,2023-05-09 00:03:01,101.056,101.079
216,2023-05-09 00:03:02,101.057,101.08
217,2023-05-09 00:03:06,101.058,101.081
218,2023-05-09 00:03:09,101.063,101.086
219,2023-05-09 00:03:16,101.057,101.08
221,2023-05-09 00:03:17,101.057,101.08
222,2023-05-09 00:03:20,101.056,101.079
223,2023-05-09 00:03:21,101.055,101.078
224,2023-05-09 00:03:22,101.059,101.082
225,2023-05-09 00:03:27,101.058,101.081
226,2023-05-09 00:03:28,101.059,101.082
227,2023-05-09 00:03:30,101.0595,101.0825
229,2023-05-09 00:03:31,101.058,101.081
230,2023-05-09 00:03:35,101.0595,101.0825
232,2023-05-09 00:03:36,101.058,101.081
233,2023-05-09 00:03:44,101.0625,101.0855
235,2023-05-09 00:03:45,101.066,101.089
236,2023-05-09 00:03:46,101.0645,101.0875
238,2023-05-09 00:03:50,101.063,101.086
239,2023-05-09 00:03:51,101.062,101.085
240,2023-05-09 00:03:52,101.0625,101.0855
242,2023-05-09 00:03:53,101.0745,101.0975
244,2023-05-09 00:03:55,101.072,101.095
247,2023-05-09 00:03:56,101.064,101.087
248,2023-05-09 00:03:58,101.063,101.086
249,2023-05-09 00:03:59,101.059,101.082
251,2023-05-09 00:04:00,101.0605,101.0835
253,2023-05-09 00:04:02,101.06649999999999,101.08949999999999
255,2023-05-09 00:04:03,101.07300000000001,101.096
257,2023-05-09 00:04:04,101.07,101.093
258,2023-05-09 00:04:05,101.069,101.092
259,2023-05-09 00:04:11,101.07,101.093
260,2023-05-09 00:04:12,101.0755,101.0985
262,2023-05-09 00:04:13,101.0775,101.1005
264,2023-05-09 00:04:15,101.073,101.096
265,2023-05-09 00:04:16,101.06649999999999,101.0895
269,2023-05-09 00:04:18,101.067,101.09
270,2023-05-09 00:04:19,101.066,101.089
271,2023-05-09 00:04:21,101.06649999999999,101.0895
273,2023-05-09 00:04:22,101.067,101.09
274,2023-05-09 00:04:23,101.066,101.089
275,2023-05-09 00:04:25,101.059,101.082
277,2023-05-09 00:04:27,101.057,101.08
280,2023-05-09 00:04:29,101.054,101.077
281,2023-05-09 00:04:31,101.0565,101.0795
283,2023-05-09 00:04:32,101.0575,101.0805
285,2023-05-09 00:04:33,101.058,101.081
286,2023-05-09 00:04:36,101.057,101.08
287,2023-05-09 00:04:39,101.056,101.079
288,2023-05-09 00:04:40,101.062,101.085
289,2023-05-09 00:04:41,101.067,101.09
290,2023-05-09 00:04:42,101.068,101.091
291,2023-05-09 00:04:47,101.074,101.097
294,2023-05-09 00:04:48,101.07,101.093
297,2023-05-09 00:04:53,101.07,101.093
298,2023-05-09 00:04:54,101.076,101.099
299,2023-05-09 00:04:58,101.075,101.098
300,2023-05-09 00:05:00,101.075,101.098
301,2023-05-09 00:05:05,101.072,101.095
302,2023-05-09 00:05:06,101.074,101.097
303,2023-05-09 00:05:07,101.0735,101.09649999999999
305,2023-05-09 00:05:09,101.072,101.095
307,2023-05-09 00:05:11,101.0735,101.09649999999999
309,2023-05-09 00:05:12,101.076,101.099
312,2023-05-09 00:05:13,101.0765,101.0995
314,2023-05-09 00:05:14,101.077,101.1
315,2023-05-09 00:05:17,101.083,101.106
318,2023-05-09 00:05:18,101.088,101.11099999999999
320,2023-05-09 00:05:19,101.094,101.117
321,2023-05-09 00:05:20,101.093,101.116
322,2023-05-09 00:05:21,101.094,101.117
323,2023-05-09 00:05:22,101.092,101.11500000000001
325,2023-05-09 00:05:23,101.09,101.113
326,2023-05-09 00:05:25,101.085,101.108
327,2023-05-09 00:05:26,101.082,101.105
328,2023-05-09 00:05:27,101.0885,101.1115
330,2023-05-09 00:05:28,101.08850000000001,101.1115
332,2023-05-09 00:05:29,101.088,101.111
333,2023-05-09 00:05:30,101.09,101.113
334,2023-05-09 00:05:32,101.095,101.118
338,2023-05-09 00:05:33,101.0945,101.1175
340,2023-05-09 00:05:37,101.093,101.116
341,2023-05-09 00:05:38,101.094,101.117
342,2023-05-09 00:05:39,101.09,101.113
343,2023-05-09 00:05:40,101.091,101.114
344,2023-05-09 00:05:41,101.089,101.112
347,2023-05-09 00:05:42,101.091,101.114
348,2023-05-09 00:05:44,101.09,101.113
349,2023-05-09 00:05:45,101.089,101.112
350,2023-05-09 00:05:47,101.0875,101.1105
352,2023-05-09 00:05:48,101.08449999999999,101.1075
354,2023-05-09 00:05:50,101.0815,101.1045
356,2023-05-09 00:05:51,101.082,101.105
357,2023-05-09 00:05:52,101.084,101.107
358,2023-05-09 00:05:55,101.085,101.108
359,2023-05-09 00:06:00,101.08449999999999,101.1075
361,2023-05-09 00:06:01,101.084,101.107
362,2023-05-09 00:06:09,101.09049999999999,101.1135
