,time,bid,ask
0,2023-05-09 00:00:00,1.62161,1.6219000000000001
1,2023-05-09 00:00:01,1.62162,1.62191
5,2023-05-09 00:00:02,1.6217000000000001,1.62199
6,2023-05-09 00:00:03,1.62175,1.6220400000000001
7,2023-05-09 00:00:04,1.62172,1.62201
8,2023-05-09 00:00:05,1.62173,1.62202
9,2023-05-09 00:00:06,1.62172,1.62201
10,2023-05-09 00:00:08,1.62174,1.62203
11,2023-05-09 00:00:09,1.6217199999999998,1.62201
13,2023-05-09 00:00:10,1.62172,1.62201
14,2023-05-09 00:00:11,1.621745,1.622035
16,2023-05-09 00:00:12,1.62175,1.6220400000000001
19,2023-05-09 00:00:13,1.62176,1.62205
20,2023-05-09 00:00:14,1.62175,1.6220400000000001
21,2023-05-09 00:00:15,1.621775,1.622065
23,2023-05-09 00:00:16,1.621745,1.6220350000000001
25,2023-05-09 00:00:17,1.62173,1.62202
26,2023-05-09 00:00:18,1.62172,1.62201
27,2023-05-09 00:00:19,1.621705,1.621995
29,2023-05-09 00:00:20,1.62172,1.62201
30,2023-05-09 00:00:21,1.6216949999999999,1.621985
32,2023-05-09 00:00:23,1.62169,1.62198
33,2023-05-09 00:00:24,1.62171,1.6219999999999999
34,2023-05-09 00:00:25,1.62174,1.62203
37,2023-05-09 00:00:28,1.62173,1.62202
38,2023-05-09 00:00:30,1.6217000000000001,1.6219899999999998
40,2023-05-09 00:00:31,1.62176,1.62205
43,2023-05-09 00:00:34,1.6217899999999998,1.62208
44,2023-05-09 00:00:36,1.62178,1.62207
47,2023-05-09 00:00:38,1.62178,1.62207
50,2023-05-09 00:00:40,1.621725,1.6220150000000002
52,2023-05-09 00:00:41,1.62168,1.6219700000000001
55,2023-05-09 00:00:42,1.6217000000000001,1.62199
58,2023-05-09 00:00:43,1.62185,1.62214
59,2023-05-09 00:00:45,1.621855,1.622145
61,2023-05-09 00:00:46,1.62187,1.62216
62,2023-05-09 00:00:50,1.62187,1.62216
64,2023-05-09 00:00:51,1.6219000000000001,1.6221899999999998
66,2023-05-09 00:00:52,1.6219000000000001,1.62219
69,2023-05-09 00:00:55,1.62188,1.6221700000000001
72,2023-05-09 00:00:57,1.62178,1.62207
74,2023-05-09 00:01:00,1.621755,1.622045
76,2023-05-09 00:01:01,1.6218,1.62209
79,2023-05-09 00:01:02,1.62187,1.62216
80,2023-05-09 00:01:03,1.62191,1.6221999999999999
81,2023-05-09 00:01:04,1.6218499999999998,1.62214
83,2023-05-09 00:01:06,1.62188,1.6221700000000001
86,2023-05-09 00:01:10,1.62176,1.62205
89,2023-05-09 00:01:11,1.62178,1.62207
90,2023-05-09 00:01:12,1.6218,1.62209
91,2023-05-09 00:01:13,1.62178,1.62207
92,2023-05-09 00:01:14,1.6217700000000002,1.6220599999999998
93,2023-05-09 00:01:15,1.62176,1.62205
94,2023-05-09 00:01:16,1.62173,1.62202
95,2023-05-09 00:01:17,1.62175,1.6220400000000001
96,2023-05-09 00:01:19,1.62178,1.62207
97,2023-05-09 00:01:20,1.6217700000000002,1.6220599999999998
98,2023-05-09 00:01:21,1.62176,1.62205
99,2023-05-09 00:01:22,1.621835,1.622125
101,2023-05-09 00:01:24,1.62178,1.62207
102,2023-05-09 00:01:26,1.6217700000000002,1.6220599999999998
103,2023-05-09 00:01:29,1.62182,1.62211
105,2023-05-09 00:01:30,1.6218,1.62209
107,2023-05-09 00:01:32,1.621825,1.622115
109,2023-05-09 00:01:33,1.6218,1.62209
110,2023-05-09 00:01:35,1.62182,1.6221100000000002
111,2023-05-09 00:01:36,1.62185,1.62214
114,2023-05-09 00:01:37,1.62188,1.6221700000000001
115,2023-05-09 00:01:39,1.6218599999999999,1.62215
116,2023-05-09 00:01:41,1.621845,1.6221349999999999
118,2023-05-09 00:01:42,1.6218599999999999,1.62215
119,2023-05-09 00:01:43,1.62184,1.6221299999999998
120,2023-05-09 00:01:44,1.62183,1.62212
121,2023-05-09 00:01:45,1.62189,1.6221800000000002
123,2023-05-09 00:01:46,1.62189,1.62218
124,2023-05-09 00:01:48,1.62186,1.62215
126,2023-05-09 00:01:49,1.62187,1.62216
127,2023-05-09 00:01:50,1.6219000000000001,1.6221899999999998
129,2023-05-09 00:01:51,1.62195,1.6222400000000001
130,2023-05-09 00:01:52,1.6219350000000001,1.622225
132,2023-05-09 00:01:53,1.621985,1.6222750000000001
136,2023-05-09 00:01:54,1.621995,1.622285
138,2023-05-09 00:01:55,1.62202,1.6223100000000001
139,2023-05-09 00:01:57,1.62201,1.6223
140,2023-05-09 00:01:58,1.6220599999999998,1.62235
141,2023-05-09 00:02:00,1.62203,1.62232
143,2023-05-09 00:02:01,1.62203,1.62232
144,2023-05-09 00:02:02,1.62201,1.6223
146,2023-05-09 00:02:03,1.6219999999999999,1.62229
148,2023-05-09 00:02:04,1.62203,1.62232
149,2023-05-09 00:02:05,1.62205,1.62234
150,2023-05-09 00:02:09,1.6219999999999999,1.62229
153,2023-05-09 00:02:11,1.62199,1.62228
156,2023-05-09 00:02:12,1.621985,1.622275
158,2023-05-09 00:02:13,1.62199,1.62228
159,2023-05-09 00:02:15,1.6220050000000001,1.6222949999999998
161,2023-05-09 00:02:16,1.62205,1.62234
163,2023-05-09 00:02:18,1.621995,1.622285
165,2023-05-09 00:02:21,1.621975,1.622265
167,2023-05-09 00:02:22,1.6219700000000001,1.62226
168,2023-05-09 00:02:24,1.62198,1.6222699999999999
169,2023-05-09 00:02:26,1.6219700000000001,1.62226
170,2023-05-09 00:02:28,1.62198,1.6222699999999999
171,2023-05-09 00:02:29,1.62201,1.6223
173,2023-05-09 00:02:30,1.62199,1.62228
174,2023-05-09 00:02:31,1.62195,1.6222400000000001
175,2023-05-09 00:02:32,1.62199,1.62228
176,2023-05-09 00:02:33,1.6219700000000001,1.62226
177,2023-05-09 00:02:34,1.621965,1.622255
179,2023-05-09 00:02:37,1.62199,1.62228
180,2023-05-09 00:02:39,1.6220400000000001,1.62233
181,2023-05-09 00:02:41,1.62205,1.62234
182,2023-05-09 00:02:44,1.62209,1.6223800000000002
184,2023-05-09 00:02:45,1.6221,1.62239
185,2023-05-09 00:02:46,1.622095,1.622385
187,2023-05-09 00:02:51,1.622095,1.622385
189,2023-05-09 00:02:52,1.62208,1.62237
190,2023-05-09 00:02:53,1.6220599999999998,1.62235
193,2023-05-09 00:02:54,1.62205,1.62234
197,2023-05-09 00:02:55,1.6220649999999999,1.622355
199,2023-05-09 00:02:56,1.62205,1.62234
200,2023-05-09 00:02:58,1.6220599999999998,1.62235
201,2023-05-09 00:02:59,1.62203,1.62232
202,2023-05-09 00:03:00,1.6220350000000001,1.622325
204,2023-05-09 00:03:01,1.62201,1.6223
207,2023-05-09 00:03:03,1.62203,1.62232
208,2023-05-09 00:03:04,1.62202,1.6223100000000001
209,2023-05-09 00:03:08,1.62205,1.62234
210,2023-05-09 00:03:09,1.6219899999999998,1.62228
212,2023-05-09 00:03:11,1.62199,1.62228
213,2023-05-09 00:03:12,1.62196,1.62225
214,2023-05-09 00:03:13,1.62194,1.62223
215,2023-05-09 00:03:16,1.62195,1.6222400000000001
216,2023-05-09 00:03:17,1.62198,1.6222699999999999
217,2023-05-09 00:03:20,1.6219999999999999,1.62229
218,2023-05-09 00:03:21,1.622015,1.622305
220,2023-05-09 00:03:22,1.6220350000000001,1.622325
