,time,bid,ask
0,2023-05-09 00:00:01,0.97857,0.97877
1,2023-05-09 00:00:02,0.97856,0.97876
2,2023-05-09 00:00:05,0.97855,0.97875
3,2023-05-09 00:00:06,0.978565,0.978765
5,2023-05-09 00:00:08,0.97857,0.97877
6,2023-05-09 00:00:09,0.97859,0.97879
7,2023-05-09 00:00:10,0.9786,0.9788
10,2023-05-09 00:00:11,0.9786,0.9788
11,2023-05-09 00:00:12,0.97857,0.97877
12,2023-05-09 00:00:15,0.97858,0.97878
13,2023-05-09 00:00:16,0.978595,0.9787950000000001
15,2023-05-09 00:00:20,0.97861,0.97881
16,2023-05-09 00:00:21,0.9786,0.9788
17,2023-05-09 00:00:23,0.97859,0.97879
18,2023-05-09 00:00:24,0.978645,0.978845
20,2023-05-09 00:00:25,0.97863,0.97883
23,2023-05-09 00:00:26,0.97864,0.97884
24,2023-05-09 00:00:27,0.97865,0.97885
25,2023-05-09 00:00:30,0.97867,0.97887
28,2023-05-09 00:00:31,0.97869,0.97889
29,2023-05-09 00:00:36,0.97868,0.97888
30,2023-05-09 00:00:38,0.97869,0.97889
31,2023-05-09 00:00:42,0.97864,0.97884
34,2023-05-09 00:00:44,0.978605,0.9788049999999999
36,2023-05-09 00:00:45,0.978615,0.978815
38,2023-05-09 00:00:46,0.9786250000000001,0.9788250000000001
40,2023-05-09 00:00:47,0.9786250000000001,0.9788250000000001
42,2023-05-09 00:00:55,0.978615,0.978815
44,2023-05-09 00:00:57,0.9786250000000001,0.9788250000000001
46,2023-05-09 00:00:58,0.97861,0.97881
47,2023-05-09 00:01:00,0.978615,0.978815
49,2023-05-09 00:01:01,0.97863,0.97883
50,2023-05-09 00:01:02,0.97862,0.97882
53,2023-05-09 00:01:10,0.978615,0.978815
55,2023-05-09 00:01:11,0.9786,0.9788
56,2023-05-09 00:01:12,0.97861,0.97881
57,2023-05-09 00:01:13,0.97862,0.97882
58,2023-05-09 00:01:14,0.97861,0.97881
59,2023-05-09 00:01:15,0.9786,0.9788
60,2023-05-09 00:01:18,0.97861,0.97881
61,2023-05-09 00:01:19,0.9786,0.9788
62,2023-05-09 00:01:20,0.97862,0.97882
63,2023-05-09 00:01:26,0.978615,0.978815
65,2023-05-09 00:01:29,0.97861,0.97881
66,2023-05-09 00:01:39,0.9786,0.9788
67,2023-05-09 00:01:43,0.978605,0.9788049999999999
69,2023-05-09 00:01:45,0.97858,0.97878
70,2023-05-09 00:01:47,0.97856,0.97876
71,2023-05-09 00:01:48,0.97856,0.9787600000000001
73,2023-05-09 00:01:49,0.978575,0.978775
75,2023-05-09 00:01:50,0.97859,0.97879
76,2023-05-09 00:01:51,0.9786,0.9788
77,2023-05-09 00:01:52,0.97858,0.97878
78,2023-05-09 00:01:53,0.97857,0.97877
81,2023-05-09 00:01:54,0.978565,0.978765
83,2023-05-09 00:01:56,0.97858,0.97878
84,2023-05-09 00:02:00,0.978545,0.978745
86,2023-05-09 00:02:02,0.97856,0.97876
87,2023-05-09 00:02:11,0.97857,0.97877
90,2023-05-09 00:02:12,0.97858,0.97878
93,2023-05-09 00:02:14,0.97857,0.97877
94,2023-05-09 00:02:15,0.97856,0.97876
95,2023-05-09 00:02:26,0.97855,0.97875
96,2023-05-09 00:02:29,0.97857,0.97877
97,2023-05-09 00:02:31,0.97858,0.97878
98,2023-05-09 00:02:35,0.97857,0.97877
99,2023-05-09 00:02:37,0.97858,0.97878
100,2023-05-09 00:02:39,0.97855,0.97875
101,2023-05-09 00:02:41,0.97854,0.97874
102,2023-05-09 00:02:42,0.97855,0.97875
103,2023-05-09 00:02:44,0.978545,0.978745
105,2023-05-09 00:02:46,0.97854,0.97874
106,2023-05-09 00:02:48,0.97855,0.97875
107,2023-05-09 00:02:51,0.97854,0.97874
108,2023-05-09 00:02:53,0.97852,0.97872
109,2023-05-09 00:02:54,0.97851,0.97871
110,2023-05-09 00:02:55,0.978525,0.9787250000000001
112,2023-05-09 00:02:57,0.97854,0.97874
113,2023-05-09 00:03:00,0.97854,0.97874
114,2023-05-09 00:03:08,0.9785550000000001,0.978755
116,2023-05-09 00:03:13,0.97855,0.97875
117,2023-05-09 00:03:14,0.97854,0.97874
118,2023-05-09 00:03:17,0.97856,0.97876
119,2023-05-09 00:03:19,0.97857,0.97877
120,2023-05-09 00:03:21,0.97856,0.97876
121,2023-05-09 00:03:22,0.97857,0.97877
124,2023-05-09 00:03:24,0.97856,0.97876
125,2023-05-09 00:03:27,0.97855,0.97875
126,2023-05-09 00:03:28,0.97856,0.97876
127,2023-05-09 00:03:30,0.9785349999999999,0.978735
129,2023-05-09 00:03:31,0.97853,0.97873
130,2023-05-09 00:03:32,0.97852,0.97872
131,2023-05-09 00:03:33,0.97853,0.97873
132,2023-05-09 00:03:35,0.97854,0.97874
133,2023-05-09 00:03:40,0.97855,0.97875
134,2023-05-09 00:03:42,0.97856,0.97876
135,2023-05-09 00:03:43,0.97855,0.97875
136,2023-05-09 00:03:44,0.97856,0.97876
137,2023-05-09 00:03:50,0.9785649999999999,0.9787650000000001
139,2023-05-09 00:03:51,0.978585,0.978785
141,2023-05-09 00:03:52,0.9786,0.9788
142,2023-05-09 00:03:53,0.97858,0.97878
143,2023-05-09 00:03:55,0.97859,0.97879
146,2023-05-09 00:03:56,0.9786,0.9788
147,2023-05-09 00:03:58,0.97858,0.97878
149,2023-05-09 00:04:00,0.97857,0.97877
150,2023-05-09 00:04:02,0.97858,0.97878
151,2023-05-09 00:04:04,0.9785550000000001,0.978755
153,2023-05-09 00:04:06,0.97857,0.97877
156,2023-05-09 00:04:12,0.978565,0.978765
158,2023-05-09 00:04:14,0.978585,0.978785
160,2023-05-09 00:04:15,0.97857,0.97877
161,2023-05-09 00:04:16,0.97856,0.97876
162,2023-05-09 00:04:25,0.97857,0.97877
163,2023-05-09 00:04:27,0.97856,0.97876
164,2023-05-09 00:04:31,0.97855,0.97875
165,2023-05-09 00:04:32,0.978565,0.978765
167,2023-05-09 00:04:37,0.97858,0.97878
168,2023-05-09 00:04:38,0.97857,0.97877
169,2023-05-09 00:04:39,0.97856,0.97876
170,2023-05-09 00:04:41,0.97858,0.97878
171,2023-05-09 00:04:42,0.97857,0.97877
172,2023-05-09 00:04:44,0.97858,0.97878
173,2023-05-09 00:04:47,0.978595,0.9787950000000001
175,2023-05-09 00:04:50,0.97859,0.97879
176,2023-05-09 00:04:51,0.97858,0.97878
177,2023-05-09 00:04:52,0.97857,0.97877
178,2023-05-09 00:04:53,0.97858,0.97878
179,2023-05-09 00:04:54,0.9786,0.9788
180,2023-05-09 00:04:58,0.97859,0.97879
181,2023-05-09 00:04:59,0.9786,0.9788
182,2023-05-09 00:05:00,0.9786,0.9788
183,2023-05-09 00:05:01,0.97859,0.97879
184,2023-05-09 00:05:02,0.9786,0.9788
185,2023-05-09 00:05:09,0.97859,0.97879
186,2023-05-09 00:05:11,0.9786,0.9788
187,2023-05-09 00:05:16,0.97861,0.97881
188,2023-05-09 00:05:18,0.97862,0.97882
189,2023-05-09 00:05:21,0.97863,0.97883
190,2023-05-09 00:05:24,0.97862,0.97882
191,2023-05-09 00:05:26,0.97861,0.97881
192,2023-05-09 00:05:27,0.9786250000000001,0.9788250000000001
194,2023-05-09 00:05:35,0.97863,0.97883
195,2023-05-09 00:05:38,0.97862,0.97882
196,2023-05-09 00:05:40,0.9786250000000001,0.9788250000000001
198,2023-05-09 00:05:41,0.9786250000000001,0.9788250000000001
200,2023-05-09 00:05:47,0.978615,0.978815
202,2023-05-09 00:05:48,0.97861,0.97881
203,2023-05-09 00:05:51,0.97858,0.97878
204,2023-05-09 00:05:53,0.97856,0.97876
205,2023-05-09 00:06:00,0.97856,0.97876
206,2023-05-09 00:06:06,0.97857,0.97877
207,2023-05-09 00:06:08,0.97858,0.97878
208,2023-05-09 00:06:11,0.97857,0.97877
209,2023-05-09 00:06:13,0.97858,0.97878
210,2023-05-09 00:06:21,0.97856,0.97876
211,2023-05-09 00:06:25,0.97857,0.97877
212,2023-05-09 00:06:29,0.97856,0.97876
213,2023-05-09 00:06:30,0.97857,0.97877
214,2023-05-09 00:06:32,0.97856,0.97876
215,2023-05-09 00:06:33,0.978575,0.978775
217,2023-05-09 00:06:40,0.97858,0.97878
220,2023-05-09 00:06:46,0.97856,0.97876
221,2023-05-09 00:06:51,0.97857,0.97877
224,2023-05-09 00:06:52,0.9785550000000001,0.978755
226,2023-05-09 00:06:56,0.97857,0.97877
227,2023-05-09 00:06:57,0.97856,0.97876
228,2023-05-09 00:07:00,0.97855,0.97875
229,2023-05-09 00:07:04,0.97856,0.97876
230,2023-05-09 00:07:06,0.97855,0.97875
231,2023-05-09 00:07:09,0.97856,0.97876
232,2023-05-09 00:07:10,0.97855,0.97875
233,2023-05-09 00:07:12,0.97854,0.97874
234,2023-05-09 00:07:13,0.97853,0.97873
235,2023-05-09 00:07:16,0.97855,0.97875
238,2023-05-09 00:07:18,0.97852,0.97872
239,2023-05-09 00:07:24,0.9785349999999999,0.978735
241,2023-05-09 00:07:29,0.97853,0.97873
242,2023-05-09 00:07:32,0.97854,0.97874
243,2023-05-09 00:07:33,0.97852,0.97872
244,2023-05-09 00:07:40,0.9785349999999999,0.978735
246,2023-05-09 00:07:41,0.97852,0.97872
247,2023-05-09 00:07:42,0.97851,0.97871
248,2023-05-09 00:07:43,0.97852,0.97872
249,2023-05-09 00:07:44,0.97853,0.97873
250,2023-05-09 00:07:47,0.9785349999999999,0.978735
252,2023-05-09 00:07:48,0.97854,0.97874
253,2023-05-09 00:07:50,0.97855,0.97875
254,2023-05-09 00:07:51,0.97854,0.97874
255,2023-05-09 00:07:52,0.97855,0.97875
256,2023-05-09 00:07:54,0.97856,0.97876
257,2023-05-09 00:08:00,0.97856,0.97876
258,2023-05-09 00:08:01,0.9785600000000001,0.9787600000000001
260,2023-05-09 00:08:03,0.978545,0.978745
262,2023-05-09 00:08:05,0.97854,0.97874
263,2023-05-09 00:08:06,0.97853,0.97873
264,2023-05-09 00:08:13,0.978515,0.978715
266,2023-05-09 00:08:15,0.978525,0.9787250000000001
268,2023-05-09 00:08:18,0.9785,0.9787
269,2023-05-09 00:08:22,0.97853,0.97873
270,2023-05-09 00:08:34,0.97855,0.97875
273,2023-05-09 00:08:44,0.978565,0.978765
275,2023-05-09 00:08:54,0.978525,0.9787250000000001
277,2023-05-09 00:08:59,0.97851,0.97871
280,2023-05-09 00:09:00,0.97853,0.97873
281,2023-05-09 00:09:01,0.97856,0.97876
282,2023-05-09 00:09:04,0.97855,0.97875
283,2023-05-09 00:09:05,0.97854,0.97874
284,2023-05-09 00:09:11,0.97853,0.97873
285,2023-05-09 00:09:12,0.97854,0.97874
286,2023-05-09 00:09:18,0.9786,0.9788
287,2023-05-09 00:09:19,0.97864,0.97884
290,2023-05-09 00:09:20,0.97864,0.97884
291,2023-05-09 00:09:21,0.97861,0.97881
292,2023-05-09 00:09:25,0.97862,0.97882
293,2023-05-09 00:09:33,0.97862,0.97882
296,2023-05-09 00:09:34,0.97859,0.97879
297,2023-05-09 00:09:35,0.9786,0.9788
298,2023-05-09 00:09:41,0.97859,0.97879
299,2023-05-09 00:09:42,0.9786,0.9788
300,2023-05-09 00:09:43,0.97859,0.97879
301,2023-05-09 00:09:44,0.9785900000000001,0.97879
303,2023-05-09 00:09:45,0.97859,0.97879
306,2023-05-09 00:09:46,0.9786,0.9788
307,2023-05-09 00:09:47,0.97859,0.97879
308,2023-05-09 00:09:50,0.9786,0.9788
309,2023-05-09 00:09:54,0.97859,0.97879
310,2023-05-09 00:09:57,0.9785550000000001,0.978755
312,2023-05-09 00:09:58,0.97856,0.97876
313,2023-05-09 00:09:59,0.97859,0.97879
314,2023-05-09 00:10:00,0.9786,0.9788
315,2023-05-09 00:10:02,0.97859,0.97879
316,2023-05-09 00:10:04,0.9786,0.9788
317,2023-05-09 00:10:05,0.978595,0.9787950000000001
319,2023-05-09 00:10:06,0.978595,0.9787950000000001
321,2023-05-09 00:10:07,0.97859,0.97879
322,2023-05-09 00:10:08,0.9786,0.9788
323,2023-05-09 00:10:09,0.97859,0.97879
324,2023-05-09 00:10:12,0.9786,0.9788
325,2023-05-09 00:10:13,0.97862,0.97882
326,2023-05-09 00:10:14,0.97863,0.97883
327,2023-05-09 00:10:15,0.978605,0.9788049999999999
329,2023-05-09 00:10:17,0.978595,0.9787950000000001
331,2023-05-09 00:10:26,0.97859,0.97879
334,2023-05-09 00:10:29,0.978565,0.978765
336,2023-05-09 00:10:32,0.97858,0.97878
337,2023-05-09 00:10:35,0.97856,0.97876
338,2023-05-09 00:10:40,0.97857,0.97877
339,2023-05-09 00:10:41,0.97859,0.97879
340,2023-05-09 00:10:45,0.97858,0.97878
341,2023-05-09 00:10:46,0.97859,0.97879
342,2023-05-09 00:10:49,0.97857,0.97877
343,2023-05-09 00:10:53,0.9785699999999999,0.9787699999999999
345,2023-05-09 00:10:54,0.9785550000000001,0.978755
347,2023-05-09 00:10:55,0.978575,0.978775
349,2023-05-09 00:10:58,0.978575,0.978775
351,2023-05-09 00:10:59,0.97859,0.97879
352,2023-05-09 00:11:00,0.97858,0.97878
353,2023-05-09 00:11:01,0.97859,0.97879
354,2023-05-09 00:11:03,0.9786,0.9788
355,2023-05-09 00:11:04,0.97859,0.97879
356,2023-05-09 00:11:05,0.978605,0.9788049999999999
358,2023-05-09 00:11:06,0.97866,0.97886
359,2023-05-09 00:11:07,0.97867,0.97887
360,2023-05-09 00:11:11,0.97864,0.97884
361,2023-05-09 00:11:12,0.97863,0.97883
362,2023-05-09 00:11:16,0.97862,0.97882
363,2023-05-09 00:11:19,0.97863,0.97883
364,2023-05-09 00:11:22,0.97863,0.9788300000000001
366,2023-05-09 00:11:23,0.97863,0.97883
367,2023-05-09 00:11:37,0.978615,0.978815
369,2023-05-09 00:11:40,0.97862,0.97882
371,2023-05-09 00:11:44,0.9786,0.9788
372,2023-05-09 00:11:45,0.97861,0.97881
373,2023-05-09 00:11:47,0.97862,0.97882
374,2023-05-09 00:11:51,0.978605,0.9788049999999999
376,2023-05-09 00:11:52,0.97857,0.97877
377,2023-05-09 00:11:58,0.97858,0.97878
378,2023-05-09 00:11:59,0.978585,0.978785
380,2023-05-09 00:12:00,0.97858,0.97878
383,2023-05-09 00:12:08,0.978585,0.978785
385,2023-05-09 00:12:09,0.97857,0.97877
386,2023-05-09 00:12:19,0.97858,0.97878
387,2023-05-09 00:12:20,0.978585,0.978785
389,2023-05-09 00:12:43,0.97859,0.97879
390,2023-05-09 00:12:44,0.978585,0.978785
392,2023-05-09 00:12:46,0.97858,0.97878
393,2023-05-09 00:12:47,0.97859,0.97879
394,2023-05-09 00:12:48,0.97858,0.97878
395,2023-05-09 00:12:50,0.97859,0.97879
396,2023-05-09 00:12:53,0.97858,0.97878
397,2023-05-09 00:12:55,0.97857,0.97877
398,2023-05-09 00:12:56,0.97856,0.97876
399,2023-05-09 00:12:57,0.97857,0.97877
400,2023-05-09 00:12:58,0.978545,0.978745
402,2023-05-09 00:13:00,0.97854,0.97874
403,2023-05-09 00:13:03,0.9785349999999999,0.978735
405,2023-05-09 00:13:04,0.97855,0.97875
406,2023-05-09 00:13:05,0.97854,0.97874
407,2023-05-09 00:13:08,0.978505,0.9787049999999999
409,2023-05-09 00:13:09,0.978515,0.978715
411,2023-05-09 00:13:10,0.97851,0.97871
412,2023-05-09 00:13:11,0.97852,0.97872
413,2023-05-09 00:13:13,0.9785,0.9787
414,2023-05-09 00:13:16,0.97852,0.97872
417,2023-05-09 00:13:17,0.9785,0.9787
418,2023-05-09 00:13:18,0.97854,0.97874
419,2023-05-09 00:13:22,0.97853,0.97873
420,2023-05-09 00:13:23,0.97857,0.97877
421,2023-05-09 00:13:24,0.978525,0.9787250000000001
423,2023-05-09 00:13:29,0.97853,0.97873
424,2023-05-09 00:13:34,0.97851,0.97871
427,2023-05-09 00:13:37,0.9785,0.9787
428,2023-05-09 00:13:39,0.97851,0.97871
430,2023-05-09 00:13:42,0.978505,0.9787049999999999
432,2023-05-09 00:13:44,0.97852,0.97872
435,2023-05-09 00:13:45,0.97853,0.97873
436,2023-05-09 00:13:46,0.97852,0.97872
439,2023-05-09 00:13:47,0.97853,0.97873
440,2023-05-09 00:13:48,0.978525,0.9787250000000001
442,2023-05-09 00:13:49,0.97851,0.97871
443,2023-05-09 00:13:51,0.97852,0.97872
444,2023-05-09 00:13:52,0.97853,0.97873
445,2023-05-09 00:13:53,0.97852,0.97872
446,2023-05-09 00:13:54,0.9785349999999999,0.978735
448,2023-05-09 00:13:55,0.97852,0.97872
449,2023-05-09 00:13:57,0.97853,0.97873
450,2023-05-09 00:14:00,0.97853,0.97873
451,2023-05-09 00:14:01,0.97852,0.97872
452,2023-05-09 00:14:03,0.97853,0.97873
453,2023-05-09 00:14:04,0.978525,0.9787250000000001
455,2023-05-09 00:14:06,0.9785299999999999,0.9787300000000001
457,2023-05-09 00:14:08,0.9785349999999999,0.978735
459,2023-05-09 00:14:10,0.978565,0.978765
461,2023-05-09 00:14:12,0.97858,0.97878
462,2023-05-09 00:14:13,0.97857,0.97877
463,2023-05-09 00:14:18,0.97856,0.97876
464,2023-05-09 00:14:19,0.97855,0.97875
465,2023-05-09 00:14:23,0.97856,0.97876
466,2023-05-09 00:14:24,0.97855,0.97875
467,2023-05-09 00:14:25,0.97856,0.97876
468,2023-05-09 00:14:29,0.978575,0.978775
470,2023-05-09 00:14:35,0.97858,0.97878
471,2023-05-09 00:14:39,0.97857,0.97877
472,2023-05-09 00:14:42,0.97856,0.97876
473,2023-05-09 00:14:45,0.97855,0.97875
474,2023-05-09 00:14:46,0.97856,0.97876
477,2023-05-09 00:14:48,0.97857,0.97877
478,2023-05-09 00:14:49,0.97856,0.97876
479,2023-05-09 00:14:53,0.97857,0.97877
480,2023-05-09 00:14:55,0.978585,0.978785
482,2023-05-09 00:14:56,0.97858,0.97878
483,2023-05-09 00:14:57,0.97859,0.97879
484,2023-05-09 00:14:58,0.97858,0.97878
485,2023-05-09 00:15:00,0.97857,0.97877
486,2023-05-09 00:15:01,0.978585,0.978785
488,2023-05-09 00:15:02,0.9786,0.9788
491,2023-05-09 00:15:03,0.97859,0.97879
492,2023-05-09 00:15:04,0.978585,0.978785
494,2023-05-09 00:15:06,0.97858,0.97878
495,2023-05-09 00:15:12,0.97859,0.97879
496,2023-05-09 00:15:15,0.97858,0.97878
497,2023-05-09 00:15:16,0.97859,0.97879
498,2023-05-09 00:15:18,0.97858,0.97878
499,2023-05-09 00:15:20,0.97857,0.97877
500,2023-05-09 00:15:29,0.978575,0.978775
502,2023-05-09 00:15:32,0.97856,0.97876
503,2023-05-09 00:15:33,0.97857,0.97877
504,2023-05-09 00:15:34,0.978575,0.978775
506,2023-05-09 00:15:36,0.97858,0.97878
507,2023-05-09 00:15:40,0.97859,0.97879
508,2023-05-09 00:15:42,0.97858,0.97878
509,2023-05-09 00:15:44,0.97857,0.97877
512,2023-05-09 00:15:49,0.97858,0.97878
513,2023-05-09 00:15:50,0.97859,0.97879
514,2023-05-09 00:15:51,0.97858,0.97878
515,2023-05-09 00:15:55,0.97859,0.97879
516,2023-05-09 00:15:56,0.978585,0.978785
518,2023-05-09 00:15:57,0.97859,0.97879
521,2023-05-09 00:15:58,0.9786,0.9788
522,2023-05-09 00:16:00,0.9785900000000001,0.97879
524,2023-05-09 00:16:01,0.97858,0.97878
527,2023-05-09 00:16:02,0.97858,0.97878
528,2023-05-09 00:16:03,0.97857,0.97877
529,2023-05-09 00:16:05,0.978575,0.978775
531,2023-05-09 00:16:10,0.97856,0.97876
532,2023-05-09 00:16:11,0.97857,0.97877
533,2023-05-09 00:16:16,0.97856,0.97876
534,2023-05-09 00:16:19,0.97857,0.97877
535,2023-05-09 00:16:28,0.9785600000000001,0.9787600000000001
537,2023-05-09 00:16:41,0.97856,0.97876
538,2023-05-09 00:16:42,0.97855,0.97875
541,2023-05-09 00:16:43,0.9785550000000001,0.978755
543,2023-05-09 00:16:44,0.97857,0.97877
544,2023-05-09 00:16:47,0.97858,0.97878
545,2023-05-09 00:16:53,0.97857,0.97877
546,2023-05-09 00:16:56,0.97858,0.97878
547,2023-05-09 00:16:58,0.97858,0.97878
549,2023-05-09 00:17:00,0.97857,0.97877
550,2023-05-09 00:17:02,0.97858,0.97878
551,2023-05-09 00:17:03,0.97857,0.97877
552,2023-05-09 00:17:13,0.97856,0.97876
553,2023-05-09 00:17:19,0.97857,0.97877
554,2023-05-09 00:17:27,0.97856,0.97876
555,2023-05-09 00:17:33,0.97857,0.97877
556,2023-05-09 00:17:37,0.97856,0.97876
557,2023-05-09 00:17:42,0.978565,0.978765
559,2023-05-09 00:17:43,0.97855,0.97875
560,2023-05-09 00:17:44,0.97856,0.97876
561,2023-05-09 00:17:47,0.97857,0.97877
562,2023-05-09 00:17:53,0.97856,0.97876
563,2023-05-09 00:17:56,0.97858,0.97878
564,2023-05-09 00:17:58,0.97857,0.97877
565,2023-05-09 00:17:59,0.97858,0.97878
566,2023-05-09 00:18:00,0.97858,0.97878
567,2023-05-09 00:18:04,0.97856,0.97876
570,2023-05-09 00:18:07,0.97857,0.97877
571,2023-05-09 00:18:08,0.978575,0.978775
573,2023-05-09 00:18:15,0.978585,0.978785
575,2023-05-09 00:18:17,0.97858,0.97878
576,2023-05-09 00:18:18,0.97859,0.97879
577,2023-05-09 00:18:21,0.97858,0.97878
578,2023-05-09 00:18:28,0.978595,0.9787950000000001
580,2023-05-09 00:18:29,0.97858,0.97878
581,2023-05-09 00:18:30,0.97859,0.97879
582,2023-05-09 00:18:38,0.978575,0.978775
584,2023-05-09 00:18:46,0.97858,0.97878
585,2023-05-09 00:18:47,0.97857,0.97877
586,2023-05-09 00:18:48,0.978575,0.978775
588,2023-05-09 00:18:51,0.97858,0.97878
589,2023-05-09 00:18:59,0.97857,0.97877
590,2023-05-09 00:19:00,0.97857,0.97877
591,2023-05-09 00:19:02,0.97858,0.97878
592,2023-05-09 00:19:06,0.97857,0.97877
593,2023-05-09 00:19:18,0.97858,0.97878
594,2023-05-09 00:19:19,0.97857,0.97877
595,2023-05-09 00:19:21,0.97856,0.97876
596,2023-05-09 00:19:22,0.97857,0.97877
597,2023-05-09 00:19:23,0.97858,0.97878
598,2023-05-09 00:19:30,0.97857,0.97877
599,2023-05-09 00:19:40,0.9785550000000001,0.978755
