,time,bid,ask
0,2023-05-09 00:00:00,148.539,148.55700000000002
2,2023-05-09 00:00:01,148.536,148.554
6,2023-05-09 00:00:02,148.532,148.55
9,2023-05-09 00:00:03,148.53,148.548
10,2023-05-09 00:00:05,148.52949999999998,148.5475
12,2023-05-09 00:00:06,148.532,148.55
13,2023-05-09 00:00:08,148.536,148.554
14,2023-05-09 00:00:09,148.542,148.56
16,2023-05-09 00:00:10,148.548,148.566
19,2023-05-09 00:00:11,148.5505,148.5685
21,2023-05-09 00:00:12,148.547,148.565
24,2023-05-09 00:00:13,148.556,148.574
25,2023-05-09 00:00:16,148.5575,148.57549999999998
27,2023-05-09 00:00:18,148.558,148.576
30,2023-05-09 00:00:19,148.56,148.578
31,2023-05-09 00:00:20,148.56,148.578
33,2023-05-09 00:00:21,148.55849999999998,148.5765
35,2023-05-09 00:00:22,148.559,148.577
36,2023-05-09 00:00:23,148.55849999999998,148.5765
38,2023-05-09 00:00:25,148.5605,148.57850000000002
40,2023-05-09 00:00:26,148.562,148.58
41,2023-05-09 00:00:30,148.563,148.581
42,2023-05-09 00:00:31,148.5845,148.60250000000002
44,2023-05-09 00:00:32,148.593,148.611
45,2023-05-09 00:00:33,148.5895,148.60750000000002
47,2023-05-09 00:00:34,148.587,148.605
48,2023-05-09 00:00:36,148.574,148.592
51,2023-05-09 00:00:38,148.575,148.593
52,2023-05-09 00:00:39,148.573,148.591
53,2023-05-09 00:00:40,148.57,148.588
54,2023-05-09 00:00:41,148.568,148.586
55,2023-05-09 00:00:42,148.5645,148.58249999999998
57,2023-05-09 00:00:43,148.566,148.584
58,2023-05-09 00:00:44,148.562,148.58
61,2023-05-09 00:00:45,148.562,148.58
62,2023-05-09 00:00:46,148.566,148.584
64,2023-05-09 00:00:47,148.569,148.587
67,2023-05-09 00:00:48,148.571,148.589
70,2023-05-09 00:00:49,148.57049999999998,148.5885
72,2023-05-09 00:00:51,148.577,148.595
76,2023-05-09 00:00:52,148.585,148.603
77,2023-05-09 00:00:53,148.5815,148.5995
79,2023-05-09 00:00:54,148.578,148.596
80,2023-05-09 00:00:55,148.584,148.602
83,2023-05-09 00:00:56,148.585,148.603
85,2023-05-09 00:00:57,148.587,148.605
88,2023-05-09 00:00:58,148.586,148.604
89,2023-05-09 00:00:59,148.58550000000002,148.6035
91,2023-05-09 00:01:00,148.59550000000002,148.6135
95,2023-05-09 00:01:01,148.602,148.62
97,2023-05-09 00:01:02,148.601,148.619
99,2023-05-09 00:01:03,148.605,148.623
100,2023-05-09 00:01:04,148.6045,148.6225
102,2023-05-09 00:01:05,148.603,148.621
105,2023-05-09 00:01:06,148.609,148.627
107,2023-05-09 00:01:07,148.611,148.629
108,2023-05-09 00:01:08,148.61,148.628
109,2023-05-09 00:01:09,148.608,148.626
111,2023-05-09 00:01:10,148.599,148.61700000000002
113,2023-05-09 00:01:11,148.595,148.613
116,2023-05-09 00:01:12,148.598,148.616
117,2023-05-09 00:01:13,148.599,148.617
118,2023-05-09 00:01:14,148.59949999999998,148.6175
122,2023-05-09 00:01:15,148.59750000000003,148.6155
124,2023-05-09 00:01:16,148.598,148.616
125,2023-05-09 00:01:17,148.593,148.611
128,2023-05-09 00:01:18,148.592,148.61
129,2023-05-09 00:01:19,148.59,148.608
130,2023-05-09 00:01:20,148.60750000000002,148.6255
134,2023-05-09 00:01:21,148.609,148.627
135,2023-05-09 00:01:22,148.60950000000003,148.6275
137,2023-05-09 00:01:23,148.61,148.628
138,2023-05-09 00:01:24,148.6095,148.6275
140,2023-05-09 00:01:25,148.609,148.627
141,2023-05-09 00:01:26,148.6085,148.62650000000002
143,2023-05-09 00:01:27,148.608,148.626
144,2023-05-09 00:01:29,148.60649999999998,148.6245
146,2023-05-09 00:01:30,148.607,148.625
147,2023-05-09 00:01:31,148.6125,148.63049999999998
149,2023-05-09 00:01:32,148.6135,148.6315
153,2023-05-09 00:01:33,148.61450000000002,148.6325
155,2023-05-09 00:01:34,148.618,148.636
157,2023-05-09 00:01:37,148.617,148.635
158,2023-05-09 00:01:40,148.615,148.633
159,2023-05-09 00:01:41,148.60750000000002,148.6255
161,2023-05-09 00:01:42,148.608,148.626
162,2023-05-09 00:01:43,148.606,148.624
166,2023-05-09 00:01:44,148.60950000000003,148.6275
168,2023-05-09 00:01:45,148.607,148.625
169,2023-05-09 00:01:46,148.608,148.626
170,2023-05-09 00:01:47,148.606,148.624
171,2023-05-09 00:01:48,148.596,148.614
175,2023-05-09 00:01:49,148.5915,148.6095
177,2023-05-09 00:01:50,148.5845,148.60250000000002
181,2023-05-09 00:01:51,148.578,148.596
184,2023-05-09 00:01:52,148.581,148.599
187,2023-05-09 00:01:53,148.578,148.596
