,time,bid,ask
0,2023-05-09 00:00:00,0.63358,0.63376
1,2023-05-09 00:00:01,0.63357,0.63375
4,2023-05-09 00:00:02,0.63356,0.63374
5,2023-05-09 00:00:04,0.63358,0.63376
6,2023-05-09 00:00:05,0.633575,0.633755
8,2023-05-09 00:00:08,0.63357,0.63375
9,2023-05-09 00:00:09,0.633615,0.633795
11,2023-05-09 00:00:10,0.633615,0.633795
13,2023-05-09 00:00:11,0.6336,0.63378
14,2023-05-09 00:00:12,0.6335850000000001,0.6337649999999999
16,2023-05-09 00:00:15,0.6335999999999999,0.63378
18,2023-05-09 00:00:16,0.63362,0.6338
21,2023-05-09 00:00:18,0.63365,0.63383
22,2023-05-09 00:00:19,0.6336649999999999,0.633845
24,2023-05-09 00:00:24,0.63368,0.63386
25,2023-05-09 00:00:25,0.63373,0.63391
26,2023-05-09 00:00:26,0.63372,0.6339
27,2023-05-09 00:00:28,0.63373,0.63391
28,2023-05-09 00:00:30,0.63374,0.63392
29,2023-05-09 00:00:31,0.63373,0.63391
30,2023-05-09 00:00:32,0.6337349999999999,0.633915
32,2023-05-09 00:00:33,0.633725,0.6339049999999999
34,2023-05-09 00:00:40,0.63381,0.63399
35,2023-05-09 00:00:41,0.63384,0.63402
39,2023-05-09 00:00:42,0.63378,0.63396
42,2023-05-09 00:00:43,0.63373,0.63391
43,2023-05-09 00:00:44,0.63371,0.63389
44,2023-05-09 00:00:45,0.63372,0.6339
45,2023-05-09 00:00:46,0.63371,0.63389
46,2023-05-09 00:00:48,0.6337,0.63388
47,2023-05-09 00:00:51,0.63368,0.63386
48,2023-05-09 00:00:52,0.63367,0.63385
49,2023-05-09 00:00:55,0.63366,0.63384
50,2023-05-09 00:00:56,0.63367,0.63385
51,2023-05-09 00:00:57,0.63369,0.63387
52,2023-05-09 00:00:58,0.633645,0.6338250000000001
54,2023-05-09 00:01:00,0.63365,0.63383
55,2023-05-09 00:01:01,0.6336299999999999,0.63381
57,2023-05-09 00:01:02,0.6335999999999999,0.63378
59,2023-05-09 00:01:03,0.6336,0.63378
60,2023-05-09 00:01:05,0.633615,0.633795
62,2023-05-09 00:01:07,0.63361,0.63379
63,2023-05-09 00:01:10,0.63364,0.63382
66,2023-05-09 00:01:11,0.63364,0.63382
69,2023-05-09 00:01:12,0.63364,0.63382
70,2023-05-09 00:01:13,0.63365,0.63383
71,2023-05-09 00:01:19,0.63364,0.63382
72,2023-05-09 00:01:22,0.6336200000000001,0.6337999999999999
74,2023-05-09 00:01:23,0.63362,0.6338
75,2023-05-09 00:01:24,0.63366,0.63384
79,2023-05-09 00:01:31,0.63367,0.63385
80,2023-05-09 00:01:32,0.63365,0.63383
81,2023-05-09 00:01:36,0.63364,0.63382
82,2023-05-09 00:01:37,0.633605,0.633785
84,2023-05-09 00:01:39,0.63361,0.63379
85,2023-05-09 00:01:40,0.63362,0.6338
86,2023-05-09 00:01:41,0.63361,0.63379
89,2023-05-09 00:01:43,0.633615,0.633795
91,2023-05-09 00:01:44,0.6336,0.63378
92,2023-05-09 00:01:45,0.63359,0.63377
93,2023-05-09 00:01:47,0.63357,0.63375
96,2023-05-09 00:01:48,0.63353,0.63371
97,2023-05-09 00:01:49,0.633525,0.633705
99,2023-05-09 00:01:50,0.633545,0.633725
101,2023-05-09 00:01:51,0.633515,0.633695
103,2023-05-09 00:01:53,0.633515,0.633695
105,2023-05-09 00:01:54,0.63354,0.63372
108,2023-05-09 00:01:55,0.63353,0.63371
109,2023-05-09 00:01:56,0.63351,0.63369
112,2023-05-09 00:01:58,0.6335,0.63368
113,2023-05-09 00:02:00,0.63351,0.63369
114,2023-05-09 00:02:01,0.6335,0.63368
115,2023-05-09 00:02:06,0.63348,0.63366
118,2023-05-09 00:02:07,0.63345,0.63363
119,2023-05-09 00:02:09,0.63346,0.63364
120,2023-05-09 00:02:11,0.63347,0.63365
121,2023-05-09 00:02:12,0.63346,0.63364
122,2023-05-09 00:02:13,0.633445,0.633625
124,2023-05-09 00:02:14,0.63344,0.63362
125,2023-05-09 00:02:15,0.633435,0.633615
127,2023-05-09 00:02:16,0.63343,0.63361
128,2023-05-09 00:02:18,0.63344,0.63362
129,2023-05-09 00:02:21,0.63345,0.63363
130,2023-05-09 00:02:22,0.633445,0.633625
132,2023-05-09 00:02:26,0.633435,0.633615
134,2023-05-09 00:02:27,0.63344,0.63362
135,2023-05-09 00:02:29,0.63345,0.63363
136,2023-05-09 00:02:31,0.633455,0.633635
138,2023-05-09 00:02:34,0.633455,0.633635
140,2023-05-09 00:02:39,0.63339,0.63357
141,2023-05-09 00:02:40,0.6334,0.63358
142,2023-05-09 00:02:44,0.63334,0.63352
143,2023-05-09 00:02:45,0.63335,0.63353
144,2023-05-09 00:02:46,0.633355,0.633535
146,2023-05-09 00:02:51,0.63336,0.63354
147,2023-05-09 00:02:53,0.6333599999999999,0.63354
149,2023-05-09 00:02:54,0.6333,0.63348
151,2023-05-09 00:02:55,0.63332,0.6335
154,2023-05-09 00:02:58,0.63334,0.63352
155,2023-05-09 00:02:59,0.63335,0.63353
156,2023-05-09 00:03:00,0.63335,0.63353
157,2023-05-09 00:03:01,0.63334,0.63352
158,2023-05-09 00:03:03,0.63335,0.63353
159,2023-05-09 00:03:04,0.63336,0.63354
160,2023-05-09 00:03:06,0.63337,0.63355
161,2023-05-09 00:03:08,0.63339,0.63357
162,2023-05-09 00:03:09,0.6334150000000001,0.633595
164,2023-05-09 00:03:13,0.6334150000000001,0.633595
166,2023-05-09 00:03:14,0.63341,0.63359
167,2023-05-09 00:03:20,0.63339,0.63357
169,2023-05-09 00:03:21,0.63333,0.63351
172,2023-05-09 00:03:22,0.63331,0.63349
173,2023-05-09 00:03:23,0.63332,0.6335
174,2023-05-09 00:03:24,0.63331,0.63349
175,2023-05-09 00:03:27,0.63332,0.6335
176,2023-05-09 00:03:28,0.6333150000000001,0.6334949999999999
178,2023-05-09 00:03:29,0.63335,0.63353
179,2023-05-09 00:03:30,0.63331,0.63349
180,2023-05-09 00:03:32,0.6333150000000001,0.6334949999999999
182,2023-05-09 00:03:33,0.6333249999999999,0.633505
186,2023-05-09 00:03:35,0.63336,0.63354
189,2023-05-09 00:03:36,0.633345,0.633525
191,2023-05-09 00:03:38,0.63336,0.63354
192,2023-05-09 00:03:39,0.63335,0.63353
193,2023-05-09 00:03:40,0.63334,0.63352
194,2023-05-09 00:03:41,0.63335,0.63353
195,2023-05-09 00:03:42,0.6333249999999999,0.633505
197,2023-05-09 00:03:43,0.63334,0.63352
198,2023-05-09 00:03:44,0.63336,0.63354
199,2023-05-09 00:03:47,0.63337,0.63355
200,2023-05-09 00:03:49,0.63334,0.63352
201,2023-05-09 00:03:50,0.63335,0.63353
204,2023-05-09 00:03:53,0.6333249999999999,0.633505
206,2023-05-09 00:03:57,0.6333150000000001,0.6334949999999999
208,2023-05-09 00:03:58,0.63331,0.63349
211,2023-05-09 00:03:59,0.6333,0.63348
213,2023-05-09 00:04:00,0.63331,0.63349
215,2023-05-09 00:04:02,0.63331,0.63349
216,2023-05-09 00:04:03,0.63332,0.6335
217,2023-05-09 00:04:04,0.63331,0.63349
218,2023-05-09 00:04:06,0.63332,0.6335
219,2023-05-09 00:04:07,0.63333,0.63351
220,2023-05-09 00:04:09,0.63331,0.63349
221,2023-05-09 00:04:10,0.6333,0.63348
222,2023-05-09 00:04:12,0.6332949999999999,0.633475
224,2023-05-09 00:04:13,0.63331,0.63349
225,2023-05-09 00:04:15,0.63328,0.63346
226,2023-05-09 00:04:16,0.633285,0.633465
228,2023-05-09 00:04:19,0.633285,0.633465
230,2023-05-09 00:04:21,0.63335,0.63353
231,2023-05-09 00:04:25,0.63334,0.63352
232,2023-05-09 00:04:30,0.63335,0.63353
233,2023-05-09 00:04:31,0.63334,0.63352
234,2023-05-09 00:04:36,0.63335,0.63353
235,2023-05-09 00:04:38,0.63334,0.63352
236,2023-05-09 00:04:53,0.63339,0.63357
237,2023-05-09 00:04:54,0.6334249999999999,0.633605
239,2023-05-09 00:04:55,0.633455,0.633635
241,2023-05-09 00:05:00,0.63345,0.63363
242,2023-05-09 00:05:01,0.63346,0.63364
243,2023-05-09 00:05:02,0.6334850000000001,0.6336649999999999
245,2023-05-09 00:05:18,0.6335,0.63368
246,2023-05-09 00:05:19,0.63357,0.63375
247,2023-05-09 00:05:20,0.63358,0.63376
248,2023-05-09 00:05:21,0.63359,0.63377
249,2023-05-09 00:05:22,0.63358,0.63376
250,2023-05-09 00:05:23,0.6335850000000001,0.6337649999999999
252,2023-05-09 00:05:24,0.633575,0.6337550000000001
254,2023-05-09 00:05:26,0.63359,0.63377
255,2023-05-09 00:05:27,0.63363,0.63381
258,2023-05-09 00:05:30,0.633655,0.633835
260,2023-05-09 00:05:31,0.63369,0.63387
261,2023-05-09 00:05:41,0.6337,0.63388
262,2023-05-09 00:05:43,0.63369,0.63387
263,2023-05-09 00:05:45,0.633715,0.633895
265,2023-05-09 00:05:47,0.63371,0.63389
266,2023-05-09 00:05:48,0.6337,0.63388
267,2023-05-09 00:05:51,0.633705,0.633885
269,2023-05-09 00:05:53,0.633685,0.633865
271,2023-05-09 00:06:00,0.63368,0.63386
272,2023-05-09 00:06:03,0.63367,0.63385
273,2023-05-09 00:06:06,0.63366,0.63384
274,2023-05-09 00:06:09,0.633645,0.6338250000000001
276,2023-05-09 00:06:11,0.63366,0.63384
277,2023-05-09 00:06:12,0.63366,0.63384
280,2023-05-09 00:06:21,0.63365,0.63383
281,2023-05-09 00:06:22,0.6336200000000001,0.6337999999999999
283,2023-05-09 00:06:29,0.63362,0.6338
284,2023-05-09 00:06:30,0.63361,0.63379
285,2023-05-09 00:06:32,0.6336,0.63378
286,2023-05-09 00:06:33,0.63361,0.63379
287,2023-05-09 00:06:40,0.6335999999999999,0.63378
289,2023-05-09 00:06:42,0.6336,0.63378
290,2023-05-09 00:06:51,0.63361,0.63379
291,2023-05-09 00:06:57,0.63362,0.6338
292,2023-05-09 00:07:00,0.63362,0.6338
293,2023-05-09 00:07:04,0.63363,0.63381
294,2023-05-09 00:07:05,0.63362,0.6338
295,2023-05-09 00:07:12,0.63361,0.63379
296,2023-05-09 00:07:26,0.63363,0.63381
297,2023-05-09 00:07:34,0.63364,0.63382
298,2023-05-09 00:07:36,0.63366,0.63384
299,2023-05-09 00:07:48,0.63365,0.63383
300,2023-05-09 00:07:49,0.6336550000000001,0.6338349999999999
302,2023-05-09 00:07:51,0.63363,0.63381
303,2023-05-09 00:07:52,0.6336200000000001,0.6338
305,2023-05-09 00:07:53,0.63362,0.6338
306,2023-05-09 00:07:54,0.63363,0.63381
307,2023-05-09 00:07:56,0.633605,0.633785
309,2023-05-09 00:07:58,0.63359,0.63377
310,2023-05-09 00:08:00,0.63358,0.63376
311,2023-05-09 00:08:01,0.6335999999999999,0.63378
313,2023-05-09 00:08:03,0.63358,0.63376
316,2023-05-09 00:08:04,0.6335649999999999,0.633745
318,2023-05-09 00:08:12,0.6335649999999999,0.633745
320,2023-05-09 00:08:13,0.633545,0.633725
322,2023-05-09 00:08:15,0.63355,0.63373
323,2023-05-09 00:08:19,0.63354,0.63372
324,2023-05-09 00:08:22,0.63355,0.63373
325,2023-05-09 00:08:29,0.63356,0.63374
326,2023-05-09 00:08:32,0.63354,0.6337200000000001
328,2023-05-09 00:08:34,0.63355,0.63373
329,2023-05-09 00:08:37,0.63353,0.63371
330,2023-05-09 00:08:41,0.63354,0.63372
331,2023-05-09 00:08:42,0.63353,0.63371
332,2023-05-09 00:08:44,0.63354,0.63372
333,2023-05-09 00:08:46,0.63353,0.63371
334,2023-05-09 00:08:59,0.63352,0.6337
335,2023-05-09 00:09:00,0.63352,0.6337
336,2023-05-09 00:09:02,0.63346,0.63364
337,2023-05-09 00:09:03,0.63345,0.63363
338,2023-05-09 00:09:04,0.633475,0.6336550000000001
340,2023-05-09 00:09:05,0.63346,0.63364
341,2023-05-09 00:09:07,0.633475,0.6336550000000001
343,2023-05-09 00:09:09,0.63346,0.63364
344,2023-05-09 00:09:12,0.63345,0.63363
345,2023-05-09 00:09:15,0.633475,0.633655
347,2023-05-09 00:09:16,0.633515,0.633695
349,2023-05-09 00:09:33,0.63354,0.63372
350,2023-05-09 00:09:34,0.63357,0.63375
351,2023-05-09 00:09:38,0.633525,0.633705
353,2023-05-09 00:09:40,0.6334949999999999,0.633675
355,2023-05-09 00:09:41,0.6335,0.63368
356,2023-05-09 00:09:43,0.633505,0.633685
358,2023-05-09 00:09:44,0.6334949999999999,0.633675
360,2023-05-09 00:09:45,0.633515,0.633695
362,2023-05-09 00:09:46,0.633505,0.633685
364,2023-05-09 00:09:50,0.6334949999999999,0.633675
366,2023-05-09 00:09:52,0.63348,0.63366
367,2023-05-09 00:09:55,0.63347,0.63365
368,2023-05-09 00:09:56,0.63346,0.63364
369,2023-05-09 00:09:57,0.63348,0.63366
370,2023-05-09 00:09:59,0.63349,0.63367
371,2023-05-09 00:10:00,0.63351,0.63369
374,2023-05-09 00:10:01,0.63356,0.63374
375,2023-05-09 00:10:02,0.63353,0.63371
376,2023-05-09 00:10:08,0.63354,0.63372
377,2023-05-09 00:10:14,0.63355,0.63373
378,2023-05-09 00:10:26,0.633475,0.633655
380,2023-05-09 00:10:29,0.63348,0.63366
381,2023-05-09 00:10:31,0.63351,0.63369
382,2023-05-09 00:10:32,0.633505,0.633685
384,2023-05-09 00:10:40,0.63353,0.63371
385,2023-05-09 00:10:41,0.63356,0.63374
386,2023-05-09 00:10:47,0.63357,0.63375
387,2023-05-09 00:11:00,0.6335599999999999,0.63374
389,2023-05-09 00:11:03,0.63356,0.63374
390,2023-05-09 00:11:04,0.63355,0.63373
391,2023-05-09 00:11:05,0.633555,0.6337349999999999
393,2023-05-09 00:11:08,0.63354,0.63372
394,2023-05-09 00:11:11,0.63359,0.63377
397,2023-05-09 00:11:16,0.633595,0.633775
399,2023-05-09 00:11:22,0.633595,0.633775
401,2023-05-09 00:11:27,0.6336,0.63378
402,2023-05-09 00:11:28,0.63359,0.63377
403,2023-05-09 00:11:30,0.6336,0.63378
404,2023-05-09 00:11:33,0.63359,0.63377
405,2023-05-09 00:11:36,0.63358,0.63376
406,2023-05-09 00:11:37,0.6335649999999999,0.633745
408,2023-05-09 00:11:44,0.633555,0.6337349999999999
410,2023-05-09 00:11:45,0.63358,0.63376
411,2023-05-09 00:11:46,0.633595,0.633775
413,2023-05-09 00:11:47,0.6336200000000001,0.6337999999999999
415,2023-05-09 00:11:48,0.63364,0.63382
416,2023-05-09 00:11:52,0.63366,0.63384
417,2023-05-09 00:11:53,0.63368,0.63386
420,2023-05-09 00:11:59,0.633705,0.633885
422,2023-05-09 00:12:00,0.633705,0.633885
424,2023-05-09 00:12:01,0.63369,0.63387
425,2023-05-09 00:12:04,0.6337,0.63388
426,2023-05-09 00:12:06,0.633695,0.633875
428,2023-05-09 00:12:07,0.633685,0.633865
430,2023-05-09 00:12:08,0.63369,0.63387
431,2023-05-09 00:12:20,0.63367,0.63385
434,2023-05-09 00:12:27,0.63367,0.63385
435,2023-05-09 00:12:29,0.63366,0.63384
436,2023-05-09 00:12:38,0.63364,0.63382
437,2023-05-09 00:12:40,0.63368,0.63386
438,2023-05-09 00:12:48,0.63366,0.63384
439,2023-05-09 00:12:58,0.6336550000000001,0.6338349999999999
441,2023-05-09 00:13:00,0.63366,0.63384
442,2023-05-09 00:13:08,0.63362,0.6338
443,2023-05-09 00:13:12,0.63361,0.63379
444,2023-05-09 00:13:35,0.63363,0.63381
445,2023-05-09 00:13:39,0.63362,0.6338
446,2023-05-09 00:13:43,0.63361,0.63379
447,2023-05-09 00:13:44,0.633515,0.633695
449,2023-05-09 00:13:45,0.63352,0.6337
450,2023-05-09 00:13:46,0.63351,0.63369
451,2023-05-09 00:13:48,0.633525,0.633705
453,2023-05-09 00:13:49,0.63348,0.63366
456,2023-05-09 00:13:50,0.63348,0.63366
457,2023-05-09 00:13:53,0.63349,0.63367
458,2023-05-09 00:14:00,0.63349,0.63367
459,2023-05-09 00:14:02,0.6335,0.63368
460,2023-05-09 00:14:10,0.63353,0.63371
461,2023-05-09 00:14:13,0.63356,0.63374
462,2023-05-09 00:14:16,0.63357,0.63375
463,2023-05-09 00:14:18,0.63358,0.63376
464,2023-05-09 00:14:19,0.6336,0.63378
465,2023-05-09 00:14:20,0.63361,0.63379
466,2023-05-09 00:14:23,0.63364,0.63382
467,2023-05-09 00:14:24,0.63363,0.63381
468,2023-05-09 00:14:25,0.63365,0.63383
469,2023-05-09 00:14:27,0.63364,0.63382
470,2023-05-09 00:14:28,0.63367,0.63385
471,2023-05-09 00:14:29,0.633685,0.633865
473,2023-05-09 00:14:32,0.63368,0.63386
474,2023-05-09 00:14:36,0.63367,0.63385
475,2023-05-09 00:14:40,0.63366,0.63384
476,2023-05-09 00:14:41,0.633655,0.633835
478,2023-05-09 00:14:45,0.63359,0.63377
479,2023-05-09 00:14:46,0.6336,0.63378
480,2023-05-09 00:14:49,0.63361,0.63379
481,2023-05-09 00:14:52,0.63362,0.6338
482,2023-05-09 00:14:54,0.633625,0.633805
484,2023-05-09 00:14:56,0.63365,0.63383
485,2023-05-09 00:14:57,0.63368,0.63386
486,2023-05-09 00:14:58,0.633675,0.6338550000000001
488,2023-05-09 00:15:00,0.63368,0.63386
489,2023-05-09 00:15:01,0.63369,0.63387
490,2023-05-09 00:15:02,0.63371,0.6338900000000001
492,2023-05-09 00:15:04,0.6337349999999999,0.633915
494,2023-05-09 00:15:05,0.63375,0.63393
495,2023-05-09 00:15:07,0.63374,0.63392
496,2023-05-09 00:15:08,0.63376,0.63394
497,2023-05-09 00:15:10,0.6337550000000001,0.6339349999999999
499,2023-05-09 00:15:11,0.63375,0.63393
500,2023-05-09 00:15:12,0.6337550000000001,0.6339349999999999
502,2023-05-09 00:15:13,0.63376,0.63394
503,2023-05-09 00:15:14,0.63375,0.63393
504,2023-05-09 00:15:15,0.63374,0.63392
505,2023-05-09 00:15:16,0.63373,0.63391
506,2023-05-09 00:15:20,0.63368,0.63386
507,2023-05-09 00:15:21,0.63367,0.63385
508,2023-05-09 00:15:25,0.63365,0.63383
509,2023-05-09 00:15:27,0.63363,0.63381
510,2023-05-09 00:15:28,0.63365,0.63383
511,2023-05-09 00:15:29,0.63367,0.63385
512,2023-05-09 00:15:30,0.633675,0.6338550000000001
514,2023-05-09 00:15:32,0.633695,0.633875
516,2023-05-09 00:15:33,0.633675,0.6338550000000001
518,2023-05-09 00:15:34,0.63366,0.63384
520,2023-05-09 00:15:35,0.63367,0.63385
521,2023-05-09 00:15:39,0.6336649999999999,0.633845
523,2023-05-09 00:15:40,0.63368,0.63386
524,2023-05-09 00:15:42,0.63366,0.63384
525,2023-05-09 00:15:44,0.633645,0.6338250000000001
527,2023-05-09 00:15:46,0.63365,0.63383
528,2023-05-09 00:15:49,0.63367,0.63385
531,2023-05-09 00:15:51,0.63367,0.63385
532,2023-05-09 00:15:52,0.63368,0.63386
533,2023-05-09 00:15:53,0.6336649999999999,0.633845
535,2023-05-09 00:15:55,0.63367,0.63385
536,2023-05-09 00:15:56,0.63365,0.63383
537,2023-05-09 00:15:57,0.63367,0.63385
539,2023-05-09 00:15:58,0.63367,0.63385
540,2023-05-09 00:16:00,0.63368,0.63386
541,2023-05-09 00:16:05,0.63367,0.63385
542,2023-05-09 00:16:10,0.63368,0.63386
543,2023-05-09 00:16:11,0.63367,0.63385
544,2023-05-09 00:16:16,0.6337,0.63388
545,2023-05-09 00:16:20,0.63371,0.63389
546,2023-05-09 00:16:21,0.6337,0.63388
547,2023-05-09 00:16:34,0.63368,0.6338600000000001
549,2023-05-09 00:16:35,0.63366,0.63384
550,2023-05-09 00:16:41,0.63367,0.63385
551,2023-05-09 00:16:48,0.63366,0.63384
552,2023-05-09 00:16:55,0.63367,0.63385
553,2023-05-09 00:16:56,0.63366,0.63384
554,2023-05-09 00:17:00,0.63366,0.63384
555,2023-05-09 00:17:02,0.63367,0.63385
556,2023-05-09 00:17:07,0.63368,0.63386
557,2023-05-09 00:17:08,0.63369,0.63387
558,2023-05-09 00:17:11,0.633715,0.633895
560,2023-05-09 00:17:12,0.63375,0.63393
561,2023-05-09 00:17:21,0.63378,0.63396
562,2023-05-09 00:17:22,0.6337999999999999,0.63398
564,2023-05-09 00:17:23,0.63382,0.634
565,2023-05-09 00:17:27,0.633805,0.633985
567,2023-05-09 00:17:28,0.63383,0.63401
568,2023-05-09 00:17:51,0.63384,0.63402
571,2023-05-09 00:17:56,0.63376,0.63394
574,2023-05-09 00:18:00,0.63374,0.63392
575,2023-05-09 00:18:01,0.633725,0.6339049999999999
577,2023-05-09 00:18:03,0.63373,0.63391
578,2023-05-09 00:18:04,0.633715,0.633895
580,2023-05-09 00:18:05,0.63371,0.63389
583,2023-05-09 00:18:12,0.633715,0.633895
585,2023-05-09 00:18:15,0.633725,0.6339049999999999
587,2023-05-09 00:18:16,0.63375,0.63393
588,2023-05-09 00:18:18,0.63374,0.63392
589,2023-05-09 00:18:28,0.63376,0.63394
590,2023-05-09 00:18:30,0.63377,0.63395
591,2023-05-09 00:18:44,0.63376,0.63394
592,2023-05-09 00:18:46,0.63374,0.63392
593,2023-05-09 00:18:51,0.63376,0.63394
595,2023-05-09 00:18:52,0.63379,0.63397
596,2023-05-09 00:19:00,0.63379,0.63397
597,2023-05-09 00:19:10,0.6338,0.63398
598,2023-05-09 00:19:11,0.633775,0.633955
600,2023-05-09 00:19:12,0.63376,0.63394
601,2023-05-09 00:19:19,0.63375,0.63393
602,2023-05-09 00:19:20,0.63373,0.63391
603,2023-05-09 00:19:21,0.63374,0.63392
604,2023-05-09 00:19:23,0.63375,0.63393
605,2023-05-09 00:19:25,0.63376,0.63394
606,2023-05-09 00:19:35,0.63374,0.63392
607,2023-05-09 00:19:39,0.63375,0.63393
608,2023-05-09 00:19:40,0.633805,0.633985
610,2023-05-09 00:19:41,0.63381,0.63399
611,2023-05-09 00:19:45,0.6338,0.63398
612,2023-05-09 00:19:48,0.63381,0.63399
613,2023-05-09 00:19:56,0.63383,0.63401
614,2023-05-09 00:19:58,0.63385,0.6340300000000001
616,2023-05-09 00:20:00,0.63385,0.63403
617,2023-05-09 00:20:02,0.63386,0.63404
620,2023-05-09 00:20:21,0.63383,0.63401
622,2023-05-09 00:20:25,0.63384,0.63402
623,2023-05-09 00:20:26,0.63377,0.63395
624,2023-05-09 00:20:27,0.63378,0.63396
625,2023-05-09 00:20:28,0.63379,0.63397
626,2023-05-09 00:21:00,0.63383,0.63401
629,2023-05-09 00:21:05,0.63386,0.63404
630,2023-05-09 00:21:06,0.63387,0.63405
631,2023-05-09 00:21:07,0.633875,0.634055
633,2023-05-09 00:21:16,0.63385,0.63403
634,2023-05-09 00:21:17,0.63386,0.63404
635,2023-05-09 00:21:18,0.63385,0.63403
636,2023-05-09 00:21:22,0.63387,0.63405
637,2023-05-09 00:21:23,0.633865,0.634045
639,2023-05-09 00:21:24,0.63385,0.63403
640,2023-05-09 00:22:00,0.63385,0.63403
641,2023-05-09 00:22:01,0.63384,0.63402
642,2023-05-09 00:22:02,0.63376,0.63394
645,2023-05-09 00:22:07,0.6337349999999999,0.633915
647,2023-05-09 00:22:10,0.63375,0.63393
648,2023-05-09 00:22:12,0.6337299999999999,0.63391
650,2023-05-09 00:22:14,0.63373,0.63391
651,2023-05-09 00:22:16,0.63372,0.6339
652,2023-05-09 00:22:19,0.63373,0.63391
653,2023-05-09 00:22:20,0.633745,0.6339250000000001
655,2023-05-09 00:22:21,0.63373,0.63391
656,2023-05-09 00:22:26,0.63375,0.63393
657,2023-05-09 00:22:27,0.6337550000000001,0.6339349999999999
659,2023-05-09 00:22:30,0.63374,0.63392
660,2023-05-09 00:22:31,0.63369,0.63387
663,2023-05-09 00:22:37,0.63366,0.63384
664,2023-05-09 00:22:41,0.63368,0.63386
665,2023-05-09 00:22:42,0.633695,0.633875
667,2023-05-09 00:22:43,0.63369,0.63387
668,2023-05-09 00:22:45,0.6337,0.63388
669,2023-05-09 00:22:47,0.63362,0.6338
672,2023-05-09 00:22:49,0.633575,0.6337550000000001
674,2023-05-09 00:22:52,0.63356,0.63374
675,2023-05-09 00:23:00,0.63356,0.63374
676,2023-05-09 00:23:08,0.63357,0.63375
677,2023-05-09 00:23:10,0.63359,0.63377
678,2023-05-09 00:23:11,0.633615,0.633795
680,2023-05-09 00:23:12,0.63364,0.63382
681,2023-05-09 00:23:13,0.63364,0.63382
684,2023-05-09 00:23:14,0.63365,0.63383
685,2023-05-09 00:23:21,0.63364,0.63382
686,2023-05-09 00:23:29,0.633595,0.633775
688,2023-05-09 00:23:32,0.63357,0.63375
689,2023-05-09 00:23:33,0.63358,0.63376
690,2023-05-09 00:23:37,0.63359,0.63377
691,2023-05-09 00:23:40,0.6336,0.63378
692,2023-05-09 00:23:46,0.63359,0.63377
693,2023-05-09 00:23:47,0.6336,0.63378
694,2023-05-09 00:23:49,0.63359,0.63377
695,2023-05-09 00:23:50,0.6336,0.63378
696,2023-05-09 00:23:55,0.63361,0.63379
697,2023-05-09 00:23:56,0.63362,0.6338
698,2023-05-09 00:23:57,0.6336,0.63378
699,2023-05-09 00:23:59,0.63359,0.63377
