,time,bid,ask
0,2023-05-09 00:00:01,1.337195,1.337395
4,2023-05-09 00:00:02,1.33718,1.33738
7,2023-05-09 00:00:03,1.337175,1.337375
9,2023-05-09 00:00:04,1.33717,1.33737
10,2023-05-09 00:00:05,1.337185,1.337385
12,2023-05-09 00:00:06,1.337185,1.337385
14,2023-05-09 00:00:07,1.33717,1.33737
15,2023-05-09 00:00:08,1.337145,1.337345
17,2023-05-09 00:00:09,1.337085,1.337285
19,2023-05-09 00:00:10,1.33709,1.3372899999999999
20,2023-05-09 00:00:11,1.337085,1.337285
24,2023-05-09 00:00:12,1.33708,1.33728
27,2023-05-09 00:00:15,1.33707,1.33727
28,2023-05-09 00:00:30,1.3370199999999999,1.3372199999999999
30,2023-05-09 00:00:31,1.3369900000000001,1.33719
32,2023-05-09 00:00:32,1.337045,1.337245
34,2023-05-09 00:00:40,1.337015,1.337215
36,2023-05-09 00:00:41,1.337,1.3372
37,2023-05-09 00:00:42,1.33701,1.33721
40,2023-05-09 00:00:43,1.33704,1.33724
41,2023-05-09 00:00:44,1.3370600000000001,1.3372600000000001
42,2023-05-09 00:00:45,1.33707,1.33727
43,2023-05-09 00:00:49,1.3370600000000001,1.3372600000000001
44,2023-05-09 00:00:51,1.33708,1.33728
45,2023-05-09 00:00:54,1.337045,1.337245
47,2023-05-09 00:00:57,1.337005,1.337205
49,2023-05-09 00:00:58,1.33701,1.33721
50,2023-05-09 00:01:00,1.3370000000000002,1.3372000000000002
52,2023-05-09 00:01:01,1.337,1.3372
53,2023-05-09 00:01:02,1.3369900000000001,1.33719
54,2023-05-09 00:01:03,1.33704,1.33724
55,2023-05-09 00:01:04,1.3370199999999999,1.33722
56,2023-05-09 00:01:05,1.337005,1.337205
58,2023-05-09 00:01:10,1.33696,1.33716
59,2023-05-09 00:01:11,1.33697,1.33717
60,2023-05-09 00:01:12,1.3369900000000001,1.33719
61,2023-05-09 00:01:13,1.33698,1.33718
62,2023-05-09 00:01:19,1.337,1.3372
63,2023-05-09 00:01:22,1.33701,1.33721
64,2023-05-09 00:01:24,1.336975,1.337175
66,2023-05-09 00:01:26,1.3369900000000001,1.33719
