,time,bid,ask
0,2023-05-09 00:00:00,0.8899,0.89006
1,2023-05-09 00:00:01,0.88991,0.8900699999999999
3,2023-05-09 00:00:04,0.88989,0.89005
4,2023-05-09 00:00:08,0.88987,0.89003
5,2023-05-09 00:00:09,0.88988,0.89004
6,2023-05-09 00:00:10,0.889895,0.890055
8,2023-05-09 00:00:11,0.88991,0.89007
9,2023-05-09 00:00:12,0.8899,0.89006
10,2023-05-09 00:00:21,0.88988,0.89004
11,2023-05-09 00:00:23,0.88987,0.89003
12,2023-05-09 00:00:24,0.88993,0.89009
13,2023-05-09 00:00:25,0.889895,0.890055
15,2023-05-09 00:00:26,0.8899,0.89006
16,2023-05-09 00:00:27,0.88991,0.89007
17,2023-05-09 00:00:30,0.8899250000000001,0.890085
19,2023-05-09 00:00:31,0.88994,0.8901
22,2023-05-09 00:00:32,0.88994,0.8901
25,2023-05-09 00:00:39,0.88994,0.8901
26,2023-05-09 00:00:42,0.88994,0.8901
29,2023-05-09 00:00:44,0.88995,0.89011
32,2023-05-09 00:00:45,0.88997,0.89013
33,2023-05-09 00:00:48,0.88998,0.89014
34,2023-05-09 00:00:50,0.88997,0.89013
37,2023-05-09 00:00:52,0.88998,0.89014
38,2023-05-09 00:00:53,0.88997,0.89013
39,2023-05-09 00:00:55,0.889965,0.890125
41,2023-05-09 00:01:00,0.88997,0.89013
44,2023-05-09 00:01:01,0.889975,0.890135
46,2023-05-09 00:01:02,0.88998,0.89014
47,2023-05-09 00:01:05,0.88997,0.89013
48,2023-05-09 00:01:10,0.88996,0.89012
49,2023-05-09 00:01:11,0.88994,0.8901
50,2023-05-09 00:01:12,0.88996,0.89012
51,2023-05-09 00:01:14,0.88994,0.8901
52,2023-05-09 00:01:18,0.88993,0.89009
53,2023-05-09 00:01:20,0.88995,0.89011
55,2023-05-09 00:01:21,0.88997,0.89013
56,2023-05-09 00:01:22,0.88996,0.89012
57,2023-05-09 00:01:43,0.88995,0.89011
58,2023-05-09 00:01:45,0.88996,0.89012
59,2023-05-09 00:01:48,0.89004,0.8902
60,2023-05-09 00:01:50,0.89003,0.89019
61,2023-05-09 00:01:52,0.89004,0.8902
62,2023-05-09 00:01:53,0.890045,0.8902049999999999
64,2023-05-09 00:01:54,0.890045,0.8902049999999999
66,2023-05-09 00:01:56,0.89005,0.89021
67,2023-05-09 00:02:00,0.890065,0.890225
69,2023-05-09 00:02:11,0.89005,0.89021
70,2023-05-09 00:02:12,0.89006,0.89022
71,2023-05-09 00:02:13,0.89005,0.89021
72,2023-05-09 00:02:15,0.89007,0.89023
73,2023-05-09 00:02:29,0.89006,0.89022
74,2023-05-09 00:02:33,0.89005,0.89021
75,2023-05-09 00:02:37,0.89007,0.89023
76,2023-05-09 00:02:44,0.89011,0.89027
79,2023-05-09 00:02:51,0.8901,0.89026
80,2023-05-09 00:02:53,0.89011,0.89027
81,2023-05-09 00:02:54,0.89018,0.89034
84,2023-05-09 00:02:55,0.890165,0.890325
86,2023-05-09 00:02:58,0.89016,0.89032
87,2023-05-09 00:02:59,0.89017,0.89033
88,2023-05-09 00:03:00,0.89017,0.89033
89,2023-05-09 00:03:01,0.89018,0.89034
90,2023-05-09 00:03:06,0.89017,0.89033
91,2023-05-09 00:03:07,0.8901749999999999,0.890335
93,2023-05-09 00:03:08,0.89016,0.89032
94,2023-05-09 00:03:12,0.89017,0.89033
95,2023-05-09 00:03:15,0.8901749999999999,0.890335
97,2023-05-09 00:03:16,0.89018,0.89034
100,2023-05-09 00:03:17,0.89017,0.89033
101,2023-05-09 00:03:21,0.89018,0.89034
102,2023-05-09 00:03:22,0.8902,0.89036
105,2023-05-09 00:03:24,0.89023,0.89039
106,2023-05-09 00:03:26,0.89022,0.89038
107,2023-05-09 00:03:30,0.89023,0.89039
108,2023-05-09 00:03:33,0.89024,0.8904
109,2023-05-09 00:03:35,0.8902300000000001,0.89039
111,2023-05-09 00:03:36,0.89025,0.89041
112,2023-05-09 00:03:38,0.89026,0.89042
113,2023-05-09 00:03:42,0.89027,0.89043
114,2023-05-09 00:03:43,0.89026,0.89042
115,2023-05-09 00:03:45,0.89027,0.89043
116,2023-05-09 00:03:49,0.89028,0.89044
117,2023-05-09 00:03:50,0.89032,0.8904799999999999
119,2023-05-09 00:03:51,0.890335,0.890495
123,2023-05-09 00:03:52,0.89033,0.89049
124,2023-05-09 00:03:53,0.89035,0.8905099999999999
126,2023-05-09 00:03:55,0.89035,0.89051
127,2023-05-09 00:03:58,0.89036,0.89052
128,2023-05-09 00:04:00,0.89036,0.89052
129,2023-05-09 00:04:02,0.89037,0.89053
130,2023-05-09 00:04:03,0.89036,0.89052
131,2023-05-09 00:04:04,0.89032,0.89048
134,2023-05-09 00:04:05,0.890325,0.890485
136,2023-05-09 00:04:06,0.89035,0.89051
137,2023-05-09 00:04:12,0.89036,0.89052
138,2023-05-09 00:04:13,0.89037,0.89053
141,2023-05-09 00:04:15,0.89039,0.89055
144,2023-05-09 00:04:20,0.890385,0.8905449999999999
146,2023-05-09 00:04:21,0.89038,0.89054
147,2023-05-09 00:04:24,0.89039,0.89055
148,2023-05-09 00:04:25,0.8904,0.89056
149,2023-05-09 00:04:26,0.89039,0.89055
150,2023-05-09 00:04:27,0.89038,0.89054
153,2023-05-09 00:04:28,0.89039,0.89055
154,2023-05-09 00:04:29,0.89038,0.89054
155,2023-05-09 00:04:31,0.89036,0.89052
156,2023-05-09 00:04:36,0.89035,0.89051
157,2023-05-09 00:04:37,0.890355,0.890515
159,2023-05-09 00:04:38,0.89036,0.89052
160,2023-05-09 00:04:41,0.89038,0.89054
161,2023-05-09 00:04:47,0.890385,0.8905449999999999
163,2023-05-09 00:04:48,0.890385,0.8905449999999999
165,2023-05-09 00:04:51,0.8903650000000001,0.890525
167,2023-05-09 00:04:53,0.890355,0.890515
169,2023-05-09 00:04:54,0.8903449999999999,0.890505
171,2023-05-09 00:04:55,0.89033,0.89049
172,2023-05-09 00:05:00,0.89033,0.89049
173,2023-05-09 00:05:04,0.890335,0.890495
175,2023-05-09 00:05:09,0.89034,0.8905
176,2023-05-09 00:05:12,0.8903449999999999,0.890505
178,2023-05-09 00:05:15,0.89035,0.89051
179,2023-05-09 00:05:18,0.89036,0.89052
180,2023-05-09 00:05:19,0.89035,0.89051
181,2023-05-09 00:05:22,0.89034,0.8905
182,2023-05-09 00:05:24,0.89035,0.89051
183,2023-05-09 00:05:26,0.89034,0.8905
184,2023-05-09 00:05:27,0.890335,0.890495
188,2023-05-09 00:05:28,0.8903449999999999,0.890505
190,2023-05-09 00:05:30,0.890355,0.890515
192,2023-05-09 00:05:31,0.89036,0.89052
193,2023-05-09 00:05:38,0.89035,0.89051
196,2023-05-09 00:05:39,0.89034,0.8905
197,2023-05-09 00:05:42,0.89035,0.89051
198,2023-05-09 00:05:43,0.8903449999999999,0.890505
202,2023-05-09 00:05:44,0.890355,0.890515
204,2023-05-09 00:05:49,0.8903449999999999,0.890505
206,2023-05-09 00:05:51,0.89036,0.89052
207,2023-05-09 00:05:52,0.890355,0.890515
209,2023-05-09 00:05:53,0.890355,0.890515
211,2023-05-09 00:05:56,0.890355,0.890515
213,2023-05-09 00:05:57,0.890355,0.890515
215,2023-05-09 00:05:58,0.890355,0.890515
217,2023-05-09 00:05:59,0.890355,0.890515
219,2023-05-09 00:06:00,0.89035,0.89051
222,2023-05-09 00:06:01,0.890355,0.890515
226,2023-05-09 00:06:02,0.890355,0.890515
228,2023-05-09 00:06:03,0.89036,0.89052
229,2023-05-09 00:06:04,0.890355,0.890515
231,2023-05-09 00:06:09,0.89038,0.89054
232,2023-05-09 00:06:11,0.89039,0.89055
233,2023-05-09 00:06:12,0.89038,0.89054
234,2023-05-09 00:06:21,0.89039,0.89055
235,2023-05-09 00:06:22,0.8904,0.89056
236,2023-05-09 00:06:25,0.8904,0.89056
240,2023-05-09 00:06:33,0.89041,0.89057
241,2023-05-09 00:06:38,0.890415,0.890575
243,2023-05-09 00:06:40,0.89042,0.89058
246,2023-05-09 00:06:51,0.890415,0.890575
248,2023-05-09 00:06:56,0.89041,0.89057
249,2023-05-09 00:06:57,0.89042,0.89058
250,2023-05-09 00:07:00,0.89042,0.89058
251,2023-05-09 00:07:04,0.89041,0.89057
252,2023-05-09 00:07:05,0.89042,0.89058
253,2023-05-09 00:07:10,0.89041,0.89057
254,2023-05-09 00:07:12,0.89042,0.89058
255,2023-05-09 00:07:18,0.89043,0.89059
256,2023-05-09 00:07:24,0.89042,0.89058
257,2023-05-09 00:07:51,0.89041,0.89057
258,2023-05-09 00:08:00,0.89041,0.89057
259,2023-05-09 00:08:01,0.890405,0.890565
261,2023-05-09 00:08:03,0.890425,0.890585
