,time,bid,ask
0,2023-05-09 00:00:00,135.083,135.093
1,2023-05-09 00:00:01,135.082,135.092
6,2023-05-09 00:00:02,135.07999999999998,135.09
8,2023-05-09 00:00:03,135.077,135.087
9,2023-05-09 00:00:04,135.076,135.086
10,2023-05-09 00:00:05,135.077,135.087
11,2023-05-09 00:00:09,135.082,135.09199999999998
13,2023-05-09 00:00:10,135.086,135.096
15,2023-05-09 00:00:11,135.09,135.1
19,2023-05-09 00:00:12,135.099,135.109
21,2023-05-09 00:00:15,135.097,135.107
22,2023-05-09 00:00:16,135.096,135.106
23,2023-05-09 00:00:18,135.097,135.107
26,2023-05-09 00:00:19,135.096,135.106
27,2023-05-09 00:00:30,135.096,135.106
30,2023-05-09 00:00:31,135.11450000000002,135.1245
34,2023-05-09 00:00:32,135.12,135.13
37,2023-05-09 00:00:33,135.116,135.126
40,2023-05-09 00:00:34,135.115,135.125
41,2023-05-09 00:00:36,135.109,135.119
44,2023-05-09 00:00:40,135.101,135.111
45,2023-05-09 00:00:41,135.1,135.11
46,2023-05-09 00:00:42,135.101,135.111
49,2023-05-09 00:00:43,135.104,135.114
50,2023-05-09 00:00:44,135.106,135.116
51,2023-05-09 00:00:46,135.112,135.122
52,2023-05-09 00:00:47,135.113,135.123
55,2023-05-09 00:00:48,135.114,135.124
56,2023-05-09 00:00:49,135.113,135.123
59,2023-05-09 00:00:51,135.116,135.126
62,2023-05-09 00:00:52,135.124,135.134
63,2023-05-09 00:00:53,135.121,135.131
66,2023-05-09 00:00:54,135.11849999999998,135.12849999999997
68,2023-05-09 00:00:55,135.1245,135.1345
70,2023-05-09 00:00:56,135.123,135.133
71,2023-05-09 00:00:57,135.1245,135.1345
73,2023-05-09 00:00:59,135.124,135.13400000000001
75,2023-05-09 00:01:00,135.13400000000001,135.144
79,2023-05-09 00:01:01,135.138,135.148
80,2023-05-09 00:01:02,135.138,135.148
83,2023-05-09 00:01:03,135.142,135.152
86,2023-05-09 00:01:04,135.1465,135.1565
88,2023-05-09 00:01:05,135.14249999999998,135.15249999999997
90,2023-05-09 00:01:06,135.1485,135.1585
92,2023-05-09 00:01:09,135.146,135.156
93,2023-05-09 00:01:10,135.139,135.149
96,2023-05-09 00:01:11,135.137,135.147
99,2023-05-09 00:01:12,135.138,135.148
100,2023-05-09 00:01:14,135.137,135.147
104,2023-05-09 00:01:15,135.136,135.146
105,2023-05-09 00:01:17,135.131,135.141
107,2023-05-09 00:01:18,135.13,135.14
112,2023-05-09 00:01:19,135.1295,135.1395
116,2023-05-09 00:01:20,135.147,135.15699999999998
118,2023-05-09 00:01:23,135.149,135.159
121,2023-05-09 00:01:24,135.1465,135.1565
123,2023-05-09 00:01:25,135.146,135.156
124,2023-05-09 00:01:26,135.145,135.155
125,2023-05-09 00:01:31,135.151,135.161
128,2023-05-09 00:01:32,135.154,135.164
131,2023-05-09 00:01:33,135.155,135.165
134,2023-05-09 00:01:34,135.156,135.166
135,2023-05-09 00:01:35,135.157,135.167
136,2023-05-09 00:01:36,135.158,135.168
137,2023-05-09 00:01:37,135.157,135.167
138,2023-05-09 00:01:39,135.1565,135.16649999999998
140,2023-05-09 00:01:40,135.15550000000002,135.1655
142,2023-05-09 00:01:41,135.1485,135.1585
144,2023-05-09 00:01:43,135.14800000000002,135.15800000000002
148,2023-05-09 00:01:47,135.153,135.163
153,2023-05-09 00:01:48,135.151,135.161
159,2023-05-09 00:01:49,135.1525,135.1625
163,2023-05-09 00:01:50,135.142,135.152
166,2023-05-09 00:01:51,135.135,135.145
169,2023-05-09 00:01:52,135.143,135.153
172,2023-05-09 00:01:53,135.143,135.153
179,2023-05-09 00:01:55,135.143,135.153
180,2023-05-09 00:01:57,135.144,135.154
181,2023-05-09 00:01:58,135.147,135.15699999999998
183,2023-05-09 00:01:59,135.146,135.156
186,2023-05-09 00:02:00,135.14749999999998,135.1575
190,2023-05-09 00:02:01,135.15249999999997,135.16250000000002
192,2023-05-09 00:02:02,135.152,135.162
193,2023-05-09 00:02:09,135.155,135.165
196,2023-05-09 00:02:11,135.15249999999997,135.16250000000002
198,2023-05-09 00:02:14,135.1465,135.1565
200,2023-05-09 00:02:15,135.15,135.16
204,2023-05-09 00:02:16,135.15249999999997,135.16250000000002
206,2023-05-09 00:02:17,135.15449999999998,135.16449999999998
208,2023-05-09 00:02:19,135.154,135.164
209,2023-05-09 00:02:20,135.15550000000002,135.1655
211,2023-05-09 00:02:21,135.157,135.167
214,2023-05-09 00:02:23,135.157,135.167
215,2023-05-09 00:02:24,135.155,135.165
217,2023-05-09 00:02:26,135.1535,135.1635
219,2023-05-09 00:02:28,135.1495,135.15949999999998
221,2023-05-09 00:02:29,135.149,135.159
224,2023-05-09 00:02:31,135.15,135.16
225,2023-05-09 00:02:32,135.149,135.159
228,2023-05-09 00:02:33,135.147,135.157
231,2023-05-09 00:02:34,135.145,135.155
232,2023-05-09 00:02:35,135.1455,135.15550000000002
234,2023-05-09 00:02:36,135.144,135.154
235,2023-05-09 00:02:37,135.162,135.172
238,2023-05-09 00:02:38,135.163,135.173
239,2023-05-09 00:02:39,135.1635,135.1735
241,2023-05-09 00:02:42,135.1615,135.17149999999998
245,2023-05-09 00:02:43,135.1615,135.17149999999998
247,2023-05-09 00:02:44,135.166,135.176
250,2023-05-09 00:02:45,135.167,135.177
251,2023-05-09 00:02:46,135.164,135.174
254,2023-05-09 00:02:47,135.163,135.173
255,2023-05-09 00:02:54,135.154,135.164
256,2023-05-09 00:02:56,135.155,135.165
257,2023-05-09 00:03:00,135.1605,135.1705
259,2023-05-09 00:03:01,135.163,135.173
260,2023-05-09 00:03:05,135.16250000000002,135.1725
262,2023-05-09 00:03:10,135.162,135.172
263,2023-05-09 00:03:11,135.163,135.173
264,2023-05-09 00:03:15,135.157,135.167
265,2023-05-09 00:03:16,135.15449999999998,135.16449999999998
269,2023-05-09 00:03:21,135.156,135.166
270,2023-05-09 00:03:22,135.165,135.175
271,2023-05-09 00:03:23,135.164,135.174
272,2023-05-09 00:03:25,135.163,135.173
273,2023-05-09 00:03:26,135.1635,135.1735
275,2023-05-09 00:03:36,135.164,135.174
276,2023-05-09 00:03:44,135.169,135.179
277,2023-05-09 00:03:45,135.17,135.18
280,2023-05-09 00:03:46,135.17,135.18
285,2023-05-09 00:03:48,135.171,135.181
286,2023-05-09 00:03:49,135.17,135.18
289,2023-05-09 00:03:50,135.171,135.181
290,2023-05-09 00:03:51,135.17,135.18
291,2023-05-09 00:03:52,135.1705,135.1805
293,2023-05-09 00:03:53,135.183,135.193
296,2023-05-09 00:03:55,135.183,135.193
299,2023-05-09 00:03:56,135.1725,135.1825
301,2023-05-09 00:03:58,135.171,135.181
302,2023-05-09 00:04:02,135.179,135.18900000000002
304,2023-05-09 00:04:03,135.19,135.2
305,2023-05-09 00:04:04,135.182,135.192
308,2023-05-09 00:04:05,135.181,135.191
309,2023-05-09 00:04:11,135.182,135.192
310,2023-05-09 00:04:12,135.191,135.201
313,2023-05-09 00:04:13,135.191,135.201
314,2023-05-09 00:04:15,135.19,135.2
315,2023-05-09 00:04:16,135.181,135.191
316,2023-05-09 00:04:18,135.1825,135.1925
318,2023-05-09 00:04:19,135.181,135.191
319,2023-05-09 00:04:21,135.182,135.192
320,2023-05-09 00:04:25,135.181,135.191
321,2023-05-09 00:04:27,135.18,135.19
322,2023-05-09 00:04:29,135.174,135.184
323,2023-05-09 00:04:31,135.176,135.186
324,2023-05-09 00:04:33,135.177,135.187
325,2023-05-09 00:04:35,135.1755,135.1855
327,2023-05-09 00:04:38,135.174,135.184
328,2023-05-09 00:04:39,135.173,135.183
329,2023-05-09 00:04:40,135.182,135.192
332,2023-05-09 00:04:41,135.19,135.2
333,2023-05-09 00:04:47,135.198,135.208
337,2023-05-09 00:04:48,135.19,135.2
338,2023-05-09 00:04:53,135.187,135.197
339,2023-05-09 00:04:54,135.188,135.198
340,2023-05-09 00:05:00,135.188,135.198
341,2023-05-09 00:05:05,135.18,135.19
342,2023-05-09 00:05:06,135.183,135.19299999999998
344,2023-05-09 00:05:07,135.1855,135.19549999999998
346,2023-05-09 00:05:09,135.1815,135.19150000000002
348,2023-05-09 00:05:11,135.188,135.198
349,2023-05-09 00:05:14,135.18849999999998,135.19850000000002
353,2023-05-09 00:05:15,135.189,135.199
356,2023-05-09 00:05:16,135.1925,135.2025
358,2023-05-09 00:05:17,135.198,135.208
359,2023-05-09 00:05:18,135.2065,135.2165
361,2023-05-09 00:05:19,135.20749999999998,135.2175
363,2023-05-09 00:05:21,135.20749999999998,135.2175
365,2023-05-09 00:05:22,135.206,135.216
366,2023-05-09 00:05:23,135.207,135.217
367,2023-05-09 00:05:24,135.206,135.216
368,2023-05-09 00:05:25,135.198,135.208
369,2023-05-09 00:05:26,135.19650000000001,135.2065
375,2023-05-09 00:05:27,135.198,135.208
378,2023-05-09 00:05:28,135.192,135.202
380,2023-05-09 00:05:29,135.192,135.202
383,2023-05-09 00:05:31,135.199,135.209
384,2023-05-09 00:05:32,135.203,135.213
387,2023-05-09 00:05:33,135.2015,135.2115
389,2023-05-09 00:05:37,135.204,135.214
390,2023-05-09 00:05:38,135.202,135.212
393,2023-05-09 00:05:39,135.197,135.207
396,2023-05-09 00:05:40,135.19650000000001,135.2065
398,2023-05-09 00:05:41,135.197,135.207
403,2023-05-09 00:05:42,135.19850000000002,135.20850000000002
407,2023-05-09 00:05:44,135.199,135.209
408,2023-05-09 00:05:45,135.198,135.208
413,2023-05-09 00:05:46,135.197,135.207
419,2023-05-09 00:05:47,135.196,135.206
424,2023-05-09 00:05:48,135.1895,135.1995
426,2023-05-09 00:05:50,135.187,135.197
427,2023-05-09 00:05:51,135.188,135.198
430,2023-05-09 00:05:52,135.189,135.199
434,2023-05-09 00:05:53,135.191,135.201
435,2023-05-09 00:05:55,135.192,135.202
436,2023-05-09 00:06:00,135.1925,135.2025
438,2023-05-09 00:06:09,135.201,135.211
439,2023-05-09 00:06:11,135.202,135.212
440,2023-05-09 00:06:12,135.201,135.211
441,2023-05-09 00:06:14,135.1995,135.2095
443,2023-05-09 00:06:17,135.195,135.205
444,2023-05-09 00:06:18,135.196,135.206
445,2023-05-09 00:06:22,135.199,135.209
446,2023-05-09 00:06:30,135.2,135.21
447,2023-05-09 00:06:32,135.204,135.214
448,2023-05-09 00:06:33,135.2,135.21
450,2023-05-09 00:06:37,135.198,135.208
451,2023-05-09 00:06:39,135.194,135.204
452,2023-05-09 00:06:40,135.1945,135.2045
454,2023-05-09 00:06:43,135.195,135.205
455,2023-05-09 00:06:46,135.198,135.208
