,time,bid,ask
0,2023-05-09 00:00:00,10.5002,10.5102
1,2023-05-09 00:00:01,10.50085,10.51085
3,2023-05-09 00:00:05,10.5008,10.5108
4,2023-05-09 00:00:09,10.5006,10.5106
7,2023-05-09 00:00:12,10.5008,10.5108
8,2023-05-09 00:00:14,10.5009,10.5109
9,2023-05-09 00:00:16,10.50075,10.51075
11,2023-05-09 00:00:25,10.500399999999999,10.5104
14,2023-05-09 00:00:31,10.5002,10.5102
15,2023-05-09 00:00:42,10.5007,10.5107
16,2023-05-09 00:00:44,10.5012,10.5112
17,2023-05-09 00:00:56,10.5011,10.5111
18,2023-05-09 00:01:00,10.50105,10.511050000000001
20,2023-05-09 00:01:02,10.5012,10.5112
21,2023-05-09 00:01:04,10.5015,10.5115
22,2023-05-09 00:01:14,10.5014,10.5114
23,2023-05-09 00:01:17,10.5013,10.5113
24,2023-05-09 00:01:19,10.5015,10.5115
25,2023-05-09 00:01:20,10.5016,10.5116
26,2023-05-09 00:01:21,10.50155,10.51155
28,2023-05-09 00:01:22,10.5015,10.5115
29,2023-05-09 00:01:23,10.50155,10.51155
31,2023-05-09 00:01:24,10.50155,10.51155
33,2023-05-09 00:01:27,10.5014,10.5114
34,2023-05-09 00:01:30,10.5015,10.5115
35,2023-05-09 00:01:31,10.5014,10.5114
36,2023-05-09 00:01:32,10.5016,10.5116
37,2023-05-09 00:01:33,10.50145,10.51145
39,2023-05-09 00:01:44,10.5017,10.5117
40,2023-05-09 00:01:45,10.50195,10.51195
42,2023-05-09 00:01:47,10.5023,10.5123
43,2023-05-09 00:01:48,10.50325,10.51325
45,2023-05-09 00:01:49,10.5032,10.5132
46,2023-05-09 00:01:50,10.5027,10.5127
47,2023-05-09 00:01:52,10.503,10.513
48,2023-05-09 00:01:53,10.50335,10.513349999999999
52,2023-05-09 00:01:54,10.5033,10.513300000000001
54,2023-05-09 00:01:55,10.5031,10.5131
55,2023-05-09 00:01:56,10.5032,10.5132
56,2023-05-09 00:01:57,10.5031,10.5131
57,2023-05-09 00:02:00,10.5037,10.5137
59,2023-05-09 00:02:02,10.50365,10.51365
61,2023-05-09 00:02:07,10.50365,10.51365
63,2023-05-09 00:02:08,10.50365,10.51365
65,2023-05-09 00:02:09,10.5037,10.5137
66,2023-05-09 00:02:11,10.5033,10.5133
69,2023-05-09 00:02:15,10.5035,10.5135
70,2023-05-09 00:02:18,10.5034,10.5134
73,2023-05-09 00:02:22,10.50345,10.51345
75,2023-05-09 00:02:29,10.5032,10.5132
76,2023-05-09 00:02:39,10.5036,10.5136
77,2023-05-09 00:02:41,10.50355,10.51355
79,2023-05-09 00:02:44,10.5039,10.5139
81,2023-05-09 00:02:45,10.504,10.514
82,2023-05-09 00:02:48,10.50405,10.51405
84,2023-05-09 00:02:50,10.5041,10.5141
85,2023-05-09 00:02:51,10.50405,10.51405
87,2023-05-09 00:02:53,10.5046,10.5146
