,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-21,0.8739,0.8745,0.8538,0.8575,17942,1,0
1,2007-11-22,0.8576,0.8614,0.8536,0.8589,10467,100,0
2,2007-11-23,0.859,0.8682,0.854,0.8667,11303,100,0
3,2007-11-25,0.866,0.8689,0.8658,0.8681,515,1,0
4,2007-11-26,0.8681,0.8708,0.8578,0.8616,14954,1,0
5,2007-11-27,0.8614,0.8746,0.8599,0.8735,19484,1,0
6,2007-11-28,0.8734,0.8784,0.8681,0.8739,17105,1,0
7,2007-11-29,0.874,0.8804,0.8683,0.88,16474,1,0
8,2007-11-30,0.8799,0.8877,0.879,0.8827,14714,1,0
9,2007-12-02,0.8843,0.8844,0.8815,0.8818,375,1,0
10,2007-12-03,0.8816,0.8858,0.8781,0.8804,11594,1,0
11,2007-12-04,0.8805,0.8877,0.8744,0.8824,14806,1,0
12,2007-12-05,0.8825,0.8859,0.8783,0.8806,15889,1,0
13,2007-12-06,0.8805,0.8876,0.8803,0.8867,13353,1,0
14,2007-12-07,0.8866,0.8877,0.8756,0.8802,12192,1,0
15,2007-12-09,0.879,0.8812,0.8776,0.8809,248,1,0
16,2007-12-10,0.8806,0.8935,0.8797,0.8903,10246,1,0
17,2007-12-11,0.8905,0.8982,0.8836,0.887,11573,1,0
18,2007-12-12,0.8868,0.8985,0.8831,0.8945,16097,1,0
19,2007-12-13,0.8954,0.8962,0.8886,0.8949,13352,1,0
20,2007-12-14,0.895,0.8957,0.8729,0.8749,13470,1,0
21,2007-12-16,0.8783,0.879,0.8765,0.8782,653,1,0
22,2007-12-17,0.8777,0.8805,0.859,0.8624,13895,1,0
23,2007-12-18,0.8622,0.8738,0.8602,0.8661,13362,1,0
24,2007-12-19,0.866,0.8698,0.8584,0.8599,11372,1,0
25,2007-12-20,0.8598,0.8631,0.855,0.8588,6742,1,0
26,2007-12-21,0.8587,0.8659,0.8565,0.8594,10143,1,0
27,2007-12-23,0.8604,0.8617,0.8596,0.8607,220,1,0
28,2007-12-24,0.8612,0.8639,0.8566,0.8572,5121,1,0
29,2007-12-26,0.8589,0.8603,0.8549,0.8554,2699,1,0
30,2007-12-27,0.8556,0.8611,0.8542,0.859,4530,1,0
31,2007-12-28,0.8593,0.8607,0.8525,0.8582,6752,1,0
32,2007-12-30,0.859,0.8592,0.8578,0.8588,101,100,0
33,2007-12-31,0.859,0.8675,0.8585,0.8656,3391,100,0
34,2008-01-02,0.8718,0.88,0.8681,0.8785,16284,1,0
35,2008-01-03,0.8784,0.8786,0.8685,0.8718,10792,1,0
36,2008-01-04,0.8717,0.8766,0.867,0.8742,12967,1,0
37,2008-01-06,0.8736,0.8737,0.8722,0.8727,379,1,0
38,2008-01-07,0.8736,0.8793,0.8704,0.8764,26071,1,0
39,2008-01-08,0.8765,0.8848,0.8755,0.8831,14453,1,0
40,2008-01-09,0.8832,0.8928,0.8825,0.8912,15269,1,0
41,2008-01-10,0.8914,0.9065,0.8873,0.902,15125,1,0
42,2008-01-11,0.9018,0.9133,0.9003,0.9074,13538,1,0
43,2008-01-13,0.9093,0.9096,0.9076,0.9094,328,1,0
44,2008-01-14,0.9094,0.9168,0.9093,0.9137,10743,1,0
45,2008-01-15,0.9138,0.9178,0.8943,0.8992,14910,1,0
46,2008-01-16,0.8993,0.9028,0.8956,0.8986,20991,1,0
47,2008-01-17,0.8987,0.9098,0.8964,0.8981,18984,1,0
48,2008-01-18,0.8983,0.9066,0.8953,0.9026,17363,1,0
49,2008-01-20,0.9039,0.905,0.9034,0.9047,236,1,0
50,2008-01-21,0.9039,0.905,0.8864,0.8877,26680,1,0
51,2008-01-22,0.8879,0.8974,0.8804,0.8956,20998,1,0
52,2008-01-23,0.8955,0.897,0.8837,0.8927,21877,1,0
53,2008-01-24,0.893,0.8955,0.8821,0.8862,13830,1,0
54,2008-01-25,0.8861,0.892,0.8828,0.8863,14534,1,0
55,2008-01-27,0.8867,0.8893,0.8865,0.888,200,1,0
56,2008-01-28,0.8883,0.8928,0.8844,0.8921,11630,1,0
57,2008-01-29,0.8918,0.893,0.8827,0.8866,25213,1,0
58,2008-01-30,0.8865,0.8911,0.8781,0.8804,15175,1,0
59,2008-01-31,0.8805,0.9007,0.88,0.8964,19407,1,0
60,2008-02-01,0.8962,0.9032,0.8948,0.8995,15090,1,0
61,2008-02-03,0.8971,0.8989,0.8966,0.898,238,1,0
62,2008-02-04,0.8981,0.9078,0.8972,0.902,10078,1,0
63,2008-02-05,0.9019,0.9081,0.898,0.9027,14637,1,0
64,2008-02-06,0.9026,0.9035,0.897,0.8983,15535,1,0
65,2008-02-07,0.8984,0.906,0.8953,0.9025,15618,1,0
66,2008-02-08,0.9026,0.9043,0.8886,0.8939,12942,1,0
67,2008-02-10,0.8959,0.8964,0.895,0.896,246,1,0
68,2008-02-11,0.8959,0.9062,0.895,0.9056,24640,1,0
69,2008-02-12,0.9057,0.9076,0.9012,0.9035,9620,1,0
70,2008-02-13,0.9036,0.9053,0.8914,0.8946,13411,1,0
71,2008-02-14,0.8947,0.9046,0.8946,0.9015,12813,1,0
72,2008-02-15,0.9014,0.9161,0.9,0.9148,11943,1,0
73,2008-02-17,0.9155,0.9166,0.9146,0.9163,279,1,0
74,2008-02-18,0.9164,0.9238,0.9159,0.9232,8669,1,0
75,2008-02-19,0.923,0.9367,0.9227,0.935,13779,1,0
76,2008-02-20,0.9361,0.9366,0.9246,0.9307,30361,1,0
77,2008-02-21,0.9308,0.9317,0.9253,0.9294,12953,1,0
78,2008-02-22,0.9295,0.9366,0.9278,0.9355,12475,1,0
79,2008-02-24,0.9347,0.9347,0.9323,0.933,163,1,0
80,2008-02-25,0.9344,0.9365,0.9195,0.9231,7622,1,0
81,2008-02-26,0.9233,0.9265,0.9123,0.9164,13963,1,0
82,2008-02-27,0.9166,0.925,0.9143,0.9239,16206,1,0
83,2008-02-28,0.924,0.9274,0.9169,0.9222,15234,1,0
84,2008-02-29,0.922,0.927,0.9124,0.919,17537,1,0
85,2008-03-02,0.9168,0.9195,0.9149,0.9165,385,1,0
86,2008-03-03,0.9164,0.9314,0.9149,0.9284,10333,1,0
87,2008-03-04,0.9283,0.9297,0.9166,0.9209,19095,1,0
88,2008-03-05,0.9207,0.9237,0.9152,0.9197,15070,1,0
89,2008-03-06,0.9199,0.9246,0.9108,0.9147,15366,1,0
90,2008-03-07,0.9146,0.9229,0.9097,0.9176,12222,1,0
91,2008-03-09,0.9174,0.9206,0.9169,0.9197,315,100,0
92,2008-03-10,0.9174,0.9203,0.9109,0.9115,23773,1,0
93,2008-03-11,0.9116,0.9224,0.9099,0.92,14015,1,0
94,2008-03-12,0.9199,0.9272,0.9158,0.9263,13166,1,0
95,2008-03-13,0.9264,0.9318,0.9199,0.9302,17001,1,0
96,2008-03-14,0.93,0.9376,0.9221,0.9268,24422,1,0
97,2008-03-16,0.928,0.9333,0.9268,0.9324,764,1,0
98,2008-03-17,0.9281,0.9349,0.91,0.9152,41788,1,0
99,2008-03-18,0.9151,0.9276,0.9121,0.92,18501,1,0
100,2008-03-19,0.9202,0.9307,0.9192,0.9238,12670,1,0
101,2008-03-20,0.924,0.9326,0.9176,0.9206,9499,1,0
102,2008-03-21,0.9206,0.9254,0.9197,0.9225,4834,1,0
103,2008-03-23,0.9226,0.9237,0.9223,0.923,144,1,0
104,2008-03-24,0.9229,0.9313,0.9201,0.9262,8967,1,0
105,2008-03-25,0.9263,0.9338,0.9242,0.9328,14820,1,0
106,2008-03-26,0.9327,0.9379,0.9276,0.9363,14982,1,0
107,2008-03-27,0.9364,0.9435,0.9315,0.9352,15788,1,0
108,2008-03-28,0.9351,0.9398,0.9313,0.9378,14089,100,0
109,2008-03-30,0.9366,0.9372,0.9354,0.9363,417,1,0
110,2008-03-31,0.9364,0.9399,0.9313,0.9362,13913,1,0
111,2008-04-01,0.9363,0.9373,0.9242,0.9277,16490,1,0
112,2008-04-02,0.9278,0.9304,0.9242,0.9276,14356,1,0
113,2008-04-03,0.9275,0.9294,0.9173,0.9194,15668,1,0
114,2008-04-04,0.9197,0.931,0.9152,0.9302,14386,1,0
115,2008-04-06,0.9288,0.9305,0.9287,0.9293,214,1,0
116,2008-04-07,0.9291,0.9391,0.9241,0.9365,10923,1,0
117,2008-04-08,0.9373,0.9445,0.9364,0.9437,24776,1,0
118,2008-04-09,0.9436,0.9503,0.9392,0.9467,13832,1,0
119,2008-04-10,0.9464,0.9526,0.9455,0.9485,28403,1,0
120,2008-04-11,0.9486,0.9519,0.9445,0.9492,13755,1,0
121,2008-04-13,0.95,0.9502,0.9472,0.9479,298,1,0
122,2008-04-14,0.9478,0.9493,0.9386,0.9437,14436,1,0
123,2008-04-15,0.9438,0.9487,0.9393,0.9414,13165,1,0
124,2008-04-16,0.9412,0.9448,0.9365,0.9393,15336,1,0
125,2008-04-17,0.9394,0.9486,0.936,0.9466,16406,1,0
126,2008-04-18,0.9467,0.9472,0.9334,0.9383,16034,1,0
127,2008-04-20,0.9373,0.9387,0.9372,0.9381,155,1,0
128,2008-04-21,0.938,0.9498,0.9373,0.9485,13185,1,0
129,2008-04-22,0.9486,0.9569,0.9467,0.9518,15125,1,0
130,2008-04-23,0.9519,0.9692,0.9517,0.9625,14913,1,0
131,2008-04-24,0.9627,0.9651,0.9504,0.9511,15097,1,0
132,2008-04-25,0.9512,0.956,0.9449,0.9458,14680,1,0
133,2008-04-27,0.9461,0.9461,0.9451,0.9456,247,1,0
134,2008-04-28,0.9457,0.955,0.9409,0.95,10361,1,0
135,2008-04-29,0.9499,0.95,0.9413,0.9439,14274,1,0
136,2008-04-30,0.9438,0.9528,0.9407,0.9507,17225,1,0
137,2008-05-01,0.9508,0.9534,0.9447,0.9497,14169,1,0
138,2008-05-02,0.9498,0.9558,0.9449,0.9524,13636,1,0
139,2008-05-04,0.9526,0.9531,0.952,0.9525,112,100,0
140,2008-05-05,0.9524,0.96,0.9518,0.9578,8619,1,0
141,2008-05-06,0.9577,0.9593,0.9484,0.9523,14295,1,0
142,2008-05-07,0.9522,0.9544,0.9433,0.9478,13715,1,0
143,2008-05-08,0.9479,0.9609,0.9453,0.9589,17358,1,0
144,2008-05-09,0.9587,0.9609,0.9447,0.9482,13797,1,0
145,2008-05-11,0.947,0.947,0.9438,0.9443,357,1,0
146,2008-05-12,0.9442,0.9528,0.9442,0.9506,11502,1,0
147,2008-05-13,0.9505,0.9534,0.9398,0.9445,13751,1,0
148,2008-05-14,0.9435,0.9458,0.9291,0.9344,30689,1,0
149,2008-05-15,0.9343,0.9424,0.9333,0.9395,15911,1,0
150,2008-05-16,0.9396,0.9554,0.9396,0.9545,14541,1,0
151,2008-05-18,0.955,0.9552,0.9532,0.9534,207,1,0
152,2008-05-19,0.9535,0.955,0.9422,0.9453,7315,1,0
153,2008-05-20,0.9452,0.9545,0.9437,0.95,14672,1,0
154,2008-05-21,0.9498,0.9525,0.9454,0.9459,13223,1,0
155,2008-05-22,0.9458,0.9491,0.9401,0.9419,11522,1,0
156,2008-05-23,0.942,0.95,0.9415,0.949,10079,1,0
157,2008-05-25,0.9478,0.9481,0.947,0.9474,125,1,0
158,2008-05-26,0.9473,0.9534,0.9461,0.9523,5755,1,0
159,2008-05-27,0.9524,0.9554,0.949,0.9521,12337,1,0
