,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-10-31,105.62,107.85,105.47,107.49,16554,60,0
1,2007-11-01,107.5,107.82,104.3,104.73,19848,60,0
2,2007-11-02,104.75,106.52,104.69,106.0,19940,60,0
3,2007-11-04,105.55,105.65,105.26,105.28,462,60,0
4,2007-11-05,105.29,105.82,104.51,105.32,16114,60,0
5,2007-11-06,105.31,106.91,105.22,106.88,13578,60,0
6,2007-11-07,106.89,107.16,103.18,104.09,24966,60,0
7,2007-11-08,104.07,105.5,103.52,104.43,23246,60,0
8,2007-11-09,104.46,105.06,100.64,100.88,24336,60,0
9,2007-11-11,100.0,100.53,99.92,100.32,632,60,0
10,2007-11-12,100.33,100.53,95.61,96.39,26048,60,0
11,2007-11-13,96.4,100.24,96.27,99.98,23005,60,0
12,2007-11-14,99.97,101.1,99.3,99.7,22304,60,0
13,2007-11-15,99.71,100.41,97.45,98.04,20850,60,0
14,2007-11-16,98.05,99.43,96.9,99.15,20713,60,0
15,2007-11-18,99.07,99.51,98.98,99.37,453,60,0
16,2007-11-19,99.38,99.89,96.46,96.8,17487,60,0
17,2007-11-20,96.81,98.47,96.05,97.73,23563,60,0
18,2007-11-21,97.72,97.81,93.65,94.13,21840,60,0
19,2007-11-22,94.14,95.87,94.0,94.64,13250,60,0
20,2007-11-23,94.61,95.13,93.55,95.03,15742,60,0
21,2007-11-25,95.25,95.99,95.24,95.72,599,60,0
22,2007-11-26,95.73,96.36,92.99,93.61,17847,60,0
23,2007-11-27,93.63,95.86,93.49,95.47,22980,60,0
24,2007-11-28,95.48,98.17,94.7,97.41,20776,60,0
25,2007-11-29,97.42,97.53,96.19,96.93,19804,60,0
26,2007-11-30,96.92,98.64,96.76,98.29,18458,60,0
27,2007-12-02,98.2,98.21,97.94,97.98,353,60,0
28,2007-12-03,97.96,98.09,97.13,97.3,14102,60,0
29,2007-12-04,97.29,97.32,95.47,95.79,15522,60,0
30,2007-12-05,95.8,96.82,95.24,96.59,16438,60,0
31,2007-12-06,96.57,97.94,96.36,97.93,14125,60,0
32,2007-12-07,97.91,98.49,97.37,97.82,11297,60,0
33,2007-12-09,97.71,97.84,97.38,97.82,410,60,0
34,2007-12-10,97.79,99.12,97.47,98.96,11243,60,0
35,2007-12-11,98.98,99.41,96.27,97.2,12527,60,0
36,2007-12-12,97.18,100.03,96.99,99.1,17928,60,0
37,2007-12-13,99.11,99.2,97.85,98.61,15956,60,0
38,2007-12-14,98.62,98.87,97.2,97.45,15816,60,0
39,2007-12-16,97.8,97.84,97.57,97.76,393,60,0
40,2007-12-17,97.8,97.93,96.57,96.81,14827,60,0
41,2007-12-18,96.79,98.0,96.76,97.65,13834,60,0
42,2007-12-19,97.64,97.82,96.92,97.21,13499,60,0
43,2007-12-20,97.2,97.44,96.75,97.18,9221,60,0
44,2007-12-21,97.17,99.06,97.04,98.9,10973,60,0
45,2007-12-23,98.94,99.02,98.87,98.97,233,60,0
46,2007-12-24,98.98,99.69,98.92,99.67,5476,60,0
47,2007-12-26,99.62,99.93,99.48,99.86,2013,60,0
48,2007-12-27,99.87,100.16,99.57,99.87,6002,60,0
49,2007-12-28,99.86,99.98,98.27,98.35,5841,60,0
50,2007-12-30,98.71,98.75,98.39,98.51,126,60,0
51,2007-12-31,98.49,98.77,97.74,97.98,2378,60,0
52,2008-01-02,98.21,98.48,96.16,96.53,10998,1,0
53,2008-01-03,96.54,96.95,95.11,96.55,16470,1,0
54,2008-01-04,96.56,96.63,94.35,94.68,17752,1,0
55,2008-01-06,94.67,94.96,94.66,94.79,416,1,0
56,2008-01-07,94.8,95.95,94.43,95.2,16909,1,0
57,2008-01-08,95.21,96.95,94.97,95.8,19236,1,0
58,2008-01-09,95.79,97.25,95.65,97.01,20061,1,0
59,2008-01-10,97.04,98.35,96.59,98.03,19646,1,0
60,2008-01-11,98.02,98.27,96.78,96.94,18578,1,0
61,2008-01-13,96.97,97.19,96.86,97.19,399,1,0
62,2008-01-14,97.18,97.57,96.47,97.23,14501,1,0
63,2008-01-15,97.22,97.23,93.69,94.32,21304,1,0
64,2008-01-16,94.3,95.39,92.64,94.32,26850,1,0
65,2008-01-17,94.34,95.4,92.76,92.85,25550,1,0
66,2008-01-18,92.87,95.03,92.78,93.91,22843,1,0
67,2008-01-20,94.06,94.26,94.04,94.14,376,1,0
68,2008-01-21,94.19,94.2,90.49,90.55,18622,1,0
69,2008-01-22,90.56,93.5,90.1,93.38,26497,1,0
