,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-21,0.8906,0.8914,0.8651,0.8689,13456,30,0
1,2007-11-22,0.8688,0.8788,0.868,0.8722,6793,30,0
2,2007-11-23,0.8722,0.8777,0.8684,0.8775,14545,30,0
3,2007-11-25,0.878,0.8826,0.878,0.8812,331,30,0
4,2007-11-26,0.878,0.8868,0.8666,0.8718,18589,30,0
5,2007-11-27,0.87,0.8812,0.8697,0.8774,23876,30,0
6,2007-11-28,0.8773,0.8918,0.8719,0.8859,10566,30,0
7,2007-11-29,0.886,0.8864,0.8774,0.883,10231,30,0
8,2007-11-30,0.8829,0.8894,0.8805,0.8839,9354,30,0
9,2007-12-02,0.885,0.8851,0.883,0.8832,276,30,0
10,2007-12-03,0.8833,0.8842,0.8785,0.8809,6793,30,0
11,2007-12-04,0.881,0.881,0.8696,0.8721,8490,30,0
12,2007-12-05,0.8715,0.8734,0.8659,0.8709,18351,30,0
13,2007-12-06,0.8708,0.8795,0.8689,0.8793,7047,30,0
14,2007-12-07,0.8794,0.8826,0.8741,0.876,6670,30,0
15,2007-12-09,0.8756,0.8763,0.8741,0.8762,171,30,0
16,2007-12-10,0.8761,0.8867,0.8742,0.8852,6184,30,0
17,2007-12-11,0.8853,0.8895,0.871,0.8767,7487,30,0
18,2007-12-12,0.8766,0.8906,0.8747,0.8847,9002,30,0
19,2007-12-13,0.8849,0.8867,0.8733,0.878,7924,30,0
20,2007-12-14,0.8781,0.8792,0.8604,0.8605,8173,30,0
21,2007-12-16,0.8634,0.8635,0.8615,0.8627,277,30,0
22,2007-12-17,0.8634,0.8648,0.8557,0.8579,16974,30,0
23,2007-12-18,0.8577,0.8642,0.8551,0.8616,7254,30,0
24,2007-12-19,0.8615,0.8634,0.8557,0.8583,6182,30,0
25,2007-12-20,0.8582,0.8603,0.857,0.8588,4553,30,0
26,2007-12-21,0.8586,0.8695,0.8585,0.8673,10763,30,0
27,2007-12-23,0.868,0.8686,0.8672,0.8677,128,30,0
28,2007-12-24,0.8679,0.8718,0.8673,0.871,2874,30,0
29,2007-12-26,0.8726,0.8746,0.8722,0.8743,2290,30,0
30,2007-12-27,0.874,0.8793,0.871,0.8773,6572,30,0
31,2007-12-28,0.8775,0.8788,0.8721,0.8762,3091,30,0
32,2007-12-30,0.8769,0.8773,0.8765,0.8773,82,30,0
33,2007-12-31,0.8775,0.8827,0.8752,0.8775,1937,30,0
34,2008-01-02,0.8793,0.8846,0.8789,0.8836,8399,30,0
35,2008-01-03,0.8841,0.8846,0.8785,0.8817,12423,30,0
36,2008-01-04,0.8816,0.8836,0.8699,0.8721,7227,30,0
37,2008-01-06,0.8714,0.8732,0.8714,0.8727,191,30,0
38,2008-01-07,0.8714,0.8747,0.8683,0.8715,14698,30,0
39,2008-01-08,0.8717,0.8838,0.8714,0.8791,8167,30,0
40,2008-01-09,0.8792,0.8856,0.8784,0.8828,9025,30,0
41,2008-01-10,0.8829,0.8975,0.881,0.8943,7700,30,0
42,2008-01-11,0.8942,0.897,0.89,0.8908,7332,30,0
43,2008-01-13,0.8916,0.8928,0.8909,0.8928,241,30,0
44,2008-01-14,0.8927,0.9002,0.8927,0.8981,5922,30,0
45,2008-01-15,0.8982,0.9018,0.878,0.8835,9986,30,0
46,2008-01-16,0.8834,0.8865,0.8743,0.8787,13987,30,0
47,2008-01-17,0.8788,0.8879,0.8721,0.8727,12976,30,0
48,2008-01-18,0.8726,0.8851,0.8699,0.879,12735,30,0
49,2008-01-20,0.8811,0.8817,0.8805,0.8809,187,30,0
50,2008-01-21,0.8811,0.8817,0.8567,0.857,19536,30,0
51,2008-01-22,0.8571,0.8725,0.8513,0.872,17288,30,0
52,2008-01-23,0.8721,0.8747,0.861,0.8725,15284,30,0
53,2008-01-24,0.8726,0.8831,0.8691,0.8825,11759,30,0
54,2008-01-25,0.8824,0.8853,0.8772,0.8795,9853,30,0
55,2008-01-27,0.8801,0.8816,0.8792,0.8804,133,30,0
56,2008-01-28,0.8806,0.8894,0.8769,0.8881,7206,30,0
57,2008-01-29,0.8882,0.8903,0.8858,0.8882,7486,30,0
58,2008-01-30,0.8881,0.9014,0.8819,0.8849,9431,30,0
59,2008-01-31,0.8847,0.8981,0.8845,0.8955,11860,30,0
60,2008-02-01,0.8953,0.9046,0.8943,0.9042,9803,30,0
61,2008-02-03,0.9025,0.9036,0.9023,0.9026,197,30,0
62,2008-02-04,0.9025,0.91,0.9023,0.9077,14578,30,0
63,2008-02-05,0.9076,0.909,0.894,0.8959,11783,30,0
64,2008-02-06,0.8958,0.8998,0.8907,0.8922,10362,30,0
65,2008-02-07,0.8921,0.8974,0.8874,0.8945,10615,30,0
66,2008-02-08,0.895,0.8985,0.8915,0.8955,14712,30,0
67,2008-02-10,0.8964,0.8968,0.8955,0.8967,142,30,0
68,2008-02-11,0.8964,0.9057,0.8955,0.9039,15729,30,0
69,2008-02-12,0.9038,0.9084,0.9021,0.9033,6683,30,0
70,2008-02-13,0.9038,0.9045,0.8922,0.8966,19483,30,0
71,2008-02-14,0.8967,0.9064,0.8966,0.9017,7614,30,0
72,2008-02-15,0.9016,0.9096,0.9007,0.909,6831,30,0
73,2008-02-17,0.9077,0.909,0.9068,0.9089,149,30,0
74,2008-02-18,0.909,0.9163,0.9086,0.9163,4866,30,0
75,2008-02-19,0.915,0.9236,0.9148,0.921,16883,30,0
76,2008-02-20,0.9209,0.9209,0.9111,0.9194,9181,30,0
77,2008-02-21,0.9194,0.9206,0.9164,0.9191,14150,30,0
78,2008-02-22,0.9201,0.9249,0.9171,0.9239,15115,30,0
79,2008-02-24,0.9232,0.9235,0.9216,0.9223,90,30,0
80,2008-02-25,0.9222,0.9282,0.922,0.9277,5743,30,0
81,2008-02-26,0.9276,0.9348,0.9252,0.9336,15462,30,0
82,2008-02-27,0.9337,0.943,0.9318,0.9416,9051,30,0
83,2008-02-28,0.9417,0.9496,0.9367,0.945,9857,30,0
84,2008-02-29,0.9446,0.9485,0.9303,0.9307,10883,30,0
85,2008-03-02,0.9306,0.9326,0.9291,0.9316,469,30,0
86,2008-03-03,0.9318,0.9419,0.9286,0.939,10605,30,0
87,2008-03-04,0.9388,0.9395,0.9217,0.9264,12565,30,0
88,2008-03-05,0.9266,0.9365,0.9228,0.934,10695,30,0
89,2008-03-06,0.9344,0.9382,0.9245,0.9292,19870,30,0
90,2008-03-07,0.9291,0.9375,0.926,0.9267,12028,30,0
91,2008-03-09,0.9271,0.93,0.927,0.9296,200,30,0
92,2008-03-10,0.9271,0.9311,0.9147,0.9156,18654,30,0
