,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-04,122.43,122.48,122.28,122.35,314,60,0
1,2007-11-05,122.37,122.95,121.92,122.48,12936,60,0
2,2007-11-06,122.49,125.15,122.44,124.82,12408,60,0
3,2007-11-07,124.85,125.52,119.39,120.61,22419,60,0
4,2007-11-08,120.6,122.37,119.48,120.53,20943,60,0
5,2007-11-09,120.54,121.74,117.1,117.12,21766,60,0
6,2007-11-11,116.65,117.26,116.63,117.01,600,60,0
7,2007-11-12,117.0,117.36,112.53,112.95,22837,60,0
8,2007-11-13,113.07,116.12,112.99,116.03,19526,60,0
9,2007-11-14,116.04,117.23,114.79,115.18,19152,60,0
10,2007-11-15,115.19,115.92,111.55,112.1,19948,60,0
11,2007-11-16,112.09,114.57,111.16,114.09,18303,60,0
12,2007-11-18,113.6,113.69,113.5,113.61,316,60,0
13,2007-11-19,113.59,114.31,111.24,111.52,15702,60,0
14,2007-11-20,111.51,113.19,111.2,111.76,19864,60,0
15,2007-11-21,111.77,112.02,109.21,109.71,16719,60,0
16,2007-11-22,109.69,111.35,109.65,110.1,11587,60,0
17,2007-11-23,110.11,110.46,108.99,109.54,13532,60,0
18,2007-11-25,109.91,110.45,109.91,110.2,425,60,0
19,2007-11-26,110.17,110.71,108.13,108.57,14611,60,0
20,2007-11-27,108.62,110.74,108.09,109.24,21030,60,0
21,2007-11-28,109.23,112.0,108.57,111.4,18252,60,0
22,2007-11-29,111.41,111.89,109.64,110.07,16604,60,0
23,2007-11-30,110.09,111.51,109.97,111.27,16370,60,0
24,2007-12-02,111.0,111.17,110.98,111.04,248,60,0
25,2007-12-03,111.05,111.12,109.76,110.44,12633,60,0
26,2007-12-04,110.43,110.48,107.93,108.51,13898,60,0
27,2007-12-05,108.49,109.77,107.85,109.62,14942,60,0
28,2007-12-06,109.61,110.5,108.76,110.4,14026,60,0
29,2007-12-07,110.39,111.51,109.71,111.07,11574,60,0
30,2007-12-09,111.06,111.07,110.8,110.97,321,60,0
31,2007-12-10,110.96,111.66,110.29,111.09,9593,60,0
32,2007-12-11,111.08,111.36,108.71,109.51,13687,60,0
33,2007-12-12,109.52,111.46,109.4,110.72,16683,60,0
34,2007-12-13,110.71,110.88,109.53,110.14,13608,60,0
35,2007-12-14,110.15,111.99,110.13,111.34,14232,60,0
36,2007-12-16,111.3,111.3,111.12,111.25,532,60,0
37,2007-12-17,111.21,112.91,110.72,112.19,15194,60,0
38,2007-12-18,112.2,113.03,111.78,112.67,13296,60,0
39,2007-12-19,112.66,113.21,111.74,113.0,13101,60,0
40,2007-12-20,113.01,113.65,112.39,113.09,9485,60,0
41,2007-12-21,113.11,115.14,112.84,114.99,10963,60,0
42,2007-12-23,114.93,115.0,114.76,114.93,175,60,0
43,2007-12-24,114.95,116.29,114.79,116.21,5639,60,0
44,2007-12-26,115.77,116.53,115.73,116.48,1885,60,0
45,2007-12-27,116.46,116.76,115.6,116.01,5751,60,0
46,2007-12-28,116.0,116.18,114.3,114.3,5752,60,0
47,2007-12-30,114.78,114.79,114.38,114.45,124,60,0
48,2007-12-31,114.44,114.63,112.97,112.97,2043,60,0
49,2008-01-02,112.77,113.25,109.84,109.84,10086,60,0
50,2008-01-03,109.85,110.97,108.78,110.69,15178,60,0
51,2008-01-04,110.7,111.1,107.76,108.25,16539,60,0
52,2008-01-06,108.31,108.66,108.31,108.56,311,60,0
53,2008-01-07,108.57,109.44,108.0,108.59,15205,60,0
54,2008-01-08,108.58,109.95,108.02,108.42,16437,60,0
55,2008-01-09,108.44,109.36,107.93,108.81,16366,60,0
56,2008-01-10,108.82,109.23,107.68,108.64,17670,60,0
57,2008-01-11,108.66,108.67,106.5,106.8,17493,60,0
58,2008-01-13,106.57,106.81,106.57,106.8,200,60,0
59,2008-01-14,106.84,106.97,105.63,106.36,12755,60,0
60,2008-01-15,106.37,106.41,104.61,104.84,16296,60,0
61,2008-01-16,104.82,105.65,103.0,104.92,21172,60,0
62,2008-01-17,104.91,105.7,103.21,103.32,20377,60,0
63,2008-01-18,103.3,105.14,103.26,103.99,17082,60,0
64,2008-01-20,104.04,104.11,103.97,104.0,198,60,0
65,2008-01-21,104.02,104.06,101.94,101.95,14430,60,0
66,2008-01-22,101.96,104.61,101.94,104.21,22681,60,0
67,2008-01-23,104.2,104.61,101.82,104.27,22570,60,0
68,2008-01-24,104.26,106.97,103.64,106.66,23199,60,0
69,2008-01-25,106.65,107.5,105.81,105.84,20854,60,0
70,2008-01-27,105.93,105.96,105.66,105.8,252,60,0
71,2008-01-28,105.79,106.76,104.84,106.45,14750,60,0
72,2008-01-29,106.46,107.75,105.74,107.2,16240,60,0
73,2008-01-30,107.19,108.57,106.28,106.67,17690,60,0
74,2008-01-31,106.7,107.42,105.04,106.07,20223,60,0
75,2008-02-01,106.06,107.47,105.62,106.97,16572,60,0
76,2008-02-03,107.22,107.26,106.97,107.04,206,60,0
77,2008-02-04,107.02,107.62,106.69,107.3,11306,60,0
78,2008-02-05,107.29,107.84,105.49,105.65,14831,60,0
79,2008-02-06,105.67,106.57,105.1,105.57,15582,60,0
80,2008-02-07,105.6,106.94,104.7,106.29,16866,60,0
81,2008-02-08,106.28,107.98,106.07,107.37,14838,60,0
82,2008-02-10,107.56,107.58,107.34,107.47,222,60,0
83,2008-02-11,107.48,107.64,106.1,106.58,12071,60,0
84,2008-02-12,106.57,107.98,106.4,107.25,11982,60,0
85,2008-02-13,107.24,108.67,106.85,108.4,13591,60,0
86,2008-02-14,107.84,107.84,107.63,107.76,385,60,0
87,2008-02-15,107.75,108.96,106.42,107.04,12978,60,0
88,2008-02-17,106.81,106.92,106.79,106.86,257,60,0
89,2008-02-18,106.87,107.56,106.86,107.32,8397,60,0
90,2008-02-19,107.31,107.48,105.66,106.25,15468,60,0
91,2008-02-20,106.26,106.85,105.75,106.66,15938,60,0
92,2008-02-21,106.67,107.25,105.84,106.17,14875,60,0
93,2008-02-22,106.16,106.32,105.0,105.77,13168,60,0
94,2008-02-24,105.89,106.04,105.86,106.02,259,60,0
95,2008-02-25,106.04,108.61,105.97,108.51,4792,60,0
96,2008-02-26,108.5,109.63,108.06,109.32,13303,60,0
97,2008-02-27,109.31,109.48,108.04,108.37,15834,60,0
98,2008-02-28,108.36,108.98,107.2,107.47,15228,60,0
99,2008-02-29,107.46,107.52,104.81,104.98,18392,60,0
