,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-10-31,1.6728,1.6782,1.6707999999999998,1.6776,6792,30,0
1,2007-11-01,1.6777,1.6787,1.6691,1.6696,8116,30,0
2,2007-11-02,1.6695,1.6745999999999999,1.667,1.6742,8080,30,0
3,2007-11-04,1.6724,1.6726,1.6707999999999998,1.6711,169,30,0
4,2007-11-05,1.671,1.6726999999999999,1.6671,1.6694,5834,30,0
5,2007-11-06,1.6693,1.6703999999999999,1.6633,1.6659000000000002,7332,30,0
6,2007-11-07,1.666,1.6665,1.6566,1.6583,10672,30,0
7,2007-11-08,1.6583999999999999,1.6612,1.6516,1.6545999999999998,8615,30,0
8,2007-11-09,1.6545,1.6547,1.6448,1.6473,11118,30,0
9,2007-11-11,1.6447,1.6457000000000002,1.6447,1.6457000000000002,89,30,0
10,2007-11-12,1.6458,1.6479,1.6376,1.6406,10143,30,0
11,2007-11-13,1.6404999999999998,1.6472,1.6402,1.646,8143,30,0
12,2007-11-14,1.6459000000000001,1.649,1.6436,1.6453,8412,30,0
13,2007-11-15,1.6454,1.6476,1.6389,1.6411,7348,30,0
14,2007-11-16,1.6412,1.6418,1.6349,1.6389,7476,30,0
15,2007-11-18,1.6377000000000002,1.6391,1.6377000000000002,1.6387,176,30,0
16,2007-11-19,1.6388,1.6400000000000001,1.6347,1.6352,6139,30,0
17,2007-11-20,1.6353,1.6428,1.6341,1.6404,8312,30,0
18,2007-11-21,1.6402999999999999,1.6406,1.6345,1.6367,7417,30,0
19,2007-11-22,1.6366,1.638,1.6326,1.635,5690,30,0
20,2007-11-23,1.6349,1.6366,1.6297000000000001,1.6351,8383,30,0
21,2007-11-25,1.6369,1.6374,1.6364,1.637,149,30,0
22,2007-11-26,1.6371,1.6396,1.6303,1.6314,6720,30,0
23,2007-11-27,1.6315,1.6411,1.6313,1.6397,9199,30,0
24,2007-11-28,1.6396,1.6512,1.6371,1.6484999999999999,9581,30,0
25,2007-11-29,1.6486,1.651,1.6472,1.6482999999999999,8222,30,0
26,2007-11-30,1.6481,1.6585999999999999,1.6480000000000001,1.6562000000000001,8391,30,0
27,2007-12-02,1.6554,1.6562000000000001,1.6552,1.6554,108,30,0
28,2007-12-03,1.6553,1.6571,1.6514,1.6536,6663,30,0
29,2007-12-04,1.6538,1.6573,1.6465999999999998,1.6492,8224,30,0
30,2007-12-05,1.6493,1.6516,1.6454,1.6476,7806,30,0
31,2007-12-06,1.6475,1.6542,1.6461000000000001,1.6535,7625,30,0
32,2007-12-07,1.6536,1.6569,1.6526999999999998,1.6534,5776,30,0
33,2007-12-09,1.6526999999999998,1.6535,1.6521,1.6529,78,30,0
34,2007-12-10,1.653,1.6598000000000002,1.6526999999999998,1.6595,5180,30,0
35,2007-12-11,1.6596,1.6667,1.6548,1.6568,7943,30,0
36,2007-12-12,1.6566999999999998,1.6726999999999999,1.6566,1.6686999999999999,7756,30,0
37,2007-12-13,1.6689,1.6718,1.6643,1.6699000000000002,8059,30,0
38,2007-12-14,1.67,1.6715,1.6618,1.6635,8919,30,0
39,2007-12-16,1.6649,1.6655,1.6639,1.6646999999999998,322,30,0
40,2007-12-17,1.6646,1.665,1.6531,1.6562000000000001,10259,30,0
41,2007-12-18,1.6560000000000001,1.661,1.6553,1.6602000000000001,7471,30,0
42,2007-12-19,1.6602999999999999,1.6627999999999998,1.6577,1.6611,7648,30,0
43,2007-12-20,1.661,1.6617,1.6575,1.6601,5903,30,0
44,2007-12-21,1.6602000000000001,1.663,1.6587,1.6606999999999998,5916,30,0
45,2007-12-23,1.6609,1.6617,1.6608,1.6615,118,30,0
46,2007-12-24,1.6613,1.6677,1.6613,1.6669,3667,30,0
47,2007-12-26,1.6658,1.6688,1.6643,1.6678,2689,30,0
48,2007-12-27,1.6677,1.6686,1.6640000000000001,1.6661000000000001,5446,30,0
49,2007-12-28,1.6663000000000001,1.6665,1.6566999999999998,1.658,5443,30,0
50,2007-12-30,1.6602000000000001,1.6602000000000001,1.6588,1.6591,119,30,0
51,2007-12-31,1.6585999999999999,1.6588,1.6541000000000001,1.6543,2786,30,0
52,2008-01-02,1.6543999999999999,1.6552,1.6429,1.6474,6481,30,0
53,2008-01-03,1.6472,1.6475,1.638,1.6391,9482,30,0
54,2008-01-04,1.639,1.641,1.6322,1.6341,8610,30,0
55,2008-01-06,1.6335,1.6336,1.6328,1.6331,104,30,0
56,2008-01-07,1.6332,1.6423,1.6327,1.6412,7939,30,0
57,2008-01-08,1.6413,1.6449,1.6352,1.6356000000000002,8187,30,0
58,2008-01-09,1.6357,1.6404,1.6329,1.6367,7696,30,0
59,2008-01-10,1.6368,1.6383,1.6287,1.6347,10851,30,0
60,2008-01-11,1.6346,1.6349,1.6247,1.6274,9153,30,0
61,2008-01-13,1.627,1.6282,1.6267,1.6280999999999999,237,30,0
