,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-13,0.7069,0.7078,0.7038,0.7047,4868,40,0
1,2007-11-14,0.7048,0.7145,0.7042,0.7137,5729,40,0
2,2007-11-15,0.7136,0.7166,0.7121,0.715,4757,40,0
3,2007-11-16,0.7151,0.7171,0.7135,0.7136,8556,40,0
4,2007-11-18,0.7143,0.7144,0.7139,0.7141,119,40,0
5,2007-11-19,0.7142,0.7163,0.7125,0.7156,4107,40,0
6,2007-11-20,0.7157,0.7183,0.7139,0.7178,4798,40,0
7,2007-11-21,0.7177,0.7212,0.7167,0.7199,9061,40,0
8,2007-11-22,0.72,0.721,0.7176,0.7202,3246,40,0
9,2007-11-23,0.7198,0.7216,0.718,0.7192,9680,40,0
10,2007-11-25,0.7191,0.7192,0.7186,0.7188,44,40,0
11,2007-11-26,0.7191,0.7195,0.7162,0.7188,6738,40,0
12,2007-11-27,0.7187,0.7196,0.716,0.7176,4802,40,0
13,2007-11-28,0.7174,0.718,0.7121,0.7139,10052,40,0
14,2007-11-29,0.7138,0.7164,0.7128,0.7155,5102,40,0
15,2007-11-30,0.7154,0.7163,0.7109,0.7112,4604,40,0
16,2007-12-02,0.7124,0.7126,0.7123,0.7124,109,40,0
17,2007-12-03,0.7125,0.7136,0.7088,0.7106,8681,40,0
18,2007-12-04,0.7107,0.7178,0.709,0.7171,7867,40,0
19,2007-12-05,0.717,0.7238,0.7168,0.7201,5307,40,0
20,2007-12-06,0.7202,0.7227,0.7176,0.7225,5337,40,0
21,2007-12-07,0.7224,0.7231,0.7194,0.7218,4282,40,0
22,2007-12-09,0.721,0.7211,0.7205,0.7207,95,40,0
23,2007-12-10,0.721,0.7211,0.7178,0.7193,7379,40,0
24,2007-12-11,0.7194,0.7214,0.7152,0.7202,4338,40,0
25,2007-12-12,0.7201,0.7207,0.7162,0.7194,9712,40,0
26,2007-12-13,0.7192,0.7208,0.7146,0.7161,4749,40,0
27,2007-12-14,0.716,0.7176,0.7139,0.7151,5852,40,0
28,2007-12-16,0.7143,0.7154,0.7143,0.7148,413,40,0
29,2007-12-17,0.7149,0.7156,0.7112,0.713,6023,40,0
30,2007-12-18,0.7129,0.7158,0.7118,0.7147,4266,40,0
31,2007-12-19,0.7148,0.7205,0.713,0.7203,5682,40,0
32,2007-12-20,0.7204,0.7238,0.7193,0.7224,3937,40,0
33,2007-12-21,0.7217,0.7255,0.7216,0.7248,7835,40,0
34,2007-12-23,0.7245,0.7248,0.7242,0.7247,114,40,0
35,2007-12-24,0.7248,0.729,0.7247,0.7285,2648,40,0
36,2007-12-26,0.7284,0.7313,0.728,0.7301,3305,40,0
37,2007-12-27,0.7301,0.734,0.7278,0.7323,8350,40,0
38,2007-12-28,0.7324,0.7389,0.7309,0.7375,3859,40,0
39,2007-12-30,0.737,0.7375,0.7368,0.7373,79,40,0
40,2007-12-31,0.7375,0.7382,0.732,0.7358,2087,40,0
41,2008-01-02,0.7389,0.7449,0.7375,0.7426,6549,20,0
42,2008-01-03,0.7425,0.7483,0.7416,0.7469,5171,20,0
43,2008-01-04,0.7474,0.7491,0.7424,0.7468,10187,20,0
44,2008-01-06,0.7471,0.748,0.7471,0.7479,111,20,0
45,2008-01-07,0.7471,0.7481,0.744,0.7465,7983,20,0
46,2008-01-08,0.7464,0.7466,0.742,0.7458,4941,20,0
47,2008-01-09,0.7454,0.7502,0.7447,0.749,9830,20,0
48,2008-01-10,0.7488,0.7565,0.7463,0.7545,12472,20,0
49,2008-01-11,0.7548,0.7585,0.7535,0.7551,11584,20,0
50,2008-01-13,0.7558,0.7561,0.7555,0.7556,101,20,0
51,2008-01-14,0.7558,0.7611,0.7553,0.7607,9323,20,0
52,2008-01-15,0.7608,0.7613,0.7526,0.7558,6162,20,0
53,2008-01-16,0.7559,0.7574,0.7439,0.747,7167,20,0
54,2008-01-17,0.7469,0.7481,0.7415,0.743,7566,20,0
55,2008-01-18,0.7429,0.7495,0.7418,0.7476,6222,20,0
56,2008-01-20,0.7457,0.7459,0.7452,0.7457,144,20,0
57,2008-01-21,0.7457,0.7462,0.7421,0.7431,12308,20,0
58,2008-01-22,0.743,0.7475,0.7396,0.7469,8789,20,0
59,2008-01-23,0.7468,0.7486,0.7442,0.7474,7756,20,0
60,2008-01-24,0.7476,0.7489,0.7459,0.7467,14980,20,0
61,2008-01-25,0.7468,0.7476,0.7399,0.7402,5799,20,0
62,2008-01-27,0.7403,0.7407,0.7392,0.7394,114,20,0
63,2008-01-28,0.7395,0.7458,0.7395,0.7449,4328,20,0
64,2008-01-29,0.7448,0.7451,0.7416,0.7423,4590,20,0
65,2008-01-30,0.7422,0.7482,0.7413,0.7473,5814,20,0
66,2008-01-31,0.7474,0.7492,0.7445,0.7467,6425,20,0
67,2008-02-01,0.7468,0.7543,0.7459,0.7531,7086,20,0
68,2008-02-03,0.7533,0.7537,0.7527,0.7532,167,20,0
69,2008-02-04,0.7533,0.7543,0.7487,0.7506,9615,20,0
70,2008-02-05,0.7507,0.7516,0.7444,0.745,5614,20,0
71,2008-02-06,0.7448,0.748,0.744,0.7453,4937,20,0
72,2008-02-07,0.7454,0.7502,0.7444,0.7452,12591,20,0
73,2008-02-08,0.7459,0.7466,0.7424,0.7453,10068,20,0
74,2008-02-10,0.7462,0.7463,0.7459,0.7462,123,20,0
75,2008-02-11,0.7462,0.7508,0.7437,0.7437,8611,20,0
76,2008-02-12,0.7438,0.7462,0.743,0.7439,5369,20,0
77,2008-02-13,0.7441,0.7449,0.7413,0.7418,10864,20,0
78,2008-02-14,0.7422,0.7438,0.7403,0.7433,7196,20,0
79,2008-02-15,0.7442,0.7491,0.7429,0.7485,7796,20,0
80,2008-02-17,0.7496,0.7497,0.7491,0.7491,66,20,0
81,2008-02-18,0.7496,0.7521,0.7479,0.7509,7705,20,0
82,2008-02-19,0.751,0.7569,0.7509,0.756,5868,20,0
83,2008-02-20,0.7561,0.7579,0.7531,0.7578,5189,20,0
84,2008-02-21,0.7579,0.758,0.7518,0.7543,5230,20,0
85,2008-02-22,0.7541,0.7552,0.7522,0.7538,4209,20,0
86,2008-02-24,0.7536,0.7536,0.7531,0.7532,74,20,0
87,2008-02-25,0.7533,0.7554,0.7524,0.7543,3217,20,0
88,2008-02-26,0.7538,0.7565,0.7514,0.7545,12529,20,0
89,2008-02-27,0.7546,0.7638,0.7537,0.7622,6869,20,0
90,2008-02-28,0.7623,0.7642,0.7609,0.7635,6156,20,0
91,2008-02-29,0.7634,0.7676,0.7625,0.763,6166,20,0
92,2008-03-02,0.766,0.7664,0.765,0.7659,240,20,0
93,2008-03-03,0.766,0.7676,0.7634,0.766,6880,20,0
94,2008-03-04,0.7662,0.7673,0.7637,0.7659,10585,20,0
95,2008-03-05,0.766,0.7688,0.7646,0.7671,6431,20,0
96,2008-03-06,0.767,0.7692,0.7636,0.7647,6690,20,0
97,2008-03-07,0.7652,0.7657,0.76,0.7625,12322,20,0
98,2008-03-09,0.7623,0.7627,0.7621,0.7623,120,20,0
99,2008-03-10,0.7623,0.7654,0.7595,0.7635,10745,20,0
100,2008-03-11,0.7636,0.7678,0.7634,0.7647,6439,20,0
101,2008-03-12,0.7645,0.7679,0.7626,0.7667,14187,20,0
102,2008-03-13,0.7666,0.7694,0.7643,0.7687,7591,20,0
103,2008-03-14,0.7683,0.776,0.7664,0.776,15568,20,0
104,2008-03-16,0.7787,0.7805,0.7783,0.7798,550,20,0
105,2008-03-17,0.7799,0.7911,0.7793,0.7883,11609,20,0
106,2008-03-18,0.7882,0.7884,0.7769,0.7791,8799,20,0
107,2008-03-19,0.7792,0.7893,0.7781,0.7883,10423,20,0
108,2008-03-20,0.7884,0.7884,0.7759,0.7777,6793,20,0
109,2008-03-21,0.7776,0.7801,0.7766,0.7785,4479,20,0
110,2008-03-23,0.7781,0.779,0.778,0.7785,88,20,0
111,2008-03-24,0.7784,0.7789,0.7744,0.7764,4857,20,0
112,2008-03-25,0.7765,0.7828,0.7751,0.7796,6771,20,0
113,2008-03-26,0.7795,0.7894,0.778,0.7881,7543,20,0
114,2008-03-27,0.788,0.7899,0.781,0.7877,9077,20,0
115,2008-03-28,0.7878,0.7929,0.7859,0.7918,7125,20,0
116,2008-03-30,0.792,0.7927,0.7915,0.7919,204,20,0
117,2008-03-31,0.792,0.7981,0.7897,0.7942,7667,20,0
118,2008-04-01,0.7943,0.7958,0.7871,0.7893,7793,20,0
119,2008-04-02,0.7894,0.7897,0.7852,0.7887,7312,20,0
120,2008-04-03,0.7885,0.7909,0.7822,0.7852,7134,20,0
121,2008-04-04,0.7853,0.7895,0.7841,0.7894,7576,20,0
122,2008-04-06,0.7888,0.7892,0.7883,0.7891,87,20,0
123,2008-04-07,0.7892,0.7915,0.7867,0.7898,5301,20,0
124,2008-04-08,0.7899,0.7989,0.7895,0.7979,7367,20,0
125,2008-04-09,0.798,0.8023,0.7967,0.8015,6138,20,0
126,2008-04-10,0.8014,0.8028,0.7967,0.7983,9598,20,0
127,2008-04-11,0.7984,0.8037,0.7977,0.803,7984,20,0
128,2008-04-13,0.7988,0.7991,0.7978,0.7991,300,20,0
129,2008-04-14,0.799,0.8014,0.7962,0.8009,9978,20,0
130,2008-04-15,0.801,0.8063,0.801,0.8047,10126,20,0
131,2008-04-16,0.8043,0.8098,0.8024,0.8093,20624,20,0
132,2008-04-17,0.8092,0.8096,0.797,0.7989,9830,20,0
