,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-14,162.49,164.29,162.37,163.01,22232,30,0
1,2007-11-15,163.02,163.75,161.02,161.5,22751,30,0
2,2007-11-16,161.51,163.28,160.44,162.88,21998,30,0
3,2007-11-18,162.54,162.71,162.42,162.58,333,30,0
4,2007-11-19,162.57,163.06,160.75,160.99,18593,30,0
5,2007-11-20,160.98,163.38,160.41,162.76,22431,30,0
6,2007-11-21,162.72,162.8,160.06,161.0,22602,30,0
7,2007-11-22,160.98,162.23,160.83,161.16,12904,30,0
8,2007-11-23,161.15,161.65,159.45,160.69,18534,30,0
9,2007-11-25,160.87,161.4,160.84,161.18,410,30,0
10,2007-11-26,161.19,161.49,159.51,159.68,18170,30,0
11,2007-11-27,159.72,161.82,159.36,161.43,24938,30,0
12,2007-11-28,161.44,163.57,160.2,163.17,22981,30,0
13,2007-11-29,163.18,163.59,161.55,162.0,21389,30,0
14,2007-11-30,162.04,163.84,162.02,162.81,21253,30,0
15,2007-12-02,162.56,162.72,162.42,162.62,292,30,0
16,2007-12-03,162.6,162.66,161.42,162.03,16158,30,0
17,2007-12-04,162.04,162.32,160.9,162.16,16826,30,0
18,2007-12-05,162.17,163.04,161.46,161.9,17509,30,0
19,2007-12-06,161.88,163.26,161.18,163.25,17421,30,0
20,2007-12-07,163.23,163.87,162.33,163.69,12965,30,0
21,2007-12-09,163.55,163.61,163.18,163.6,453,30,0
22,2007-12-10,163.59,164.64,163.22,164.46,11664,30,0
23,2007-12-11,164.45,164.98,161.89,162.54,15839,30,0
24,2007-12-12,162.53,165.29,162.39,164.8,20183,30,0
25,2007-12-13,164.81,164.93,163.59,164.29,17426,30,0
26,2007-12-14,164.28,164.63,163.25,163.44,18754,30,0
27,2007-12-16,163.21,163.38,163.17,163.38,432,30,0
28,2007-12-17,163.4,163.52,162.34,162.63,17504,30,0
29,2007-12-18,162.64,163.62,162.53,163.39,15061,30,0
30,2007-12-19,163.4,163.46,162.29,162.94,15667,30,0
31,2007-12-20,162.95,163.03,161.75,162.18,13190,30,0
32,2007-12-21,162.19,164.06,161.99,163.99,12728,30,0
33,2007-12-23,163.81,164.07,163.78,164.0,217,30,0
34,2007-12-24,164.01,164.9,163.92,164.85,5968,30,0
35,2007-12-26,164.64,165.73,164.64,165.51,3418,30,0
36,2007-12-27,165.55,166.64,165.37,166.39,8060,30,0
37,2007-12-28,166.37,166.48,165.0,165.36,9726,30,0
38,2007-12-30,165.73,165.77,165.32,165.5,242,30,0
39,2007-12-31,165.48,165.52,163.0,163.11,5314,30,0
40,2008-01-02,163.67,164.06,160.77,160.79,12661,30,0
41,2008-01-03,160.8,161.67,159.73,161.45,18989,30,0
42,2008-01-04,161.46,161.5,159.76,160.09,19313,30,0
43,2008-01-06,160.22,160.37,160.2,160.21,345,30,0
