,time,open,high,low,close,tick_volume,spread,real_volume
0,2013-03-31,7.4896,7.4902,7.4796,7.4847,655,70,0
1,2013-04-01,7.4869,7.4946,7.4612,7.4745,31392,40,0
2,2013-04-02,7.4746,7.4778,7.4521,7.4531,43695,40,0
3,2013-04-03,7.4529,7.4676,7.441,7.4639,41869,40,0
4,2013-04-04,7.4647,7.4808,7.4411,7.476,46410,40,0
5,2013-04-05,7.4759,7.4832,7.4368,7.4402,45695,40,0
6,2013-04-07,7.4428,7.4428,7.4313,7.4368,519,57,0
7,2013-04-08,7.4393,7.4785,7.4355,7.4623,45140,40,0
8,2013-04-09,7.4626,7.4962,7.4597999999999995,7.465,45440,40,0
9,2013-04-10,7.4641,7.5203,7.461,7.5029,44436,40,0
10,2013-04-11,7.5029,7.5142,7.4713,7.4747,46238,40,0
11,2013-04-12,7.475,7.4978,7.461,7.4663,45597,40,0
12,2013-04-14,7.4931,7.4937000000000005,7.4832,7.4882,501,70,0
13,2013-04-15,7.4896,7.507,7.481,7.4989,44646,45,0
14,2013-04-16,7.4989,7.546,7.4987,7.5426,51793,45,0
15,2013-04-17,7.5431,7.573,7.5342,7.5562000000000005,50488,45,0
16,2013-04-18,7.5567,7.6063,7.552,7.5957,45904,45,0
17,2013-04-19,7.5958,7.6021,7.579,7.5945,40851,45,0
18,2013-04-21,7.5946,7.5958,7.5883,7.592,485,70,0
19,2013-04-22,7.5933,7.6449,7.583,7.6358,46549,45,0
20,2013-04-23,7.6362,7.694,7.6328,7.6882,50274,45,0
21,2013-04-24,7.6882,7.6997,7.6669,7.6733,46218,45,0
22,2013-04-25,7.6733,7.6744,7.6341,7.6356,42589,45,0
23,2013-04-26,7.6355,7.6443,7.6121,7.6198,40507,45,0
24,2013-04-28,7.6264,7.6267,7.6198,7.6247,887,70,0
25,2013-04-29,7.6266,7.6319,7.5962,7.6083,40855,45,0
26,2013-04-30,7.6083,7.6298,7.5838,7.5927,46175,40,0
27,2013-05-01,7.595,7.6042,7.5922,7.6021,1164,59,0
28,2013-05-02,7.6041,7.6107,7.5553,7.5761,47861,40,0
29,2013-05-03,7.5767,7.6183,7.5727,7.6041,43438,40,0
30,2013-05-05,7.5551,7.599,7.5482,7.5984,307,70,0
31,2013-05-06,7.605,7.6328,7.5966000000000005,7.6322,34834,40,0
32,2013-05-07,7.6323,7.6544,7.6263,7.6403,35915,40,0
33,2013-05-08,7.6401,7.6657,7.5547,7.5594,42495,40,0
34,2013-05-09,7.5595,7.5628,7.527,7.5382,46883,40,0
35,2013-05-10,7.54,7.5713,7.5154,7.5204,43642,40,0
36,2013-05-12,7.5245,7.5248,7.519,7.5199,573,70,0
37,2013-05-13,7.5206,7.5496,7.5192,7.5235,42357,40,0
38,2013-05-14,7.5236,7.5526,7.5196,7.5387,44451,40,0
39,2013-05-15,7.5385,7.547,7.5208,7.5306,45599,40,0
40,2013-05-16,7.532,7.5547,7.4966,7.5123,48775,40,0
41,2013-05-17,7.5123999999999995,7.5404,7.5028,7.5065,41772,40,0
42,2013-05-19,7.5215,7.5243,7.5089,7.5137,348,45,0
43,2013-05-20,7.5165,7.5328,7.4935,7.5117,41848,40,0
44,2013-05-21,7.5122,7.5225,7.4617,7.4703,44121,40,0
45,2013-05-22,7.4711,7.487,7.4626,7.4789,48107,40,0
46,2013-05-23,7.48,7.5488,7.478,7.5386,53680,40,0
47,2013-05-24,7.5386,7.5471,7.5241,7.5306999999999995,50411,40,0
48,2013-05-26,7.5356,7.536,7.5301,7.532,635,68,0
49,2013-05-27,7.5327,7.5606,7.5293,7.5558,42607,40,0
50,2013-05-28,7.5572,7.5804,7.5359,7.5712,48463,40,0
