,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-21,1.4836,1.4868999999999999,1.4775,1.4855,19218,20,0
1,2007-11-22,1.4854,1.4872,1.4821,1.4852,6616,20,0
2,2007-11-23,1.4849999999999999,1.4966,1.4783,1.4836,10291,20,0
3,2007-11-25,1.4826,1.4837,1.4826,1.4834,74,20,0
4,2007-11-26,1.4835,1.4885,1.4804,1.4872,7580,20,0
5,2007-11-27,1.4866,1.4905,1.4808,1.4835,21924,20,0
6,2007-11-28,1.4834,1.4857,1.4711,1.4838,10883,20,0
7,2007-11-29,1.4837,1.4842,1.4722,1.4757,9619,20,0
8,2007-11-30,1.4756,1.4783,1.4627,1.4638,9827,20,0
9,2007-12-02,1.4647999999999999,1.4664,1.4643,1.4659,193,20,0
10,2007-12-03,1.4657,1.4706000000000001,1.462,1.4668999999999999,8614,20,0
11,2007-12-04,1.4668,1.4767000000000001,1.4635,1.4763,18567,20,0
12,2007-12-05,1.4762,1.4769,1.459,1.4594,9712,20,0
13,2007-12-06,1.4595,1.4658,1.4527,1.4656,10514,20,0
14,2007-12-07,1.4654,1.467,1.4598,1.4657,7577,20,0
15,2007-12-09,1.4654,1.4657,1.4647999999999999,1.4652,160,20,0
16,2007-12-10,1.4654,1.4735,1.4639,1.4708,12734,20,0
17,2007-12-11,1.4708999999999999,1.475,1.4639,1.4661,8890,20,0
18,2007-12-12,1.466,1.4748,1.465,1.4711,9409,20,0
19,2007-12-13,1.471,1.4736,1.4577,1.4625,9127,20,0
20,2007-12-14,1.4626000000000001,1.4654,1.441,1.4429,11244,20,0
21,2007-12-16,1.4405000000000001,1.4417,1.4405000000000001,1.4417,166,20,0
22,2007-12-17,1.4416,1.4453,1.4331,1.4411,10690,20,0
23,2007-12-18,1.441,1.4434,1.4365999999999999,1.4417,8953,20,0
24,2007-12-19,1.4416,1.4422,1.4325,1.4382,8810,20,0
25,2007-12-20,1.4373,1.439,1.4309,1.433,15101,20,0
26,2007-12-21,1.4331,1.4409,1.4327,1.4381,6845,20,0
27,2007-12-23,1.4373,1.438,1.437,1.4376,76,20,0
28,2007-12-24,1.4378,1.4411,1.4374,1.4405999999999999,3090,20,0
29,2007-12-26,1.4417,1.4504000000000001,1.4415,1.4485999999999999,5398,20,0
30,2007-12-27,1.4484,1.4638,1.4468,1.461,14341,20,0
31,2007-12-28,1.4611,1.4727999999999999,1.4591,1.4721,7130,20,0
32,2007-12-30,1.4722,1.4736,1.4717,1.4736,151,20,0
33,2007-12-31,1.4735,1.4747,1.4581,1.4601,3265,20,0
34,2008-01-02,1.4652,1.4748,1.4641,1.4715,14081,20,0
35,2008-01-03,1.4714,1.478,1.4686,1.4743,9761,20,0
36,2008-01-04,1.4744,1.4823,1.4695,1.474,9425,20,0
37,2008-01-06,1.4746000000000001,1.4748999999999999,1.4743,1.4747,114,20,0
38,2008-01-07,1.4746000000000001,1.4747,1.4656,1.4679,8336,20,0
39,2008-01-08,1.4682,1.4741,1.4677,1.4706000000000001,9096,20,0
40,2008-01-09,1.4705,1.4741,1.4638,1.466,9549,20,0
41,2008-01-10,1.4661,1.4812,1.464,1.4798,22172,20,0
42,2008-01-11,1.4799,1.4819,1.476,1.4776,9545,20,0
43,2008-01-13,1.4807000000000001,1.4816,1.4801,1.4805,153,20,0
44,2008-01-14,1.4806,1.4913,1.4796,1.4866,8240,20,0
45,2008-01-15,1.4867,1.4921,1.4775,1.48,10713,20,0
46,2008-01-16,1.4801,1.4858,1.4593,1.4659,13846,20,0
47,2008-01-17,1.466,1.4714,1.4588999999999999,1.4638,14232,20,0
48,2008-01-18,1.464,1.4693,1.4602,1.462,24110,20,0
