,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,2.05048,2.06606,2.04826,2.05662,217607,24,0
1,2015-12-24,2.05662,2.0577,2.04406,2.05178,145323,24,0
2,2015-12-27,2.04797,2.05032,2.04696,2.04965,5465,123,0
3,2015-12-28,2.04977,2.05659,2.04876,2.05174,195200,24,0
4,2015-12-29,2.05167,2.05324,2.02608,2.03191,212182,24,0
5,2015-12-30,2.03193,2.038,2.02827,2.0353,242365,24,0
6,2015-12-31,2.03527,2.03663,2.01711,2.01992,222431,24,0
7,2016-01-03,2.02149,2.02276,2.01908,2.01917,4353,62,0
8,2016-01-04,2.01955,2.05474,2.01768,2.04929,397492,24,0
9,2016-01-05,2.04918,2.05371,2.03932,2.04916,322808,24,0
10,2016-01-06,2.04916,2.07482,2.04565,2.06976,386805,24,0
11,2016-01-07,2.06978,2.09051,2.06485,2.0840899999999998,455266,24,0
12,2016-01-08,2.08406,2.0906,2.06379,2.08639,452440,24,0
13,2016-01-10,2.08221,2.09345,2.08221,2.0914,7870,38,0
14,2016-01-11,2.09131,2.09789,2.07265,2.0803,406200,24,0
15,2016-01-12,2.08035,2.09215,2.05154,2.0677,417930,24,0
16,2016-01-13,2.06765,2.07743,2.04782,2.07199,394974,24,0
17,2016-01-14,2.07195,2.08551,2.05878,2.06352,455714,24,0
18,2016-01-15,2.06359,2.0907,2.05922,2.07524,449701,24,0
19,2016-01-17,2.08268,2.08268,2.07791,2.0798,4209,82,0
20,2016-01-18,2.07964,2.08187,2.06123,2.07193,353860,24,0
21,2016-01-19,2.07193,2.08254,2.04044,2.04976,445699,24,0
22,2016-01-20,2.04976,2.07648,2.04583,2.05038,494663,24,0
23,2016-01-21,2.05046,2.06041,2.02488,2.03069,554471,24,0
24,2016-01-22,2.03066,2.04356,2.02222,2.03562,421791,24,0
25,2016-01-24,2.03527,2.03717,2.03474,2.0369099999999998,3309,85,0
26,2016-01-25,2.03688,2.05236,2.03398,2.04992,378472,24,0
27,2016-01-26,2.04992,2.05322,2.03438,2.05096,419306,24,0
28,2016-01-27,2.05082,2.05159,2.01456,2.02695,487072,24,0
29,2016-01-28,2.02692,2.0329,2.01344,2.02566,469058,24,0
30,2016-01-29,2.02568,2.03013,1.99956,2.00955,557764,24,0
31,2016-01-31,2.01057,2.01495,2.00983,2.01478,10667,66,0
32,2016-02-01,2.01475,2.03518,2.01168,2.02878,395062,24,0
33,2016-02-02,2.02896,2.05143,2.0236,2.05047,393636,24,0
34,2016-02-03,2.05062,2.05678,2.0325,2.03712,480608,24,0
35,2016-02-04,2.0372,2.03878,2.01438,2.02556,486163,24,0
36,2016-02-05,2.02535,2.05245,2.01802,2.0488,407143,24,0
37,2016-02-07,2.04827,2.05004,2.04716,2.04892,7636,80,0
38,2016-02-08,2.04902,2.05048,2.02757,2.03607,489949,24,0
39,2016-02-09,2.03614,2.0663,2.03602,2.04492,593811,24,0
40,2016-02-10,2.04485,2.05465,2.03195,2.04584,583793,24,0
41,2016-02-11,2.04583,2.06414,2.03058,2.03168,679855,24,0
42,2016-02-12,2.03168,2.05065,2.02992,2.03759,492627,24,0
43,2016-02-14,2.03852,2.04154,2.03841,2.03963,5015,94,0
44,2016-02-15,2.03976,2.04188,2.01798,2.02254,379206,24,0
45,2016-02-16,2.02256,2.0278,2.0038,2.00992,442543,24,0
46,2016-02-17,2.00998,2.01754,1.9884300000000001,1.99133,481779,24,0
47,2016-02-18,1.99139,2.01215,1.9889999999999999,2.00318,442921,24,0
48,2016-02-19,2.00309,2.01804,2.00222,2.013,437266,24,0
49,2016-02-21,1.9921600000000002,2.00294,1.9915,2.00134,5876,55,0
50,2016-02-22,2.00129,2.00321,1.94992,1.9574799999999999,461254,24,0
51,2016-02-23,1.9574799999999999,1.96074,1.94101,1.9510800000000001,479626,24,0
52,2016-02-24,1.95111,1.9512800000000001,1.92897,1.93696,540569,24,0
53,2016-02-25,1.93713,1.94569,1.9277199999999999,1.9316499999999999,474346,24,0
