,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-14,230.56,232.39,227.86,228.39,29350,70,0
1,2007-11-15,228.4,229.67,225.11,225.81,26932,70,0
2,2007-11-16,225.85,228.35,223.91,228.22,25926,70,0
3,2007-11-18,227.6,227.8,227.28,227.63,468,70,0
4,2007-11-19,227.57,228.31,224.54,224.86,22130,70,0
5,2007-11-20,224.87,228.29,224.27,226.66,27671,70,0
6,2007-11-21,226.6,226.85,222.39,223.53,24888,70,0
7,2007-11-22,223.52,225.63,223.23,223.72,17399,70,0
8,2007-11-23,223.73,224.76,221.25,223.39,22823,70,0
9,2007-11-25,223.62,224.45,223.59,224.19,642,70,0
10,2007-11-26,224.2,224.81,221.87,222.11,21856,70,0
11,2007-11-27,222.21,225.77,222.03,224.93,28473,70,0
12,2007-11-28,224.94,229.28,223.67,228.52,27798,70,0
13,2007-11-29,228.53,229.15,225.7,226.4,25441,70,0
14,2007-11-30,226.47,229.3,226.32,228.81,25480,70,0
15,2007-12-02,228.11,228.35,227.93,228.24,423,70,0
16,2007-12-03,228.22,228.44,226.51,227.9,20205,70,0
17,2007-12-04,227.93,228.08,225.55,226.08,20800,70,0
18,2007-12-05,226.1,227.38,223.67,224.81,23560,70,0
19,2007-12-06,224.79,226.07,223.95,225.85,22562,70,0
20,2007-12-07,225.86,227.05,224.83,226.72,17176,70,0
21,2007-12-09,226.8,226.99,226.29,226.98,523,70,0
22,2007-12-10,226.96,228.82,226.48,228.59,15762,70,0
23,2007-12-11,228.58,229.8,224.76,225.65,22139,70,0
24,2007-12-12,225.66,230.31,225.54,229.06,23869,70,0
25,2007-12-13,229.04,229.75,227.44,229.38,24642,70,0
26,2007-12-14,229.39,230.02,228.24,228.5,27302,70,0
27,2007-12-16,228.45,228.54,228.08,228.53,789,70,0
28,2007-12-17,228.51,229.11,227.37,228.05,26261,70,0
29,2007-12-18,228.06,229.05,227.71,228.55,22380,70,0
30,2007-12-19,228.54,228.56,225.94,226.11,24608,70,0
31,2007-12-20,226.1,226.4,223.56,224.47,18187,70,0
32,2007-12-21,224.46,226.54,224.27,226.19,18566,70,0
33,2007-12-23,226.08,226.36,225.96,226.23,345,70,0
34,2007-12-24,226.27,226.43,225.57,226.21,8766,70,0
35,2007-12-26,226.25,226.9,225.97,226.58,3688,70,0
36,2007-12-27,226.61,228.36,226.54,227.08,8669,70,0
37,2007-12-28,227.07,227.62,224.05,224.11,9162,70,0
38,2007-12-30,224.87,224.91,224.19,224.36,211,70,0
39,2007-12-31,224.3,224.86,221.66,221.66,3747,70,0
40,2008-01-02,221.27,221.83,216.39,216.47,20308,70,0
41,2008-01-03,216.46,217.61,213.57,216.12,28774,70,0
42,2008-01-04,216.14,216.79,213.45,214.33,29052,70,0
43,2008-01-06,214.44,214.44,214.15,214.15,624,70,0
44,2008-01-07,214.16,216.16,214.03,214.82,26657,70,0
45,2008-01-08,214.8,217.3,214.43,214.83,30231,70,0
46,2008-01-09,214.84,216.44,213.79,215.05,30660,70,0
47,2008-01-10,215.17,216.02,213.54,214.97,33402,70,0
48,2008-01-11,214.99,215.1,211.96,212.94,31945,70,0
49,2008-01-13,213.08,213.21,212.85,213.21,397,70,0
50,2008-01-14,213.29,213.42,210.71,211.52,24442,70,0
51,2008-01-15,211.53,212.09,208.75,209.03,33020,70,0
52,2008-01-16,209.04,211.98,206.98,210.65,39045,70,0
53,2008-01-17,210.62,212.36,209.39,209.64,38285,70,0
54,2008-01-18,209.63,211.51,208.21,208.9,33224,70,0
55,2008-01-20,209.04,209.32,208.97,209.15,428,70,0
56,2008-01-21,209.16,209.24,204.93,204.96,27827,70,0
57,2008-01-22,204.97,210.1,204.74,209.91,38399,70,0
58,2008-01-23,209.92,210.47,204.58,208.87,39738,70,0
59,2008-01-24,208.85,211.96,207.07,211.94,38792,70,0
60,2008-01-25,211.91,214.0,211.11,211.61,36869,70,0
61,2008-01-27,211.84,212.11,211.61,212.08,378,70,0
62,2008-01-28,212.07,212.7,209.39,212.28,27054,70,0
63,2008-01-29,212.36,213.4,210.86,212.94,28990,70,0
64,2008-01-30,212.93,213.69,210.41,210.69,31317,70,0
65,2008-01-31,210.68,212.57,209.92,211.44,36169,70,0
66,2008-02-01,211.42,212.29,208.8,209.22,30478,70,0
67,2008-02-03,209.48,209.66,209.24,209.47,533,70,0
68,2008-02-04,209.44,211.72,209.37,210.67,23270,70,0
69,2008-02-05,210.68,212.08,208.83,209.26,28232,70,0
70,2008-02-06,209.27,209.66,207.7,208.51,28605,70,0
71,2008-02-07,208.5,209.37,205.86,208.42,31895,70,0
72,2008-02-08,208.41,209.86,208.04,208.76,26448,70,0
73,2008-02-10,209.23,209.29,208.91,209.11,358,70,0
74,2008-02-11,209.14,209.29,206.79,208.3,23732,70,0
75,2008-02-12,208.27,210.95,207.82,210.36,23557,70,0
76,2008-02-13,210.35,212.79,209.35,212.41,28236,70,0
77,2008-02-14,212.4,213.85,211.89,212.3,26724,70,0
78,2008-02-15,212.29,213.29,210.3,211.41,24611,70,0
79,2008-02-17,210.95,211.26,210.9,211.06,396,70,0
80,2008-02-18,211.12,211.79,210.54,210.98,16890,70,0
81,2008-02-19,210.96,211.05,208.74,210.24,28768,70,0
82,2008-02-20,210.23,210.89,209.04,209.83,29170,70,0
83,2008-02-21,209.81,211.95,209.67,210.89,27992,70,0
84,2008-02-22,210.86,211.49,210.01,210.75,24377,70,0
85,2008-02-24,211.26,211.4,211.06,211.32,409,70,0
86,2008-02-25,211.31,212.87,210.47,212.44,10573,70,0
87,2008-02-26,212.43,213.48,211.84,213.34,25543,70,0
88,2008-02-27,213.36,213.41,210.63,210.96,30834,70,0
89,2008-02-28,210.95,211.26,208.29,208.75,29930,70,0
90,2008-02-29,208.74,208.84,205.94,206.3,32694,70,0
91,2008-03-02,204.89,205.19,204.49,204.49,829,70,0
92,2008-03-03,204.52,205.77,203.48,205.36,20226,70,0
93,2008-03-04,205.35,205.67,203.66,205.23,29857,70,0
94,2008-03-05,205.22,207.72,204.39,206.94,28662,70,0
95,2008-03-06,206.93,207.59,205.84,206.35,30908,70,0
96,2008-03-07,206.36,207.95,204.89,206.7,24001,70,0
97,2008-03-09,206.25,206.61,206.16,206.5,928,70,0
98,2008-03-10,206.51,206.82,203.65,203.74,23049,70,0
99,2008-03-11,203.76,207.7,203.59,207.15,28147,70,0
100,2008-03-12,207.14,207.97,204.98,205.69,28692,70,0
101,2008-03-13,205.68,206.07,202.96,204.58,39618,70,0
102,2008-03-14,204.56,205.1,199.9,199.96,30484,70,0
103,2008-03-16,199.1,199.72,198.14,198.21,2189,70,0
104,2008-03-17,198.18,198.18,192.6,193.79,48331,70,0
105,2008-03-18,193.78,201.84,193.43,200.55,33369,70,0
106,2008-03-19,200.57,201.2,195.46,195.79,36699,70,0
107,2008-03-20,195.63,198.29,195.05,197.11,19031,70,0
108,2008-03-21,197.16,197.97,196.88,197.31,7190,70,0
109,2008-03-23,197.07,197.19,196.89,197.12,275,70,0
110,2008-03-24,197.11,200.41,197.09,200.23,21513,70,0
111,2008-03-25,200.22,200.89,198.97,200.36,39553,70,0
112,2008-03-26,200.38,201.02,197.56,199.01,42044,70,0
113,2008-03-27,199.02,201.74,197.73,199.75,48879,70,0
114,2008-03-28,199.74,200.46,197.53,197.89,41465,70,0
115,2008-03-30,197.32,197.57,196.84,197.24,764,70,0
116,2008-03-31,197.22,200.13,197.01,198.07,34464,70,0
117,2008-04-01,198.06,201.67,197.01,201.06,40340,70,0
118,2008-04-02,201.07,204.03,200.87,203.3,40794,70,0
119,2008-04-03,203.33,204.56,202.62,204.01,40471,70,0
120,2008-04-04,204.0,205.09,202.15,202.24,38873,70,0
121,2008-04-06,202.79,202.8,202.37,202.55,372,70,0
122,2008-04-07,202.53,204.42,202.38,203.64,34755,70,0
123,2008-04-08,203.68,204.1,201.14,202.13,41637,70,0
124,2008-04-09,202.12,202.58,200.55,200.95,36368,70,0
125,2008-04-10,200.92,201.39,198.07,201.21,48429,70,0
126,2008-04-11,201.25,201.87,198.43,198.9,40064,70,0
127,2008-04-13,199.04,199.43,198.86,199.15,734,70,0
128,2008-04-14,199.16,200.77,198.07,199.87,44311,70,0
129,2008-04-15,199.85,200.28,198.47,199.68,40875,70,0
130,2008-04-16,199.67,200.93,199.13,200.67,39733,70,0
131,2008-04-17,200.68,204.42,200.57,203.94,44762,70,0
132,2008-04-18,203.93,208.99,203.55,207.1,44050,70,0
133,2008-04-20,207.42,208.05,207.3,208.01,739,70,0
134,2008-04-21,207.98,208.1,203.91,204.58,40968,70,0
135,2008-04-22,204.59,206.09,203.35,205.36,46622,70,0
136,2008-04-23,205.37,206.06,204.1,204.69,41354,70,0
137,2008-04-24,204.68,206.12,204.14,205.61,43526,70,0
138,2008-04-25,205.6,207.62,205.4,207.33,42434,70,0
139,2008-04-27,207.14,207.2,207.01,207.01,188,70,0
140,2008-04-28,207.02,208.6,206.73,207.48,34895,70,0
141,2008-04-29,207.47,207.64,203.44,204.62,38576,70,0
142,2008-04-30,204.63,207.86,203.65,206.48,42804,70,0
143,2008-05-01,206.49,207.13,204.81,206.53,35470,70,0
144,2008-05-02,206.54,209.01,206.27,207.77,38437,70,0
145,2008-05-04,207.78,207.96,207.62,207.72,673,70,0
146,2008-05-05,207.71,208.29,206.45,206.96,24723,70,0
147,2008-05-06,206.97,207.17,205.51,206.53,36364,70,0
148,2008-05-07,206.55,206.9,204.23,204.56,40800,70,0
149,2008-05-08,204.57,204.76,202.37,203.13,47295,70,0
150,2008-05-09,203.14,203.27,199.78,200.98,40592,70,0
151,2008-05-11,200.91,201.12,200.63,200.67,450,70,0
152,2008-05-12,200.68,203.74,200.16,202.92,39520,70,0
153,2008-05-13,202.94,204.16,201.52,203.64,43577,70,0
154,2008-05-14,203.61,204.98,203.36,204.48,38875,70,0
155,2008-05-15,204.49,204.83,203.1,204.07,38934,70,0
156,2008-05-16,204.06,204.4,202.61,203.63,37710,70,0
157,2008-05-18,203.47,203.74,203.17,203.66,322,70,0
158,2008-05-19,203.67,204.08,202.91,203.5,30084,70,0
159,2008-05-20,203.49,204.78,202.7,203.8,40349,70,0
160,2008-05-21,203.81,203.95,202.59,203.12,40595,70,0
161,2008-05-22,203.11,206.55,202.71,206.03,33849,70,0
162,2008-05-23,206.02,206.23,204.13,204.63,31307,70,0
163,2008-05-25,204.68,204.77,204.54,204.63,249,70,0
164,2008-05-26,204.57,205.14,204.24,204.79,12982,70,0
165,2008-05-27,204.81,206.16,204.65,205.88,32496,70,0
166,2008-05-28,205.86,207.71,205.18,207.29,36784,70,0
167,2008-05-29,207.28,208.93,206.77,208.41,38505,70,0
168,2008-05-30,208.42,209.31,207.68,209.14,33820,70,0
169,2008-06-01,208.13,208.23,207.92,208.17,729,70,0
170,2008-06-02,208.16,208.34,204.64,205.32,38853,70,0
171,2008-06-03,205.33,207.12,203.96,206.31,41080,70,0
172,2008-06-04,206.29,206.62,204.51,205.59,38751,70,0
173,2008-06-05,205.6,207.55,205.52,207.38,39040,70,0
174,2008-06-06,207.39,208.08,206.65,206.76,38396,70,0
175,2008-06-08,205.87,206.25,205.82,206.23,573,70,0
176,2008-06-09,206.22,210.11,206.16,209.86,45533,70,0
177,2008-06-10,209.87,210.77,208.58,209.69,43591,70,0
178,2008-06-11,209.68,210.62,209.41,209.98,39789,70,0
179,2008-06-12,210.0,210.29,209.53,209.92,40377,70,0
180,2008-06-13,209.93,210.89,209.68,210.7,37072,70,0
181,2008-06-15,210.35,211.03,210.32,210.94,461,70,0
182,2008-06-16,210.93,212.82,210.77,212.45,32460,70,0
183,2008-06-17,212.44,212.66,210.63,211.3,38475,70,0
184,2008-06-18,211.31,211.5,210.41,211.17,31434,70,0
185,2008-06-19,211.18,213.3,210.79,212.8,35148,70,0
186,2008-06-20,212.82,213.12,211.7,212.08,32907,70,0
187,2008-06-22,211.74,212.21,211.71,212.06,426,70,0
188,2008-06-23,212.05,212.21,211.07,211.89,30421,70,0
189,2008-06-24,211.91,212.85,211.63,212.32,30734,70,0
190,2008-06-25,212.33,213.32,212.13,212.8,30112,70,0
191,2008-06-26,212.81,213.91,211.9,212.52,34709,70,0
192,2008-06-27,212.51,212.97,210.57,211.72,35673,70,0
193,2008-06-29,211.79,212.04,211.78,211.92,318,70,0
194,2008-06-30,211.9,212.31,209.39,211.48,36551,70,0
195,2008-07-01,211.49,211.92,210.03,211.43,37690,70,0
196,2008-07-02,211.44,212.05,210.8,211.09,37361,70,0
197,2008-07-03,211.13,211.92,210.6,211.65,32377,70,0
198,2008-07-04,211.64,212.06,211.24,211.68,19008,70,0
199,2008-07-06,211.71,211.76,211.53,211.64,104,70,0
200,2008-07-07,211.63,212.42,210.96,211.74,35362,70,0
201,2008-07-08,211.73,211.82,210.22,211.49,36072,70,0
202,2008-07-09,211.46,212.31,211.02,211.81,33066,70,0
203,2008-07-10,211.82,212.15,211.12,211.74,34382,70,0
204,2008-07-11,211.75,212.12,210.23,211.34,35948,70,0
205,2008-07-13,211.3,211.66,211.12,211.53,1001,70,0
206,2008-07-14,211.52,212.26,211.05,211.78,36848,70,0
207,2008-07-15,211.8,212.0,208.91,209.94,46726,70,0
208,2008-07-16,209.96,210.31,207.98,210.15,39782,70,0
209,2008-07-17,210.16,213.61,209.62,212.14,42163,70,0
210,2008-07-18,212.15,213.82,211.55,213.72,33102,70,0
211,2008-07-20,213.37,213.4,213.17,213.17,229,70,0
212,2008-07-21,213.18,213.83,212.13,213.16,28840,70,0
213,2008-07-22,213.15,213.85,212.82,213.64,34065,70,0
214,2008-07-23,213.65,215.87,213.44,215.5,35926,70,0
215,2008-07-24,215.49,215.72,212.77,213.37,35257,70,0
216,2008-07-25,213.36,214.92,211.58,214.74,37143,70,0
217,2008-07-27,214.7,214.77,214.44,214.44,409,70,0
218,2008-07-28,214.43,214.88,213.68,214.28,29488,70,0
219,2008-07-29,214.29,214.79,213.71,214.05,29924,70,0
220,2008-07-30,214.04,214.38,213.24,214.17,29659,70,0
221,2008-07-31,214.18,214.57,213.35,213.78,30633,70,0
222,2008-08-01,213.77,213.9,212.0,212.69,28893,70,0
223,2008-08-03,212.65,212.65,212.22,212.26,292,70,0
224,2008-08-04,212.24,212.88,212.06,212.27,28258,70,0
225,2008-08-05,212.26,212.36,210.58,211.58,33625,70,0
226,2008-08-06,211.59,213.93,211.58,213.51,33271,70,0
227,2008-08-07,213.49,213.73,212.4,212.64,32448,70,0
228,2008-08-08,212.63,212.72,210.82,211.65,39617,70,0
229,2008-08-10,211.08,211.18,210.65,210.89,688,70,0
230,2008-08-11,210.88,211.53,209.69,210.24,39495,70,0
231,2008-08-12,210.23,210.61,206.89,207.16,39961,70,0
232,2008-08-13,207.15,207.33,202.5,203.96,47727,70,0
233,2008-08-14,203.98,205.86,203.45,204.79,36673,70,0
234,2008-08-15,204.77,206.5,204.38,206.22,33186,70,0
235,2008-08-17,205.92,206.05,205.77,205.79,420,70,0
236,2008-08-18,205.8,206.23,205.03,205.13,29004,70,0
237,2008-08-19,205.14,205.37,203.87,204.74,30007,70,0
238,2008-08-20,204.75,205.12,204.12,204.43,22575,70,0
239,2008-08-21,204.44,204.64,201.79,203.47,28719,70,0
240,2008-08-22,203.48,204.58,202.77,203.91,14205,70,0
241,2008-08-24,203.7,203.76,203.45,203.45,370,70,0
242,2008-08-25,203.44,203.75,202.31,202.43,23932,70,0
243,2008-08-26,202.42,202.86,200.84,201.55,32881,70,0
244,2008-08-27,201.56,202.27,200.48,201.04,34115,70,0
245,2008-08-28,201.03,201.12,199.79,200.21,36676,70,0
246,2008-08-29,200.22,200.33,197.61,198.12,31077,70,0
247,2008-08-31,196.19,196.36,195.69,196.22,1311,70,0
248,2008-09-01,196.28,196.88,192.66,193.43,33957,70,0
249,2008-09-02,193.45,194.87,192.84,193.55,40607,70,0
250,2008-09-03,193.54,194.07,191.91,192.06,37992,70,0
251,2008-09-04,192.05,193.58,186.18,188.02,45902,70,0
252,2008-09-05,188.01,190.3,186.38,190.3,52265,70,0
253,2008-09-07,194.77,195.48,192.35,193.49,2738,70,0
254,2008-09-08,193.5,195.65,188.48,190.44,53603,70,0
255,2008-09-09,190.45,190.96,187.56,189.06,50582,70,0
256,2008-09-10,189.05,190.07,187.18,188.83,47405,70,0
257,2008-09-11,188.82,188.96,185.87,187.73,51051,70,0
258,2008-09-12,187.72,193.7,187.71,193.63,42587,70,0
259,2008-09-14,190.61,191.89,190.26,191.19,1747,70,0
260,2008-09-15,191.17,192.1,187.1,187.21,67341,70,0
261,2008-09-16,187.28,190.05,184.47,188.12,70543,70,0
262,2008-09-17,188.13,192.04,186.86,189.36,66745,70,0
263,2008-09-18,189.35,192.11,189.08,191.72,67913,70,0
264,2008-09-19,191.53,197.07,191.45,196.74,58301,70,0
265,2008-09-21,195.84,196.6,195.45,195.52,1124,70,0
266,2008-09-22,195.51,197.16,194.28,196.07,55855,70,0
267,2008-09-23,196.09,196.59,194.9,196.15,34413,70,0
268,2008-09-24,196.14,197.42,195.29,196.16,40407,70,0
269,2008-09-25,196.17,197.16,195.22,195.63,47127,70,0
270,2008-09-26,195.67,195.86,193.13,195.51,48213,70,0
271,2008-09-28,194.18,194.8,194.18,194.68,916,70,0
272,2008-09-29,194.69,195.44,186.43,187.04,55674,70,0
273,2008-09-30,187.01,191.0,186.78,188.96,54184,70,0
274,2008-10-01,188.97,189.93,185.94,187.47,53792,70,0
275,2008-10-02,187.46,188.11,184.69,185.52,53950,70,0
276,2008-10-03,185.54,188.47,184.65,186.57,53305,70,0
277,2008-10-05,184.81,185.75,184.8,185.43,855,70,0
278,2008-10-06,185.45,185.72,174.04,177.67,83307,70,0
279,2008-10-07,177.61,182.05,175.96,177.16,82020,70,0
280,2008-10-08,177.15,178.95,170.91,171.92,97660,70,0
281,2008-10-09,171.9,176.39,169.72,170.02,81477,70,0
282,2008-10-10,170.01,172.12,165.97,171.52,75450,70,0
283,2008-10-12,172.91,173.44,171.96,172.62,1404,70,0
284,2008-10-13,172.61,178.52,168.65,178.45,53968,70,0
285,2008-10-14,178.44,181.37,176.9,177.56,61790,70,0
286,2008-10-15,177.55,178.71,170.39,171.4,70692,70,0
287,2008-10-16,171.37,176.25,170.65,175.61,88622,70,0
288,2008-10-17,175.62,176.53,173.93,175.68,49847,70,0
289,2008-10-19,175.86,176.06,175.61,175.66,507,70,0
290,2008-10-20,175.59,179.2,173.58,174.66,54218,70,0
291,2008-10-21,174.65,175.56,166.76,167.21,54977,70,0
292,2008-10-22,167.2,167.63,157.72,158.54,65184,70,0
293,2008-10-23,158.53,160.65,154.53,158.13,70036,70,0
294,2008-10-24,158.14,158.79,139.02,150.14,90900,70,0
295,2008-10-26,146.6,148.29,145.04,148.29,2038,70,0
296,2008-10-27,148.33,149.85,140.65,144.79,62820,70,0
297,2008-10-28,144.8,159.54,142.87,157.97,60933,70,0
298,2008-10-29,157.98,161.16,153.36,159.65,61906,70,0
299,2008-10-30,159.64,165.04,158.21,161.65,55510,70,0
300,2008-10-31,161.66,161.78,155.48,158.26,56723,70,0
301,2008-11-02,158.26,158.87,158.18,158.76,561,70,0
302,2008-11-03,158.75,163.33,155.61,156.1,47367,70,0
303,2008-11-04,156.15,161.72,153.68,158.97,57677,70,0
304,2008-11-05,158.98,160.82,155.22,155.58,65961,70,0
305,2008-11-06,155.6,157.68,151.36,151.54,67609,70,0
306,2008-11-07,151.53,156.19,150.3,153.61,40612,70,0
307,2008-11-09,156.01,156.68,155.9,156.33,914,70,0
308,2008-11-10,156.32,157.53,152.1,153.18,46770,70,0
309,2008-11-11,153.16,154.26,149.08,149.64,45194,70,0
310,2008-11-12,149.61,151.76,140.28,141.18,56308,70,0
311,2008-11-13,141.15,146.29,138.9,145.44,58736,70,0
312,2008-11-14,145.43,146.08,140.89,143.04,47596,70,0
313,2008-11-16,141.15,142.01,140.72,141.08,947,70,0
314,2008-11-17,141.1,146.47,140.79,144.51,49724,70,0
315,2008-11-18,144.47,146.51,143.58,144.69,46930,70,0
316,2008-11-19,144.68,147.9,142.85,143.73,40016,70,0
317,2008-11-20,143.79,143.9,137.65,138.6,47408,70,0
318,2008-11-21,138.64,143.22,138.26,143.19,47412,70,0
319,2008-11-23,143.54,143.69,143.07,143.28,850,70,0
320,2008-11-24,143.27,147.96,141.04,146.7,50783,70,0
321,2008-11-25,146.71,148.6,143.74,147.22,53212,70,0
322,2008-11-26,147.24,147.59,144.55,146.6,46906,70,0
323,2008-11-27,146.61,147.89,145.69,146.97,27907,70,0
324,2008-11-28,146.94,147.55,145.58,146.86,34995,70,0
325,2008-11-30,146.9,147.1,146.45,146.45,675,70,0
326,2008-12-01,146.43,146.46,138.03,138.48,28571,70,0
327,2008-12-02,138.46,140.86,137.09,138.75,29573,70,0
328,2008-12-03,138.76,139.74,136.29,137.62,29623,70,0
329,2008-12-04,137.55,137.95,134.11,135.73,29154,70,0
330,2008-12-05,135.72,137.49,133.28,136.49,26391,70,0
331,2008-12-07,136.46,136.46,136.09,136.35,571,70,0
332,2008-12-08,136.36,140.71,136.27,138.24,26341,70,0
333,2008-12-09,138.23,138.46,135.45,136.2,24950,70,0
334,2008-12-10,136.19,138.32,136.1,137.32,22577,70,0
335,2008-12-11,137.33,138.62,135.8,137.49,24990,70,0
336,2008-12-12,137.48,138.15,133.16,136.21,30430,70,0
337,2008-12-14,136.02,136.33,135.64,135.96,1116,70,0
338,2008-12-15,135.95,139.17,135.25,138.43,39090,70,0
339,2008-12-16,138.44,139.04,136.8,138.15,29012,70,0
340,2008-12-17,138.16,139.04,134.87,135.33,34283,70,0
341,2008-12-18,135.34,138.08,133.61,134.72,52262,70,0
342,2008-12-19,134.74,135.8,132.27,133.23,40266,70,0
343,2008-12-21,133.37,134.03,133.35,133.94,701,70,0
344,2008-12-22,133.95,134.66,132.03,133.62,30563,70,0
345,2008-12-23,133.63,134.35,132.84,133.91,24585,70,0
346,2008-12-24,133.89,134.06,132.56,133.26,19522,70,0
347,2008-12-26,133.66,133.7,132.34,132.64,8635,70,0
348,2008-12-28,132.77,133.02,132.67,132.83,624,70,0
349,2008-12-29,132.85,133.46,130.17,131.08,23859,70,0
350,2008-12-30,131.07,131.82,129.84,130.57,19855,70,0
351,2008-12-31,130.56,133.23,130.05,132.08,16012,70,0
352,2009-01-02,133.21,133.97,131.36,133.52,17983,70,0
353,2009-01-04,133.91,134.13,133.69,133.75,751,70,0
354,2009-01-05,133.76,137.52,132.83,137.11,26872,70,0
355,2009-01-06,137.12,140.83,135.41,139.18,30668,70,0
356,2009-01-07,139.19,141.52,137.92,139.76,29950,70,0
357,2009-01-08,139.75,140.05,137.27,139.08,30889,70,0
358,2009-01-09,139.09,139.86,136.49,137.0,39513,70,0
359,2009-01-11,135.66,136.27,135.56,135.92,1238,70,0
360,2009-01-12,135.91,136.2,131.71,132.49,36318,70,0
361,2009-01-13,132.48,132.51,128.8,129.68,41370,70,0
362,2009-01-14,129.69,132.02,129.02,130.27,38773,70,0
363,2009-01-15,130.28,131.99,129.06,131.94,39081,70,0
364,2009-01-16,131.95,135.69,131.73,133.58,40141,70,0
365,2009-01-18,135.24,135.83,135.22,135.66,945,70,0
366,2009-01-19,135.64,135.74,130.04,130.69,29853,70,0
367,2009-01-20,130.68,130.73,123.97,124.58,49431,70,0
368,2009-01-21,124.57,126.14,119.38,123.53,49600,70,0
369,2009-01-22,123.54,124.77,121.09,123.66,45682,70,0
370,2009-01-23,123.67,123.78,118.82,122.37,41790,70,0
371,2009-01-26,121.95,125.06,120.22,124.64,81741,70,0
372,2009-01-27,124.63,127.63,124.21,126.69,91996,70,0
373,2009-01-28,126.68,129.64,125.6,128.7,84012,70,0
374,2009-01-29,128.7,129.37,126.49,128.35,86666,70,0
375,2009-01-30,128.34,130.84,126.68,130.69,148018,70,0
376,2009-02-01,129.42,129.85,128.93,128.99,4002,70,0
