,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-20,2.049,2.0683,2.0455,2.0659,12586,20,0
1,2007-11-21,2.0672,2.0698,2.0526,2.0629,25309,20,0
2,2007-11-22,2.063,2.0684,2.0584,2.062,7639,20,0
3,2007-11-23,2.0621,2.0762,2.0517,2.0627,11982,20,0
4,2007-11-25,2.0618,2.0641,2.0617,2.0636,156,20,0
5,2007-11-26,2.0637,2.0736,2.0614,2.0688,9410,20,0
6,2007-11-27,2.069,2.0755,2.0639,2.0672,11948,20,0
7,2007-11-28,2.0673,2.083,2.0581,2.0783,13062,20,0
8,2007-11-29,2.0784,2.0794,2.0594,2.0625,11776,20,0
9,2007-11-30,2.0613,2.0699,2.0532,2.0577,24223,20,0
10,2007-12-02,2.0558,2.0582,2.0553,2.0577,196,20,0
11,2007-12-03,2.0575,2.0677,2.0523,2.0636,9856,20,0
12,2007-12-04,2.0638,2.0672,2.0558,2.0582,10641,20,0
13,2007-12-05,2.0584,2.0587,2.0241,2.0268,13442,20,0
14,2007-12-06,2.027,2.031,2.0179,2.0282,13133,20,0
15,2007-12-07,2.0281,2.0344,2.022,2.0303,10080,20,0
16,2007-12-09,2.032,2.0333,2.0319,2.0329,155,20,0
17,2007-12-10,2.0328,2.0487,2.031,2.0445,8614,20,0
18,2007-12-11,2.0461,2.0518,2.0329,2.0355,20890,20,0
19,2007-12-12,2.0354,2.0577,2.0348,2.0448,10935,20,0
20,2007-12-13,2.0447,2.0482,2.0339,2.0425,11445,20,0
21,2007-12-14,2.0424,2.0447,2.0146,2.0174,13693,20,0
22,2007-12-16,2.0164,2.017,2.0143,2.0167,543,20,0
23,2007-12-17,2.0164,2.0226,2.01,2.021,12298,20,0
24,2007-12-18,2.0212,2.0224,2.011,2.0168,23114,20,0
25,2007-12-19,2.0167,2.0195,1.9928,1.9963,13610,20,0
26,2007-12-20,1.9958,1.9984,1.9626000000000001,1.9837,20095,20,0
27,2007-12-21,1.9836,1.9893,1.9808,1.9836,9786,20,0
28,2007-12-23,1.9832,1.9845000000000002,1.9828999999999999,1.9836,151,20,0
29,2007-12-24,1.9837,1.984,1.9755,1.9769,5095,20,0
30,2007-12-26,1.9814,1.9849,1.9802,1.9839,5781,20,0
31,2007-12-27,1.9832,1.9965000000000002,1.9828000000000001,1.9948000000000001,15434,20,0
32,2007-12-28,1.995,2.0022,1.9903,1.9962,7587,20,0
33,2007-12-30,1.9971999999999999,1.9982,1.9969999999999999,1.998,114,20,0
34,2007-12-31,1.9979,2.0099,1.982,1.9842,4406,20,0
35,2008-01-02,1.9813,1.9872999999999998,1.9774,1.9815,19556,20,0
36,2008-01-03,1.9816,1.9838,1.9703,1.9737,12351,20,0
37,2008-01-04,1.9736,1.9849,1.9673,1.9741,12329,20,0
38,2008-01-06,1.9736,1.9738,1.9715,1.9718,227,20,0
39,2008-01-07,1.9736,1.9755,1.9654,1.9667,21140,20,0
40,2008-01-08,1.9668,1.9827,1.9666000000000001,1.9716,11981,20,0
41,2008-01-09,1.9715,1.9762,1.9552,1.9572,12662,20,0
42,2008-01-10,1.9577,1.9668999999999999,1.9539,1.9613,29489,20,0
43,2008-01-11,1.9614,1.9635,1.9481000000000002,1.9565000000000001,12765,20,0
44,2008-01-13,1.9588999999999999,1.9594,1.9579,1.9588999999999999,156,20,0
45,2008-01-14,1.9588999999999999,1.9647000000000001,1.9525000000000001,1.954,19633,20,0
46,2008-01-15,1.9541,1.974,1.9536,1.958,13780,20,0
47,2008-01-16,1.9578,1.972,1.9527,1.9624000000000001,17300,20,0
48,2008-01-17,1.9623,1.9788999999999999,1.9604,1.9701,16997,20,0
49,2008-01-18,1.97,1.9724,1.9512,1.9553,13820,20,0
50,2008-01-20,1.9571,1.9583,1.9567,1.9571,136,20,0
51,2008-01-21,1.9571,1.9583,1.94,1.9403000000000001,24810,20,0
52,2008-01-22,1.9402,1.9645000000000001,1.9337,1.9603000000000002,24538,20,0
