,time,open,high,low,close,tick_volume,spread,real_volume
0,2015-12-23,0.68086,0.68287,0.67614,0.67857,83707,14,0
1,2015-12-24,0.67857,0.68421,0.67846,0.68394,43495,14,0
2,2015-12-27,0.68306,0.68388,0.68276,0.68345,4309,14,0
3,2015-12-28,0.68349,0.68525,0.68234,0.68506,67073,14,0
4,2015-12-29,0.68499,0.68825,0.68479,0.68636,60414,14,0
5,2015-12-30,0.68633,0.68718,0.68297,0.68336,85491,14,0
6,2015-12-31,0.68334,0.68667,0.68222,0.68275,81424,14,0
7,2016-01-03,0.68262,0.68301,0.68262,0.68299,240,14,0
8,2016-01-04,0.68311,0.68346,0.67188,0.67486,110201,14,0
9,2016-01-05,0.67489,0.67571,0.66761,0.67016,90296,14,0
10,2016-01-06,0.67019,0.67076,0.66253,0.66342,129732,14,0
11,2016-01-07,0.66344,0.66662,0.65901,0.66247,154381,14,0
12,2016-01-08,0.66247,0.66774,0.65364,0.65413,147196,14,0
13,2016-01-10,0.65496,0.65528,0.65167,0.65177,1214,14,0
14,2016-01-11,0.65179,0.65792,0.65082,0.65599,126236,14,0
15,2016-01-12,0.65599,0.65682,0.65144,0.653,123895,14,0
16,2016-01-13,0.653,0.65904,0.6498,0.65065,115822,14,0
17,2016-01-14,0.65067,0.65125,0.64182,0.64724,148369,14,0
18,2016-01-15,0.64744,0.64909,0.63808,0.64572,149203,14,0
19,2016-01-17,0.64052,0.64398,0.64052,0.64346,1710,14,0
20,2016-01-18,0.64346,0.64793,0.64282,0.64644,144041,14,0
21,2016-01-19,0.64649,0.65132,0.63882,0.63977,153573,14,0
22,2016-01-20,0.63973,0.64374,0.63467,0.64354,160032,14,0
23,2016-01-21,0.64362,0.65585,0.64105,0.65282,167648,14,0
24,2016-01-22,0.6528,0.65506,0.64659,0.64822,117821,14,0
25,2016-01-24,0.64888,0.64937,0.64734,0.64744,1307,17,0
26,2016-01-25,0.64746,0.65323,0.64478,0.64519,133404,14,0
27,2016-01-26,0.64515,0.65115,0.64243,0.64897,142426,14,0
28,2016-01-27,0.64903,0.65307,0.64164,0.64315,196065,14,0
29,2016-01-28,0.64323,0.65135,0.64177,0.6474,155145,14,0
30,2016-01-29,0.64751,0.65428,0.64581,0.64762,165278,14,0
31,2016-01-31,0.64842,0.6487,0.64591,0.64623,2117,14,0
32,2016-02-01,0.64624,0.65576,0.64476,0.65359,128532,14,0
33,2016-02-02,0.65364,0.65537,0.64614,0.65201,144832,14,0
34,2016-02-03,0.65201,0.66972,0.65061,0.66577,186663,14,0
35,2016-02-04,0.66577,0.6747,0.66408,0.67165,155944,14,0
36,2016-02-05,0.67165,0.67491,0.66149,0.66209,155521,14,0
37,2016-02-07,0.66159,0.66214,0.66125,0.66186,2618,16,0
38,2016-02-08,0.66186,0.66589,0.65922,0.66172,164811,14,0
39,2016-02-09,0.66179,0.66683,0.65624,0.66357,239846,14,0
40,2016-02-10,0.66357,0.66945,0.66042,0.66801,234606,14,0
41,2016-02-11,0.66801,0.67384,0.65847,0.67287,299089,14,0
42,2016-02-12,0.67328,0.67369,0.66111,0.66222,179749,14,0
43,2016-02-14,0.66101,0.66248,0.66101,0.66237,1522,14,0
44,2016-02-15,0.66237,0.66756,0.66221,0.66396,227311,14,0
45,2016-02-16,0.66391,0.66752,0.65444,0.65778,201561,14,0
46,2016-02-17,0.65778,0.66489,0.65528,0.66291,181078,14,0
47,2016-02-18,0.66291,0.66676,0.66051,0.66377,181669,14,0
48,2016-02-19,0.66372,0.66437,0.65645,0.66269,137844,14,0
49,2016-02-21,0.66404,0.66462,0.66296,0.66308,4226,14,0
50,2016-02-22,0.66311,0.67252,0.66216,0.66972,154707,14,0
51,2016-02-23,0.66993,0.67141,0.66319,0.66328,138187,14,0
52,2016-02-24,0.6632,0.66732,0.6586,0.66538,162997,14,0
53,2016-02-25,0.66555,0.67294,0.66416,0.67221,143762,14,0
54,2016-02-26,0.67224,0.67742,0.66173,0.66261,148753,14,0
55,2016-02-28,0.65851,0.65996,0.65758,0.65889,4964,14,0
56,2016-02-29,0.65889,0.66199,0.65646,0.66103,162683,14,0
57,2016-03-01,0.66086,0.66402,0.65707,0.66386,178640,14,0
58,2016-03-02,0.66381,0.66777,0.65927,0.66671,193927,14,0
59,2016-03-03,0.66673,0.67554,0.66544,0.67177,168702,14,0
60,2016-03-04,0.67176,0.68196,0.67133,0.68196,164854,14,0
61,2016-03-06,0.67802,0.68017,0.67802,0.68004,1406,14,0
62,2016-03-07,0.68006,0.68146,0.67492,0.67864,154105,14,0
63,2016-03-08,0.67869,0.67936,0.67306,0.67318,149117,14,0
64,2016-03-09,0.67321,0.68091,0.6632,0.66351,207839,14,0
65,2016-03-10,0.6635,0.67089,0.66181,0.66655,274488,14,0
