,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-22,0.9873,0.9881,0.9789,0.985,4629,30,0
1,2007-11-23,0.9849,0.9897,0.98,0.988,4643,30,0
2,2007-11-25,0.9862,0.9866,0.9843,0.9855,112,30,0
3,2007-11-26,0.9862,0.9913,0.9799,0.9886,9045,30,0
4,2007-11-27,0.9896,1.0,0.982,0.9958,17807,30,0
5,2007-11-28,0.9959,0.9997,0.9841,0.9868,6818,30,0
6,2007-11-29,0.9867,0.9993,0.9834,0.9969,6406,30,0
7,2007-11-30,0.9968,1.0017,0.9922,0.999,5424,30,0
8,2007-12-02,0.9993,0.9993,0.9978,0.9986,126,30,0
9,2007-12-03,0.9992,1.004,0.9974,0.9997,9012,30,0
10,2007-12-04,0.9998,1.0152,0.9992,1.012,5603,30,0
11,2007-12-05,1.0121,1.0213,1.0097,1.0114,6297,30,0
12,2007-12-06,1.0115,1.0192,1.0074,1.0086,5552,30,0
13,2007-12-07,1.0085,1.0147,1.0006,1.0051,5789,30,0
14,2007-12-09,1.0042,1.0059,1.0042,1.0057,57,30,0
15,2007-12-10,1.0056,1.0118,1.0004,1.0062,4184,30,0
16,2007-12-11,1.0062,1.0164,1.0038,1.0118,11058,30,0
17,2007-12-12,1.012,1.0175,1.0054,1.0114,6033,30,0
18,2007-12-13,1.0115,1.0233,1.0094,1.0194,5404,30,0
19,2007-12-14,1.0208,1.0248,1.0126,1.017,11578,30,0
20,2007-12-16,1.0178,1.0188,1.0175,1.0181,494,30,0
21,2007-12-17,1.0183,1.0225,1.0027,1.0056,5957,30,0
22,2007-12-18,1.0055,1.0143,1.0012,1.0055,5908,30,0
23,2007-12-19,1.0054,1.009,1.0011,1.0021,5404,30,0
24,2007-12-20,1.0025,1.0047,0.9953,1.0003,7587,30,0
25,2007-12-21,0.9998,1.0009,0.991,0.9915,11133,30,0
26,2007-12-23,0.9919,0.9928,0.991,0.9923,59,30,0
27,2007-12-24,0.9919,0.9931,0.984,0.9845,6673,30,0
28,2007-12-26,0.9858,0.9868,0.98,0.98,4137,30,0
29,2007-12-27,0.9801,0.9852,0.9784,0.9806,4299,30,0
30,2007-12-28,0.9807,0.985,0.9756,0.9816,3952,30,0
31,2007-12-30,0.9801,0.9809,0.98,0.9804,107,30,0
32,2007-12-31,0.9801,0.988,0.9765,0.9879,4695,30,0
33,2008-01-02,0.9919,0.997,0.986,0.9941,8676,30,0
34,2008-01-03,0.9944,0.9965,0.9872,0.989,5172,30,0
35,2008-01-04,0.9888,1.0042,0.9841,1.0026,6471,30,0
36,2008-01-06,1.0023,1.0025,0.9998,1.0002,109,30,0
37,2008-01-07,1.0023,1.0078,0.9968,1.0057,11149,30,0
38,2008-01-08,1.0056,1.0074,0.9965,1.0047,5673,30,0
39,2008-01-09,1.0046,1.012,1.0019,1.0095,10944,30,0
40,2008-01-10,1.0094,1.015,1.0052,1.0087,6233,30,0
41,2008-01-11,1.0086,1.0219,1.0067,1.0187,6356,30,0
42,2008-01-13,1.02,1.02,1.0186,1.0189,91,30,0
43,2008-01-14,1.0188,1.0211,1.0147,1.0175,4591,30,0
44,2008-01-15,1.0174,1.0198,1.0124,1.0181,4820,30,0
45,2008-01-16,1.0191,1.0282,1.0153,1.0231,13609,30,0
46,2008-01-17,1.0243,1.0307,1.0181,1.0295,12245,30,0
47,2008-01-18,1.0296,1.0303,1.0215,1.0271,5241,30,0
48,2008-01-20,1.0266,1.0276,1.0262,1.0273,46,30,0
49,2008-01-21,1.0266,1.0359,1.0262,1.0357,9018,30,0
50,2008-01-22,1.0356,1.0378,1.0206,1.0274,9233,30,0
51,2008-01-23,1.0273,1.0316,1.0221,1.0235,6849,30,0
52,2008-01-24,1.0233,1.0255,1.0015,1.0043,10101,30,0
53,2008-01-25,1.0044,1.0107,1.0021,1.008,6130,30,0
