,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-22,1.1017,1.1039,1.1003,1.1007,4890,40,0
1,2007-11-23,1.1008,1.1048,1.089,1.102,8438,40,0
2,2007-11-25,1.1036,1.1037,1.1031,1.1035,105,40,0
3,2007-11-26,1.1032,1.107,1.0955,1.0968,6143,40,0
4,2007-11-27,1.0967,1.1066,1.0956,1.1051,8514,40,0
5,2007-11-28,1.1052,1.1193,1.104,1.1108,8499,40,0
6,2007-11-29,1.1107,1.1206,1.1104,1.1167,7476,40,0
7,2007-11-30,1.1168,1.1326,1.1159,1.1313,7485,40,0
8,2007-12-02,1.1301,1.1308,1.1287,1.129,173,40,0
9,2007-12-03,1.1291,1.1304,1.1248,1.1271,6991,40,0
10,2007-12-04,1.1272,1.1318,1.1159,1.117,7801,40,0
11,2007-12-05,1.1171,1.1286,1.1153,1.1286,7718,40,0
12,2007-12-06,1.1287,1.1351,1.1263,1.1280999999999999,7918,40,0
13,2007-12-07,1.1280000000000001,1.133,1.1275,1.1280000000000001,6513,40,0
14,2007-12-09,1.1278,1.1287,1.1274,1.1278,117,40,0
15,2007-12-10,1.1279,1.1301,1.1233,1.1282,5322,40,0
16,2007-12-11,1.1280999999999999,1.1360999999999999,1.1254,1.1298,8093,40,0
17,2007-12-12,1.1299,1.1399,1.1273,1.1341,7992,40,0
18,2007-12-13,1.1342,1.145,1.1296,1.1416,15448,40,0
19,2007-12-14,1.1415,1.1546,1.1400000000000001,1.1526,7972,40,0
20,2007-12-16,1.1551,1.1554,1.1544,1.1547,163,40,0
21,2007-12-17,1.1546,1.1573,1.1477,1.1492,8752,40,0
22,2007-12-18,1.1494,1.1534,1.149,1.1513,6833,40,0
23,2007-12-19,1.1512,1.1586,1.151,1.1546,6557,40,0
24,2007-12-20,1.1555,1.1595,1.1543,1.1583,11428,40,0
25,2007-12-21,1.1582,1.1583,1.1515,1.1546,5376,40,0
26,2007-12-23,1.1555,1.1559,1.1547,1.1555,78,40,0
27,2007-12-24,1.1554,1.1578,1.154,1.157,3986,40,0
28,2007-12-26,1.1555,1.1561,1.1491,1.151,5502,40,0
29,2007-12-27,1.1511,1.1522999999999999,1.1372,1.1401,6014,40,0
30,2007-12-28,1.1402,1.1413,1.1259000000000001,1.126,5086,40,0
31,2007-12-30,1.1276,1.1279,1.1253,1.1253,185,40,0
32,2007-12-31,1.125,1.1346,1.1225,1.1329,3627,40,0
33,2008-01-02,1.129,1.1297,1.1148,1.1193,9323,40,0
34,2008-01-03,1.1192,1.1199,1.1105,1.1115,7707,40,0
35,2008-01-04,1.1114,1.1161,1.1018,1.1081,6954,40,0
36,2008-01-06,1.1075,1.1077,1.1069,1.1071,41,40,0
37,2008-01-07,1.1075,1.1189,1.1069,1.1178,11514,40,0
38,2008-01-08,1.1176,1.1189,1.1115,1.1122,7248,40,0
39,2008-01-09,1.112,1.1171,1.1103,1.1163,13055,40,0
40,2008-01-10,1.116,1.1168,1.1004,1.1044,17415,40,0
41,2008-01-11,1.1046,1.1047,1.0976,1.1013,7518,40,0
42,2008-01-13,1.0985,1.0996,1.0982,1.0995,180,40,0
43,2008-01-14,1.0994,1.1009,1.0884,1.093,6602,40,0
44,2008-01-15,1.0929,1.0947,1.0852,1.0912,8278,40,0
45,2008-01-16,1.091,1.1023,1.0836,1.0988,10322,40,0
46,2008-01-17,1.0987,1.1086,1.0951,1.1006,10126,40,0
47,2008-01-18,1.1007,1.1062,1.0977,1.0982,18036,40,0
48,2008-01-20,1.0999,1.1012,1.0997,1.1006,216,40,0
49,2008-01-21,1.1005,1.1109,1.0998,1.1103,9692,40,0
50,2008-01-22,1.1102,1.1118999999999999,1.0914,1.0968,15937,40,0
51,2008-01-23,1.0967,1.0988,1.0869,1.0916,11810,40,0
52,2008-01-24,1.0917,1.0935,1.0845,1.0866,13264,40,0
53,2008-01-25,1.0867,1.0987,1.0866,1.0966,10025,40,0
54,2008-01-27,1.0948,1.095,1.0937000000000001,1.0947,111,40,0
55,2008-01-28,1.0948,1.0965,1.0871,1.0896,12755,40,0
56,2008-01-29,1.0895,1.096,1.0883,1.0937999999999999,14476,40,0
57,2008-01-30,1.0939,1.0947,1.0811,1.0841,8950,40,0
58,2008-01-31,1.0823,1.0858,1.0757,1.0807,21032,40,0
59,2008-02-01,1.0806,1.0899,1.073,1.0894,10523,40,0
60,2008-02-03,1.0893,1.0895,1.088,1.088,218,40,0
61,2008-02-04,1.0893,1.0923,1.0862,1.0881,14017,40,0
62,2008-02-05,1.088,1.1056,1.0875,1.0992,9134,40,0
63,2008-02-06,1.0991,1.1003,1.0949,1.0972,7894,40,0
64,2008-02-07,1.097,1.1102,1.0932,1.1033,18259,40,0
65,2008-02-08,1.1034,1.108,1.1008,1.1029,7051,40,0
66,2008-02-10,1.1025,1.103,1.1021,1.1021,113,40,0
67,2008-02-11,1.1025,1.1046,1.0945,1.1021,13670,40,0
68,2008-02-12,1.1022,1.104,1.098,1.1021,7196,40,0
69,2008-02-13,1.102,1.1105,1.1011,1.1081,8850,40,0
70,2008-02-14,1.1072,1.1096,1.0955,1.0971,13167,40,0
71,2008-02-15,1.0973,1.0985,1.0884,1.0931,7537,40,0
72,2008-02-17,1.0937999999999999,1.0946,1.0933,1.0935,132,40,0
73,2008-02-18,1.0937999999999999,1.1044,1.093,1.1017,11028,40,0
74,2008-02-19,1.1018,1.1024,1.0907,1.0942,9973,40,0
75,2008-02-20,1.0943,1.1024,1.0935,1.0983,16389,40,0
76,2008-02-21,1.0982,1.1031,1.0865,1.09,8518,40,0
77,2008-02-22,1.0901,1.0916,1.0834,1.0848,6957,40,0
78,2008-02-24,1.0851,1.0859,1.0851,1.0855,108,40,0
79,2008-02-25,1.0856,1.0927,1.0854,1.0887,6861,40,0
80,2008-02-26,1.0886,1.0917,1.0704,1.0756000000000001,8143,40,0
81,2008-02-27,1.0755,1.0762,1.061,1.0629,9334,40,0
82,2008-02-28,1.0628,1.0642,1.0482,1.0511,8910,40,0
83,2008-02-29,1.051,1.0524,1.0402,1.0409,9354,40,0
84,2008-03-02,1.0331,1.0346,1.0321,1.0334,384,40,0
85,2008-03-03,1.0337,1.0456,1.0308,1.041,8623,40,0
86,2008-03-04,1.0411,1.0427,1.0335,1.0392,8003,40,0
87,2008-03-05,1.0393,1.0427,1.0333,1.036,8367,40,0
88,2008-03-06,1.0359,1.038,1.0209,1.0221,8722,40,0
89,2008-03-07,1.022,1.0282,1.0132,1.025,9980,40,0
90,2008-03-09,1.02,1.0207,1.0191,1.0199,280,40,0
91,2008-03-10,1.02,1.0255,1.017,1.0188,7119,40,0
92,2008-03-11,1.0187,1.0351,1.0147,1.0324,9087,40,0
93,2008-03-12,1.0325,1.0327,1.0126,1.0147,9832,40,0
94,2008-03-13,1.0148,1.0165,1.0042,1.0103,11878,40,0
95,2008-03-14,1.0102,1.0141,0.9973,0.9982,12547,40,0
96,2008-03-16,0.9923,0.9948,0.9872,0.9884,857,40,0
97,2008-03-17,0.9883,0.9895,0.9642,0.9841,22312,40,0
98,2008-03-18,0.9842,1.005,0.9786,0.9993,15474,40,0
99,2008-03-19,0.9991,1.0027,0.9867,0.9967,22938,40,0
100,2008-03-20,0.9966,1.0166,0.9964,1.0068,13005,40,0
101,2008-03-21,1.0069,1.0102,1.0064,1.0092,4305,40,0
102,2008-03-23,1.0121,1.0122,1.011,1.012,154,40,0
103,2008-03-24,1.0121,1.0249,1.012,1.0189,7351,40,0
104,2008-03-25,1.019,1.022,1.0038,1.0085,12701,40,0
105,2008-03-26,1.0086,1.0113,0.9881,0.9917,13810,40,0
106,2008-03-27,0.9918,0.9987,0.9887,0.992,14804,40,0
107,2008-03-28,0.9921,0.9996,0.9917,0.9949,14027,40,0
108,2008-03-30,0.9929,0.9949,0.9927,0.9949,229,40,0
109,2008-03-31,0.9948,0.9993,0.987,0.9947,12021,40,0
110,2008-04-01,0.9946,1.0138,0.993,1.0124,15191,40,0
111,2008-04-02,1.0125,1.0164,1.0068,1.0085,14388,40,0
112,2008-04-03,1.0084,1.0216,1.007,1.0105,13692,40,0
113,2008-04-04,1.0106,1.0129,1.0014,1.0057,13359,40,0
114,2008-04-06,1.0061,1.0073,1.0057,1.0059,86,40,0
115,2008-04-07,1.0057,1.0171,1.0056,1.0129,10855,40,0
116,2008-04-08,1.0128,1.0166,1.0065,1.016,12227,40,0
117,2008-04-09,1.0162,1.0162,0.9973,1.0023,11888,40,0
118,2008-04-10,1.0025,1.0087,0.9887,1.0083,15882,40,0
119,2008-04-11,1.0084,1.009,0.9965,1.0009,12877,40,0
120,2008-04-13,1.0067,1.0075,1.0057,1.0057,260,40,0
121,2008-04-14,1.0067,1.0075,0.9924,1.0002,26212,40,0
122,2008-04-15,1.0,1.0108,0.9955,1.0082,11782,40,0
