,time,open,high,low,close,tick_volume,spread,real_volume
0,2007-11-21,109.9,109.97,108.23,108.35,30838,30,0
1,2007-11-22,108.33,109.15,108.28,108.5,9021,30,0
2,2007-11-23,108.49,108.59,107.55,108.29,11381,30,0
3,2007-11-25,108.48,108.76,108.46,108.63,336,30,0
4,2007-11-26,108.64,108.75,107.21,107.36,11634,30,0
5,2007-11-27,107.39,109.13,107.28,108.81,16032,30,0
6,2007-11-28,108.82,110.47,108.25,109.95,14209,30,0
7,2007-11-29,109.96,110.3,109.46,109.77,13320,30,0
8,2007-11-30,109.81,111.21,109.65,111.2,26187,30,0
9,2007-12-02,110.96,110.97,110.87,110.92,184,30,0
10,2007-12-03,110.94,111.0,110.12,110.45,19118,30,0
11,2007-12-04,110.52,110.52,109.55,109.84,20507,30,0
12,2007-12-05,109.85,110.95,109.75,110.92,10433,30,0
13,2007-12-06,110.91,111.44,110.62,111.36,9776,30,0
14,2007-12-07,111.27,111.78,111.14,111.67,14452,30,0
15,2007-12-09,111.59,111.65,111.36,111.64,315,30,0
16,2007-12-10,111.63,111.91,111.44,111.82,7076,30,0
17,2007-12-11,111.81,112.13,110.5,110.85,10166,30,0
18,2007-12-12,110.87,112.44,110.79,112.02,12364,30,0
19,2007-12-13,112.01,112.45,111.39,112.32,10915,30,0
20,2007-12-14,112.28,113.6,112.24,113.28,20832,30,0
21,2007-12-16,113.31,113.32,113.21,113.31,271,30,0
22,2007-12-17,113.32,113.47,112.73,112.84,10143,30,0
23,2007-12-18,112.85,113.52,112.84,113.32,8370,30,0
24,2007-12-19,113.31,113.48,112.75,113.29,9286,30,0
25,2007-12-20,113.28,113.36,112.81,113.17,6746,30,0
26,2007-12-21,113.18,114.19,112.95,114.05,6993,30,0
27,2007-12-23,114.02,114.12,113.98,114.06,116,30,0
28,2007-12-24,114.09,114.48,113.99,114.45,3402,30,0
29,2007-12-26,114.2,114.34,113.98,114.25,3846,30,0
30,2007-12-27,114.21,114.7,113.57,113.86,5045,30,0
31,2007-12-28,113.79,114.02,112.28,112.28,11353,30,0
32,2007-12-30,112.58,112.59,112.25,112.32,141,30,0
33,2007-12-31,112.3,112.32,111.52,111.71,2318,30,0
34,2008-01-02,111.69,111.91,109.21,109.25,16255,30,0
35,2008-01-03,109.24,109.74,108.24,109.5,12173,30,0
36,2008-01-04,109.51,109.55,107.89,108.57,12751,30,0
37,2008-01-06,108.63,108.73,108.6,108.61,200,30,0
38,2008-01-07,108.62,109.73,108.55,109.23,11405,30,0
39,2008-01-08,109.22,109.82,108.78,108.96,12850,30,0
40,2008-01-09,108.97,110.09,108.82,109.87,13045,30,0
41,2008-01-10,109.96,110.07,109.1,109.61,26322,30,0
42,2008-01-11,109.62,109.68,108.62,108.84,13324,30,0
43,2008-01-13,108.76,108.84,108.65,108.84,142,30,0
44,2008-01-14,108.88,108.94,107.36,108.25,10049,30,0
45,2008-01-15,108.24,108.25,106.57,106.74,13463,30,0
46,2008-01-16,106.75,107.91,105.9,107.35,16882,30,0
47,2008-01-17,107.33,107.88,106.34,106.4,16482,30,0
48,2008-01-18,106.39,107.58,106.37,106.84,14120,30,0
49,2008-01-20,106.81,106.92,106.8,106.87,185,30,0
50,2008-01-21,106.81,106.96,105.62,105.63,23436,30,0
51,2008-01-22,105.64,107.2,105.6,107.08,28801,30,0
52,2008-01-23,107.06,107.35,104.97,106.74,18988,30,0
53,2008-01-24,106.75,107.22,105.94,107.17,25644,30,0
54,2008-01-25,107.16,107.89,106.71,106.71,15925,30,0
55,2008-01-27,106.82,106.83,106.61,106.76,236,30,0
56,2008-01-28,106.77,107.13,105.99,106.97,12591,30,0
57,2008-01-29,106.98,107.22,106.38,107.06,12404,30,0
58,2008-01-30,107.07,107.45,106.0,106.21,13566,30,0
59,2008-01-31,106.22,106.85,105.7,106.24,16320,30,0
60,2008-02-01,106.23,106.72,105.74,106.47,14016,30,0
61,2008-02-03,106.64,106.68,106.5,106.59,186,30,0
62,2008-02-04,106.58,107.07,106.55,106.7,9344,30,0
63,2008-02-05,106.69,107.71,106.38,106.53,13213,30,0
64,2008-02-06,106.52,106.77,106.17,106.38,12123,30,0
65,2008-02-07,106.37,107.81,105.91,107.31,13470,30,0
66,2008-02-08,107.3,107.71,107.13,107.3,11085,30,0
67,2008-02-10,107.5,107.52,107.37,107.45,167,30,0
68,2008-02-11,107.44,107.47,106.33,106.86,9435,30,0
69,2008-02-12,106.85,107.52,106.81,107.34,10354,30,0
70,2008-02-13,107.3,108.35,106.98,108.26,22109,30,0
71,2008-02-14,108.27,108.59,107.63,107.79,10990,30,0
72,2008-02-15,107.78,108.3,107.25,107.79,10160,30,0
73,2008-02-17,107.81,107.9,107.78,107.79,140,30,0
74,2008-02-18,107.81,108.3,107.74,108.17,10836,30,0
75,2008-02-19,108.13,108.27,107.2,107.93,23002,30,0
76,2008-02-20,107.92,108.36,107.47,108.03,12070,30,0
77,2008-02-21,108.04,108.31,107.14,107.41,11207,30,0
78,2008-02-22,107.3,107.56,106.71,107.15,20088,30,0
79,2008-02-24,107.26,107.35,107.23,107.34,203,30,0
80,2008-02-25,107.33,108.21,107.22,108.05,8606,30,0
81,2008-02-26,108.04,108.13,107.14,107.36,8938,30,0
82,2008-02-27,107.37,107.37,105.94,106.38,11147,30,0
83,2008-02-28,106.39,106.62,104.66,104.93,11861,30,0
84,2008-02-29,104.92,105.0,103.67,103.71,13957,30,0
85,2008-03-02,103.28,103.32,103.05,103.07,502,30,0
86,2008-03-03,103.08,103.69,102.61,103.52,14121,30,0
87,2008-03-04,103.53,103.56,102.64,103.38,12998,30,0
88,2008-03-05,103.37,104.17,103.28,103.93,11477,30,0
89,2008-03-06,103.92,103.99,102.44,102.58,12114,30,0
90,2008-03-07,102.6,103.23,101.41,102.66,17074,30,0
91,2008-03-09,102.14,102.31,102.09,102.26,405,30,0
92,2008-03-10,102.27,102.43,101.41,101.45,12919,30,0
93,2008-03-11,101.47,103.59,101.41,103.28,14302,30,0
94,2008-03-12,103.27,103.32,101.08,101.49,15528,30,0
95,2008-03-13,101.5,101.68,99.75,100.69,22554,30,0
96,2008-03-14,100.7,101.11,98.89,99.02,20261,30,0
97,2008-03-16,98.75,99.11,98.11,98.16,1196,30,0
98,2008-03-17,98.75,99.11,95.77,97.1,56639,30,0
99,2008-03-18,97.08,100.44,96.85,99.84,17918,30,0
100,2008-03-19,99.83,100.11,97.67,98.68,30378,30,0
