,time,open,high,low,close,tick_volume,spread,real_volume
0,1993-04-26,0.9109,0.9109,0.9109,0.9109,1,200,0
1,1993-04-27,0.9068,0.9068,0.9068,0.9068,1,200,0
2,1993-04-28,0.904,0.904,0.904,0.904,1,200,0
3,1993-04-29,0.899,0.899,0.899,0.899,1,200,0
4,1993-05-02,0.8955,0.8955,0.8955,0.8955,1,200,0
5,1993-05-03,0.888,0.888,0.888,0.888,1,200,0
6,1993-05-04,0.8957,0.8957,0.8957,0.8957,1,200,0
7,1993-05-05,0.8958,0.8958,0.8958,0.8958,1,200,0
8,1993-05-06,0.9003,0.9003,0.9003,0.9003,1,200,0
9,1993-05-09,0.8916,0.8916,0.8916,0.8916,1,200,0
10,1993-05-10,0.8958,0.8958,0.8958,0.8958,1,200,0
11,1993-05-11,0.8946,0.8946,0.8946,0.8946,1,200,0
12,1993-05-12,0.8954,0.8954,0.8954,0.8954,1,200,0
13,1993-05-13,0.8965,0.8965,0.8965,0.8965,1,200,0
14,1993-05-16,0.8959,0.8959,0.8959,0.8959,1,200,0
15,1993-05-17,0.8781,0.8781,0.8781,0.8781,1,200,0
16,1993-05-18,0.8745,0.8745,0.8745,0.8745,1,200,0
17,1993-05-19,0.8821,0.8821,0.8821,0.8821,1,200,0
18,1993-05-20,0.8795,0.8795,0.8795,0.8795,1,200,0
19,1993-05-23,0.8761,0.8761,0.8761,0.8761,1,200,0
20,1993-05-24,0.8833,0.8833,0.8833,0.8833,1,200,0
21,1993-05-25,0.8828,0.8828,0.8828,0.8828,1,200,0
22,1993-05-26,0.8774,0.8774,0.8774,0.8774,1,200,0
23,1993-05-27,0.8748,0.8748,0.8748,0.8748,1,200,0
24,1993-05-30,0.8626,0.8626,0.8626,0.8626,1,200,0
25,1993-05-31,0.8623,0.8623,0.8623,0.8623,1,200,0
26,1993-06-01,0.8611,0.8611,0.8611,0.8611,1,200,0
27,1993-06-02,0.8682,0.8682,0.8682,0.8682,1,200,0
28,1993-06-03,0.8643,0.8643,0.8643,0.8643,1,200,0
29,1993-06-06,0.8625,0.8625,0.8625,0.8625,1,200,0
30,1993-06-07,0.8592,0.8592,0.8592,0.8592,1,200,0
31,1993-06-08,0.8643,0.8643,0.8643,0.8643,1,200,0
