,time,open,high,low,close,tick_volume,spread,real_volume
0,1993-05-16,77.9,78.7,77.4,78.16,2341,120,0
1,1993-05-17,78.15,78.46,76.6,77.2,2771,120,0
2,1993-05-18,77.2,77.7,76.5,76.66,1861,120,0
3,1993-05-19,76.49,77.1,76.4,77.0,891,120,0
4,1993-05-20,76.9,76.9,76.3,76.9,1201,120,0
5,1993-05-23,76.7,77.0,76.1,76.9,1601,120,0
6,1993-05-24,76.7,77.4,76.4,76.6,1901,120,0
7,1993-05-25,76.7,76.7,75.6,75.8,1301,120,0
8,1993-05-26,76.1,76.1,74.2,74.4,2101,120,0
9,1993-05-27,74.5,74.7,73.5,73.5,1401,120,0
10,1993-05-30,73.9,74.2,72.4,72.7,2401,120,0
11,1993-05-31,72.7,73.0,71.8,72.5,2201,120,0
12,1993-06-01,72.5,73.4,72.5,72.6,1701,120,0
13,1993-06-02,72.6,73.5,72.4,72.9,1901,120,0
14,1993-06-03,72.9,73.1,72.2,72.8,1701,120,0
15,1993-06-06,72.7,72.8,72.0,72.1,1001,120,0
16,1993-06-07,72.0,72.25,70.96,71.2,1781,120,0
17,1993-06-08,71.3,72.3,71.2,71.9,1601,120,0
18,1993-06-09,71.8,72.1,71.2,71.7,1701,120,0
19,1993-06-10,71.6,73.2,71.3,72.1,3301,120,0
20,1993-06-13,72.1,72.6,68.5,70.9,7001,120,0
21,1993-06-14,70.9,72.2,68.3,71.7,7001,120,0
22,1993-06-15,71.8,75.2,71.4,72.2,7201,120,0
23,1993-06-16,72.2,73.0,71.6,72.2,2801,120,0
24,1993-06-17,72.2,74.8,72.0,74.3,3501,120,0
25,1993-06-20,74.3,76.9,74.1,75.8,4101,120,0
26,1993-06-21,75.8,76.8,74.6,75.8,4401,120,0
27,1993-06-22,75.8,76.1,73.4,73.4,3001,120,0
28,1993-06-23,73.4,73.6,72.4,72.5,1501,120,0
29,1993-06-24,72.6,72.9,70.9,71.3,2701,120,0
30,1993-06-27,71.1,71.3,70.1,71.0,2301,120,0
31,1993-06-28,71.2,72.6,70.7,71.2,3801,120,0
32,1993-06-29,71.3,72.0,69.6,71.3,4801,120,0
33,1993-06-30,71.4,73.3,70.7,71.9,4701,120,0
34,1993-07-01,72.0,73.0,71.4,73.0,2201,120,0
35,1993-07-04,73.2,73.9,72.3,73.8,2601,120,0
36,1993-07-05,73.8,73.9,72.6,73.9,2501,120,0
37,1993-07-06,73.7,73.8,72.2,73.1,2601,120,0
38,1993-07-07,73.3,74.8,72.6,74.4,3301,120,0
39,1993-07-08,74.5,75.3,73.6,74.9,3001,120,0
40,1993-07-11,75.4,75.7,74.1,74.3,2101,120,0
41,1993-07-12,74.1,74.2,73.1,73.2,1301,120,0
42,1993-07-13,73.1,74.3,72.5,72.5,3001,120,0
43,1993-07-14,72.5,73.9,72.5,73.7,1601,120,0
44,1993-07-15,73.6,73.9,72.8,73.1,1701,120,0
45,1993-07-18,73.2,73.7,72.7,73.3,1901,120,0
46,1993-07-19,73.3,73.9,73.1,73.5,1401,120,0
47,1993-07-20,73.4,74.0,73.2,73.3,1501,120,0
48,1993-07-21,73.2,73.7,70.9,71.2,3601,120,0
49,1993-07-22,71.4,73.0,71.4,72.8,1801,120,0
50,1993-07-25,72.5,72.9,72.1,72.5,1601,120,0
