,time,open,high,low,close,tick_volume,spread,real_volume
0,1999-01-04,2.1983,2.2318,2.1873,2.2318,556,240,0
1,1999-01-05,2.1948,2.2052,2.1502,2.1615,768,240,0
2,1999-01-06,2.1576,2.1807,2.1517,2.1575,580,240,0
3,1999-01-07,2.1607,2.1641,2.1297,2.1321,403,240,0
4,1999-01-10,2.1413,2.1517,2.0912,2.1022,820,240,0
5,1999-01-11,2.1024,2.1481,2.0956,2.1245,830,240,0
6,1999-01-12,2.1244,2.1847,2.1222,2.1657,838,240,0
7,1999-01-13,2.168,2.1764,2.1246,2.1697,1020,240,0
8,1999-01-14,2.1684,2.1861,2.1327,2.1344,729,240,0
9,1999-01-17,2.1543,2.1758,2.1444,2.162,552,240,0
10,1999-01-18,2.1595,2.1777,2.1383,2.1636,748,240,0
11,1999-01-19,2.1585,2.1744,2.1338,2.1383,611,240,0
12,1999-01-20,2.1403,2.1587,2.1294,2.1365,549,240,0
13,1999-01-21,2.1387,2.1631,2.1354,2.1528,414,240,0
14,1999-01-24,2.159,2.176,2.1428,2.1611,644,240,0
15,1999-01-25,2.1633,2.1721,2.1479,2.1548,400,240,0
16,1999-01-26,2.1483,2.1593999999999998,2.1293,2.1381,501,240,0
17,1999-01-27,2.1263,2.1457,2.1222,2.1302,432,240,0
18,1999-01-28,2.1272,2.1369,2.1013,2.1109,550,240,0
19,1999-01-31,2.105,2.1223,2.0667,2.084,903,240,0
20,1999-02-01,2.0874,2.124,2.0656,2.0841,1136,240,0
21,1999-02-02,2.0822,2.1187,2.0497,2.0497,1056,240,0
22,1999-02-03,2.0508,2.1315,2.0366,2.0527,1880,240,0
23,1999-02-04,2.0504,2.0932,2.0403000000000002,2.053,1033,240,0
24,1999-02-07,2.0309,2.0361,2.0026,2.0334,646,240,0
25,1999-02-08,2.0345,2.1056,2.0286,2.0454,1432,240,0
26,1999-02-09,2.0471,2.1048,2.038,2.1035,773,240,0
27,1999-02-10,2.0514,2.0866,2.0335,2.0368,917,240,0
28,1999-02-11,2.0348,2.1009,2.033,2.1009,698,240,0
29,1999-02-14,2.0602,2.0882,2.0336,2.0574,1065,240,0
30,1999-02-15,2.0587,2.088,2.0574,2.0856,344,240,0
31,1999-02-16,2.0823,2.098,2.0781,2.0865,357,240,0
32,1999-02-17,2.0845,2.0908,2.0709,2.0737,291,240,0
33,1999-02-18,2.0739,2.1098,2.0353,2.0368,1120,240,0
34,1999-02-21,2.0361,2.0499,2.0307,2.0383,363,240,0
35,1999-02-22,2.038,2.0547,2.0275,2.0414,511,240,0
36,1999-02-23,2.0419,2.0815,2.0377,2.0657,639,240,0
37,1999-02-24,2.0675,2.1091,2.0446,2.0938,1028,240,0
38,1999-02-25,2.0942,2.1128,2.0477,2.0997,1248,240,0
39,1999-02-28,2.104,2.1142,2.0234,2.0234,1011,240,0
40,1999-03-01,2.0685000000000002,2.0807,2.0545,2.0727,483,240,0
41,1999-03-02,2.0668,2.0934,2.0229,2.0619,1362,240,0
42,1999-03-03,2.0597,2.0684,2.0088,2.0351,947,240,0
43,1999-03-04,2.0374,2.0781,2.0116,2.0392,1313,240,0
44,1999-03-07,2.0405,2.0619,2.0224,2.0443,753,240,0
45,1999-03-08,2.0459,2.0555,2.0203,2.0432,678,240,0
46,1999-03-09,2.042,2.0607,2.0189,2.0389,806,240,0
47,1999-03-10,2.0393,2.0693,2.023,2.0622,698,240,0
48,1999-03-11,2.0614,2.0705,2.0254,2.049,779,240,0
49,1999-03-14,2.0417,2.0625,2.0367,2.0593,341,240,0
50,1999-03-15,2.0603,2.0855,2.0397,2.0855,665,240,0
51,1999-03-16,2.0898,2.1004,2.0707,2.0871,568,240,0
52,1999-03-17,2.0837,2.0882,2.0502,2.067,594,240,0
53,1999-03-18,2.0653,2.0933,2.0447,2.0463,783,240,0
54,1999-03-21,2.0475,2.0534,2.0275,2.0343,387,240,0
55,1999-03-22,2.031,2.0459,2.0182,2.0253,498,240,0
56,1999-03-23,2.0215,2.0369,2.0072,2.0235,575,240,0
57,1999-03-24,2.0125,2.0329,2.0112,2.0136,424,240,0
58,1999-03-25,2.016,2.0217,1.9929999999999999,2.0082,497,240,0
59,1999-03-28,2.0093,2.022,1.9986000000000002,2.015,412,240,0
60,1999-03-29,2.0107,2.0307,2.0089,2.0157,387,240,0
61,1999-03-30,2.019,2.033,2.0068,2.012,455,240,0
62,1999-03-31,2.0145,2.0243,2.0037,2.0224,334,240,0
63,1999-04-01,2.0141,2.0267,2.0042,2.0204,388,240,0
64,1999-04-04,2.0187,2.0221,2.0018,2.0164,384,240,0
65,1999-04-05,2.016,2.0487,2.0119,2.0372,525,240,0
66,1999-04-06,2.0374,2.0707,2.0148,2.031,1055,240,0
67,1999-04-07,2.0274,2.0506,2.0171,2.0207,604,240,0
68,1999-04-08,2.015,2.0382,2.0102,2.0186,525,240,0
69,1999-04-11,2.0189,2.032,1.9886,1.9929999999999999,610,240,0
70,1999-04-12,2.0003,2.0061,1.9839,1.9950999999999999,393,240,0
71,1999-04-13,1.9941,2.0029,1.9727000000000001,1.9987,559,240,0
72,1999-04-14,2.0019,2.0097,1.9594,1.9619,607,240,0
73,1999-04-15,1.9623,1.9726,1.9535,1.9655,351,240,0
74,1999-04-18,1.9627,1.9672,1.9277,1.9411,575,240,0
75,1999-04-19,1.9419,1.9916,1.9304000000000001,1.9476,1168,240,0
76,1999-04-20,1.9505,1.9516,1.9268,1.9404,396,240,0
77,1999-04-21,1.9444,1.9546000000000001,1.9296,1.9377,434,240,0
78,1999-04-22,1.94,1.9479,1.9289,1.9362,343,240,0
79,1999-04-25,1.933,1.9412,1.9207999999999998,1.9302000000000001,381,240,0
80,1999-04-26,1.9300000000000002,1.9477,1.9224999999999999,1.9434,371,240,0
81,1999-04-27,1.9419,1.9602,1.9112,1.9212,774,240,0
82,1999-04-28,1.923,1.9299,1.8989,1.9062000000000001,453,240,0
83,1999-04-29,1.9054,1.9093,1.8832,1.8938000000000001,407,240,0
84,1999-05-02,1.8939,1.8980000000000001,1.8803999999999998,1.8852,266,240,0
85,1999-05-03,1.8864999999999998,1.9113,1.885,1.9097,295,240,0
86,1999-05-04,1.9066,1.9311,1.9037,1.9245999999999999,369,240,0
87,1999-05-05,1.9221,1.9245,1.8976,1.9125,443,240,0
88,1999-05-06,1.9162,1.943,1.9094,1.9259,576,240,0
89,1999-05-09,1.9138,1.935,1.9123,1.929,303,240,0
90,1999-05-10,1.9327999999999999,1.9371,1.9017,1.9062000000000001,443,240,0
91,1999-05-11,1.9085,1.915,1.8969,1.905,328,240,0
92,1999-05-12,1.905,1.9095,1.8913,1.8972,287,240,0
93,1999-05-13,1.8984999999999999,1.9205,1.8918,1.9125,435,240,0
94,1999-05-16,1.9184,1.9189,1.9002,1.9064999999999999,256,240,0
95,1999-05-17,1.9076,1.9119000000000002,1.8928,1.911,349,240,0
96,1999-05-18,1.9228,1.9314,1.9228,1.924,161,240,0
97,1999-05-19,1.9367999999999999,1.954,1.9322,1.9374,431,240,0
98,1999-05-20,1.931,1.9506000000000001,1.923,1.9425,438,240,0
99,1999-05-23,1.9404,1.9506000000000001,1.9304000000000001,1.9413,396,240,0
100,1999-05-24,1.944,1.9704000000000002,1.9383,1.97,383,240,0
101,1999-05-25,1.9735,1.9895,1.9567999999999999,1.9618,538,240,0
102,1999-05-26,1.9571,1.963,1.932,1.9485000000000001,535,240,0
103,1999-05-27,1.95,1.9617,1.9337,1.9471,532,240,0
104,1999-05-30,1.9426,1.9615,1.9423,1.9487999999999999,323,240,0
105,1999-05-31,1.9518,1.9841,1.9489999999999998,1.9787,434,240,0
106,1999-06-01,1.9790999999999999,1.9921,1.9614,1.9686,510,240,0
107,1999-06-02,1.9693,1.9897,1.9526,1.9552,602,240,0
108,1999-06-03,1.9539,1.9563000000000001,1.927,1.9478,526,240,0
109,1999-06-06,1.9437,1.9437,1.9138,1.9337,499,240,0
110,1999-06-07,1.9376,1.9841,1.9273,1.9841,672,240,0
111,1999-06-08,1.9838,1.984,1.9519,1.9682,487,240,0
112,1999-06-09,1.9645000000000001,1.9754,1.9485999999999999,1.9504000000000001,396,240,0
113,1999-06-10,1.9527,1.9529,1.9336,1.9466,326,240,0
114,1999-06-13,1.9452,1.9544000000000001,1.9284,1.9356,425,240,0
115,1999-06-14,1.9377,1.9531,1.9354,1.9518,214,240,0
116,1999-06-15,1.9548,1.9594,1.9222000000000001,1.9258,455,240,0
117,1999-06-16,1.9275,1.9355,1.9186,1.9341,273,240,0
118,1999-06-17,1.9339,1.9609,1.9236,1.9563000000000001,523,240,0
119,1999-06-20,1.9538,1.9604,1.9348999999999998,1.9545,504,240,0
120,1999-06-21,1.9527999999999999,1.9574,1.942,1.942,201,240,0
121,1999-06-22,1.9405999999999999,1.9443000000000001,1.9243999999999999,1.9311,304,240,0
122,1999-06-23,1.932,1.9426,1.9203000000000001,1.9402,365,240,0
123,1999-06-24,1.9476,1.9569,1.9405999999999999,1.9492,311,240,0
124,1999-06-27,1.9456,1.9503,1.932,1.9362,273,240,0
125,1999-06-28,1.9363000000000001,1.9539,1.9337,1.9527,241,240,0
126,1999-06-29,1.951,1.9532,1.9306,1.9344999999999999,288,240,0
127,1999-06-30,1.9369,1.9418,1.9151,1.9209,375,240,0
128,1999-07-01,1.9207,1.9316,1.9152,1.9219,317,240,0
129,1999-07-04,1.928,1.9363000000000001,1.9257,1.9334,159,240,0
130,1999-07-05,1.9306999999999999,1.9544000000000001,1.9136,1.9533,591,240,0
131,1999-07-06,1.9554,1.9625,1.9318,1.9383,444,240,0
132,1999-07-07,1.933,1.9498,1.9301,1.9456,269,240,0
