,time,open,high,low,close,tick_volume,spread,real_volume
0,2019-10-08 19:00:00,9.157,9.1646,9.1531,9.161200000000001,2750,38,0
1,2019-10-08 20:00:00,9.1614,9.164,9.1573,9.159,431,38,0
2,2019-10-08 21:00:00,9.1606,9.1716,9.157,9.1598,497,48,0
3,2019-10-08 22:00:00,9.1599,9.1608,9.1579,9.1587,324,38,0
4,2019-10-08 23:00:00,9.1586,9.1614,9.1583,9.1601,486,38,0
5,2019-10-09 00:00:00,9.16,9.1628,9.1557,9.1578,869,38,0
6,2019-10-09 01:00:00,9.1579,9.1603,9.1521,9.1552,1645,38,0
7,2019-10-09 02:00:00,9.155,9.1554,9.1511,9.1515,459,38,0
8,2019-10-09 03:00:00,9.1514,9.1543,9.1514,9.1537,399,38,0
9,2019-10-09 04:00:00,9.1532,9.1574,9.1526,9.1564,369,38,0
10,2019-10-09 05:00:00,9.1562,9.1624,9.1555,9.1618,606,38,0
11,2019-10-09 06:00:00,9.1621,9.1748,9.1594,9.1684,1583,38,0
12,2019-10-09 07:00:00,9.1678,9.169,9.148,9.1537,2868,38,0
13,2019-10-09 08:00:00,9.1538,9.161200000000001,9.1474,9.1566,2693,38,0
14,2019-10-09 09:00:00,9.1568,9.1624,9.1468,9.1573,3532,38,0
15,2019-10-09 10:00:00,9.1571,9.1668,9.1503,9.1644,2654,38,0
16,2019-10-09 11:00:00,9.1645,9.1662,9.1565,9.1581,2066,38,0
17,2019-10-09 12:00:00,9.158,9.177,9.1476,9.1727,2502,38,0
18,2019-10-09 13:00:00,9.1729,9.1773,9.1644,9.1706,3263,38,0
19,2019-10-09 14:00:00,9.1705,9.1749,9.1629,9.1667,3208,38,0
20,2019-10-09 15:00:00,9.1662,9.1761,9.1616,9.1648,2489,38,0
21,2019-10-09 16:00:00,9.1649,9.1721,9.1626,9.1693,1260,38,0
22,2019-10-09 17:00:00,9.1692,9.1719,9.1606,9.1647,1410,38,0
23,2019-10-09 18:00:00,9.1642,9.1721,9.1638,9.1677,1356,38,0
24,2019-10-09 19:00:00,9.168,9.1724,9.1655,9.1699,1249,38,0
25,2019-10-09 20:00:00,9.1698,9.1752,9.1693,9.1734,474,38,0
26,2019-10-09 21:00:00,9.1676,9.1703,9.1646,9.1681,490,100,0
27,2019-10-09 22:00:00,9.1679,9.1761,9.1616,9.1697,2146,38,0
28,2019-10-09 23:00:00,9.1696,9.1811,9.168,9.1751,916,38,0
29,2019-10-10 00:00:00,9.1747,9.1747,9.1663,9.1734,1509,38,0
30,2019-10-10 01:00:00,9.1735,9.1746,9.1484,9.1529,1891,38,0
31,2019-10-10 02:00:00,9.1531,9.1595,9.1503,9.1521,1061,38,0
32,2019-10-10 03:00:00,9.1524,9.1542,9.1515,9.1532,697,38,0
33,2019-10-10 04:00:00,9.1531,9.156,9.153,9.1551,434,38,0
34,2019-10-10 05:00:00,9.155,9.1648,9.1468,9.1533,904,38,0
35,2019-10-10 06:00:00,9.1532,9.1568,9.1364,9.1384,2398,38,0
36,2019-10-10 07:00:00,9.1385,9.1521,9.1259,9.129,3424,38,0
37,2019-10-10 08:00:00,9.1292,9.139,9.1229,9.1355,2504,38,0
38,2019-10-10 09:00:00,9.1354,9.145199999999999,9.1108,9.1125,2489,38,0
39,2019-10-10 10:00:00,9.1126,9.1212,9.1082,9.121,2134,38,0
40,2019-10-10 11:00:00,9.1211,9.1228,9.1132,9.1183,2265,38,0
