,time,bid,ask
0,2023-05-09 00:00:00,1.4702899999999999,1.47062
1,2023-05-09 00:00:01,1.47035,1.47068
2,2023-05-09 00:00:01,1.47032,1.47065
3,2023-05-09 00:00:01,1.4703300000000001,1.47066
4,2023-05-09 00:00:01,1.47036,1.47069
5,2023-05-09 00:00:02,1.47035,1.47068
6,2023-05-09 00:00:02,1.4703300000000001,1.47066
7,2023-05-09 00:00:03,1.47035,1.47068
8,2023-05-09 00:00:04,1.47034,1.47067
9,2023-05-09 00:00:05,1.47035,1.47068
10,2023-05-09 00:00:06,1.47037,1.4707
11,2023-05-09 00:00:07,1.47036,1.47069
12,2023-05-09 00:00:08,1.47037,1.4707
13,2023-05-09 00:00:08,1.47036,1.47069
14,2023-05-09 00:00:09,1.4703300000000001,1.47066
15,2023-05-09 00:00:09,1.47031,1.47064
16,2023-05-09 00:00:09,1.4703300000000001,1.47066
17,2023-05-09 00:00:10,1.47031,1.47064
18,2023-05-09 00:00:10,1.47032,1.47065
19,2023-05-09 00:00:11,1.4703300000000001,1.47066
20,2023-05-09 00:00:11,1.47031,1.47064
21,2023-05-09 00:00:12,1.47025,1.47058
22,2023-05-09 00:00:12,1.4702600000000001,1.47059
23,2023-05-09 00:00:13,1.47025,1.47058
24,2023-05-09 00:00:15,1.47024,1.47057
25,2023-05-09 00:00:15,1.47025,1.47058
26,2023-05-09 00:00:16,1.47028,1.47061
27,2023-05-09 00:00:16,1.4702899999999999,1.47062
28,2023-05-09 00:00:18,1.4703,1.4706299999999999
29,2023-05-09 00:00:20,1.47031,1.47064
30,2023-05-09 00:00:21,1.4703,1.4706299999999999
31,2023-05-09 00:00:25,1.4703300000000001,1.47066
32,2023-05-09 00:00:26,1.47034,1.47067
33,2023-05-09 00:00:26,1.47036,1.47069
34,2023-05-09 00:00:27,1.47035,1.47068
35,2023-05-09 00:00:27,1.47036,1.47069
36,2023-05-09 00:00:28,1.47035,1.47068
37,2023-05-09 00:00:30,1.47028,1.47061
38,2023-05-09 00:00:30,1.47027,1.4706000000000001
39,2023-05-09 00:00:31,1.47024,1.47057
40,2023-05-09 00:00:31,1.47031,1.47064
41,2023-05-09 00:00:31,1.47032,1.47065
42,2023-05-09 00:00:32,1.47034,1.47067
43,2023-05-09 00:00:32,1.47035,1.47068
44,2023-05-09 00:00:32,1.47037,1.4707
45,2023-05-09 00:00:36,1.47036,1.47069
46,2023-05-09 00:00:38,1.47037,1.4707
47,2023-05-09 00:00:38,1.47036,1.47069
48,2023-05-09 00:00:40,1.4703300000000001,1.47066
49,2023-05-09 00:00:40,1.4703,1.4706299999999999
50,2023-05-09 00:00:41,1.4702899999999999,1.47062
51,2023-05-09 00:00:41,1.47028,1.47061
52,2023-05-09 00:00:42,1.4702600000000001,1.47059
53,2023-05-09 00:00:42,1.47023,1.4705599999999999
54,2023-05-09 00:00:43,1.47025,1.47058
55,2023-05-09 00:00:43,1.4702600000000001,1.47059
56,2023-05-09 00:00:44,1.4702,1.4705300000000001
57,2023-05-09 00:00:47,1.47022,1.47055
58,2023-05-09 00:00:51,1.47023,1.4705599999999999
59,2023-05-09 00:00:54,1.4702,1.4705300000000001
60,2023-05-09 00:00:54,1.47019,1.47052
61,2023-05-09 00:00:55,1.4702,1.4705300000000001
62,2023-05-09 00:00:56,1.47019,1.47052
63,2023-05-09 00:00:57,1.47016,1.47049
